source_release,workbook_basename,workbook_sha256,sheet,source_row,source_cell,source_year_cell,source_status_cell,source_formula,asserted_formula,FY,period,period_status,source_label,source_series_id,runtime_series_id,dashboard_label,source_display_name,label,series_id,display_name,section,unit,metric_type,row_role,value,value_status,source_kind
BEFU26,BEFU26 revenue forecast.xlsx,7d6e5b19119ca8b5272ca2205c0735719033d82484ce674cfb595e6f45d085ff,Baseline,5,B5,B1,B2,,,2001,FY2001,ACTUAL,Light RUC net km (m km),light_ruc_net_km,light_ruc_net_km,Light RUC net km,Light RUC net km,Light RUC net km,light_ruc_net_km,Light RUC net km,Key volumes,million km,activity,bridge_input,5664.92423,actual,official_source_row
BEFU26,BEFU26 revenue forecast.xlsx,7d6e5b19119ca8b5272ca2205c0735719033d82484ce674cfb595e6f45d085ff,Baseline,5,C5,C1,C2,,,2002,FY2002,ACTUAL,Light RUC net km (m km),light_ruc_net_km,light_ruc_net_km,Light RUC net km,Light RUC net km,Light RUC net km,light_ruc_net_km,Light RUC net km,Key volumes,million km,activity,bridge_input,6386.274088,actual,official_source_row
BEFU26,BEFU26 revenue forecast.xlsx,7d6e5b19119ca8b5272ca2205c0735719033d82484ce674cfb595e6f45d085ff,Baseline,5,D5,D1,D2,,,2003,FY2003,ACTUAL,Light RUC net km (m km),light_ruc_net_km,light_ruc_net_km,Light RUC net km,Light RUC net km,Light RUC net km,light_ruc_net_km,Light RUC net km,Key volumes,million km,activity,bridge_input,6049.305779,actual,official_source_row
BEFU26,BEFU26 revenue forecast.xlsx,7d6e5b19119ca8b5272ca2205c0735719033d82484ce674cfb595e6f45d085ff,Baseline,5,E5,E1,E2,,,2004,FY2004,ACTUAL,Light RUC net km (m km),light_ruc_net_km,light_ruc_net_km,Light RUC net km,Light RUC net km,Light RUC net km,light_ruc_net_km,Light RUC net km,Key volumes,million km,activity,bridge_input,6822.401291,actual,official_source_row
BEFU26,BEFU26 revenue forecast.xlsx,7d6e5b19119ca8b5272ca2205c0735719033d82484ce674cfb595e6f45d085ff,Baseline,5,F5,F1,F2,,,2005,FY2005,ACTUAL,Light RUC net km (m km),light_ruc_net_km,light_ruc_net_km,Light RUC net km,Light RUC net km,Light RUC net km,light_ruc_net_km,Light RUC net km,Key volumes,million km,activity,bridge_input,7530.569661,actual,official_source_row
BEFU26,BEFU26 revenue forecast.xlsx,7d6e5b19119ca8b5272ca2205c0735719033d82484ce674cfb595e6f45d085ff,Baseline,5,G5,G1,G2,,,2006,FY2006,ACTUAL,Light RUC net km (m km),light_ruc_net_km,light_ruc_net_km,Light RUC net km,Light RUC net km,Light RUC net km,light_ruc_net_km,Light RUC net km,Key volumes,million km,activity,bridge_input,7030.767248,actual,official_source_row
BEFU26,BEFU26 revenue forecast.xlsx,7d6e5b19119ca8b5272ca2205c0735719033d82484ce674cfb595e6f45d085ff,Baseline,5,H5,H1,H2,,,2007,FY2007,ACTUAL,Light RUC net km (m km),light_ruc_net_km,light_ruc_net_km,Light RUC net km,Light RUC net km,Light RUC net km,light_ruc_net_km,Light RUC net km,Key volumes,million km,activity,bridge_input,7464.686295,actual,official_source_row
BEFU26,BEFU26 revenue forecast.xlsx,7d6e5b19119ca8b5272ca2205c0735719033d82484ce674cfb595e6f45d085ff,Baseline,5,I5,I1,I2,,,2008,FY2008,ACTUAL,Light RUC net km (m km),light_ruc_net_km,light_ruc_net_km,Light RUC net km,Light RUC net km,Light RUC net km,light_ruc_net_km,Light RUC net km,Key volumes,million km,activity,bridge_input,7830.197444,actual,official_source_row
BEFU26,BEFU26 revenue forecast.xlsx,7d6e5b19119ca8b5272ca2205c0735719033d82484ce674cfb595e6f45d085ff,Baseline,5,J5,J1,J2,,,2009,FY2009,ACTUAL,Light RUC net km (m km),light_ruc_net_km,light_ruc_net_km,Light RUC net km,Light RUC net km,Light RUC net km,light_ruc_net_km,Light RUC net km,Key volumes,million km,activity,bridge_input,7549.161403,actual,official_source_row
BEFU26,BEFU26 revenue forecast.xlsx,7d6e5b19119ca8b5272ca2205c0735719033d82484ce674cfb595e6f45d085ff,Baseline,5,K5,K1,K2,,,2010,FY2010,ACTUAL,Light RUC net km (m km),light_ruc_net_km,light_ruc_net_km,Light RUC net km,Light RUC net km,Light RUC net km,light_ruc_net_km,Light RUC net km,Key volumes,million km,activity,bridge_input,7829.25488,actual,official_source_row
