stream,june_year_horizon,evidence_state,n_rows,n_origins,raw_q10,boot_q10_p05,boot_q10_p50,boot_q10_p95,raw_q25,boot_q25_p05,boot_q25_p50,boot_q25_p95,raw_median,boot_median_p05,boot_median_p50,boot_median_p95,raw_q75,boot_q75_p05,boot_q75_p50,boot_q75_p95,raw_q90,boot_q90_p05,boot_q90_p50,boot_q90_p95,smooth_median,smooth_q10,smooth_q25,smooth_q75,smooth_q90,raw_span80_pct,smooth_span80_pct,raw_span50_pct,smooth_span50_pct
HEAVY_RUC,1,backtest_supported_conditional,19,19,-0.041592513050919704,-0.04817957731843249,-0.041592513050919704,-0.01706489982191133,-0.023983200144518074,-0.04007860197092474,-0.023983200144518074,0.0025692777791349645,0.009004540519760846,-0.012452699606840168,0.009004540519760846,0.014321823828214099,0.021181495236880343,0.009086015593727584,0.021181495236880343,0.02433613568606101,0.025533666337802276,0.021111980887754535,0.025533666337802276,0.036640525453378724,0.009004540519760846,-0.029288113920635662,-0.010306445657440351,0.01894401033916548,0.025533666337802276,6.660185560780862,5.472581654557196,4.510530404199475,2.9378102820546537
HEAVY_RUC,2,backtest_supported_conditional,43,35,-0.0560414225772252,-0.05979601317586594,-0.0560414225772252,-0.0363142182310109,-0.022338697262184695,-0.044540609639534115,-0.022049300843761145,-0.0058989369383324304,0.0024480621275570894,-0.011504326112875602,0.0024480621275570894,0.005270986911239317,0.011172897288202229,0.005027095226551357,0.011172897288202229,0.03367361632459738,0.04477825784200196,0.014258107794487879,0.04395487944363403,0.050459889452877105,0.0024480621275570894,-0.035844592312839416,-0.016862924049644106,0.012387531946961725,0.04477825784200196,10.029596711451038,8.100571949875434,3.3326583349438943,2.918611599070131
HEAVY_RUC,3,backtest_supported_conditional,23,23,-0.039382881453787884,-0.05087447555329393,-0.039382881453787884,-0.03673660481376351,-0.03652271274201485,-0.03913223745338939,-0.03652271274201485,-0.024027468769519902,-0.016542448886917114,-0.029795370283096364,-0.016542448886917114,-0.0009619243599935225,0.000759268476619542,-0.008332253500073833,0.000759268476619542,0.042303988908915145,0.04262594588131615,0.0014017712357167443,0.04262594588131615,0.05498113182949153,-0.016542448886917114,-0.05483510332731362,-0.03585343506411831,-0.0006650905643747103,0.042123995337790085,8.216493548121207,9.638256774770326,3.6623361322931314,3.4553444272082734
HEAVY_RUC,4,extended_conditional,33,27,-0.047784870882677424,-0.052444558451642656,-0.047784870882677424,-0.03434885206312054,-0.032715759321443,-0.04342100739855085,-0.032715759321443,-0.03096709184904406,-0.02791433882624837,-0.03148243920870261,-0.02791433882624837,-0.01844540126361768,-0.013250323390478845,-0.01862539198814596,-0.013250323390478845,0.018621126344444267,0.030324517898418103,-0.0013106092666083896,0.030324517898418103,0.04068129235836007,-0.02791433882624837,-0.06620699326664488,-0.047225325003449566,-0.012036980503705965,0.030752105398458827,7.7450133193543325,9.529272432974933,1.9023463202075264,3.416273208535059
HEAVY_RUC,5,extended_conditional,12,12,-0.057507132617168326,-0.06485299072991967,-0.057507132617168326,-0.033982330530138403,-0.039586191387293565,-0.05972881799895423,-0.039586191387293565,-0.027244001450650677,-0.026537331115995735,-0.04048062642424746,-0.026537331115995735,-0.007450245659739731,-0.007161417249662485,-0.027307050795249553,-0.007161417249662485,0.0456583649518101,0.04046303525468604,-0.02343410510443102,0.04046303525468604,0.0508334727032146,-0.026537331115995735,-0.06482998555639224,-0.04584831729319693,-0.007161417249662485,0.04046303525468603,9.717766151685826,10.406602594278592,3.1677060224788223,3.7677328067163174
LIGHT_RUC,1,backtest_supported_conditional,13,13,-0.201182205074234,-0.242615676488315,-0.201182205074234,-0.03376988965732195,-0.05044908267824507,-0.23653294900324193,-0.05044908267824507,-0.03160924173067918,-0.03160924173067918,-0.05044908267824507,-0.03160924173067918,-0.006435295145260848,-0.006435295145260848,-0.03160924173067918,-0.006435295145260848,0.04190793822895927,0.039995167487130646,-0.026065892250774655,0.039995167487130646,0.07050541556064162,-0.03160924173067918,-0.12831578467287108,-0.05044908267824507,-0.006435295145260849,0.03999516748713065,22.304232713854354,16.12301656750901,4.278302727191196,4.278302727191196
LIGHT_RUC,2,backtest_supported_conditional,28,23,-0.11680622490556185,-0.15209616921216196,-0.1097705356358858,-0.07906339940854411,-0.07849503307779035,-0.09574452945238857,-0.07830557763420576,-0.06741111951370739,-0.0534369893251634,-0.07024946205601028,-0.0534369893251634,-0.047444932597235055,-0.018611360128949064,-0.04779159760770532,-0.020359681742170906,0.1200034211852766,0.1219552650876873,0.028340770933194332,0.12151148254930046,0.13747692459812694,-0.0534369893251634,-0.1501435322673553,-0.07849503307779035,-0.018611360128949067,0.068248532269527,23.994597413933395,21.00469159349798,5.705410989958592,5.705410989958592
LIGHT_RUC,3,backtest_supported_conditional,14,14,-0.14052814988393725,-0.1569874991482501,-0.14052814988393725,-0.07965924556311468,-0.08427287904969236,-0.14077951081147394,-0.08427287904969236,-0.060518557760949415,-0.056714849505778785,-0.08362742194149111,-0.056714849505778785,0.02139792813755283,0.03014352988265611,-0.052911141250608154,0.03014352988265611,0.08134888462718004,0.07985163600400659,0.003906724647346267,0.07985163600400659,0.1286071363256959,-0.056714849505778785,-0.15342139244797068,-0.08427287904969236,-0.004713244189544399,0.06497067208891161,21.422715362206112,20.93595386918753,11.14220487900891,7.611744891948136
LIGHT_RUC,4,extended_conditional,18,15,-0.21468465330914527,-0.24840638716835514,-0.20853066715032434,-0.10831878000088971,-0.14354133467652797,-0.20410003159276538,-0.14354133467652797,-0.05344645704797293,-0.04840697625409828,-0.06721525381733481,-0.04840697625409828,-0.025796968604136113,-0.01605012542980611,-0.04410347045293106,-0.012801177705029441,0.01028433088316506,0.012801118269711156,-0.02059865224449344,0.012801118269711156,0.052836114779849785,-0.04840697625409828,-0.21468465330914527,-0.14354133467652794,0.0035946290621361038,0.07327854534059211,20.608758286447536,26.92343979205879,11.779299964943368,13.731610565212527
LIGHT_RUC,5,extended_conditional,6,6,-0.3021840659737779,-0.3130514350958523,-0.3021840659737779,-0.06641957079975552,-0.2350924153387165,-0.3130514350958523,-0.2350924153387165,-0.055412242714247585,-0.06239921086573195,-0.29131669685170347,-0.06239921086573195,-0.03736463922913262,-0.04261819215477656,-0.12264385231274251,-0.04261819215477656,-0.022871720501551337,-0.03011817986534198,-0.06239921086573195,-0.03011817986534198,-0.022871720501551337,-0.06239921086573195,-0.3021840659737779,-0.2350924153387165,-0.010397605549497563,0.05928631072895845,23.112886277022927,32.18770051222629,16.77794058487525,19.91584705574376
PED,1,backtest_supported_conditional,26,26,-0.014568298330788964,-0.06955846992195593,-0.014568298330788964,-0.006203701989181001,-0.005467491233330559,-0.01195193154375502,-0.005467491233330559,0.0010513473131566692,0.0014257719817444543,-0.0029532343107094364,0.0014257719817444543,0.008523984153765499,0.010994366085640701,0.0052628534986962575,0.010994366085640701,0.016100986461516458,0.017057843317949385,0.012122383001160617,0.017057843317949385,0.03386935474786574,0.0014257719817444543,-0.014568298330788964,-0.005467491233330559,0.010994366085640701,0.017057843317949385,3.1666853206352097,3.1666853206352097,1.6507597937559182,1.6507597937559182
PED,2,backtest_supported_conditional,61,49,-0.07807301470193519,-0.08220714608808508,-0.07803299238409235,-0.0407866955263221,-0.007835594267983925,-0.052175126273273635,-0.007835594267983925,-0.0030437441227942133,0.0012570522414608965,-0.0015528061258151525,0.0012570522414608965,0.006226105658371493,0.013089017417173054,0.00788936221954444,0.013089017417173054,0.020511332739340703,0.022408785179888785,0.015295692365623581,0.022408785179888785,0.03302791486605935,0.0012570522414608965,-0.07807301470193519,-0.007835594267983925,0.013045015903311506,0.02037988312497839,9.776485499545661,9.569207791533362,2.0980029594216743,2.093544933885927
PED,3,backtest_supported_conditional,33,33,-0.10506562464934313,-0.10904502089090996,-0.10449541850485278,-0.0760583414629516,-0.07325524506343464,-0.09174858542126235,-0.07325524506343464,0.0028156377158317985,0.009834296692153735,-0.00011244200204196147,0.009834296692153735,0.015186423420113369,0.021556924772815986,0.014767871492788636,0.021556924772815986,0.025001094917616873,0.027100852879456922,0.022594462951123395,0.027100852879456922,0.03061225828481891,0.009834296692153735,-0.09161261582709529,-0.06326569136077834,0.021622260354004344,0.028957127575671225,12.720597994587003,11.692190840205308,9.24273696176543,8.316367772867983
PED,4,extended_conditional,51,41,-0.10548950439235366,-0.12317760607100667,-0.10548950439235366,-0.08781612166932619,-0.0760044085510968,-0.1030874096305457,-0.07589787613129972,-0.028671290161857647,0.005964499004731325,-0.05432102313062404,0.005964499004731325,0.013532514273400558,0.019024597781582882,0.013659553347237475,0.018806982677096337,0.023757405529635862,0.02415661926104059,0.02273074815169802,0.02415661926104059,0.02512172090913425,0.005964499004731325,-0.0954824135145177,-0.06713548904820074,0.019024597781582882,0.025087329888248817,12.456683642092315,11.647031861542468,9.239459788154015,8.413821732082594
