engine,FY,pool_base,pool_fast,pool_slow,max_abs_pool_difference,pool_invariant
ensemble,2030,19868.974867890254,19868.974867890254,19868.974867890254,0.0,True
ensemble,2031,20738.422218140862,20738.422218140862,20738.422218140862,0.0,True
ensemble,2040,32991.65214209246,32991.65214209246,32991.65214209246,0.0,True
ensemble,2050,51820.865771659235,51820.86577165924,51820.86577165924,7.275957614183426e-12,True
ar1,2030,19868.974867890254,19868.974867890254,19868.974867890254,0.0,True
ar1,2031,20738.422218140862,20738.422218140862,20738.422218140862,0.0,True
ar1,2040,32991.65214209246,32991.65214209246,32991.65214209246,0.0,True
ar1,2050,51820.865771659235,51820.86577165924,51820.86577165924,7.275957614183426e-12,True
