series_id,display_name,tier,parent_stream,level,candidate,FY,central,relative_width_pct,lower,upper
ped_vkt_per_capita,PED VKT per capita,1,PED,50,plateau,2027,6157.981582293965,3.0679899286841525,6063.518454916463,6252.4447096714675
ped_vkt_per_capita,PED VKT per capita,1,PED,50,plateau,2030,6119.810756176223,10.46382541895916,5799.62759942774,6439.993912924705
ped_vkt_per_capita,PED VKT per capita,1,PED,50,plateau,2031,6117.785758686691,10.46382541895916,5797.708548039231,6437.862969334152
ped_vkt_per_capita,PED VKT per capita,1,PED,50,plateau,2040,4634.222189654361,10.46382541895916,4391.7637299283115,4876.68064938041
ped_vkt_per_capita,PED VKT per capita,1,PED,50,plateau,2050,1581.277157546583,10.46382541895916,1498.546116968806,1664.0081981243602
ped_vkt_per_capita,PED VKT per capita,1,PED,50,saturating,2027,6157.981582293965,3.0679899286841525,6063.518454916463,6252.4447096714675
ped_vkt_per_capita,PED VKT per capita,1,PED,50,saturating,2030,6119.810756176223,10.46382541895916,5799.62759942774,6439.993912924705
ped_vkt_per_capita,PED VKT per capita,1,PED,50,saturating,2031,6117.785758686691,13.72231608412126,5698.03480910852,6537.536708264863
ped_vkt_per_capita,PED VKT per capita,1,PED,50,saturating,2040,4634.222189654361,29.433784768977958,3952.20869714482,5316.235682163901
ped_vkt_per_capita,PED VKT per capita,1,PED,50,saturating,2050,1581.277157546583,41.0654816538661,1256.5976170320494,1905.9566980611169
ped_vkt_per_capita,PED VKT per capita,1,PED,50,sqrt_stress,2027,6157.981582293965,3.0679899286841525,6063.518454916463,6252.4447096714675
ped_vkt_per_capita,PED VKT per capita,1,PED,50,sqrt_stress,2030,6119.810756176223,10.46382541895916,5799.62759942774,6439.993912924705
ped_vkt_per_capita,PED VKT per capita,1,PED,50,sqrt_stress,2031,6117.785758686691,11.462546439519755,5767.158741856797,6468.4127755165855
ped_vkt_per_capita,PED VKT per capita,1,PED,50,sqrt_stress,2040,4634.222189654361,18.12387726716796,4214.27181868395,5054.172560624771
ped_vkt_per_capita,PED VKT per capita,1,PED,50,sqrt_stress,2050,1581.277157546583,23.397824941482902,1396.28492696538,1766.2693881277862
ped_vkt_per_capita,PED VKT per capita,1,PED,50,legacy_constant,2027,6157.981582293965,2.445905,6082.672392583761,6233.290772004169
ped_vkt_per_capita,PED VKT per capita,1,PED,50,legacy_constant,2030,6119.810756176223,2.445905,6044.968377538296,6194.653134814149
ped_vkt_per_capita,PED VKT per capita,1,PED,50,legacy_constant,2031,6117.785758686691,2.445905,6042.968144806188,6192.603372567194
ped_vkt_per_capita,PED VKT per capita,1,PED,50,legacy_constant,2040,4634.222189654361,2.445905,4577.547853530428,4690.896525778293
ped_vkt_per_capita,PED VKT per capita,1,PED,50,legacy_constant,2050,1581.277157546583,2.445905,1561.9388890164382,1600.615426076728
ped_vkt_per_capita,PED VKT per capita,1,PED,80,plateau,2027,6157.981582293965,11.851522634686216,5793.074291761277,6522.888872826654
ped_vkt_per_capita,PED VKT per capita,1,PED,80,plateau,2030,6119.810756176223,12.794052884710828,5728.324843881519,6511.296668470926
ped_vkt_per_capita,PED VKT per capita,1,PED,80,plateau,2031,6117.785758686691,12.794052884710828,5726.42938601685,6509.142131356532
ped_vkt_per_capita,PED VKT per capita,1,PED,80,plateau,2040,4634.222189654361,12.794052884710828,4337.769770784669,4930.674608524052
