FY,series_id,heavy_bev_off,heavy_bev_on,delta
2030,heavy_ruc_net_km,4230.412228687553,4191.862234058749,-38.54999462880369
2030,heavy_bev_ruc_net_km,88.9568688458184,88.9568688458184,0.0
2030,heavy_ruc_net_revenue,1561.9346558206582,1547.701392172234,-14.233263648424327
2030,heavy_bev_ruc_net_revenue,32.84776860566217,47.081032254086495,14.233263648424327
2030,gross_ruc_revenue,3407.6463794833126,3407.6463794833126,0.0
2030,total_ruc_net_revenue,3253.9373715651354,3253.9373715651354,0.0
2030,total_nltf_net_revenue,6515.261716847033,6515.261716847033,0.0
2040,heavy_ruc_net_km,4139.988390396382,4139.988390396382,0.0
2040,heavy_bev_ruc_net_km,378.858667428341,378.858667428341,0.0
2040,heavy_ruc_net_revenue,2179.062189343183,2179.062189343183,0.0
2040,heavy_bev_ruc_net_revenue,184.41987383988817,184.41987383988817,0.0
2040,gross_ruc_revenue,6522.370238419945,6522.370238419945,0.0
2040,total_ruc_net_revenue,6259.456162699124,6259.456162699124,0.0
2040,total_nltf_net_revenue,9599.267382670649,9599.267382670649,0.0
2050,heavy_ruc_net_km,3483.2835913255512,3483.2835913255512,0.0
2050,heavy_bev_ruc_net_km,1122.35014741051,1122.35014741051,0.0
2050,heavy_ruc_net_revenue,2380.597921237581,2380.597921237581,0.0
2050,heavy_bev_ruc_net_revenue,714.8212622435603,714.8212622435603,0.0
2050,gross_ruc_revenue,11827.729456002837,11827.729456002837,0.0
2050,total_ruc_net_revenue,11376.234075278322,11376.234075278322,0.0
2050,total_nltf_net_revenue,13043.455185364817,13043.455185364817,0.0
