stream,level,horizon,A_raw_width_pct,B_isotonic_width_pct,C_pooled_isotonic_width_pct,D_saturating_width_pct
HEAVY_RUC,50,1,4.41630805045381,4.180893242799522,4.563536500537014,4.3488466379807775
HEAVY_RUC,50,2,3.945478435145233,4.180893242799522,4.563536500537014,4.42288620472025
HEAVY_RUC,50,3,5.360087146855386,4.795032080397494,4.613269455962238,4.496768824803873
HEAVY_RUC,50,4,4.229977013939601,4.795032080397494,4.7127353668126855,4.57049483092203
HEAVY_RUC,50,5,4.806471846166427,4.806471846166427,4.812201277663134,4.644064555059892
HEAVY_RUC,50,6,5.314081891363287,4.961570809873371,4.911667188513582,4.717478328498906
HEAVY_RUC,50,7,5.168928073585,4.961570809873371,4.961400143938806,4.790736481818271
HEAVY_RUC,50,8,5.534520219950389,4.961570809873371,4.961400143938806,4.8638393448964194
HEAVY_RUC,50,9,4.848199412145249,4.961570809873371,4.961400143938806,4.9367872469125444
HEAVY_RUC,50,10,5.094003884372311,4.961570809873371,4.961400143938806,5.009580516348052
HEAVY_RUC,50,11,5.169658812607536,4.961570809873371,4.961400143938806,5.082219480988023
HEAVY_RUC,50,12,5.192230260469977,4.961570809873371,4.961400143938806,5.154704467922734
HEAVY_RUC,50,13,5.325314667973913,4.961570809873371,4.961400143938806,5.227035803549093
HEAVY_RUC,50,14,4.135015194011061,4.961570809873371,4.961400143938806,5.2992138135721305
HEAVY_RUC,50,15,4.337658964994951,4.961570809873371,5.09420668621515,5.3712388230064505
HEAVY_RUC,50,16,4.457667527133413,4.961570809873371,5.359819770767839,5.443111156177693
HEAVY_RUC,50,17,5.393744269047063,5.393744269047063,5.625432855320528,5.514831136724034
HEAVY_RUC,50,18,5.934576945248782,5.795884468582891,5.891045939873217,5.586399087597584
HEAVY_RUC,50,19,5.657191991916999,5.795884468582891,6.023852482149561,5.657815331065883
HEAVY_RUC,50,20,6.546167279954185,6.546167279954185,6.023852482149561,5.729080188713333
HEAVY_RUC,80,1,7.062893862314756,7.062893862314756,7.799594750048011,7.365128981733413
HEAVY_RUC,80,2,7.653972431673428,7.64405766833773,7.799594750048011,7.552555200052858
HEAVY_RUC,80,3,7.889830689403987,7.64405766833773,7.967536285932432,7.7394166761288545
HEAVY_RUC,80,4,7.388369883935775,7.64405766833773,8.303419357701273,7.925715111611268
HEAVY_RUC,80,5,8.13825170815342,8.13825170815342,8.639302429470115,8.111452203022665
HEAVY_RUC,80,6,8.664992757407974,8.664992757407974,8.975185501238958,8.296629641773741
HEAVY_RUC,80,7,9.597084676056122,9.173839187565532,9.154119879346617,8.48124911417873
HEAVY_RUC,80,8,9.980083209392198,9.173839187565532,9.176105563793092,8.665312301470742
HEAVY_RUC,80,9,9.782296439745297,9.173839187565532,9.19809124823957,8.848820879817119
HEAVY_RUC,80,10,9.892680020887546,9.173839187565532,9.220076932686045,9.031776520334624
HEAVY_RUC,80,11,9.455957017361548,9.173839187565532,9.231069774909283,9.214180889104746
HEAVY_RUC,80,12,8.649433973694908,9.173839187565532,9.231069774909283,9.396035647188818
HEAVY_RUC,80,13,8.079181689935954,9.173839187565532,9.231069774909283,9.577342450643144
HEAVY_RUC,80,14,8.262439236066388,9.173839187565532,9.231069774909283,9.75810295053411
HEAVY_RUC,80,15,9.74841822006245,9.173839187565532,9.577958776696509,9.938318792953176
HEAVY_RUC,80,16,8.29081739245292,9.173839187565532,10.271736780270963,10.117991619031912
HEAVY_RUC,80,17,10.58113224864642,10.276058663848136,10.965514783845414,10.297123064956914
HEAVY_RUC,80,18,9.970985079049854,10.276058663848136,11.659292787419869,10.475714761984712
HEAVY_RUC,80,19,12.126280334442452,11.594666190147812,12.006181789207094,10.65376833645663
HEAVY_RUC,80,20,11.063052045853173,11.594666190147812,12.006181789207094,10.831285409813574
LIGHT_RUC,50,1,9.479195688521337,9.479195688521337,9.693995937082601,8.959252750123
LIGHT_RUC,50,2,10.889226303922994,10.463928325673155,9.693995937082601,9.603051341650872
LIGHT_RUC,50,3,10.040278843732809,10.463928325673155,10.077569439573773,10.229512311960132
LIGHT_RUC,50,4,10.462279829363663,10.463928325673155,10.844716444556116,10.839102566560477
