cohort,target_window,stream,horizon,horizon_support_state,n,q10,q25,median,q75,q90,width50_pct,width80_pct,width50_boot_p05,width50_boot_p95,width80_boot_p05,width80_boot_p95
all_available,all_targets,HEAVY_RUC,1,H1-H12,42,-0.028717056807145487,-0.02034702608131054,-0.0032181620675495667,0.02373767709794541,0.041449283480979135,4.41630805045381,7.062893862314756,2.9010376820877255,5.334785908247917,5.5339113388142795,9.048200241199355
all_available,all_targets,HEAVY_RUC,2,H1-H12,41,-0.029686946717656426,-0.02258233991468085,-0.007854356558026843,0.016980528237339608,0.0462050223132804,3.945478435145233,7.653972431673428,2.5894611967709147,5.12026795341054,5.198251282098187,9.070359356421974
all_available,all_targets,HEAVY_RUC,3,H1-H12,40,-0.03971372286147908,-0.024983827933405103,-0.007087483209247422,0.02851608054499002,0.03918497931487292,5.360087146855386,7.889830689403987,3.5825946759207774,6.045312681266328,6.348173035149554,10.564993610740125
all_available,all_targets,HEAVY_RUC,4,H1-H12,39,-0.04045552417841896,-0.019378877121884137,-0.002612640580591577,0.02284452190630009,0.033662578802258786,4.229977013939601,7.388369883935775,3.2389322050282754,5.561723812423636,5.797490079657219,9.894986542808205
all_available,all_targets,HEAVY_RUC,5,H1-H12,38,-0.04126171912207272,-0.023047621562994766,-0.0008441924996777531,0.02496639420741253,0.04014381990324455,4.806471846166427,8.13825170815342,3.7788409836519157,6.325953884078379,6.6916959544016,11.374374326418824
all_available,all_targets,HEAVY_RUC,6,H1-H12,37,-0.043311084563450224,-0.025329759199361517,-0.0011655111293925955,0.02774080753342388,0.043311730192943446,5.314081891363287,8.664992757407974,3.7958587686653944,7.014731489931004,7.1822005593564775,9.991364579274238
all_available,all_targets,HEAVY_RUC,7,H1-H12,36,-0.05248962850854931,-0.026297303744836707,-0.004445951408396126,0.02540917524189531,0.043858986733131475,5.168928073585,9.597084676056122,3.6076256892932035,7.384657536196092,7.827855940455417,11.532172719053271
all_available,all_targets,HEAVY_RUC,8,H1-H12,35,-0.05255026244805352,-0.03263737924011932,-0.004742766583588645,0.02296885946569913,0.04746305786493366,5.534520219950389,9.980083209392198,3.6056685556696144,7.412360348621416,7.85412750572077,12.291432381635236
all_available,all_targets,HEAVY_RUC,9,H1-H12,34,-0.05407880877527311,-0.031167633030516805,-0.010055409544533989,0.017638586162927617,0.04418950963346004,4.848199412145249,9.782296439745297,3.5967547953556513,6.871751256768153,7.265347227039943,11.992664216908178
all_available,all_targets,HEAVY_RUC,10,H1-H12,33,-0.053335807053083384,-0.03597939443897948,-0.010681933943807448,0.015479777116645532,0.04591784630707213,5.094003884372311,9.892680020887546,3.0708996712284997,7.2123335448915356,7.144470475957348,12.600903058110926
all_available,all_targets,HEAVY_RUC,11,H1-H12,32,-0.05212906953212459,-0.03646611744141728,-0.0112939424083018,0.0157624677325435,0.042835245441185436,5.169658812607536,9.455957017361548,3.7514831703345815,7.141313104959302,7.177533905593158,11.407298977979853
all_available,all_targets,HEAVY_RUC,12,H1-H12,31,-0.05701441099217513,-0.039082259597591,-0.009436802479365392,0.013502333608283141,0.03060175008892911,5.192230260469977,8.649433973694908,3.8054561107504714,6.696337920793598,6.612228939698117,11.824439296874766
all_available,all_targets,HEAVY_RUC,13,H13-H20,30,-0.055112124560715264,-0.038034772343655376,-0.010916121765984894,0.015807020546877534,0.02680827209708905,5.325314667973913,8.079181689935954,3.2939060372060958,6.866752639192053,6.65239259565489,10.717943437974842
all_available,all_targets,HEAVY_RUC,14,H13-H20,29,-0.06229235889973803,-0.03424353688303706,-0.014198240561846466,0.00765690040397875,0.02198899641780664,4.135015194011061,8.262439236066388,2.9661423204054738,5.796318157144035,5.769886976107577,10.590651559409658
all_available,all_targets,HEAVY_RUC,15,H13-H20,28,-0.07507660884197986,-0.03446124863453117,-0.014041055242000937,0.009457503794403882,0.024845379357412347,4.337658964994951,9.74841822006245,3.035458147482606,6.916445899544099,6.333365030549687,11.290949687396418
all_available,all_targets,HEAVY_RUC,16,H13-H20,27,-0.06059525570438479,-0.038763083770115114,-0.027482826270673874,0.006533873445841594,0.023826172571099015,4.457667527133413,8.29081739245292,2.907021543199537,6.3705903239463,6.256416839750657,11.446974469197023
all_available,all_targets,HEAVY_RUC,17,H13-H20,26,-0.07807164253274065,-0.046602346989132966,-0.02459721980769232,0.00836919185903075,0.03024738512314583,5.393744269047063,10.58113224864642,3.076606906231294,7.57192404902206,7.363299158253595,13.310941116167385
all_available,all_targets,HEAVY_RUC,18,H13-H20,25,-0.06673642116957665,-0.05067139960591115,-0.03068823737199377,0.009887708338820531,0.03454787229635799,5.934576945248782,9.970985079049854,2.109819815915781,7.19082698903123,6.819754693221108,14.77177136772676
all_available,all_targets,HEAVY_RUC,19,H13-H20,24,-0.08907207884373436,-0.053702349836481734,-0.023869848059229974,0.004276912671899495,0.035408106593052074,5.657191991916999,12.126280334442452,3.280416423038612,8.18935185437233,6.910435443498219,16.249108352572385
all_available,all_targets,HEAVY_RUC,20,H13-H20,23,-0.07384413304521979,-0.06264764551719333,-0.020800696819981715,0.004724865944407554,0.03868881673119212,6.546167279954185,11.063052045853173,3.430918001500251,8.263068651180696,7.217550683349785,15.642964218440602
all_available,all_targets,LIGHT_RUC,1,H1-H12,30,-0.11966215921610157,-0.04445377482653569,0.0032834020163637597,0.05003869038968072,0.07913985484195395,9.479195688521337,19.513555893544943,4.780721998830472,12.124747100413591,12.093327259378643,40.83946796481218
all_available,all_targets,LIGHT_RUC,2,H1-H12,29,-0.15061437175275474,-0.07042969914296003,-0.017650783524053203,0.04007181258342962,0.11937798665361014,10.889226303922994,26.66164073971059,6.731073037682559,16.170008983909153,16.301002111554354,51.75655751076458
all_available,all_targets,LIGHT_RUC,3,H1-H12,28,-0.1428253260202164,-0.06560552288214291,-0.01808639865186487,0.03623839332096675,0.08747739357642824,10.040278843732809,22.45121096139736,6.496101993363923,15.958521755830837,15.493986889858691,41.56868824603798
all_available,all_targets,LIGHT_RUC,4,H1-H12,27,-0.15852128616337083,-0.07589028290157057,-0.02194158605538359,0.031053507929329094,0.09078777357365893,10.462279829363663,24.163178701169695,7.422904822879262,17.637515360479192,16.496907268419115,28.587811335535992
all_available,all_targets,LIGHT_RUC,5,H1-H12,26,-0.15293096028789072,-0.10129437585331494,-0.047252834804327314,0.01819639792838173,0.08771184512382495,11.469598513650991,23.348453677189042,6.18846049694464,17.451899348760346,16.409670807184728,39.391727573947065
all_available,all_targets,LIGHT_RUC,6,H1-H12,25,-0.14661683937113318,-0.08421884229149984,-0.05421403688677067,0.02686711390820859,0.09199252436961873,10.800122127470734,23.273180503459457,4.896615400244054,17.67510657796495,15.160724557729512,43.23309639478823
all_available,all_targets,LIGHT_RUC,7,H1-H12,24,-0.16725129631033117,-0.10878403712236945,-0.06690374117353981,0.019991347679755696,0.10045920068150244,12.326841406333555,25.96915386398213,5.037782435057547,19.371897062282216,17.04742036715764,47.67189833128811
all_available,all_targets,LIGHT_RUC,8,H1-H12,23,-0.1668902700419762,-0.12589268423243372,-0.07661518536196471,0.02820002791679512,0.12346978379396235,14.689194980863551,28.512334705252385,8.017555205728883,22.351805944469273,17.979231208170564,47.49114097901367
all_available,all_targets,LIGHT_RUC,9,H1-H12,22,-0.15277410762259164,-0.1174696587943594,-0.06486540531407217,-0.00356330737251673,0.11275703017856781,10.727554392243565,26.10363405533772,5.08357028158729,20.054660401833846,14.337729128863973,46.50361872517861
all_available,all_targets,LIGHT_RUC,10,H1-H12,21,-0.16865401541005962,-0.12164795694686924,-0.057752021601359664,0.001236868352417705,0.08457258344381055,11.57775998962327,24.345068942639557,3.5944188798185173,20.279179673769775,14.537769769577636,48.58009407761966
all_available,all_targets,LIGHT_RUC,11,H1-H12,20,-0.16955006678432505,-0.12640561162343386,-0.06805993782029135,0.022649736161527642,0.18914460263049815,14.165086297722084,36.41711561842238,6.918996801217558,29.81650956164704,17.351161233676038,47.02368865709512
all_available,all_targets,LIGHT_RUC,12,H1-H12,19,-0.1767525574824125,-0.1360803037490546,-0.07744455973005208,0.04441730420866946,0.16022731783385058,17.26459786565927,33.579054875106664,9.489733962561974,27.536632584689414,20.590359866573507,42.485432198145325
