engine,heavy_bev_transition,scenario_name,series_id,FY,chart_value,line_reconciliation_value,stack_component_value,formula_recomputed_value,sources_present,max_abs_residual,within_tolerance
ensemble,True,current_basecase,heavy_ruc_net_revenue,2029,1472.196286752585,1472.196286752585,1472.196286752585,,3,0.0,True
ensemble,True,current_basecase,heavy_ruc_net_revenue,2030,1547.701392172234,1547.701392172234,1547.701392172234,,3,0.0,True
ensemble,True,current_basecase,heavy_ruc_net_revenue,2031,1642.9965761252706,1642.9965761252706,1642.9965761252706,,3,0.0,True
ensemble,True,current_basecase,heavy_ruc_net_revenue,2032,1721.5892102800665,1721.5892102800665,1721.5892102800665,,3,0.0,True
ensemble,True,current_basecase,heavy_ruc_net_revenue,2033,1797.6105733778486,1797.6105733778486,1797.6105733778486,,3,0.0,True
ensemble,True,current_basecase,heavy_ruc_net_revenue,2034,1871.5468200920322,1871.5468200920322,1871.5468200920322,,3,0.0,True
ensemble,True,current_basecase,heavy_ruc_net_revenue,2035,1940.253012397905,1940.253012397905,1940.253012397905,,3,0.0,True
ensemble,True,current_basecase,heavy_ruc_net_revenue,2036,2002.4303233366143,2002.4303233366143,2002.4303233366143,,3,0.0,True
ensemble,True,current_basecase,heavy_ruc_net_revenue,2037,2057.522141874573,2057.522141874573,2057.522141874573,,3,0.0,True
ensemble,True,current_basecase,heavy_ruc_net_revenue,2038,2105.694670318528,2105.694670318528,2105.694670318528,,3,0.0,True
ensemble,True,current_basecase,heavy_ruc_net_revenue,2039,2146.0925826165585,2146.0925826165585,2146.0925826165585,,3,0.0,True
ensemble,True,current_basecase,heavy_ruc_net_revenue,2040,2179.062189343183,2179.062189343183,2179.062189343183,,3,0.0,True
ensemble,True,current_basecase,heavy_ruc_net_revenue,2041,2205.8577628150865,2205.8577628150865,2205.8577628150865,,3,0.0,True
ensemble,True,current_basecase,heavy_ruc_net_revenue,2042,2228.173770846697,2228.173770846697,2228.173770846697,,3,0.0,True
ensemble,True,current_basecase,heavy_ruc_net_revenue,2043,2247.291473223277,2247.291473223277,2247.291473223277,,3,0.0,True
ensemble,True,current_basecase,heavy_ruc_net_revenue,2044,2266.955205992829,2266.955205992829,2266.955205992829,,3,0.0,True
ensemble,True,current_basecase,heavy_ruc_net_revenue,2045,2291.301357214467,2291.301357214467,2291.301357214467,,3,0.0,True
ensemble,True,current_basecase,heavy_ruc_net_revenue,2046,2316.5156348776068,2316.5156348776068,2316.5156348776068,,3,0.0,True
ensemble,True,current_basecase,heavy_ruc_net_revenue,2047,2338.0031219579523,2338.0031219579523,2338.0031219579523,,3,0.0,True
ensemble,True,current_basecase,heavy_ruc_net_revenue,2048,2355.686816556099,2355.686816556099,2355.686816556099,,3,0.0,True
ensemble,True,current_basecase,heavy_ruc_net_revenue,2049,2369.4303265972812,2369.4303265972812,2369.4303265972812,,3,0.0,True
ensemble,True,current_basecase,heavy_ruc_net_revenue,2050,2380.597921237581,2380.597921237581,2380.597921237581,,3,0.0,True
ensemble,True,current_basecase,heavy_bev_ruc_net_revenue,2026,,1.5104257536409023,1.5104257536409023,,2,0.0,True
ensemble,True,current_basecase,heavy_bev_ruc_net_revenue,2027,,3.272812333120328,3.272812333120328,,2,0.0,True
ensemble,True,current_basecase,heavy_bev_ruc_net_revenue,2028,,26.66687704720016,26.66687704720016,,2,0.0,True
ensemble,True,current_basecase,heavy_bev_ruc_net_revenue,2029,,36.0552049976518,36.0552049976518,,2,0.0,True
ensemble,True,current_basecase,heavy_bev_ruc_net_revenue,2030,,47.081032254086495,47.081032254086495,,2,0.0,True
ensemble,True,current_basecase,heavy_bev_ruc_net_revenue,2031,,40.62231738114042,40.62231738114042,,2,0.0,True
ensemble,True,current_basecase,heavy_bev_ruc_net_revenue,2032,,50.23774636001053,50.23774636001053,,2,0.0,True
ensemble,True,current_basecase,heavy_bev_ruc_net_revenue,2033,,61.72640330168633,61.72640330168633,,2,0.0,True
ensemble,True,current_basecase,heavy_bev_ruc_net_revenue,2034,,74.50506210254844,74.50506210254844,,2,0.0,True
ensemble,True,current_basecase,heavy_bev_ruc_net_revenue,2035,,88.35859639470527,88.35859639470527,,2,0.0,True
ensemble,True,current_basecase,heavy_bev_ruc_net_revenue,2036,,104.12999339197631,104.12999339197631,,2,0.0,True
ensemble,True,current_basecase,heavy_bev_ruc_net_revenue,2037,,121.59694248234337,121.59694248234337,,2,0.0,True
ensemble,True,current_basecase,heavy_bev_ruc_net_revenue,2038,,140.87231348847945,140.87231348847945,,2,0.0,True
ensemble,True,current_basecase,heavy_bev_ruc_net_revenue,2039,,161.90543068375973,161.90543068375973,,2,0.0,True
ensemble,True,current_basecase,heavy_bev_ruc_net_revenue,2040,,184.41987383988817,184.41987383988817,,2,0.0,True
ensemble,True,current_basecase,heavy_bev_ruc_net_revenue,2041,,208.6562631032648,208.6562631032648,,2,0.0,True
ensemble,True,current_basecase,heavy_bev_ruc_net_revenue,2042,,241.5277901094778,241.5277901094778,,2,0.0,True
ensemble,True,current_basecase,heavy_bev_ruc_net_revenue,2043,,278.97024949525985,278.97024949525985,,2,0.0,True
ensemble,True,current_basecase,heavy_bev_ruc_net_revenue,2044,,322.301483756416,322.301483756416,,2,0.0,True
ensemble,True,current_basecase,heavy_bev_ruc_net_revenue,2045,,371.7051799044966,371.7051799044966,,2,0.0,True
ensemble,True,current_basecase,heavy_bev_ruc_net_revenue,2046,,427.32165167945277,427.32165167945277,,2,0.0,True
ensemble,True,current_basecase,heavy_bev_ruc_net_revenue,2047,,489.38807158215604,489.38807158215604,,2,0.0,True
ensemble,True,current_basecase,heavy_bev_ruc_net_revenue,2048,,557.9668173281243,557.9668173281243,,2,0.0,True
ensemble,True,current_basecase,heavy_bev_ruc_net_revenue,2049,,633.427291266431,633.427291266431,,2,0.0,True
ensemble,True,current_basecase,heavy_bev_ruc_net_revenue,2050,,714.8212622435603,714.8212622435603,,2,0.0,True
ensemble,True,current_basecase,gross_ruc_revenue,2026,,2173.6716139131636,2173.6716139131636,2173.6716139131636,3,0.0,True
ensemble,True,current_basecase,gross_ruc_revenue,2027,,2218.23712273619,2218.23712273619,2218.2371227361896,3,4.547473508864641e-13,True
ensemble,True,current_basecase,gross_ruc_revenue,2028,,2812.260006508895,2812.260006508895,2812.260006508895,3,0.0,True
ensemble,True,current_basecase,gross_ruc_revenue,2029,,3123.0613332427574,3123.0613332427574,3123.061333242758,3,4.547473508864641e-13,True
ensemble,True,current_basecase,gross_ruc_revenue,2030,,3407.6463794833126,3407.6463794833126,3407.646379483312,3,4.547473508864641e-13,True
ensemble,True,current_basecase,gross_ruc_revenue,2031,,3641.8346506350445,3641.8346506350445,3641.8346506350445,3,0.0,True
ensemble,True,current_basecase,gross_ruc_revenue,2032,,3883.9219307273975,3883.9219307273975,3883.9219307273975,3,0.0,True
ensemble,True,current_basecase,gross_ruc_revenue,2033,,4137.295705017747,4137.295705017747,4137.295705017747,3,0.0,True
ensemble,True,current_basecase,gross_ruc_revenue,2034,,4409.574245199917,4409.574245199917,4409.574245199917,3,0.0,True
ensemble,True,current_basecase,gross_ruc_revenue,2035,,4701.470306686689,4701.470306686689,4701.470306686688,3,9.094947017729282e-13,True
ensemble,True,current_basecase,gross_ruc_revenue,2036,,5013.314633169833,5013.314633169833,5013.314633169833,3,0.0,True
ensemble,True,current_basecase,gross_ruc_revenue,2037,,5347.887680665217,5347.887680665217,5347.887680665218,3,9.094947017729282e-13,True
ensemble,True,current_basecase,gross_ruc_revenue,2038,,5705.7459460499485,5705.7459460499485,5705.7459460499485,3,0.0,True
ensemble,True,current_basecase,gross_ruc_revenue,2039,,6096.866042931557,6096.866042931557,6096.866042931557,3,0.0,True
ensemble,True,current_basecase,gross_ruc_revenue,2040,,6522.370238419945,6522.370238419945,6522.370238419946,3,9.094947017729282e-13,True
ensemble,True,current_basecase,gross_ruc_revenue,2041,,6975.5053364324085,6975.5053364324085,6975.5053364324085,3,0.0,True
ensemble,True,current_basecase,gross_ruc_revenue,2042,,7461.131841934117,7461.131841934117,7461.131841934116,3,9.094947017729282e-13,True
ensemble,True,current_basecase,gross_ruc_revenue,2043,,7963.131339928719,7963.131339928719,7963.131339928718,3,9.094947017729282e-13,True
ensemble,True,current_basecase,gross_ruc_revenue,2044,,8463.107261423038,8463.107261423038,8463.107261423038,3,0.0,True
ensemble,True,current_basecase,gross_ruc_revenue,2045,,8977.542312020854,8977.542312020854,8977.542312020854,3,0.0,True
ensemble,True,current_basecase,gross_ruc_revenue,2046,,9528.27296169508,9528.27296169508,9528.27296169508,3,0.0,True
ensemble,True,current_basecase,gross_ruc_revenue,2047,,10094.057624432113,10094.057624432113,10094.057624432113,3,0.0,True
ensemble,True,current_basecase,gross_ruc_revenue,2048,,10691.311714571737,10691.311714571737,10691.311714571737,3,0.0,True
ensemble,True,current_basecase,gross_ruc_revenue,2049,,11276.300214358615,11276.300214358615,11276.300214358615,3,0.0,True
ensemble,True,current_basecase,gross_ruc_revenue,2050,,11827.729456002837,11827.729456002837,11827.729456002835,3,1.8189894035458565e-12,True
