engine,uptake_basis,FY,output_series_id,expression,observed,recomputed,residual,closes
ensemble,MoT VFM base,2030,gross_ruc_revenue,light_ruc_net_revenue + heavy_ruc_net_revenue + light_bev_ruc_net_revenue + heavy_bev_ruc_net_revenue + phev_ruc_net_revenue + ruc_refunds,3407.6463794833126,3407.646379483312,4.547473508864641e-13,True
ensemble,MoT VFM base,2030,ruc_revenue_net_admin,gross_ruc_revenue - ruc_admin_revenue,3365.0940225744434,3365.0940225744434,0.0,True
ensemble,MoT VFM base,2030,total_ruc_net_revenue,ruc_revenue_net_admin - ruc_refunds,3253.9373715651354,3253.9373715651354,0.0,True
ensemble,MoT VFM base,2030,gross_fed_revenue,gross_ped_revenue + gross_lpg_revenue + gross_cng_revenue,2866.359915761655,2866.359915761655,0.0,True
ensemble,MoT VFM base,2030,net_fed_revenue,gross_fed_revenue - fed_refunds,2763.882727300213,2763.882727300213,0.0,True
ensemble,MoT VFM base,2030,gross_mvr_revenue,mr1_revenue + mr2_revenue + coo_revenue,553.0031767675906,553.0031767675906,0.0,True
ensemble,MoT VFM base,2030,mvr_revenue_net_admin_coo,mr1_revenue + mr2_revenue - mvr_admin_revenue,481.8342315608644,481.8342315608644,0.0,True
ensemble,MoT VFM base,2030,net_mvr_revenue,mvr_revenue_net_admin_coo - mvr_refunds,479.8837182888595,479.8837182888595,0.0,True
ensemble,MoT VFM base,2030,total_gross_revenue,gross_ruc_revenue + gross_fed_revenue + gross_mvr_revenue + tuc_net_revenue,6844.567371705383,6844.567371705384,9.094947017729282e-13,True
ensemble,MoT VFM base,2030,total_admin_fees,ruc_admin_revenue + mvr_admin_revenue + coo_revenue,113.72130211559511,113.72130211559511,0.0,True
ensemble,MoT VFM base,2030,total_revenue_net_admin,total_gross_revenue - total_admin_fees,6730.846069589788,6730.846069589788,0.0,True
ensemble,MoT VFM base,2030,total_refunds,ruc_refunds + fed_refunds + mvr_refunds,215.58435274275493,215.5843527427549,2.842170943040401e-14,True
ensemble,MoT VFM base,2030,total_nltf_net_revenue,total_revenue_net_admin - total_refunds,6515.261716847033,6515.261716847033,0.0,True
ensemble,MoT VFM fast,2030,gross_ruc_revenue,light_ruc_net_revenue + heavy_ruc_net_revenue + light_bev_ruc_net_revenue + heavy_bev_ruc_net_revenue + phev_ruc_net_revenue + ruc_refunds,3390.287972977043,3390.2879729770425,4.547473508864641e-13,True
ensemble,MoT VFM fast,2030,ruc_revenue_net_admin,gross_ruc_revenue - ruc_admin_revenue,3347.735616068174,3347.735616068174,0.0,True
ensemble,MoT VFM fast,2030,total_ruc_net_revenue,ruc_revenue_net_admin - ruc_refunds,3236.578965058866,3236.578965058866,0.0,True
ensemble,MoT VFM fast,2030,gross_fed_revenue,gross_ped_revenue + gross_lpg_revenue + gross_cng_revenue,2866.359915761655,2866.359915761655,0.0,True
ensemble,MoT VFM fast,2030,net_fed_revenue,gross_fed_revenue - fed_refunds,2763.882727300213,2763.882727300213,0.0,True
ensemble,MoT VFM fast,2030,gross_mvr_revenue,mr1_revenue + mr2_revenue + coo_revenue,553.0031767675906,553.0031767675906,0.0,True
ensemble,MoT VFM fast,2030,mvr_revenue_net_admin_coo,mr1_revenue + mr2_revenue - mvr_admin_revenue,481.8342315608644,481.8342315608644,0.0,True
ensemble,MoT VFM fast,2030,net_mvr_revenue,mvr_revenue_net_admin_coo - mvr_refunds,479.8837182888595,479.8837182888595,0.0,True
ensemble,MoT VFM fast,2030,total_gross_revenue,gross_ruc_revenue + gross_fed_revenue + gross_mvr_revenue + tuc_net_revenue,6827.208965199114,6827.208965199115,9.094947017729282e-13,True
ensemble,MoT VFM fast,2030,total_admin_fees,ruc_admin_revenue + mvr_admin_revenue + coo_revenue,113.72130211559511,113.72130211559511,0.0,True
ensemble,MoT VFM fast,2030,total_revenue_net_admin,total_gross_revenue - total_admin_fees,6713.487663083519,6713.487663083519,0.0,True
ensemble,MoT VFM fast,2030,total_refunds,ruc_refunds + fed_refunds + mvr_refunds,215.58435274275493,215.5843527427549,2.842170943040401e-14,True
ensemble,MoT VFM fast,2030,total_nltf_net_revenue,total_revenue_net_admin - total_refunds,6497.903310340764,6497.903310340764,0.0,True
ensemble,MoT VFM slow,2030,gross_ruc_revenue,light_ruc_net_revenue + heavy_ruc_net_revenue + light_bev_ruc_net_revenue + heavy_bev_ruc_net_revenue + phev_ruc_net_revenue + ruc_refunds,3421.7949836510675,3421.794983651068,4.547473508864641e-13,True
ensemble,MoT VFM slow,2030,ruc_revenue_net_admin,gross_ruc_revenue - ruc_admin_revenue,3379.2426267421984,3379.2426267421984,0.0,True
ensemble,MoT VFM slow,2030,total_ruc_net_revenue,ruc_revenue_net_admin - ruc_refunds,3268.0859757328903,3268.0859757328903,0.0,True
ensemble,MoT VFM slow,2030,gross_fed_revenue,gross_ped_revenue + gross_lpg_revenue + gross_cng_revenue,2866.359915761655,2866.359915761655,0.0,True
ensemble,MoT VFM slow,2030,net_fed_revenue,gross_fed_revenue - fed_refunds,2763.882727300213,2763.882727300213,0.0,True
ensemble,MoT VFM slow,2030,gross_mvr_revenue,mr1_revenue + mr2_revenue + coo_revenue,553.0031767675906,553.0031767675906,0.0,True
ensemble,MoT VFM slow,2030,mvr_revenue_net_admin_coo,mr1_revenue + mr2_revenue - mvr_admin_revenue,481.8342315608644,481.8342315608644,0.0,True
ensemble,MoT VFM slow,2030,net_mvr_revenue,mvr_revenue_net_admin_coo - mvr_refunds,479.8837182888595,479.8837182888595,0.0,True
ensemble,MoT VFM slow,2030,total_gross_revenue,gross_ruc_revenue + gross_fed_revenue + gross_mvr_revenue + tuc_net_revenue,6858.715975873138,6858.715975873139,9.094947017729282e-13,True
ensemble,MoT VFM slow,2030,total_admin_fees,ruc_admin_revenue + mvr_admin_revenue + coo_revenue,113.72130211559511,113.72130211559511,0.0,True
ensemble,MoT VFM slow,2030,total_revenue_net_admin,total_gross_revenue - total_admin_fees,6744.994673757543,6744.994673757543,0.0,True
ensemble,MoT VFM slow,2030,total_refunds,ruc_refunds + fed_refunds + mvr_refunds,215.58435274275493,215.5843527427549,2.842170943040401e-14,True
ensemble,MoT VFM slow,2030,total_nltf_net_revenue,total_revenue_net_admin - total_refunds,6529.410321014788,6529.410321014788,0.0,True
