cohort,target_window,stream,bucket,bucket_mid_horizon,horizon_support_state,n,q10,q25,median,q75,q90,width50_pct,width80_pct,width50_boot_p05,width50_boot_p95,width80_boot_p05,width80_boot_p95
all_available,all_targets,HEAVY_RUC,H1-H4,2.5,H1-H12,162,-0.036327578147927,-0.022027989928373057,-0.005809798557860232,0.023568292550779718,0.041449283480979135,4.563536500537014,7.799594750048011,3.7575130034180817,4.986664504894156,6.697654900693858,9.047997330302612
all_available,all_targets,HEAVY_RUC,H5-H8,6.5,H1-H12,146,-0.04816954627532424,-0.02739757679481341,-0.0033051987199314526,0.02496639420741253,0.043445881146241094,5.230633197627732,9.143127037123378,4.648897517519373,6.343742822231377,8.419771160933347,10.408999063513003
all_available,all_targets,HEAVY_RUC,H9-H12,10.5,H1-H12,130,-0.05460972257290204,-0.03601432354646801,-0.010059368211586421,0.015790721009315483,0.04382107234300521,5.128957675889422,9.794078353686542,4.507105534974056,6.3270867151070975,8.40466924735562,10.730405056257581
all_available,all_targets,HEAVY_RUC,H13-H16,14.5,H13-H20,114,-0.062429279590520685,-0.036111771946480895,-0.015127574908709748,0.009731074509584159,0.025823789934320433,4.5246095582992645,8.668061196132026,3.827103248667693,5.821979982704275,7.794046993084512,10.234608322156845
all_available,all_targets,HEAVY_RUC,H17-H20,18.5,H13-H20,98,-0.07959097731465432,-0.05454573989551432,-0.026236087861772624,0.007128254406640575,0.042633936315013166,6.023852482149561,12.006181789207094,4.653261944166434,6.820414143601197,9.047847704380606,14.068346533722675
all_available,all_targets,LIGHT_RUC,H1-H4,2.5,H1-H12,114,-0.16091722661608812,-0.060679209930155395,-0.01338972388244712,0.03735845552850918,0.08987099378687641,9.693995937082601,24.26705991799951,8.411284018688313,13.019111132977066,20.42714538567137,34.475559920762485
all_available,all_targets,LIGHT_RUC,H5-H8,6.5,H1-H12,98,-0.16070466672086076,-0.10647086657541063,-0.05551672086358088,0.026278747510246538,0.10458454811265681,12.762583957011975,25.87057362622821,9.187641740281327,16.342961317498677,22.575712872920725,42.11536228533279
all_available,all_targets,LIGHT_RUC,H9-H12,10.5,H1-H12,82,-0.16923371423252456,-0.12510621287047882,-0.06486540531407217,0.017091401191689105,0.1608052385887481,13.483511983565077,33.01446550906522,10.225669412220096,18.325485436603866,22.965093126626886,45.00482073798502
all_available,all_targets,LIGHT_RUC,H13-H16,14.5,H13-H20,66,-0.2557734091376679,-0.17724687919707602,-0.04818760730357703,0.029213489804433446,0.1711220399185066,19.207140994023252,41.23181549284606,15.662229596663238,21.58223430155616,27.55742159698412,44.69702233629177
all_available,all_targets,LIGHT_RUC,H17-H20,18.5,H13-H20,50,-0.3618459007545183,-0.20319440650359205,-0.08197960670441046,-0.012218356552084902,0.05043784222772455,17.173641743230593,35.53418153400201,14.154314928522952,22.228753510167188,24.517522595373453,44.60371130644386
all_available,all_targets,PED,H1-H4,2.5,H1-H12,218,-0.027013017174108585,-0.004450441188701343,0.001459547704136361,0.009499570798553196,0.023148355687088215,1.3985387587866271,5.006978702501819,1.1842797785802694,1.972761503108933,3.98966691950894,6.57428596267613
all_available,all_targets,PED,H5-H8,6.5,H1-H12,202,-0.07521993217833836,-0.014091383723408736,0.005184162915486394,0.015233070843227774,0.026735076914499976,2.9342250332357267,9.955619724599686,2.072524041517521,4.677307466786515,8.488301184791846,11.806827267699987
all_available,all_targets,PED,H9-H12,10.5,H1-H12,186,-0.10433178005701904,-0.033024719083012674,0.010173486909697806,0.021346709553238773,0.02884670078270172,5.4061537246529845,12.834045814828954,3.3146120133622685,9.108982060719265,12.505433796921734,13.330114762112743
all_available,all_targets,PED,H13-H16,14.5,H13-H20,170,-0.10539194052181633,-0.0848919416776745,0.006571160123427291,0.021216558714607772,0.02783275209069705,10.283168745987103,12.825198370875013,8.326010551715507,11.463912361294797,12.647534545225005,13.564487273163174
all_available,all_targets,PED,H17-H20,18.5,H13-H20,154,-0.10308916734519045,-0.09059001649852069,-0.021121816367760088,0.019047054006478256,0.029244561965711072,10.583749648485362,12.76298465647625,9.944119306450782,10.945211811566384,12.224203666300038,13.498088819010903
all_available,excl_2020_2021,HEAVY_RUC,H1-H4,2.5,H1-H12,130,-0.02978900716928007,-0.020014398406791117,-0.00607946541245705,0.023773756100088334,0.041771787094261305,4.3874044558175225,7.200619172553924,3.6007886968143055,5.023058320467011,6.264600860464248,8.102907463829045
all_available,excl_2020_2021,HEAVY_RUC,H5-H8,6.5,H1-H12,114,-0.040804420617483635,-0.023418921211996065,-0.001344667460137127,0.03425230888212614,0.048610134150044296,5.799250101769193,8.979411439939033,4.79958898425075,6.363275714056103,8.013189093715456,9.708702713389401
all_available,excl_2020_2021,HEAVY_RUC,H9-H12,10.5,H1-H12,98,-0.0422621276261042,-0.03434460432900064,-0.005921524594026792,0.028239761239867288,0.04885734191860451,6.240380610970697,9.145207175324943,4.9539035688887125,6.947350405317986,8.069216874568811,10.890056172927821
all_available,excl_2020_2021,HEAVY_RUC,H13-H16,14.5,H13-H20,82,-0.05458691827344345,-0.034217140634520464,-0.016422733582925203,0.0049568199376803885,0.024503976430453243,3.8607479820055968,7.793046173538909,3.3011638249188997,5.217682194448327,6.933394398016509,8.62139618134149
all_available,excl_2020_2021,HEAVY_RUC,H17-H20,18.5,H13-H20,67,-0.07665872006547676,-0.056311425613535485,-0.03068823737199377,-0.006765285847049417,0.009990980186004118,4.801283054747174,8.383516149925875,3.3867574288259483,5.788621157013507,7.091593508999061,9.967606335340651
all_available,excl_2020_2021,LIGHT_RUC,H1-H4,2.5,H1-H12,82,-0.19353454145766114,-0.048549940123072656,0.006617681293208059,0.06974951107191674,0.13570521396917662,11.962979880481262,32.13028402378124,8.65882131810656,13.998156828571943,21.241029186920393,43.76785290618792
all_available,excl_2020_2021,LIGHT_RUC,H5-H8,6.5,H1-H12,67,-0.1963185661995859,-0.09479636759874113,-0.032323863783933794,0.07343878193705927,0.22442728375816462,16.66445204956747,42.98552849055801,11.41278810341285,19.36048211975124,24.874771989971347,48.77090928442531
all_available,excl_2020_2021,LIGHT_RUC,H9-H12,10.5,H1-H12,64,-0.14553525415673618,-0.11502186513700591,-0.04686541876892315,0.05707549244898614,0.20882383572686436,16.738907965498907,36.76684946518134,11.9414673636766,20.531587345611314,23.287076453448773,44.64255107796626
all_available,excl_2020_2021,LIGHT_RUC,H13-H16,14.5,H13-H20,63,-0.25850203966633867,-0.16176356361433025,-0.03247418316319879,0.03247424145246285,0.17116722481237046,18.236498047655136,41.44817203030923,15.166718487321532,22.261658134799227,27.519896741513413,45.081157511903356
all_available,excl_2020_2021,LIGHT_RUC,H17-H20,18.5,H13-H20,50,-0.3618459007545183,-0.20319440650359205,-0.08197960670441046,-0.012218356552084902,0.05043784222772455,17.173641743230593,35.53418153400201,14.154314928522952,22.228753510167188,24.517522595373453,44.60371130644386
all_available,excl_2020_2021,PED,H1-H4,2.5,H1-H12,186,-0.013668548564285607,-0.0021132168862001057,0.003008880260280531,0.00971476853717277,0.020036320112625045,1.1873095696287361,3.3813952645221357,1.0201055411584314,1.4055055084333683,2.7119913266776168,4.47865562444018
all_available,excl_2020_2021,PED,H5-H8,6.5,H1-H12,170,-0.017734974160082195,-0.0010680882326384584,0.008916866572999211,0.017297013093501054,0.02983385038089262,1.851499070247753,4.78619736408743,1.5697942143891148,2.163046217149412,3.744309855571859,5.929057145144472
all_available,excl_2020_2021,PED,H9-H12,10.5,H1-H12,154,-0.031106574204662903,-0.0012725910593291442,0.014516943042690553,0.02433773777487187,0.03099489965565391,2.590809950745665,6.210798547531004,1.9559049046747312,3.178226785017122,4.368620440841209,8.41656623625102
all_available,excl_2020_2021,PED,H13-H16,14.5,H13-H20,138,-0.0753731634791831,-0.011024461192981196,0.015034724570417182,0.02377235281451369,0.028918500481146962,3.502108214472177,10.194334935673321,2.494330382290615,5.509930677203309,8.993349396438617,11.312246590974906
all_available,excl_2020_2021,PED,H17-H20,18.5,H13-H20,122,-0.08649466990746715,-0.06619232924830652,0.004596285720234303,0.022739588124975164,0.029679064921787575,8.704926722301087,11.298344079437816,7.3030322346314795,9.908696807965795,11.04256228002212,12.520699957893425
balanced_h20,all_targets,HEAVY_RUC,H1-H4,2.5,H1-H12,92,-0.032880068127071706,-0.02053081428120985,0.00382732896134201,0.023552596062215776,0.049433417823253924,4.415364094955498,8.302102835585012,3.742314925972412,5.27117007385516,6.862581642144238,9.192883734630081
balanced_h20,all_targets,HEAVY_RUC,H5-H8,6.5,H1-H12,92,-0.043855522715048056,-0.02369183115363242,0.00563454219508059,0.03656190725033347,0.05139472131018762,6.065189765301615,9.564612397300099,4.527673427993016,6.642262475457824,8.30800760947534,11.459465188763346
balanced_h20,all_targets,HEAVY_RUC,H9-H12,10.5,H1-H12,92,-0.05589932153110647,-0.031171178509954788,9.275590159536145e-05,0.028891827895721575,0.04997668653898475,6.000361157808154,10.561225177888945,4.641886969203018,7.153748478444959,9.056841275915202,12.307287330703055
balanced_h20,all_targets,HEAVY_RUC,H13-H16,14.5,H13-H20,92,-0.07152513329348285,-0.043113230916978496,-0.01463625140887742,0.016024060681683005,0.02712832063124873,5.8350203426548735,9.652676482101018,4.705225130286816,6.961250545214048,8.366393257809731,10.897065307814364
balanced_h20,all_targets,HEAVY_RUC,H17-H20,18.5,H13-H20,92,-0.08198907672308682,-0.05513983618765151,-0.026236087861772624,0.008572314433021887,0.04343329226873031,6.225635760243565,12.310830101920622,5.016023544415589,7.109751536069335,9.141931647082327,14.342811203270227
balanced_h20,all_targets,LIGHT_RUC,H1-H4,2.5,H1-H12,44,-0.07658616983229986,-0.05724445388603003,-0.021458597105926326,0.006335918293167446,0.01826034460439202,6.199284478544687,9.215499008263173,4.414965104003707,7.108610017440775,7.61180490753557,15.01859932320902
balanced_h20,all_targets,LIGHT_RUC,H5-H8,6.5,H1-H12,44,-0.15116859988942788,-0.11126858167965584,-0.07532305599013478,-0.027526732351710673,0.026224582544745453,7.815025862041491,16.686873196772567,4.16196832896866,10.395622235585012,11.721792900936169,21.336375415003182
balanced_h20,all_targets,LIGHT_RUC,H9-H12,10.5,H1-H12,44,-0.1901461078964704,-0.14796836873161054,-0.08415724991244272,0.023555443360548534,0.23420709463766295,16.137666886607693,43.70678957954417,7.176748846469527,32.30607726970574,31.421491002033033,48.19408696602288
balanced_h20,all_targets,LIGHT_RUC,H13-H16,14.5,H13-H20,44,-0.2859695117849725,-0.19756721423944196,-0.13941669910861584,0.04507080107910913,0.17278468343099376,22.537694806297594,43.73246291177164,7.030821026102208,36.31513969859414,36.08141354422292,47.63177189054562
balanced_h20,all_targets,LIGHT_RUC,H17-H20,18.5,H13-H20,44,-0.3629338311561972,-0.21216078869172794,-0.11346474113406677,-0.02575325126031583,0.05756620694154406,16.574089958009996,36.36229372215299,13.447311894315073,26.030553598673425,26.445859975852905,48.953225977844056
balanced_h20,all_targets,PED,H1-H4,2.5,H1-H12,148,-0.04191613733988079,-0.009874779150385407,0.0007141450751066835,0.005437803755142291,0.00985685522516798,1.5278799052545255,5.0955396713192265,0.8628892526304943,2.0931819974362775,3.4302597231273317,6.7103523880310405
balanced_h20,all_targets,PED,H5-H8,6.5,H1-H12,148,-0.09268759228197468,-0.037446883899164424,-0.0003868338536825311,0.01084780900848119,0.015438255828415242,4.76612796080329,10.407983268400967,2.950853392502726,6.180802627790905,8.59322964609894,11.249195027128252
balanced_h20,all_targets,PED,H9-H12,10.5,H1-H12,148,-0.10661509874501213,-0.07277159282406616,0.001159239952101395,0.01598645800783354,0.022357600766978503,8.630174331603502,12.37378217851508,4.944275199648917,11.105892000939374,11.92267729612172,12.787461299795252
balanced_h20,all_targets,PED,H13-H16,14.5,H13-H20,148,-0.1090505873462433,-0.09568849649946845,-0.0016304903638453896,0.01856743294385128,0.027257453886794375,10.999382967940674,13.094728121515399,9.132486508601978,11.471434767642814,12.52698677073996,13.553884872584597
balanced_h20,all_targets,PED,H17-H20,18.5,H13-H20,148,-0.10374347060398785,-0.09118996669154547,-0.03950800823485395,0.01825677272125536,0.028274715659612305,10.558016201712094,12.722172177103186,9.627405659349751,10.83239835312694,12.172071611348594,13.477421072778817
balanced_h20,excl_2020_2021,HEAVY_RUC,H1-H4,2.5,H1-H12,66,-0.023197811934692177,-0.019053952903360174,0.005333096021760524,0.022874139194885696,0.04897272541031088,4.201133230558107,7.312251809218074,3.4569858946275263,5.857001777744059,6.239651301780265,7.707709195020165
balanced_h20,excl_2020_2021,HEAVY_RUC,H5-H8,6.5,H1-H12,60,-0.02446949651831231,-0.005942248621915102,0.027691400600984087,0.04321541380060239,0.056059945857041896,5.008742608398709,8.18336296371297,4.415446114779686,6.1371224795083545,7.072278661678094,9.913335336119456
balanced_h20,excl_2020_2021,HEAVY_RUC,H9-H12,10.5,H1-H12,60,-0.035984527706986784,-0.012195784091474574,0.01751752224042572,0.03640001166610174,0.0607044055408603,4.91923207964462,9.792955479307308,3.784986211359324,6.476535230376312,7.948907016288841,12.138043503095053
balanced_h20,excl_2020_2021,HEAVY_RUC,H13-H16,14.5,H13-H20,60,-0.059465706727435695,-0.04200288010028304,-0.014041055242000937,0.016151982465828385,0.026532826656097346,5.741611195017193,8.462010952093124,3.996671921036188,6.888982104476553,7.604628092563381,9.171837084304292
balanced_h20,excl_2020_2021,HEAVY_RUC,H17-H20,18.5,H13-H20,61,-0.07839192761043808,-0.06051123217223596,-0.032729828290133406,-0.009302037030198513,0.010145887956779499,4.945789677598366,8.559555351096416,3.3237513125102813,6.197132211903041,7.312920249049693,10.146606921871927
balanced_h20,excl_2020_2021,LIGHT_RUC,H1-H4,2.5,H1-H12,18,-0.04904198509400281,-0.025142298235699273,-0.018178889389848976,0.004837435510764339,0.007618174740433043,2.9678017768848264,5.55061137395051,1.1864085321939943,5.176715336899272,3.2692990613664374,6.3372777604187025
