engine,official_vintage,rows_live,rows_committed,row_count_matches,value_sum_live,value_sum_committed,unchanged
ensemble,BEFU26,510,510,True,2484313.576692,2484313.576692,True
ensemble,MBU26,510,510,True,2485039.35033,2485039.35033,True
ar1,BEFU26,510,510,True,2484313.576692,2484313.576692,True
ar1,MBU26,510,510,True,2485039.35033,2485039.35033,True
