scenario_name,stream,target_period,forecast_ubuntu,forecast_windows,abs_diff,rel_diff
current_basecase,HEAVY_RUC,2026Q1,1020118066.0540425,1020118066.0540425,0.0,0.0
current_basecase,HEAVY_RUC,2026Q2,979278761.5509194,979278761.5509194,0.0,0.0
current_basecase,HEAVY_RUC,2026Q3,996003769.4329696,996003769.4329696,0.0,0.0
current_basecase,HEAVY_RUC,2026Q4,1066976562.4183544,1066976562.4183544,0.0,0.0
current_basecase,HEAVY_RUC,2027Q1,1036268355.7111793,1036268355.7111793,0.0,0.0
current_basecase,HEAVY_RUC,2027Q2,1005260589.0806524,1005260589.0806524,0.0,0.0
current_basecase,HEAVY_RUC,2027Q3,1018601238.7188908,1018601238.7188908,0.0,0.0
current_basecase,HEAVY_RUC,2027Q4,1075577977.4925585,1075577977.4925585,0.0,0.0
current_basecase,HEAVY_RUC,2028Q1,1042860964.6755722,1042860964.6755722,0.0,0.0
current_basecase,HEAVY_RUC,2028Q2,1015635153.9382644,1015635153.9382644,0.0,0.0
current_basecase,HEAVY_RUC,2028Q3,1028556898.875216,1028556898.875216,0.0,0.0
current_basecase,HEAVY_RUC,2028Q4,1085782912.5707552,1085782912.5707552,0.0,0.0
current_basecase,HEAVY_RUC,2029Q1,1053019300.439248,1053019300.439248,0.0,0.0
current_basecase,HEAVY_RUC,2029Q2,1025362276.610727,1025362276.610727,0.0,0.0
current_basecase,HEAVY_RUC,2029Q3,1038307261.419084,1038307261.419084,0.0,0.0
current_basecase,HEAVY_RUC,2029Q4,1095786276.7631705,1095786276.7631705,0.0,0.0
current_basecase,HEAVY_RUC,2030Q1,1062270368.4960124,1062270368.4960124,0.0,0.0
current_basecase,HEAVY_RUC,2030Q2,1034048365.7262154,1034048365.7262154,0.0,0.0
current_basecase,HEAVY_RUC,2030Q3,1046858437.7971385,1046858437.7971385,0.0,0.0
current_basecase,HEAVY_RUC,2030Q4,1104066203.7910948,1104066203.7910948,0.0,0.0
current_basecase,HEAVY_RUC,2031Q1,1070406868.478556,1070406868.478556,0.0,0.0
current_basecase,HEAVY_RUC,2031Q2,1042306485.6981162,1042306485.6981162,0.0,0.0
current_basecase,HEAVY_RUC,2031Q3,1054210254.5335568,1054210254.5335568,0.0,0.0
current_basecase,HEAVY_RUC,2031Q4,1112411473.7939482,1112411473.7939482,0.0,0.0
current_basecase,HEAVY_RUC,2032Q1,1077456465.6579063,1077456465.6579063,0.0,0.0
current_basecase,HEAVY_RUC,2032Q2,1048327343.7268908,1048327343.7268908,0.0,0.0
current_basecase,HEAVY_RUC,2032Q3,1060918292.9164244,1060918292.9164244,0.0,0.0
current_basecase,HEAVY_RUC,2032Q4,1119178334.675566,1119178334.6755662,2.384185791015625e-07,2.13030016499271e-16
current_basecase,HEAVY_RUC,2033Q1,1084436007.7982154,1084436007.7982154,0.0,0.0
current_basecase,HEAVY_RUC,2033Q2,1055167682.3730538,1055167682.3730538,0.0,0.0
current_basecase,HEAVY_RUC,2033Q3,1068024468.9928508,1068024468.9928508,0.0,0.0
current_basecase,HEAVY_RUC,2033Q4,1126316803.1163278,1126316803.1163278,0.0,0.0
current_basecase,HEAVY_RUC,2034Q1,1092012096.3713849,1092012096.3713849,0.0,0.0
current_basecase,HEAVY_RUC,2034Q2,1062584153.2553264,1062584153.2553264,0.0,0.0
current_basecase,HEAVY_RUC,2034Q3,1075283248.9590888,1075283248.9590888,0.0,0.0
current_basecase,HEAVY_RUC,2034Q4,1133805624.126846,1133805624.126846,0.0,0.0
current_basecase,HEAVY_RUC,2035Q1,1099015122.5568385,1099015122.5568385,0.0,0.0
