source_release,FY,period,period_status,output_series_id,output_label,row_role,formula,source_rows,source_cells,observed_value,calculated_value,residual,residual_abs,status,missing_inputs,source_kind
MBU26,2001,FY2001,ACTUAL,gross_fed_revenue,Gross FED revenue,aggregate,gross_ped_revenue + gross_lpg_revenue + gross_cng_revenue,45; 46; 47,C45; C46; C47,989.5585841,989.5585841000001,-1.1368683772161603e-13,1.1368683772161603e-13,reconciled,,mbu26_source_formula_assertion
MBU26,2001,FY2001,ACTUAL,gross_mvr_revenue,Gross MVR revenue,aggregate,mr1_revenue + mr2_revenue + coo_revenue,53; 54; 55,C53; C54; C55,180.74,180.74,0.0,0.0,reconciled,,mbu26_source_formula_assertion
MBU26,2001,FY2001,ACTUAL,gross_ruc_revenue,Gross RUC revenue,aggregate,light_ruc_net_revenue + heavy_ruc_net_revenue + light_bev_ruc_net_revenue + heavy_bev_ruc_net_revenue + phev_ruc_net_revenue + ruc_refunds,33; 34; 35; 36; 37; 38,C33; C34; C35; C36; C37; C38,556.677429315556,556.6774293155554,5.684341886080801e-13,5.684341886080801e-13,reconciled,,mbu26_source_formula_assertion
MBU26,2001,FY2001,ACTUAL,mvr_revenue_net_admin_coo,MVR revenues net of admin fees and COO,aggregate,mr1_revenue + mr2_revenue - mvr_admin_revenue,53; 54; 57,C53; C54; C57,148.312,148.31199999999998,2.842170943040401e-14,2.842170943040401e-14,reconciled,,mbu26_source_formula_assertion
MBU26,2001,FY2001,ACTUAL,net_fed_revenue,Net FED revenue,aggregate,gross_fed_revenue - fed_refunds,48; 49,C48; C49,970.466139655556,970.4661396555556,4.547473508864641e-13,4.547473508864641e-13,reconciled,,mbu26_source_formula_assertion
MBU26,2001,FY2001,ACTUAL,net_mvr_revenue,Net MVR revenue,aggregate,mvr_revenue_net_admin_coo - mvr_refunds,58; 59,C58; C59,147.893,147.893,0.0,0.0,reconciled,,mbu26_source_formula_assertion
MBU26,2001,FY2001,ACTUAL,ruc_revenue_net_admin,RUC revenues net of admin fees,aggregate,gross_ruc_revenue - ruc_admin_revenue,39; 40,C39; C40,546.121429315556,546.1214293155559,1.1368683772161603e-13,1.1368683772161603e-13,reconciled,,mbu26_source_formula_assertion
MBU26,2001,FY2001,ACTUAL,total_admin_fees,Total admin fees,aggregate,ruc_admin_revenue + mvr_admin_revenue + coo_revenue,40; 57; 55,C40; C57; C55,42.984,42.984,0.0,0.0,reconciled,,mbu26_source_formula_assertion
MBU26,2001,FY2001,ACTUAL,total_fed_ruc_net_revenue,Total RUC+PED revenue,aggregate,net_fed_revenue + total_ruc_net_revenue,50; 42,C50; C42,1493.231124526667,1493.231124526667,0.0,0.0,reconciled,,derived_dashboard_subtotal
MBU26,2001,FY2001,ACTUAL,total_gross_revenue,Total gross revenues,aggregate,gross_ruc_revenue + gross_fed_revenue + gross_mvr_revenue + tuc_net_revenue,39; 48; 56; 63,C39; C48; C56; C63,1726.97601341556,1726.9760134155558,4.092726157978177e-12,4.092726157978177e-12,reconciled,,mbu26_source_formula_assertion
MBU26,2001,FY2001,ACTUAL,total_nltf_net_revenue,Total NLTF revenue,aggregate,total_revenue_net_admin - total_refunds,68; 69,C68; C69,1641.12412452667,1641.124124526671,-1.1368683772161603e-12,1.1368683772161603e-12,reconciled,,mbu26_source_formula_assertion
MBU26,2001,FY2001,ACTUAL,total_refunds,Total refunds,aggregate,ruc_refunds + fed_refunds + mvr_refunds,38; 49; 59,C38; C49; C59,42.8678888888889,42.8678888888888,9.947598300641403e-14,9.947598300641403e-14,reconciled,,mbu26_source_formula_assertion
MBU26,2001,FY2001,ACTUAL,total_revenue_net_admin,Total revenues net of admin fees,aggregate,total_gross_revenue - total_admin_fees,66; 67,C66; C67,1683.99201341556,1683.99201341556,0.0,0.0,reconciled,,mbu26_source_formula_assertion
MBU26,2001,FY2001,ACTUAL,total_ruc_net_revenue,Total RUC all classes,aggregate,ruc_revenue_net_admin - ruc_refunds,41; 38,C41; C38,522.764984871111,522.7649848711117,-6.821210263296962e-13,6.821210263296962e-13,reconciled,,mbu26_source_formula_assertion
MBU26,2002,FY2002,ACTUAL,gross_fed_revenue,Gross FED revenue,aggregate,gross_ped_revenue + gross_lpg_revenue + gross_cng_revenue,45; 46; 47,D45; D46; D47,986.296323,986.2963229999999,1.1368683772161603e-13,1.1368683772161603e-13,reconciled,,mbu26_source_formula_assertion
MBU26,2002,FY2002,ACTUAL,gross_mvr_revenue,Gross MVR revenue,aggregate,mr1_revenue + mr2_revenue + coo_revenue,53; 54; 55,D53; D54; D55,188.061,188.061,0.0,0.0,reconciled,,mbu26_source_formula_assertion
MBU26,2002,FY2002,ACTUAL,gross_ruc_revenue,Gross RUC revenue,aggregate,light_ruc_net_revenue + heavy_ruc_net_revenue + light_bev_ruc_net_revenue + heavy_bev_ruc_net_revenue + phev_ruc_net_revenue + ruc_refunds,33; 34; 35; 36; 37; 38,D33; D34; D35; D36; D37; D38,602.615295022222,602.6152950222228,-7.958078640513122e-13,7.958078640513122e-13,reconciled,,mbu26_source_formula_assertion
MBU26,2002,FY2002,ACTUAL,mvr_revenue_net_admin_coo,MVR revenues net of admin fees and COO,aggregate,mr1_revenue + mr2_revenue - mvr_admin_revenue,53; 54; 57,D53; D54; D57,153.816,153.816,0.0,0.0,reconciled,,mbu26_source_formula_assertion
MBU26,2002,FY2002,ACTUAL,net_fed_revenue,Net FED revenue,aggregate,gross_fed_revenue - fed_refunds,48; 49,D48; D49,963.881211888889,963.881211888889,0.0,0.0,reconciled,,mbu26_source_formula_assertion
MBU26,2002,FY2002,ACTUAL,net_mvr_revenue,Net MVR revenue,aggregate,mvr_revenue_net_admin_coo - mvr_refunds,58; 59,D58; D59,153.242,153.242,0.0,0.0,reconciled,,mbu26_source_formula_assertion
MBU26,2002,FY2002,ACTUAL,ruc_revenue_net_admin,RUC revenues net of admin fees,aggregate,gross_ruc_revenue - ruc_admin_revenue,39; 40,D39; D40,591.476295022222,591.476295022222,0.0,0.0,reconciled,,mbu26_source_formula_assertion
MBU26,2002,FY2002,ACTUAL,total_admin_fees,Total admin fees,aggregate,ruc_admin_revenue + mvr_admin_revenue + coo_revenue,40; 57; 55,D40; D57; D55,45.384,45.384,0.0,0.0,reconciled,,mbu26_source_formula_assertion
MBU26,2002,FY2002,ACTUAL,total_fed_ruc_net_revenue,Total RUC+PED revenue,aggregate,net_fed_revenue + total_ruc_net_revenue,50; 42,D50; D42,1529.6268402444439,1529.6268402444439,0.0,0.0,reconciled,,derived_dashboard_subtotal
MBU26,2002,FY2002,ACTUAL,total_gross_revenue,Total gross revenues,aggregate,gross_ruc_revenue + gross_fed_revenue + gross_mvr_revenue + tuc_net_revenue,39; 48; 56; 63,D39; D48; D56; D63,1776.97261802222,1776.972618022222,-1.8189894035458565e-12,1.8189894035458565e-12,reconciled,,mbu26_source_formula_assertion
MBU26,2002,FY2002,ACTUAL,total_nltf_net_revenue,Total NLTF revenue,aggregate,total_revenue_net_admin - total_refunds,68; 69,D68; D69,1682.86884024444,1682.8688402444423,-2.2737367544323206e-12,2.2737367544323206e-12,reconciled,,mbu26_source_formula_assertion
MBU26,2002,FY2002,ACTUAL,total_refunds,Total refunds,aggregate,ruc_refunds + fed_refunds + mvr_refunds,38; 49; 59,D38; D49; D59,48.7197777777778,48.7197777777778,0.0,0.0,reconciled,,mbu26_source_formula_assertion
MBU26,2002,FY2002,ACTUAL,total_revenue_net_admin,Total revenues net of admin fees,aggregate,total_gross_revenue - total_admin_fees,66; 67,D66; D67,1731.58861802222,1731.58861802222,0.0,0.0,reconciled,,mbu26_source_formula_assertion
MBU26,2002,FY2002,ACTUAL,total_ruc_net_revenue,Total RUC all classes,aggregate,ruc_revenue_net_admin - ruc_refunds,41; 38,D41; D38,565.745628355555,565.7456283555553,-2.2737367544323206e-13,2.2737367544323206e-13,reconciled,,mbu26_source_formula_assertion
MBU26,2003,FY2003,ACTUAL,gross_fed_revenue,Gross FED revenue,aggregate,gross_ped_revenue + gross_lpg_revenue + gross_cng_revenue,45; 46; 47,E45; E46; E47,1149.000059,1149.000059,0.0,0.0,reconciled,,mbu26_source_formula_assertion
MBU26,2003,FY2003,ACTUAL,gross_mvr_revenue,Gross MVR revenue,aggregate,mr1_revenue + mr2_revenue + coo_revenue,53; 54; 55,E53; E54; E55,197.397,197.39700000000002,-2.842170943040401e-14,2.842170943040401e-14,reconciled,,mbu26_source_formula_assertion
