scenario_role,fy,measure,S0_pack,S1_post_macro,S2_canonical_exact_vfm,S3_selected_sensitivities,S3_alt_parametric_fit,S4_post_policy,macro_effect,canonical_composition_effect,optional_composition_effect,retired_fit_vs_canonical,policy_effect,vfm_scenario,exact_base_conventional_share,exact_base_bev_share,exact_base_phev_share
basecase,2026,light_conventional_km,12968.092013523903,12953.85512504795,12953.85512504795,12953.85512504795,12819.478844467574,12953.85512504795,-14.236888475952583,0.0,0.0,-134.37628058037626,0.0,Base_EV,0.8715538715538717,0.0843000843000843,0.044146044146044144
basecase,2026,light_bev_km,1254.3243574860794,1252.9473101940355,1252.9473101940355,1252.9473101940355,1344.9054088672901,1252.9473101940355,-1.377047292043926,0.0,0.0,91.95809867325465,0.0,Base_EV,0.8715538715538717,0.0843000843000843,0.044146044146044144
basecase,2026,light_phev_km,656.8612465667908,656.1401180999512,656.1401180999512,656.1401180999512,698.558300007071,656.1401180999512,-0.7211284668395592,0.0,0.0,42.41818190711979,0.0,Base_EV,0.8715538715538717,0.0843000843000843,0.044146044146044144
basecase,2026,light_pool_km,14879.277617576774,14862.942553341938,14862.942553341938,14862.942553341938,14862.942553341934,14862.942553341938,-16.335064234835954,0.0,0.0,-3.637978807091713e-12,0.0,Base_EV,0.8715538715538717,0.0843000843000843,0.044146044146044144
basecase,2026,heavy_conventional_km,4045.112836987535,4042.7794536049623,4042.7794536049623,4042.7794536049623,4042.7794536049623,4042.7794536049623,-2.3333833825727197,0.0,0.0,0.0,0.0,Base_EV,0.8715538715538717,0.0843000843000843,0.044146044146044144
basecase,2026,heavy_conventional_revenue,1129.3227625959253,1128.6713239157214,1128.6713239157214,1128.6713239157214,1128.6713239157214,1128.6713239157214,-0.6514386802039098,0.0,0.0,0.0,0.0,Base_EV,0.8715538715538717,0.0843000843000843,0.044146044146044144
basecase,2026,light_petrol_vkt,32943.02353045172,32947.15752231537,32947.15752231537,32947.15752231537,32947.15752231537,32947.15752231537,4.1339918636513175,0.0,0.0,0.0,0.0,Base_EV,0.8715538715538717,0.0843000843000843,0.044146044146044144
basecase,2026,net_fed_revenue,2103.3760175919992,2103.64388651804,2103.64388651804,2103.64388651804,2103.64388651804,2103.64388651804,0.26786892604059176,0.0,0.0,0.0,0.0,Base_EV,0.8715538715538717,0.0843000843000843,0.044146044146044144
basecase,2026,total_ruc_net_revenue,2080.3817247762595,2078.648222365951,2078.648222365951,2078.648222365951,2077.20228282274,2078.648222365951,-1.7335024103085743,0.0,0.0,-1.4459395432108977,0.0,Base_EV,0.8715538715538717,0.0843000843000843,0.044146044146044144
basecase,2026,total_nltf_net_revenue,4626.293013383262,4624.827379898994,4624.827379898994,4624.827379898994,4623.381440355783,4624.827379898994,-1.4656334842684373,0.0,0.0,-1.4459395432113524,0.0,Base_EV,0.8715538715538717,0.0843000843000843,0.044146044146044144
