series_id,fy2030_central_unchanged,fy2030_span80_pct,fy2031_span80_pct,span80_relative_width_continuity_before,span80_relative_width_continuity_after,evidence_state_2030,evidence_state_2031
coo_revenue,True,,,,,extended_conditional,inferred_long_run
current_light_ruc_conventional_modelled_km,True,32.18770054765344,32.187700547653435,-7.105427357601002e-15,-7.105427357601002e-15,extended_conditional,inferred_long_run
fed_refunds,True,16.84031290044931,16.840312900449305,-3.552713678800501e-15,-3.552713678800501e-15,extended_conditional,inferred_long_run
gross_cng_revenue,True,,,,,extended_conditional,inferred_long_run
gross_fed_revenue,True,16.586243065656067,16.594855869991214,0.008612804335147217,0.008612804335147217,extended_conditional,inferred_long_run
gross_lpg_revenue,True,0.0,0.0,0.0,0.0,extended_conditional,inferred_long_run
gross_mvr_revenue,True,12.225213049595016,12.225213049594997,-1.9539925233402755e-14,-1.9539925233402755e-14,extended_conditional,inferred_long_run
gross_ped_revenue,True,16.84031290044929,16.84031290044929,0.0,0.0,extended_conditional,inferred_long_run
gross_ruc_revenue,True,19.14655323545185,19.31235394555378,0.1658007101019301,0.1658007101019301,extended_conditional,inferred_long_run
heavy_bev_ruc_net_km,True,10.406602594456434,10.406602594456443,8.881784197001252e-15,8.881784197001252e-15,extended_conditional,inferred_long_run
heavy_bev_ruc_net_revenue,True,10.406602594456444,10.406602594456428,-1.5987211554602254e-14,-1.5987211554602254e-14,extended_conditional,inferred_long_run
heavy_ruc_net_km,True,10.406602594456437,10.406602594456434,-3.552713678800501e-15,-3.552713678800501e-15,extended_conditional,inferred_long_run
heavy_ruc_net_revenue,True,10.406602594456437,10.406602594456425,-1.2434497875801753e-14,-1.2434497875801753e-14,extended_conditional,inferred_long_run
light_bev_ruc_net_km,True,32.187700547653414,32.18770054765342,7.105427357601002e-15,7.105427357601002e-15,extended_conditional,inferred_long_run
light_bev_ruc_net_revenue,True,32.18770054765343,32.18770054765343,0.0,0.0,extended_conditional,inferred_long_run
light_petrol_vkt,True,16.84031290044931,16.8403129004493,-3.552713678800501e-15,-7.105427357601002e-15,extended_conditional,inferred_long_run
light_ruc_net_km,True,32.18770054765343,32.18770054765342,-7.105427357601002e-15,-7.105427357601002e-15,extended_conditional,inferred_long_run
light_ruc_net_revenue,True,32.18770054765343,32.187700547653414,-1.4210854715202004e-14,-1.4210854715202004e-14,extended_conditional,inferred_long_run
mr1_revenue,True,12.225213049595006,12.225213049594998,-7.105427357601002e-15,-7.105427357601002e-15,extended_conditional,inferred_long_run
mr2_revenue,True,12.225213049595004,12.22521304959501,7.105427357601002e-15,7.105427357601002e-15,extended_conditional,inferred_long_run
mvr_admin_revenue,True,0.0,0.0,0.0,0.0,extended_conditional,inferred_long_run
mvr_refunds,True,0.0,0.0,0.0,0.0,extended_conditional,inferred_long_run
mvr_revenue_net_admin_coo,True,14.030928502498197,14.039575817177615,0.008647314679418372,0.008647314679418372,extended_conditional,inferred_long_run
net_fed_revenue,True,16.576822853255123,16.58585018696023,0.009027333705105889,0.009027333705105889,extended_conditional,inferred_long_run
net_mvr_revenue,True,14.0879579686369,14.097414047040559,0.009456078403658807,0.009456078403658807,extended_conditional,inferred_long_run
ped_vkt_per_capita,True,16.8403129004493,16.840312900449312,1.0658141036401503e-14,1.0658141036401503e-14,extended_conditional,inferred_long_run
ped_volume,True,16.840312900449305,16.8403129004493,-3.552713678800501e-15,-3.552713678800501e-15,extended_conditional,inferred_long_run
phev_ruc_net_km,True,32.187700547653435,32.18770054765343,-7.105427357601002e-15,-7.105427357601002e-15,extended_conditional,inferred_long_run
phev_ruc_net_revenue,True,32.187700547653435,32.18770054765343,-7.105427357601002e-15,-7.105427357601002e-15,extended_conditional,inferred_long_run
ruc_admin_revenue,True,0.0,0.0,0.0,0.0,extended_conditional,inferred_long_run
ruc_refunds,True,0.0,0.0,0.0,0.0,extended_conditional,inferred_long_run
ruc_revenue_net_admin,True,19.388665628563025,19.536608069095266,0.14794244053224048,0.14794244053224048,extended_conditional,inferred_long_run
total_admin_fees,True,0.0,0.0,0.0,0.0,extended_conditional,inferred_long_run
total_fed_ruc_net_revenue,True,14.51653564218021,14.623124394179788,0.10658875199957762,0.10658875199957762,extended_conditional,inferred_long_run
total_gross_revenue,True,12.222848936455456,12.393338614677571,0.1704896782221148,0.1704896782221148,extended_conditional,inferred_long_run
total_nltf_net_revenue,True,12.680686437216764,12.856514745991422,0.17582830877465838,0.17582830877465838,extended_conditional,inferred_long_run
total_refunds,True,8.004977619633829,7.8727313626528765,-0.13224625698095238,-0.13224625698095238,extended_conditional,inferred_long_run
total_revenue_net_admin,True,12.429360611547239,12.590680707824786,0.16132009627754762,0.16132009627754762,extended_conditional,inferred_long_run
total_ruc_net_revenue,True,20.050995259625875,20.199436417454123,0.1484411578282483,0.1484411578282483,extended_conditional,inferred_long_run
tuc_net_revenue,True,0.0,0.0,0.0,0.0,extended_conditional,inferred_long_run
