series_id,FY,span80_pct_before,span80_pct_after,span50_pct_before,span50_pct_after,median_multiplier_before,median_multiplier_after,span80_pct_abs_change,span50_pct_abs_change,median_multiplier_abs_change
coo_revenue,2026,,,,,,,,,
coo_revenue,2027,,,,,,,,,
coo_revenue,2028,,,,,,,,,
coo_revenue,2029,,,,,,,,,
coo_revenue,2030,,,,,,,,,
coo_revenue,2031,,,,,,,,,
coo_revenue,2032,,,,,,,,,
coo_revenue,2033,,,,,,,,,
coo_revenue,2034,,,,,,,,,
coo_revenue,2035,,,,,,,,,
coo_revenue,2036,,,,,,,,,
coo_revenue,2037,,,,,,,,,
coo_revenue,2038,,,,,,,,,
coo_revenue,2039,,,,,,,,,
coo_revenue,2040,,,,,,,,,
coo_revenue,2041,,,,,,,,,
coo_revenue,2042,,,,,,,,,
coo_revenue,2043,,,,,,,,,
coo_revenue,2044,,,,,,,,,
coo_revenue,2045,,,,,,,,,
coo_revenue,2046,,,,,,,,,
coo_revenue,2047,,,,,,,,,
coo_revenue,2048,,,,,,,,,
coo_revenue,2049,,,,,,,,,
coo_revenue,2050,,,,,,,,,
current_light_ruc_conventional_modelled_km,2026,16.12301658000113,16.12301658000113,4.278352974376481,4.278352974376481,0.968885519620301,0.968885519620301,0.0,0.0,0.0
current_light_ruc_conventional_modelled_km,2027,21.004691649641295,21.004691649641295,5.705736276393661,5.705736276393661,0.947966259151959,0.947966259151959,0.0,0.0,0.0
current_light_ruc_conventional_modelled_km,2028,20.93595390424598,20.93595390424598,7.61144474899527,7.61144474899527,0.944864636737568,0.944864636737568,0.0,0.0,0.0
current_light_ruc_conventional_modelled_km,2029,26.923439827449116,26.923439827449116,13.731102773395707,13.731102773395707,0.9527450613715792,0.9527450613715792,0.0,0.0,0.0
current_light_ruc_conventional_modelled_km,2030,32.18770054765344,32.18770054765344,19.91514090955752,19.91514090955752,0.9395044965180499,0.9395044965180499,0.0,0.0,0.0
current_light_ruc_conventional_modelled_km,2031,32.187700547653435,32.187700547653435,19.91514090955753,19.91514090955753,0.93950449651805,0.93950449651805,0.0,0.0,0.0
current_light_ruc_conventional_modelled_km,2032,32.18770054765343,32.18770054765343,19.915140909557532,19.915140909557532,0.9395044965180499,0.9395044965180499,0.0,0.0,0.0
current_light_ruc_conventional_modelled_km,2033,32.18770054765342,32.18770054765342,19.915140909557532,19.915140909557532,0.9395044965180498,0.9395044965180498,0.0,0.0,0.0
