engine,policy_state,FY,final_central,final_lower50,final_upper50,final_lower80,final_upper80,abs_delta_central,abs_delta_lower50,abs_delta_upper50,abs_delta_lower80,abs_delta_upper80,identical
ar1,delayed_6m,2030,32993.321829443696,29080.827762954224,33448.42659915844,28267.70852696771,33823.88715929827,0.0,0.0,0.0,0.0,0.0,True
ar1,delayed_6m,2031,33116.39984458074,29189.310642553588,33573.20233336801,28373.158153287746,33950.06350847905,0.0,0.0,0.0,0.0,0.0,True
ar1,delayed_6m,2050,9629.378316419868,8487.484034851846,9762.204469052962,8250.168350782566,9871.785789635687,0.0,0.0,0.0,0.0,0.0,True
ar1,off,2030,33185.68258928689,29250.377532882474,33643.44075352078,28432.517572852285,34021.09035903813,0.0,0.0,0.0,0.0,0.0,True
ar1,off,2031,33116.39984458074,29189.310642553588,33573.20233336801,28373.158153287746,33950.06350847905,0.0,0.0,0.0,0.0,0.0,True
ar1,off,2050,9629.378316419868,8487.484034851846,9762.204469052962,8250.168350782566,9871.785789635687,0.0,0.0,0.0,0.0,0.0,True
ar1,published,2030,32993.321829443696,29080.827762954224,33448.42659915844,28267.70852696771,33823.88715929827,0.0,0.0,0.0,0.0,0.0,True
ar1,published,2031,33116.39984458074,29189.310642553588,33573.20233336801,28373.158153287746,33950.06350847905,0.0,0.0,0.0,0.0,0.0,True
ar1,published,2050,9629.378316419868,8487.484034851846,9762.204469052962,8250.168350782566,9871.785789635687,0.0,0.0,0.0,0.0,0.0,True
ensemble,delayed_6m,2030,34290.154354466984,30223.876149914267,34763.147431115794,29378.796522749188,35153.36581008847,0.0,0.0,0.0,0.0,0.0,True
ensemble,delayed_6m,2031,34543.478008938844,30447.159564723504,35019.965392830425,29595.836785157877,35413.06656856107,0.0,0.0,0.0,0.0,0.0,True
ensemble,delayed_6m,2050,10007.869789968407,8821.092315003534,10145.916795348574,8574.448722111061,10259.805309411278,0.0,0.0,0.0,0.0,0.0,True
ensemble,off,2030,34490.07521785209,30400.089512860195,34965.82597191703,29550.08284317015,35358.319429456766,0.0,0.0,0.0,0.0,0.0,True
ensemble,off,2031,34543.478008938844,30447.159564723504,35019.965392830425,29595.836785157877,35413.06656856107,0.0,0.0,0.0,0.0,0.0,True
ensemble,off,2050,10007.869789968407,8821.092315003534,10145.916795348574,8574.448722111061,10259.805309411278,0.0,0.0,0.0,0.0,0.0,True
ensemble,published,2030,34290.154354466984,30223.876149914267,34763.147431115794,29378.796522749188,35153.36581008847,0.0,0.0,0.0,0.0,0.0,True
ensemble,published,2031,34543.478008938844,30447.159564723504,35019.965392830425,29595.836785157877,35413.06656856107,0.0,0.0,0.0,0.0,0.0,True
ensemble,published,2050,10007.869789968407,8821.092315003534,10145.916795348574,8574.448722111061,10259.805309411278,0.0,0.0,0.0,0.0,0.0,True
