stream,trial_id,candidate_name,loss,model_kind,feature_set,include_target_lags,window,params_json,status,quarterly_mape,annual_mape,quarterly_bias_pct,annual_bias_pct,quarterly_p90_ape,governance_score,mape_h01_04,mape_h05_08,mape_h09_12
HEAVY_RUC,45,HEAVY_RUC__HPO_trial0045__dynamic_no_leads__HPO_BayesianRidge__noylag__w64,5.806049526378578,bayesian_ridge,dynamic_no_leads,False,64,{},ok,5.3843658280869136,5.127135359201917,4.1401171429885695,4.313242494308275,12.277561389992545,1.0,4.3898468211249675,4.891423869482233,7.195021231518877
HEAVY_RUC,46,HEAVY_RUC__HPO_trial0046__schiff__HPO_GBR_learning_rate0_0428938_max_depth2_n_estimators190__ylag__w52,4.857184684347341,gbr,schiff,True,52,"{""learning_rate"": 0.042893773931719066, ""loss"": ""squared_error"", ""max_depth"": 2, ""n_estimators"": 190, ""random_state"": 20260566, ""subsample"": 0.75}",ok,4.980277253299992,4.460037482849341,-1.8139070774923018,-2.0465270746489237,9.94209871881571,1.0,3.895552895198015,5.144696613976336,6.155127640843385
HEAVY_RUC,47,HEAVY_RUC__HPO_trial0047__rich__HPO_RESID_GBR_learning_rate0_079758_max_depth1_n_estimators450__noylag__w52,13.16127531939737,resid_gbr,rich,False,52,"{""learning_rate"": 0.07975801049544558, ""loss"": ""squared_error"", ""max_depth"": 1, ""n_estimators"": 450, ""random_state"": 20260567, ""subsample"": 0.85}",ok,11.170090154387534,11.104309998598772,10.23708557708868,10.374631464398881,32.50413601387284,1.0,6.282936852658863,11.693707629128582,16.71076508534188
HEAVY_RUC,48,HEAVY_RUC__HPO_trial0048__dynamic_no_leads__HPO_RESID_Elastic_alpha0_00282737_l1_ratio0_592897__ylag__w40,11.693386592192875,resid_elastic_net,dynamic_no_leads,True,40,"{""alpha"": 0.002827366282834299, ""l1_ratio"": 0.5928965256531105, ""max_iter"": 50000, ""random_state"": 20260568}",ok,9.982383624250922,9.90559034867772,8.924071096545221,9.314718212722644,28.71563740455401,1.0,5.177209475085939,10.16958740744621,15.803463128398365
HEAVY_RUC,49,HEAVY_RUC__HPO_trial0049__diff__HPO_BayesianRidge__noylag__w52,7.52651129423907,bayesian_ridge,diff,False,52,{},ok,7.317049185288221,6.484733473701161,3.494059683439961,4.253912846251051,17.827909950315103,1.0,5.064527456913671,8.155577894009433,9.190264687727439
HEAVY_RUC,50,HEAVY_RUC__HPO_trial0050__schiff_no_lead__HPO_GBR_learning_rate0_0497792_max_depth1_n_estimators340__ylag__w64,4.058478203161591,gbr,schiff_no_lead,True,64,"{""learning_rate"": 0.049779212476388716, ""loss"": ""squared_error"", ""max_depth"": 1, ""n_estimators"": 340, ""random_state"": 20260570, ""subsample"": 0.75}",ok,4.245645358055869,3.526691512654611,-1.2481056859169357,-1.6791581595261489,9.278209104525596,1.0,3.322829532549861,4.309444754022674,5.331828710961705
HEAVY_RUC,51,HEAVY_RUC__HPO_trial0051__schiff_no_lead__HPO_Elastic_alpha21_8716_l1_ratio0_280688__ylag__w64,9.995802670581748,elastic_net,schiff_no_lead,True,64,"{""alpha"": 21.87156273891441, ""l1_ratio"": 0.2806876221609614, ""max_iter"": 50000, ""random_state"": 20260571}",ok,9.55253143383594,9.516863568575694,-9.099412421499967,-9.516863568575694,14.693058796294302,1.0,8.882101259852531,9.697508783130326,10.22926025429359
HEAVY_RUC,52,HEAVY_RUC__HPO_trial0052__schiff_no_lead__HPO_GBR_learning_rate0_0278669_max_depth1_n_estimators100__ylag__w64,5.115926660214016,gbr,schiff_no_lead,True,64,"{""learning_rate"": 0.02786685319709129, ""loss"": ""squared_error"", ""max_depth"": 1, ""n_estimators"": 100, ""random_state"": 20260572, ""subsample"": 0.75}",ok,5.248745237065816,4.673744334304487,-2.8358422170617135,-3.0792492312705915,9.461047245254846,1.0,4.39624281911725,5.624280695795401,5.891393913611697
HEAVY_RUC,53,HEAVY_RUC__HPO_trial0053__schiff_no_lead__HPO_RESID_Ridge_alpha59_9435__ylag__w64,100013.77777454666,resid_ridge,schiff_no_lead,True,64,"{""alpha"": 59.94354587504654, ""random_state"": 20260573}",ok,13.777774546654214,13.385460048210978,13.2091435281461,13.123873539589367,37.21366718269044,1.0,8.267392088959856,14.133246326755186,20.292717232480907
HEAVY_RUC,54,HEAVY_RUC__HPO_trial0054__schiff_no_lead__HPO_GBR_learning_rate0_0226831_max_depth2_n_estimators140__ylag__w64,4.413280536159545,gbr,schiff_no_lead,True,64,"{""learning_rate"": 0.022683074675374854, ""loss"": ""squared_error"", ""max_depth"": 2, ""n_estimators"": 140, ""random_state"": 20260574, ""subsample"": 0.75}",ok,4.518657917344599,4.088114902165017,-1.6922158504149312,-1.8356368222763881,8.83711245563573,1.0,3.8031329279748403,4.676843372014352,5.23696633937132
HEAVY_RUC,55,HEAVY_RUC__HPO_trial0055__schiff_no_lead__HPO_Ridge_alpha0_805786__ylag__w64,100012.18074402574,ridge,schiff_no_lead,True,64,"{""alpha"": 0.8057863196451605, ""random_state"": 20260575}",ok,12.180744025733075,11.92229286352375,11.609519276249811,11.7305281209647,33.45105225976116,1.0,6.662624697284923,12.036843837957313,19.27445455915662
