engine,policy_state,series_id,series_label,row_type,june_year,value,value_unit,official_value,movement_vs_origin_main
ar1,cur-published__off-published,light_ruc_net_revenue,Light RUC revenue,future_forecast,2026,866.4745234882769,$m nominal ex GST,860.866112388873,0
ar1,cur-published__off-published,light_ruc_net_revenue,Light RUC revenue,future_forecast,2026,867.0431163251362,$m nominal ex GST,860.866112388873,0
ar1,cur-published__off-published,light_ruc_net_revenue,Light RUC revenue,future_forecast,2026,856.0950780456811,$m nominal ex GST,860.866112388873,0
ar1,cur-published__off-published,light_ruc_net_revenue,Light RUC revenue,future_forecast,2030,1309.1303913442225,$m nominal ex GST,1298.88572108412,0
ar1,cur-published__off-published,light_ruc_net_revenue,Light RUC revenue,future_forecast,2030,1338.1440384094096,$m nominal ex GST,1298.88572108412,0
ar1,cur-published__off-published,light_ruc_net_revenue,Light RUC revenue,future_forecast,2030,1309.1303913442223,$m nominal ex GST,1298.88572108412,0
ar1,cur-published__off-published,light_ruc_net_revenue,Light RUC revenue,future_forecast,2030,1303.3747733881019,$m nominal ex GST,1298.88572108412,0
ar1,cur-published__off-published,light_ruc_net_revenue,Light RUC revenue,future_forecast,2031,1349.97821733928,$m nominal ex GST,1298.88572108412,0
ar1,cur-published__off-published,light_ruc_net_revenue,Light RUC revenue,future_forecast,2031,1379.897155744915,$m nominal ex GST,1298.88572108412,0
ar1,cur-published__off-published,light_ruc_net_revenue,Light RUC revenue,future_forecast,2050,1033.6655725305918,$m nominal ex GST,1298.88572108412,0
ar1,cur-published__off-published,light_ruc_net_revenue,Light RUC revenue,future_forecast,2050,1056.5742211290267,$m nominal ex GST,1298.88572108412,0
ar1,cur-published__off-published,light_ruc_net_revenue,Light RUC revenue,official_comparator,2026,873.815974346887,$m nominal ex GST,873.815974346887,0
ar1,cur-published__off-published,light_ruc_net_revenue,Light RUC revenue,official_comparator,2026,860.866112388873,$m nominal ex GST,860.866112388873,0
ar1,cur-published__off-published,light_ruc_net_revenue,Light RUC revenue,official_comparator,2030,1295.55904536384,$m nominal ex GST,1295.55904536384,0
ar1,cur-published__off-published,light_ruc_net_revenue,Light RUC revenue,official_comparator,2030,1298.88572108412,$m nominal ex GST,1298.88572108412,0
ar1,cur-published__off-published,light_ruc_net_revenue,Light RUC revenue,official_comparator,2031,1336.15045272876,$m nominal ex GST,1336.15045272876,0
ar1,cur-published__off-published,light_ruc_net_revenue,Light RUC revenue,official_comparator,2031,1339.5503386194,$m nominal ex GST,1339.5503386194,0
ar1,cur-published__off-published,light_ruc_net_revenue,Light RUC revenue,official_comparator,2050,999.260459284699,$m nominal ex GST,999.260459284699,0
ar1,cur-published__off-published,light_ruc_net_revenue,Light RUC revenue,official_comparator,2050,999.531369991112,$m nominal ex GST,999.531369991112,0
