engine,series,fy,quarters,qsum,annual,rel_residual
ar1,light_petrol_vkt,2028,4,32375.58680046918,32375.58680046918,0.0
ar1,light_petrol_vkt,2029,4,32682.67332088302,32682.67332088302,0.0
ar1,light_petrol_vkt,2030,4,32993.321829443696,32993.321829443696,0.0
ar1,light_petrol_vkt,2031,4,33116.39984458074,33116.39984458074,0.0
ar1,light_petrol_vkt,2032,4,33109.89896657733,33109.89896657733,0.0
ar1,light_petrol_vkt,2033,4,33012.56894724652,33012.56894724652,0.0
ar1,light_petrol_vkt,2034,4,32808.65481914041,32808.65481914041,0.0
ar1,light_petrol_vkt,2035,4,32451.00902298186,32451.00902298186,0.0
ar1,light_petrol_vkt,2036,4,31871.460377687174,31871.460377687174,0.0
ar1,light_petrol_vkt,2037,4,31010.915411625287,31010.915411625287,0.0
ar1,light_petrol_vkt,2038,4,29816.67849491601,29816.67849491601,0.0
ar1,light_petrol_vkt,2039,4,28277.709462533072,28277.709462533072,0.0
ar1,light_petrol_vkt,2040,4,26430.322914874738,26430.32291487474,1.3764413014584443e-16
ar1,light_petrol_vkt,2041,4,24347.26777059283,24347.26777059283,0.0
ar1,light_petrol_vkt,2042,4,22006.24832353741,22006.24832353741,0.0
ar1,light_petrol_vkt,2043,4,19671.814585344364,19671.814585344364,0.0
ar1,light_petrol_vkt,2044,4,17559.517401902725,17559.517401902725,0.0
ar1,light_petrol_vkt,2045,4,15797.922645763405,15797.922645763405,0.0
ar1,light_petrol_vkt,2046,4,14315.29096861307,14315.290968613072,1.270661845109592e-16
ar1,light_petrol_vkt,2047,4,12961.642700000251,12961.642700000251,0.0
ar1,light_petrol_vkt,2048,4,11744.753868676848,11744.753868676848,0.0
ar1,light_petrol_vkt,2049,4,10637.338942851455,10637.338942851455,0.0
ar1,light_petrol_vkt,2050,4,9629.378316419868,9629.378316419868,0.0
