engine,scenario,fy,period,quarterly_ped_vkt_per_capita,population,quarterly_light_petrol_vkt,recomputed_petrol_from_identity,identity_residual,identity_rel_residual,positive
ensemble,current_basecase,2038,2038Q1,1325.5780965073516,5832262.703445938,7731.119692764688,7731.119692764688,0.0,0.0,True
ensemble,current_basecase,2038,2038Q2,1319.6808966810756,5841717.116313614,7709.2024822139365,7709.202482213937,-9.094947017729282e-13,-1.1797519962294968e-16,True
ensemble,current_basecase,2039,2038Q3,1249.0896366856082,5851186.85529522,7308.656863260313,7308.656863260313,0.0,0.0,True
ensemble,current_basecase,2039,2038Q4,1259.1832420551584,5860671.945235217,7379.659900622992,7379.659900622993,-9.094947017729282e-13,-1.2324344400968241e-16,True
ensemble,current_basecase,2039,2039Q1,1246.985731333452,5870172.411018337,7320.021237007153,7320.021237007153,0.0,0.0,True
ensemble,current_basecase,2039,2039Q2,1241.4412167136998,5879688.277569653,7299.287369203348,7299.287369203347,9.094947017729282e-13,1.246004788919814e-16,True
ensemble,current_basecase,2040,2039Q3,1157.4142331948624,5889219.56985464,6816.266552559484,6816.266552559487,-2.7284841053187847e-12,-4.0029011252417185e-16,True
ensemble,current_basecase,2040,2039Q4,1166.7624544083458,5898766.312879247,6882.459061196257,6882.459061196258,-9.094947017729282e-13,-1.321467652311537e-16,True
ensemble,current_basecase,2040,2040Q1,1155.4691465923631,5908328.531689957,6826.891326299105,6826.891326299105,0.0,0.0,True
ensemble,current_basecase,2040,2040Q2,1150.334379437349,5917906.251373855,6807.571015242552,6807.571015242553,-9.094947017729282e-13,-1.3360047214146075e-16,True
