engine,scenario,fy,target_light_petrol_vkt,target_ped_vkt_per_capita,raw_petrol_sum,raw_vktpc_sum,scale_fy,petrol_sum_residual,vktpc_sum_residual,petrol_rel_residual,vktpc_rel_residual,implied_population,single_scale_closes,negative_quarter
ensemble,current_basecase,2031,34036.47205467476,6112.185789710109,34043.2191814063,6113.397422104431,0.9998018070296002,7.275957614183426e-12,0.0,2.137694412774518e-16,0.0,5568625.239104365,True,False
ensemble,current_basecase,2032,34169.83400040407,6095.957141630324,34222.375581011845,6105.330649957428,0.9984647009532288,0.0,9.094947017729282e-13,0.0,1.4919637402990168e-16,5605327.138383647,True,False
ensemble,current_basecase,2033,34168.6119993445,6056.3719027531415,34351.76984242723,6088.836552316208,0.9946681686584744,0.0,0.0,0.0,0.0,5641762.518548759,True,False
ensemble,current_basecase,2034,34039.138689775544,5994.459693067544,34484.82936216152,6072.948011927281,0.987075746621643,0.0,-9.094947017729282e-13,0.0,-1.5172254854340553e-16,5678433.158728389,True,False
ensemble,current_basecase,2035,33713.045871605485,5898.691972325126,34610.852700775715,6055.779111710105,0.9740599621473611,0.0,-9.094947017729282e-13,0.0,-1.541858273054436e-16,5715342.660674074,True,False
ensemble,current_basecase,2036,33126.318706128084,5758.603028089269,34734.55060513065,6038.17436125261,0.9536993606946216,0.0,9.094947017729282e-13,0.0,1.5793669008552977e-16,5752492.148624377,True,False
ensemble,current_basecase,2037,32224.459382580724,5565.64923123091,34855.720562131064,6020.107647034416,0.9245099186843646,0.0,-9.094947017729282e-13,0.0,-1.6341214905700813e-16,5789883.27215402,True,False
ensemble,current_basecase,2038,30953.636245163074,5311.633300798107,34977.26685985149,6002.086926143315,0.8849644075733396,0.0,0.0,0.0,0.0,5827517.543523213,True,False
ensemble,current_basecase,2039,29307.625370093807,4996.699826787919,35099.47281712303,5984.160351818518,0.8349876228282348,-3.637978807091713e-12,0.0,-1.2413079398796984e-16,0.0,5865396.438859914,True,False
ensemble,current_basecase,2040,27333.1879552974,4629.980213632921,35222.348422918076,5966.328426179405,0.7760183286788609,0.0,-9.094947017729282e-13,0.0,-1.9643598024348616e-16,5903521.547417235,True,False
ensemble,current_basecase,2041,25115.771268118286,4227.681796976681,35339.338408491414,5948.59206638935,0.7107029276496986,3.637978807091713e-12,9.094947017729282e-13,1.4484838105329171e-16,2.1512846648565894e-16,5940790.360825924,True,False
ensemble,current_basecase,2042,22642.330497169532,3790.2503744293217,35430.543969778795,5930.9545262788215,0.6390624574232552,3.637978807091713e-12,0.0,1.606715707796284e-16,0.0,5973835.040008054,True,False
ensemble,current_basecase,2043,20193.226770476493,3361.7887506191223,35520.03175142598,5913.410695618123,0.568502497739626,3.637978807091713e-12,-4.547473508864641e-13,1.8015836936029558e-16,-1.35269460581875e-16,6006691.160102673,True,False
ensemble,current_basecase,2044,17994.01235182754,2979.275289305364,35609.99260404987,5895.959663872155,0.5053079497068221,0.0,-9.094947017729282e-13,0.0,-3.05273804350246e-16,6039727.989024793,True,False
ensemble,current_basecase,2045,16177.889161898609,2663.924979107079,35722.88617820048,5882.29328706435,0.4528718391116728,0.0,0.0,0.0,0.0,6072952.237311606,True,False
ensemble,current_basecase,2046,14659.59770809849,2400.714615305291,35836.64314021808,5868.752653606149,0.40906726812385474,-1.8189894035458565e-12,-4.547473508864641e-13,-1.2408180904861946e-16,-1.8942166136170892e-16,6106347.507795831,True,False
ensemble,current_basecase,2047,13273.39192998076,2161.813909452591,35919.946747036265,5850.218309996961,0.36952704923138396,-1.8189894035458565e-12,0.0,-1.37040284287642e-16,0.0,6139932.707409499,True,False
ensemble,current_basecase,2048,12027.23488282103,1948.1397337824742,36012.030565286936,5833.133577413679,0.3339782482139299,1.8189894035458565e-12,4.547473508864641e-13,1.5123920180057264e-16,2.3342645447897855e-16,6173702.365522394,True,False
ensemble,current_basecase,2049,10893.184772059163,1754.7978961803406,36104.60167168996,5816.1392082890725,0.3017118114503569,0.0,0.0,0.0,0.0,6207657.756924773,True,False
ensemble,current_basecase,2050,9860.981003271809,1579.8297215991793,36197.662733812285,5799.234723231456,0.2724203790666477,-1.8189894035458565e-12,-2.2737367544323206e-13,-1.8446333107652553e-16,-1.439229002560311e-16,6241799.903150356,True,False
ensemble,current_comparison_1,2031,35160.39891830424,6098.3321221985925,35170.433447554395,6100.072543068092,0.9997146884963726,0.0,9.094947017729282e-13,0.0,1.491382698659964e-16,5765576.261469356,True,False
ensemble,current_comparison_1,2032,35548.02523469823,6074.481268390696,35627.79940247796,6088.113156088539,0.9977609010627195,0.0,1.8189894035458565e-12,0.0,2.9944769325591466e-16,5852026.479969031,True,False
ensemble,current_comparison_1,2033,35768.39762874671,6021.809938945549,36043.79826240115,6068.175177057288,0.9923592782411691,0.0,0.0,0.0,0.0,5939808.461475612,True,False
ensemble,current_comparison_1,2034,35807.93440955681,5939.375605761803,36469.62165832143,6049.128071765743,0.9818564816777133,0.0,0.0,0.0,0.0,6028905.525829928,True,False
ensemble,current_comparison_1,2035,35585.29640332541,5815.220867473079,36896.77735140502,6029.538356644063,0.9644554066175194,0.0,-9.094947017729282e-13,0.0,-1.5639899541221315e-16,6119337.031954985,True,False
ensemble,current_comparison_1,2036,35016.609499443235,5637.723537086905,37314.97266638385,6007.763249904923,0.9384064089369907,-7.275957614183426e-12,-9.094947017729282e-13,-2.077858969840902e-16,-1.6132304037080853e-16,6211125.690909073,True,False
ensemble,current_comparison_1,2037,34054.95437593669,5401.868136745312,37736.293129576574,5985.809794523732,0.9024456710414263,0.0,-9.094947017729282e-13,0.0,-1.6836669810324348e-16,6304292.054869596,True,False
ensemble,current_comparison_1,2038,32650.631782322995,5102.572866272102,38162.06874012946,5963.888777785275,0.8555781397665453,-3.637978807091713e-12,-9.094947017729282e-13,-1.1142139090433495e-16,-1.7824237411378656e-16,6398856.545125104,True,False
ensemble,current_comparison_1,2039,30812.61476438155,4744.168772049619,38593.0457333642,5942.109223335306,0.7983981097854539,0.0,0.0,0.0,0.0,6494839.506114282,True,False
ensemble,current_comparison_1,2040,28610.482679773402,4340.009810404919,39029.296364833885,5920.47086420989,0.7330514599169657,0.0,9.094947017729282e-13,0.0,2.0956051748834022e-16,6592262.2135971775,True,False
ensemble,current_comparison_1,2041,26153.321466360663,3908.662612084599,39440.46255328117,5894.450599080434,0.6631088930823122,0.0,4.547473508864641e-13,0.0,1.1634346476477657e-16,6691117.669123242,True,False
ensemble,current_comparison_1,2042,23448.138287039452,3452.564799268928,39729.84282136569,5849.92527450901,0.5901895558073954,3.637978807091713e-12,4.547473508864641e-13,1.5515000647631553e-16,1.3171290832332988e-16,6791512.875299121,True,False
ensemble,current_comparison_1,2043,20818.007400016697,3019.983525114485,40176.75624543785,5828.278356441811,0.5181604824650478,-3.637978807091713e-12,0.0,-1.74751537800337e-16,0.0,6893417.539166048,True,False
ensemble,current_comparison_1,2044,18488.548257997296,2642.437131058118,40708.686896150975,5818.204020668767,0.45416714877495584,0.0,0.0,0.0,0.0,6996778.860200877,True,False
ensemble,current_comparison_1,2045,16599.6381857666,2337.4043577213483,41127.93321828907,5791.247330374383,0.4036098312468799,0.0,0.0,0.0,0.0,7101740.069462773,True,False
ensemble,current_comparison_1,2046,15041.76567586088,2086.734624042859,41646.87335298053,5777.644359149914,0.36117394812267195,-1.8189894035458565e-12,-4.547473508864641e-13,-1.209292474529757e-16,-2.1792294317014415e-16,7208279.14702389,True,False
ensemble,current_comparison_1,2047,13619.422245423324,1861.4959364918886,42130.183547343186,5758.332773873046,0.323269948020015,0.0,0.0,0.0,0.0,7316385.697349424,True,False
ensemble,current_comparison_1,2048,12340.7785423738,1661.8037910997346,42597.83889594472,5736.206182362954,0.2897043338869624,1.8189894035458565e-12,2.2737367544323206e-13,1.4739664902826837e-16,1.3682341842099338e-16,7426134.546369654,True,False
ensemble,current_comparison_1,2049,11177.164344329296,1482.8689547265574,43078.49965850379,5715.203587590004,0.25946039051810155,1.8189894035458565e-12,-2.2737367544323206e-13,1.6274158163100786e-16,-1.5333362716812694e-16,7537526.703693367,True,False
ensemble,current_comparison_1,2050,10118.051568590394,1322.5191658562715,43565.07004022763,5694.341415389592,0.2322514702546666,0.0,4.547473508864641e-13,0.0,3.4384934647962984e-16,7650589.745547778,True,False
ar1,current_basecase,2031,32560.913261162386,5847.236902159696,32565.839317617567,5848.121515525907,0.9998487354676434,3.637978807091713e-12,9.094947017729282e-13,1.1172840202338482e-16,1.5554264638003694e-16,5568598.263760427,True,False
ar1,current_basecase,2032,32554.521427334326,5807.800710963223,32591.686117277794,5814.43097622939,0.9988596880256598,0.0,-1.8189894035458565e-12,0.0,-3.131976274792283e-16,5605309.659796363,True,False
ar1,current_basecase,2033,32458.82399850718,5753.332005473503,32592.49428875308,5777.025086870662,0.9958987400883882,0.0,0.0,0.0,0.0,5641743.596167766,True,False
ar1,current_basecase,2034,32258.330277295056,5680.8686047379115,32590.09670947092,5739.2944901589035,0.9898200230845142,-3.637978807091713e-12,-9.094947017729282e-13,-1.127764139005141e-16,-1.6009782395149906e-16,5678415.137148433,True,False
ar1,current_basecase,2035,31906.68354632217,5582.654138771063,32591.864251210543,5702.538955141836,0.9789769403920205,3.637978807091713e-12,9.094947017729282e-13,1.1401933396838596e-16,1.6291439146418978e-16,5715325.139835,True,False
ar1,current_basecase,2036,31336.85611161832,5447.543824856904,32594.219585395633,5666.121674618826,0.961423728201773,0.0,9.094947017729282e-13,0.0,1.6695500412919005e-16,5752474.347912469,True,False
