engine,series_id,L1_persisted_current_annual,L1_persisted_current_quarterly,L2_viewtime_current_annual,L2_viewtime_official,L2_viewtime_actual,L3_line_recon_current,L3_post_model_rows,L4_rendered_annual,L4_rendered_quarterly,L4_quarterly_used_fallback
ensemble,ped_vkt_per_capita,FY2025..FY2050 (n=52),2026Q1..2030Q4 (n=40),FY2025..FY2050 (n=130),FY2026..FY2055 (n=30),FY2003..FY2025 (n=23),FY2025..FY2050 (n=52),FY2031..FY2050 (n=40),FY2025..FY2050 (n=26),2026Q1..2030Q4 (n=20),False
ensemble,light_petrol_vkt,EMPTY,EMPTY,FY2026..FY2030 (n=25),FY2026..FY2050 (n=25),FY2003..FY2025 (n=23),FY2025..FY2050 (n=52),FY2031..FY2050 (n=40),FY2026..FY2030 (n=5),2025Q3..2030Q2 (n=20),True
ar1,ped_vkt_per_capita,FY2025..FY2050 (n=52),2026Q1..2030Q4 (n=40),FY2025..FY2050 (n=130),FY2026..FY2055 (n=30),FY2003..FY2025 (n=23),FY2025..FY2050 (n=52),FY2031..FY2050 (n=40),FY2025..FY2050 (n=26),2026Q1..2030Q4 (n=20),False
ar1,light_petrol_vkt,EMPTY,EMPTY,FY2026..FY2030 (n=25),FY2026..FY2050 (n=25),FY2003..FY2025 (n=23),FY2025..FY2050 (n=52),FY2031..FY2050 (n=40),FY2026..FY2030 (n=5),2025Q3..2030Q2 (n=20),True
