FY,period,source_path,scenario,scenario_name,scenario_role,fed_path,lambda_mode,ped_vktpc_model,ped_vkt_per_capita,scenario_population,scenario_population_million,population_million,population_source,population_source_status,population_fallback_flag,population_warning,raw_light_petrol_vkt,raw_light_petrol_vkt_million_km,adjusted_light_petrol_vkt_million_km,optimized_light_petrol_vkt,optimized_light_petrol_vkt_million_km,optimization_delta,optimization_delta_million_km,base_litres_per_100km,ped_volume_raw,ped_volume_raw_million_litres,ped_volume_optimized,ped_volume_optimized_million_litres,ped_volume_million_litres,ped_rate,ped_rate_nzd_per_litre,gross_ped_revenue_raw,gross_ped_revenue_raw_million_nzd,gross_ped_revenue_optimized,gross_ped_revenue_optimized_million_nzd,gross_ped_revenue_million_nzd,total_nltf_raw,total_nltf_raw_million_nzd,total_nltf_optimized,total_nltf_optimized_million_nzd,total_nltf_net_revenue_million_nzd,mbu26_ped_vkt_per_capita,mbu26_population_proxy,mbu26_light_petrol_vkt_million_km,mbu26_ped_volume_million_litres,mbu26_gross_ped_revenue_million_nzd,mbu26_total_nltf_net_revenue_million_nzd,raw_light_petrol_vkt_residual,ped_volume_raw_residual,ped_volume_optimized_residual,gross_ped_revenue_raw_residual,gross_ped_revenue_optimized_residual,vktpc_unit,population_unit,light_petrol_vkt_unit,litres_intensity_unit,ped_volume_unit,ped_rate_unit,gross_ped_revenue_unit,source_file,vktpc_source_cell,population_source_cell,migration_source_cells,formula,availability_status,notes
2026,FY2026,Current finalist Base case,current_basecase,current_basecase,basecase,Current planned path,optimized,6144.321779043229,6144.321779043229,5361539.436754805,5.361539436754805,5.361539436754805,scenario_inputs/scenario_input_wide.parquet:PED:population (2026Q1; 2026Q2); mbu26_official_annual.csv:population_proxy (2025Q3; 2025Q4),scenario_input_population_with_mbu_population_proxy_for_missing_quarters,True,warning_current_finalist_uses_mbu26_population_proxy,32943.02353045172,32943.02353045172,31528.855594341494,31528.855594341494,31528.855594341494,-1414.1679361102251,-1414.1679361102251,9.253495188709412,3048.3810974057587,3048.3810974057587,2917.5211354775283,2917.5211354775283,2917.5211354775283,0.7002400000000003,0.7002400000000003,2134.5983796474093,2134.5983796474093,2042.9649999067854,2042.9649999067854,2042.9649999067854,4711.04454141124,4711.04454141124,4619.411161670616,4619.411161670616,4619.411161670616,5935.87599744435,5363105.743888369,31834.7306569029,2945.82526967511,2062.7846868373,4563.15127995703,0.0,0.0,0.0,0.0,0.0,km/person,million people,million km,litres/100km,million litres,$/litre,$m nominal ex GST,forecast_scenario_comparison.parquet; scenario_inputs/scenario_input_wide.parquet; mbu26_official_annual.csv,data/current_revenue_outlook/revenue_chart_rows.csv:historical_actual:2025Q3; data/current_revenue_outlook/revenue_chart_rows.csv:historical_actual:2025Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2026Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2026Q2,scenario_inputs/scenario_input_wide.parquet:PED:population (2026Q1; 2026Q2); mbu26_official_annual.csv:population_proxy (2025Q3; 2025Q4),data/current_revenue_outlook/revenue_chart_rows.csv:historical_actual:2025Q3; data/current_revenue_outlook/revenue_chart_rows.csv:historical_actual:2025Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2026Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2026Q2; data/current_revenue_outlook/revenue_chart_rows.csv:historical_actual:2025Q3; data/current_revenue_outlook/revenue_chart_rows.csv:historical_actual:2025Q4; data/current_revenue_outlook/revenue_chart_rows.csv:historical_actual:2026Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2026Q2; AB16; AB10; AB12; AB14; scenario_inputs/scenario_input_wide.parquet:PED:population (2026Q1; 2026Q2); mbu26_official_annual.csv:population_proxy (2025Q3; 2025Q4),"raw_light_petrol_vkt = ped_vkt_per_capita * scenario_population / 1,000,000; optimized_light_petrol_vkt = raw_light_petrol_vkt + optimization_delta; gross_ped_revenue = selected_light_petrol_vkt * base_litres_per_100km / 100 * ped_rate_nzd_per_litre",warning_current_finalist_uses_mbu26_population_proxy,Raw bridge uses current-finalist PED VKTpc times scenario population. Optimized bridge then applies the PED+Light EV/PHEV migration allocation before MBU26 litres intensity and PED rate.
2027,FY2027,Current finalist Base case,current_basecase,current_basecase,basecase,Current planned path,optimized,5966.778677198156,5966.778677198156,5395033.188649469,5.395033188649469,5.395033188649469,scenario_inputs/scenario_input_wide.parquet:PED:population (2026Q3; 2026Q4; 2027Q1; 2027Q2),scenario_input_population,False,,32190.96899281003,32190.96899281003,30435.474988724978,30435.474988724978,30435.474988724978,-1755.4940040850524,-1755.4940040850524,9.019048682247908,2903.3191647488657,2903.3191647488657,2744.990305906492,2744.990305906492,2744.990305906492,0.7598432334330983,0.7598432334330983,2206.0674218310605,2206.0674218310605,2085.7623097824985,2085.7623097824985,2085.7623097824985,5079.814497147219,5079.814497147219,4959.509385098658,4959.509385098658,4959.509385098658,5924.5731702763,5420684.735249234,32115.2433469839,2896.48943188686,2200.87789552971,5008.27996268758,0.0,0.0,0.0,0.0,0.0,km/person,million people,million km,litres/100km,million litres,$/litre,$m nominal ex GST,forecast_scenario_comparison.parquet; scenario_inputs/scenario_input_wide.parquet; mbu26_official_annual.csv,data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2026Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2026Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2027Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2027Q2,scenario_inputs/scenario_input_wide.parquet:PED:population (2026Q3; 2026Q4; 2027Q1; 2027Q2),data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2026Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2026Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2027Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2027Q2; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2026Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2026Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2027Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2027Q2; AC16; AC10; AC12; AC14; scenario_inputs/scenario_input_wide.parquet:PED:population (2026Q3; 2026Q4; 2027Q1; 2027Q2),"raw_light_petrol_vkt = ped_vkt_per_capita * scenario_population / 1,000,000; optimized_light_petrol_vkt = raw_light_petrol_vkt + optimization_delta; gross_ped_revenue = selected_light_petrol_vkt * base_litres_per_100km / 100 * ped_rate_nzd_per_litre",available,Raw bridge uses current-finalist PED VKTpc times scenario population. Optimized bridge then applies the PED+Light EV/PHEV migration allocation before MBU26 litres intensity and PED rate.
2028,FY2028,Current finalist Base case,current_basecase,current_basecase,basecase,Current planned path,optimized,5911.505385511109,5911.505385511109,5438574.545647807,5.438574545647808,5.438574545647808,scenario_inputs/scenario_input_wide.parquet:PED:population (2027Q3; 2027Q4; 2028Q1; 2028Q2),scenario_input_population,False,,32150.162716100647,32150.162716100647,30023.75469430188,30023.75469430188,30023.75469430188,-2126.4080217987685,-2126.4080217987685,8.931856817675813,2871.606500451903,2871.606500451903,2681.678780585264,2681.678780585264,2681.678780585264,0.8500894140750587,0.8500894140750587,2441.1222874232876,2441.1222874232876,2279.666743325245,2279.666743325245,2279.666743325245,5720.822841444683,5720.822841444683,5559.367297346641,5559.367297346641,5559.367297346641,5908.65677079833,5474417.296010022,32346.4528222451,2889.13885167999,2456.02635360613,5639.13432985787,0.0,0.0,0.0,0.0,0.0,km/person,million people,million km,litres/100km,million litres,$/litre,$m nominal ex GST,forecast_scenario_comparison.parquet; scenario_inputs/scenario_input_wide.parquet; mbu26_official_annual.csv,data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2027Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2027Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2028Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2028Q2,scenario_inputs/scenario_input_wide.parquet:PED:population (2027Q3; 2027Q4; 2028Q1; 2028Q2),data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2027Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2027Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2028Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2028Q2; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2027Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2027Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2028Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2028Q2; AD16; AD10; AD12; AD14; scenario_inputs/scenario_input_wide.parquet:PED:population (2027Q3; 2027Q4; 2028Q1; 2028Q2),"raw_light_petrol_vkt = ped_vkt_per_capita * scenario_population / 1,000,000; optimized_light_petrol_vkt = raw_light_petrol_vkt + optimization_delta; gross_ped_revenue = selected_light_petrol_vkt * base_litres_per_100km / 100 * ped_rate_nzd_per_litre",available,Raw bridge uses current-finalist PED VKTpc times scenario population. Optimized bridge then applies the PED+Light EV/PHEV migration allocation before MBU26 litres intensity and PED rate.
2029,FY2029,Current finalist Base case,current_basecase,current_basecase,basecase,Current planned path,optimized,5889.9724021517095,5889.9724021517095,5482087.280881718,5.482087280881718,5.482087280881718,scenario_inputs/scenario_input_wide.parquet:PED:population (2028Q3; 2028Q4; 2029Q1; 2029Q2),scenario_input_population,False,,32289.342790580224,32289.342790580224,29749.099867934034,29749.099867934034,29749.099867934034,-2540.24292264619,-2540.24292264619,8.844689067937997,2855.8919719074747,2855.8919719074747,2631.2153838291188,2631.2153838291188,2631.2153838291188,0.9001107027491552,0.9001107027491552,2570.6189298093077,2570.6189298093077,2368.385128222816,2368.385128222816,2368.385128222816,6162.113349609849,6162.113349609849,5959.8795480233575,5959.8795480233575,5959.8795480233575,5897.91062691712,5528812.289434058,32608.4407560831,2884.11519477832,2596.02295478143,6059.82780134886,0.0,0.0,0.0,0.0,0.0,km/person,million people,million km,litres/100km,million litres,$/litre,$m nominal ex GST,forecast_scenario_comparison.parquet; scenario_inputs/scenario_input_wide.parquet; mbu26_official_annual.csv,data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2028Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2028Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2029Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2029Q2,scenario_inputs/scenario_input_wide.parquet:PED:population (2028Q3; 2028Q4; 2029Q1; 2029Q2),data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2028Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2028Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2029Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2029Q2; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2028Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2028Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2029Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2029Q2; AE16; AE10; AE12; AE14; scenario_inputs/scenario_input_wide.parquet:PED:population (2028Q3; 2028Q4; 2029Q1; 2029Q2),"raw_light_petrol_vkt = ped_vkt_per_capita * scenario_population / 1,000,000; optimized_light_petrol_vkt = raw_light_petrol_vkt + optimization_delta; gross_ped_revenue = selected_light_petrol_vkt * base_litres_per_100km / 100 * ped_rate_nzd_per_litre",available,Raw bridge uses current-finalist PED VKTpc times scenario population. Optimized bridge then applies the PED+Light EV/PHEV migration allocation before MBU26 litres intensity and PED rate.
2030,FY2030,Current finalist Base case,current_basecase,current_basecase,basecase,Current planned path,optimized,5870.472750433319,5870.472750433319,5525943.3279658845,5.5259433279658845,5.5259433279658845,scenario_inputs/scenario_input_wide.parquet:PED:population (2029Q3; 2029Q4; 2030Q1; 2030Q2),scenario_input_population,False,,32439.89972726253,32439.89972726253,29498.362485188074,29498.362485188074,29498.362485188074,-2941.537242074457,-2941.537242074457,8.757543274926979,2840.9382569579348,2840.9382569579348,2583.331860035171,2583.331860035171,2583.331860035171,0.9400992657432979,0.9400992657432979,2670.7639693881993,2670.7639693881993,2428.5883847903324,2428.5883847903324,2428.5883847903324,6546.465654166935,6546.465654166935,6304.290069569067,6304.290069569067,6304.290069569067,5887.16953577159,5583306.592200029,32869.8724784727,2878.59330671556,2706.16345401687,6434.36939164909,0.0,0.0,0.0,0.0,0.0,km/person,million people,million km,litres/100km,million litres,$/litre,$m nominal ex GST,forecast_scenario_comparison.parquet; scenario_inputs/scenario_input_wide.parquet; mbu26_official_annual.csv,data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2029Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2029Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2030Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2030Q2,scenario_inputs/scenario_input_wide.parquet:PED:population (2029Q3; 2029Q4; 2030Q1; 2030Q2),data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2029Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2029Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2030Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2030Q2; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2029Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2029Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2030Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2030Q2; AF16; AF10; AF12; AF14; scenario_inputs/scenario_input_wide.parquet:PED:population (2029Q3; 2029Q4; 2030Q1; 2030Q2),"raw_light_petrol_vkt = ped_vkt_per_capita * scenario_population / 1,000,000; optimized_light_petrol_vkt = raw_light_petrol_vkt + optimization_delta; gross_ped_revenue = selected_light_petrol_vkt * base_litres_per_100km / 100 * ped_rate_nzd_per_litre",available,Raw bridge uses current-finalist PED VKTpc times scenario population. Optimized bridge then applies the PED+Light EV/PHEV migration allocation before MBU26 litres intensity and PED rate.
2026,FY2026,Current finalist High population/comparison,current_comparison_1,current_comparison_1,comparison,Current planned path,optimized,6143.789827574411,6143.789827574411,5367416.950035031,5.367416950035031,5.367416950035031,scenario_inputs/scenario_input_wide.parquet:PED:population (2026Q1; 2026Q2); mbu26_official_annual.csv:population_proxy (2025Q3; 2025Q4),scenario_input_population_with_mbu_population_proxy_for_missing_quarters,True,warning_current_finalist_uses_mbu26_population_proxy,32976.2816579757,32976.2816579757,31559.50561025769,31559.50561025769,31559.50561025769,-1416.776047718009,-1416.776047718009,9.253495188709412,3051.4586366360454,3051.4586366360454,2920.357333225672,2920.357333225672,2920.357333225672,0.7002400000000003,0.7002400000000003,2136.7533957180253,2136.7533957180253,2044.9510190179453,2044.9510190179453,2044.9510190179453,4714.384274351433,4714.384274351433,4622.581897651354,4622.581897651354,4622.581897651354,5935.87599744435,5363105.743888369,31834.7306569029,2945.82526967511,2062.7846868373,4563.15127995703,7.275957614183426e-12,0.0,0.0,0.0,0.0,km/person,million people,million km,litres/100km,million litres,$/litre,$m nominal ex GST,forecast_scenario_comparison.parquet; scenario_inputs/scenario_input_wide.parquet; mbu26_official_annual.csv,data/current_revenue_outlook/revenue_chart_rows.csv:historical_actual:2025Q3; data/current_revenue_outlook/revenue_chart_rows.csv:historical_actual:2025Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2026Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2026Q2,scenario_inputs/scenario_input_wide.parquet:PED:population (2026Q1; 2026Q2); mbu26_official_annual.csv:population_proxy (2025Q3; 2025Q4),data/current_revenue_outlook/revenue_chart_rows.csv:historical_actual:2025Q3; data/current_revenue_outlook/revenue_chart_rows.csv:historical_actual:2025Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2026Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2026Q2; data/current_revenue_outlook/revenue_chart_rows.csv:historical_actual:2025Q3; data/current_revenue_outlook/revenue_chart_rows.csv:historical_actual:2025Q4; data/current_revenue_outlook/revenue_chart_rows.csv:historical_actual:2026Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2026Q2; AB16; AB10; AB12; AB14; scenario_inputs/scenario_input_wide.parquet:PED:population (2026Q1; 2026Q2); mbu26_official_annual.csv:population_proxy (2025Q3; 2025Q4),"raw_light_petrol_vkt = ped_vkt_per_capita * scenario_population / 1,000,000; optimized_light_petrol_vkt = raw_light_petrol_vkt + optimization_delta; gross_ped_revenue = selected_light_petrol_vkt * base_litres_per_100km / 100 * ped_rate_nzd_per_litre",warning_current_finalist_uses_mbu26_population_proxy,Raw bridge uses current-finalist PED VKTpc times scenario population. Optimized bridge then applies the PED+Light EV/PHEV migration allocation before MBU26 litres intensity and PED rate.
2027,FY2027,Current finalist High population/comparison,current_comparison_1,current_comparison_1,comparison,Current planned path,optimized,5962.372187463133,5962.372187463133,5432094.429483625,5.432094429483625,5.432094429483625,scenario_inputs/scenario_input_wide.parquet:PED:population (2026Q3; 2026Q4; 2027Q1; 2027Q2),scenario_input_population,False,,32388.168746026582,32388.168746026582,30618.355986008868,30618.355986008868,30618.355986008868,-1769.812760017714,-1769.812760017714,9.019048682247908,2921.104706492739,2921.104706492739,2761.484432082106,2761.484432082106,2761.484432082106,0.7598432334330983,0.7598432334330983,2219.5816453780844,2219.5816453780844,2098.2952599484306,2098.2952599484306,2098.2952599484306,5103.30926757221,5103.30926757221,4982.022882142556,4982.022882142556,4982.022882142556,5924.5731702763,5420684.735249234,32115.2433469839,2896.48943188686,2200.87789552971,5008.27996268758,0.0,0.0,0.0,0.0,0.0,km/person,million people,million km,litres/100km,million litres,$/litre,$m nominal ex GST,forecast_scenario_comparison.parquet; scenario_inputs/scenario_input_wide.parquet; mbu26_official_annual.csv,data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2026Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2026Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2027Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2027Q2,scenario_inputs/scenario_input_wide.parquet:PED:population (2026Q3; 2026Q4; 2027Q1; 2027Q2),data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2026Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2026Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2027Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2027Q2; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2026Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2026Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2027Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2027Q2; AC16; AC10; AC12; AC14; scenario_inputs/scenario_input_wide.parquet:PED:population (2026Q3; 2026Q4; 2027Q1; 2027Q2),"raw_light_petrol_vkt = ped_vkt_per_capita * scenario_population / 1,000,000; optimized_light_petrol_vkt = raw_light_petrol_vkt + optimization_delta; gross_ped_revenue = selected_light_petrol_vkt * base_litres_per_100km / 100 * ped_rate_nzd_per_litre",available,Raw bridge uses current-finalist PED VKTpc times scenario population. Optimized bridge then applies the PED+Light EV/PHEV migration allocation before MBU26 litres intensity and PED rate.
2028,FY2028,Current finalist High population/comparison,current_comparison_1,current_comparison_1,comparison,Current planned path,optimized,5901.515350664844,5901.515350664844,5513657.011686059,5.513657011686059,5.513657011686059,scenario_inputs/scenario_input_wide.parquet:PED:population (2027Q3; 2027Q4; 2028Q1; 2028Q2),scenario_input_population,False,,32538.931492766125,32538.931492766125,30380.30634625462,30380.30634625462,30380.30634625462,-2158.6251465115056,-2158.6251465115056,8.931856817675813,2906.3307709354935,2906.3307709354935,2713.525463618741,2713.525463618741,2713.525463618741,0.8500894140750587,0.8500894140750587,2470.6410221728675,2470.6410221728675,2306.7392714454077,2306.7392714454077,2306.7392714454077,5770.139725171504,5770.139725171504,5606.237974444044,5606.237974444044,5606.237974444044,5908.65677079833,5474417.296010022,32346.4528222451,2889.13885167999,2456.02635360613,5639.13432985787,0.0,0.0,0.0,0.0,0.0,km/person,million people,million km,litres/100km,million litres,$/litre,$m nominal ex GST,forecast_scenario_comparison.parquet; scenario_inputs/scenario_input_wide.parquet; mbu26_official_annual.csv,data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2027Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2027Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2028Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2028Q2,scenario_inputs/scenario_input_wide.parquet:PED:population (2027Q3; 2027Q4; 2028Q1; 2028Q2),data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2027Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2027Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2028Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2028Q2; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2027Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2027Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2028Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2028Q2; AD16; AD10; AD12; AD14; scenario_inputs/scenario_input_wide.parquet:PED:population (2027Q3; 2027Q4; 2028Q1; 2028Q2),"raw_light_petrol_vkt = ped_vkt_per_capita * scenario_population / 1,000,000; optimized_light_petrol_vkt = raw_light_petrol_vkt + optimization_delta; gross_ped_revenue = selected_light_petrol_vkt * base_litres_per_100km / 100 * ped_rate_nzd_per_litre",available,Raw bridge uses current-finalist PED VKTpc times scenario population. Optimized bridge then applies the PED+Light EV/PHEV migration allocation before MBU26 litres intensity and PED rate.
2029,FY2029,Current finalist High population/comparison,current_comparison_1,current_comparison_1,comparison,Current planned path,optimized,5873.960913560629,5873.960913560629,5596368.811184944,5.596368811184943,5.596368811184943,scenario_inputs/scenario_input_wide.parquet:PED:population (2028Q3; 2028Q4; 2029Q1; 2029Q2),scenario_input_population,False,,32872.85165477012,32872.85165477012,30276.087690135842,30276.087690135842,30276.087690135842,-2596.7639646342795,-2596.7639646342795,8.844689067937997,2907.5015166289277,2907.5015166289277,2677.825818128767,2677.825818128767,2677.825818128767,0.9001107027491552,0.9001107027491552,2617.0732333770984,2617.0732333770984,2410.339678995716,2410.339678995716,2410.339678995716,6239.664705705066,6239.664705705066,6032.9311513236835,6032.9311513236835,6032.9311513236835,5897.91062691712,5528812.289434058,32608.4407560831,2884.11519477832,2596.02295478143,6059.82780134886,0.0,0.0,0.0,0.0,0.0,km/person,million people,million km,litres/100km,million litres,$/litre,$m nominal ex GST,forecast_scenario_comparison.parquet; scenario_inputs/scenario_input_wide.parquet; mbu26_official_annual.csv,data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2028Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2028Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2029Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2029Q2,scenario_inputs/scenario_input_wide.parquet:PED:population (2028Q3; 2028Q4; 2029Q1; 2029Q2),data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2028Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2028Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2029Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2029Q2; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2028Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2028Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2029Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2029Q2; AE16; AE10; AE12; AE14; scenario_inputs/scenario_input_wide.parquet:PED:population (2028Q3; 2028Q4; 2029Q1; 2029Q2),"raw_light_petrol_vkt = ped_vkt_per_capita * scenario_population / 1,000,000; optimized_light_petrol_vkt = raw_light_petrol_vkt + optimization_delta; gross_ped_revenue = selected_light_petrol_vkt * base_litres_per_100km / 100 * ped_rate_nzd_per_litre",available,Raw bridge uses current-finalist PED VKTpc times scenario population. Optimized bridge then applies the PED+Light EV/PHEV migration allocation before MBU26 litres intensity and PED rate.
2030,FY2030,Current finalist High population/comparison,current_comparison_1,current_comparison_1,comparison,Current planned path,optimized,5847.472417864368,5847.472417864368,5680312.261437219,5.680312261437218,5.680312261437218,scenario_inputs/scenario_input_wide.parquet:PED:population (2029Q3; 2029Q4; 2030Q1; 2030Q2),scenario_input_population,False,,33215.469273610914,33215.469273610914,30187.576568550983,30187.576568550983,30187.576568550983,-3027.8927050599304,-3027.8927050599304,8.757543274926979,2908.8590956065495,2908.8590956065495,2643.690081642569,2643.690081642569,2643.690081642569,0.9400992657432979,0.9400992657432979,2734.616299930431,2734.616299930431,2485.3311046050185,2485.3311046050185,2485.3311046050185,6656.053607622358,6656.053607622358,6406.768412296946,6406.768412296946,6406.768412296946,5887.16953577159,5583306.592200029,32869.8724784727,2878.59330671556,2706.16345401687,6434.36939164909,7.275957614183426e-12,0.0,0.0,0.0,0.0,km/person,million people,million km,litres/100km,million litres,$/litre,$m nominal ex GST,forecast_scenario_comparison.parquet; scenario_inputs/scenario_input_wide.parquet; mbu26_official_annual.csv,data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2029Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2029Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2030Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2030Q2,scenario_inputs/scenario_input_wide.parquet:PED:population (2029Q3; 2029Q4; 2030Q1; 2030Q2),data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2029Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2029Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2030Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2030Q2; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2029Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2029Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2030Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2030Q2; AF16; AF10; AF12; AF14; scenario_inputs/scenario_input_wide.parquet:PED:population (2029Q3; 2029Q4; 2030Q1; 2030Q2),"raw_light_petrol_vkt = ped_vkt_per_capita * scenario_population / 1,000,000; optimized_light_petrol_vkt = raw_light_petrol_vkt + optimization_delta; gross_ped_revenue = selected_light_petrol_vkt * base_litres_per_100km / 100 * ped_rate_nzd_per_litre",available,Raw bridge uses current-finalist PED VKTpc times scenario population. Optimized bridge then applies the PED+Light EV/PHEV migration allocation before MBU26 litres intensity and PED rate.
