scenario_name,scenario_role,stream,series_id,period,june_year,horizon,value,value_unit,engine,decision_facing,availability_status,unavailable_reason,status,source,notes
current_basecase,basecase,HEAVY_RUC,heavy_ruc_net_km,2026Q2,2026,2.0,982103214.6485014,net km,ar1,False,within_decision_facing_horizon,,raw_replay_audit_evidence_mirrors_decision_facing_row,scenario_inputs/scenario_input_wide.parquet,"Raw deterministic replay of the committed scenario inputs over the full model source horizon. Non-decision-facing audit evidence only: it is never plotted, never annualized and never summed into a total. Beyond H20 it is unvalidated long-range extrapolation."
current_basecase,basecase,HEAVY_RUC,heavy_ruc_net_km,2026Q3,2027,3.0,996995005.0187113,net km,ar1,False,within_decision_facing_horizon,,raw_replay_audit_evidence_mirrors_decision_facing_row,scenario_inputs/scenario_input_wide.parquet,"Raw deterministic replay of the committed scenario inputs over the full model source horizon. Non-decision-facing audit evidence only: it is never plotted, never annualized and never summed into a total. Beyond H20 it is unvalidated long-range extrapolation."
current_basecase,basecase,HEAVY_RUC,heavy_ruc_net_km,2026Q4,2027,4.0,1066863614.1437278,net km,ar1,False,within_decision_facing_horizon,,raw_replay_audit_evidence_mirrors_decision_facing_row,scenario_inputs/scenario_input_wide.parquet,"Raw deterministic replay of the committed scenario inputs over the full model source horizon. Non-decision-facing audit evidence only: it is never plotted, never annualized and never summed into a total. Beyond H20 it is unvalidated long-range extrapolation."
current_basecase,basecase,HEAVY_RUC,heavy_ruc_net_km,2027Q1,2027,5.0,1036733167.6228219,net km,ar1,False,within_decision_facing_horizon,,raw_replay_audit_evidence_mirrors_decision_facing_row,scenario_inputs/scenario_input_wide.parquet,"Raw deterministic replay of the committed scenario inputs over the full model source horizon. Non-decision-facing audit evidence only: it is never plotted, never annualized and never summed into a total. Beyond H20 it is unvalidated long-range extrapolation."
current_basecase,basecase,HEAVY_RUC,heavy_ruc_net_km,2027Q2,2027,6.0,1002056667.156018,net km,ar1,False,within_decision_facing_horizon,,raw_replay_audit_evidence_mirrors_decision_facing_row,scenario_inputs/scenario_input_wide.parquet,"Raw deterministic replay of the committed scenario inputs over the full model source horizon. Non-decision-facing audit evidence only: it is never plotted, never annualized and never summed into a total. Beyond H20 it is unvalidated long-range extrapolation."
current_basecase,basecase,HEAVY_RUC,heavy_ruc_net_km,2027Q3,2028,7.0,1014453715.7863699,net km,ar1,False,within_decision_facing_horizon,,raw_replay_audit_evidence_mirrors_decision_facing_row,scenario_inputs/scenario_input_wide.parquet,"Raw deterministic replay of the committed scenario inputs over the full model source horizon. Non-decision-facing audit evidence only: it is never plotted, never annualized and never summed into a total. Beyond H20 it is unvalidated long-range extrapolation."
current_basecase,basecase,HEAVY_RUC,heavy_ruc_net_km,2027Q4,2028,8.0,1070991568.5059285,net km,ar1,False,within_decision_facing_horizon,,raw_replay_audit_evidence_mirrors_decision_facing_row,scenario_inputs/scenario_input_wide.parquet,"Raw deterministic replay of the committed scenario inputs over the full model source horizon. Non-decision-facing audit evidence only: it is never plotted, never annualized and never summed into a total. Beyond H20 it is unvalidated long-range extrapolation."
current_basecase,basecase,HEAVY_RUC,heavy_ruc_net_km,2028Q1,2028,9.0,1038543540.3112196,net km,ar1,False,within_decision_facing_horizon,,raw_replay_audit_evidence_mirrors_decision_facing_row,scenario_inputs/scenario_input_wide.parquet,"Raw deterministic replay of the committed scenario inputs over the full model source horizon. Non-decision-facing audit evidence only: it is never plotted, never annualized and never summed into a total. Beyond H20 it is unvalidated long-range extrapolation."
current_basecase,basecase,HEAVY_RUC,heavy_ruc_net_km,2028Q2,2028,10.0,1010728566.2821536,net km,ar1,False,within_decision_facing_horizon,,raw_replay_audit_evidence_mirrors_decision_facing_row,scenario_inputs/scenario_input_wide.parquet,"Raw deterministic replay of the committed scenario inputs over the full model source horizon. Non-decision-facing audit evidence only: it is never plotted, never annualized and never summed into a total. Beyond H20 it is unvalidated long-range extrapolation."
current_basecase,basecase,HEAVY_RUC,heavy_ruc_net_km,2028Q3,2029,11.0,1023718408.9729474,net km,ar1,False,within_decision_facing_horizon,,raw_replay_audit_evidence_mirrors_decision_facing_row,scenario_inputs/scenario_input_wide.parquet,"Raw deterministic replay of the committed scenario inputs over the full model source horizon. Non-decision-facing audit evidence only: it is never plotted, never annualized and never summed into a total. Beyond H20 it is unvalidated long-range extrapolation."
