FY,period,source_path,scenario_name,scenario_role,conventional_light_km,light_bev_km,phev_km,total_light_universe_km,conventional_share,light_bev_share,phev_share,share_sum,conventional_light_revenue,light_bev_revenue,phev_revenue,conventional_light_rate_nzd_per_1000km,light_bev_rate_nzd_per_1000km,phev_rate_nzd_per_1000km,conventional_light_source_cell,light_bev_source_cell,phev_source_cell,conventional_light_revenue_source_cell,light_bev_revenue_source_cell,phev_revenue_source_cell,source_formula,source_file,source_status,model_input_target_million_km,model_input_quarters,model_input_full_year,target_minus_conventional_light_km,target_minus_total_light_universe_km,target_matches_conventional_light,target_matches_total_light_universe,target_semantics_status,business_rule,current_light_total_modelled_km,current_conventional_light_km,current_light_bev_km,current_phev_km,current_allocation_sum_km,current_allocation_residual_km,current_light_ruc_net_revenue,current_light_bev_ruc_net_revenue,current_phev_ruc_net_revenue,old_light_ruc_net_revenue_no_allocation,old_light_bev_ruc_net_revenue_fixed_mbu,old_phev_ruc_net_revenue_fixed_mbu,extrapolated_model_extension,allocation_status,used_by_current_finalist,notes
2028,FY2028,Current finalist High population/comparison,current_comparison_1,comparison,13427.7171481819,1989.37597979678,1114.1399728797,16531.23310085838,0.8122634933678765,0.12034044693819497,0.06739605969392862,1.0000000000000002,1091.83652480716,161.835735956468,44.6937250120693,81.31214805600769,81.34999999999998,40.11500000000012,AD10,AD12,AD14,AD33,AD35,AD37,,data/revenue_model_source_pack/mbu26_annual_spine/mbu26_annual_spine.csv,ST_FORECAST,,,False,,,False,False,model_input_full_year_missing,current_light_ruc_total_allocated_by_mbu26_conventional_bev_phev_shares,13492.076728159203,12464.2421881904,1873.5130428352031,1049.2515200406744,15387.006751066278,-1894.930022907074,1013.494306212075,152.41028603464375,42.09072472643179,1097.069740503097,161.835735956468,44.6937250120693,False,legacy_light_only_comparator_superseded_by_ped_light_migration,True,Legacy Light-only split comparator retained for governance. Active current-finalist rows use the PED-Light optimized migration audit.
2029,FY2029,Current finalist Base case,current_basecase,basecase,13926.5605658137,2502.17964433063,1394.20153006706,17822.94174021139,0.7813839470951737,0.14039094560272924,0.07822510730209703,1.0,1199.40927936719,215.525243664418,59.2187099895983,86.12386911319989,86.13499999999968,42.47499999999995,AE10,AE12,AE14,AE33,AE35,AE37,,data/revenue_model_source_pack/mbu26_annual_spine/mbu26_annual_spine.csv,ST_FORECAST,,,False,,,False,False,model_input_full_year_missing,current_light_ruc_total_allocated_by_mbu26_conventional_bev_phev_shares,13800.49145671683,12507.79954095648,2286.771437856836,1274.1771937907954,16068.748172604111,-2268.2567158872807,1077.2200905594775,196.97105779979788,54.120676306263974,1188.5517199161136,215.525243664418,59.2187099895983,False,legacy_light_only_comparator_superseded_by_ped_light_migration,True,Legacy Light-only split comparator retained for governance. Active current-finalist rows use the PED-Light optimized migration audit.
2029,FY2029,Current finalist High population/comparison,current_comparison_1,comparison,13926.5605658137,2502.17964433063,1394.20153006706,17822.94174021139,0.7813839470951737,0.14039094560272924,0.07822510730209703,1.0,1199.40927936719,215.525243664418,59.2187099895983,86.12386911319989,86.13499999999968,42.47499999999995,AE10,AE12,AE14,AE33,AE35,AE37,,data/revenue_model_source_pack/mbu26_annual_spine/mbu26_annual_spine.csv,ST_FORECAST,,,False,,,False,False,model_input_full_year_missing,current_light_ruc_total_allocated_by_mbu26_conventional_bev_phev_shares,14031.55992218071,12724.478057333301,2327.187121744595,1296.6966033954138,16348.36178247331,-2316.8018602926004,1095.8812827435572,200.45226273146997,55.07718822922014,1208.4522301919126,215.525243664418,59.2187099895983,False,legacy_light_only_comparator_superseded_by_ped_light_migration,True,Legacy Light-only split comparator retained for governance. Active current-finalist rows use the PED-Light optimized migration audit.
2030,FY2030,Current finalist Base case,current_basecase,basecase,14402.4384228319,3074.13637597232,1688.91801832143,19165.49281712565,0.7514775936240136,0.16039954752561192,0.0881228588503745,1.0,1295.55904536384,276.56467906435,74.92884788283,89.95414577228922,89.96500000000007,44.36499999999985,AF10,AF12,AF14,AF33,AF35,AF37,,data/revenue_model_source_pack/mbu26_annual_spine/mbu26_annual_spine.csv,ST_FORECAST,,,False,,,False,False,model_input_full_year_missing,current_light_ruc_total_allocated_by_mbu26_conventional_bev_phev_shares,14081.509316140995,12493.297828828094,2748.38381530324,1509.9508867626228,16751.632530893956,-2670.123214752961,1123.8239340710268,247.2583499437562,66.98897109122355,1266.6901417179956,276.56467906435,74.92884788283,False,legacy_light_only_comparator_superseded_by_ped_light_migration,True,Legacy Light-only split comparator retained for governance. Active current-finalist rows use the PED-Light optimized migration audit.
2030,FY2030,Current finalist High population/comparison,current_comparison_1,comparison,14402.4384228319,3074.13637597232,1688.91801832143,19165.49281712565,0.7514775936240136,0.16039954752561192,0.0881228588503745,1.0,1295.55904536384,276.56467906435,74.92884788283,89.95414577228922,89.96500000000007,44.36499999999985,AF10,AF12,AF14,AF33,AF35,AF37,,data/revenue_model_source_pack/mbu26_annual_spine/mbu26_annual_spine.csv,ST_FORECAST,,,False,,,False,False,model_input_full_year_missing,current_light_ruc_total_allocated_by_mbu26_conventional_bev_phev_shares,14393.535849538132,12783.132804292442,2812.6366297519826,1545.2511216183457,17141.02055566277,-2747.4847061246383,1149.8957917038545,253.03885439563732,68.55506601059768,1294.7582219880237,276.56467906435,74.92884788283,False,legacy_light_only_comparator_superseded_by_ped_light_migration,True,Legacy Light-only split comparator retained for governance. Active current-finalist rows use the PED-Light optimized migration audit.
2031,FY2031,Current finalist Base case,current_basecase,basecase,14246.1931200422,3699.27203826942,1982.30123651121,19927.76639482283,0.714891615938619,0.18563405275718603,0.09947433130419502,1.0,1336.15045272876,346.954724469289,91.6913436948262,93.79000000000013,93.79,46.255000000000095,AG10,AG12,AG14,AG33,AG35,AG37,,data/revenue_model_source_pack/mbu26_annual_spine/mbu26_annual_spine.csv,LT_FORECAST,,,False,,,False,False,model_input_full_year_missing,current_light_ruc_total_allocated_by_mbu26_conventional_bev_phev_shares,14432.072431448823,12487.25346736557,3309.327226639888,1773.3444270990617,17569.92512110452,-3137.852689655696,1171.1795027042185,310.38180058655513,82.02604647546727,1353.584073345587,346.954724469289,91.6913436948262,False,legacy_light_only_comparator_superseded_by_ped_light_migration,True,Legacy Light-only split comparator retained for governance. Active current-finalist rows use the PED-Light optimized migration audit.
2031,FY2031,Current finalist High population/comparison,current_comparison_1,comparison,14246.1931200422,3699.27203826942,1982.30123651121,19927.76639482283,0.714891615938619,0.18563405275718603,0.09947433130419502,1.0,1336.15045272876,346.954724469289,91.6913436948262,93.79000000000013,93.79,46.255000000000095,AG10,AG12,AG14,AG33,AG35,AG37,,data/revenue_model_source_pack/mbu26_annual_spine/mbu26_annual_spine.csv,LT_FORECAST,,,False,,,False,False,model_input_full_year_missing,current_light_ruc_total_allocated_by_mbu26_conventional_bev_phev_shares,14830.705955293011,12852.734605282985,3406.016375235054,1825.1565179197946,18083.907498437835,-3253.2015431448235,1205.457978629493,319.45027583329573,84.42261473638027,1390.9719115469336,346.954724469289,91.6913436948262,False,legacy_light_only_comparator_superseded_by_ped_light_migration,True,Legacy Light-only split comparator retained for governance. Active current-finalist rows use the PED-Light optimized migration audit.
2032,FY2032,Current finalist Base case,current_basecase,basecase,14040.9690145148,4398.02707007662,2294.23844446945,20733.23452906087,0.6772203823206739,0.2121245030008269,0.1106551146784992,1.0,1370.60919035186,429.313412445529,110.444638716759,97.61499999999984,97.61499999999995,48.139999999999866,AH10,AH12,AH14,AH33,AH35,AH37,,data/revenue_model_source_pack/mbu26_annual_spine/mbu26_annual_spine.csv,LT_FORECAST,,,False,,,False,False,model_input_full_year_missing,current_light_ruc_total_allocated_by_mbu26_conventional_bev_phev_shares,14788.609655277314,12443.786196180346,3932.396966746241,2051.341693962586,18427.524856889173,-3638.9152016118587,1214.7001895401424,383.8609299089341,98.7515891473586,1443.5901314998928,429.313412445529,110.444638716759,False,legacy_light_only_comparator_superseded_by_ped_light_migration,True,Legacy Light-only split comparator retained for governance. Active current-finalist rows use the PED-Light optimized migration audit.
2032,FY2032,Current finalist High population/comparison,current_comparison_1,comparison,14040.9690145148,4398.02707007662,2294.23844446945,20733.23452906087,0.6772203823206739,0.2121245030008269,0.1106551146784992,1.0,1370.60919035186,429.313412445529,110.444638716759,97.61499999999984,97.61499999999995,48.139999999999866,AH10,AH12,AH14,AH33,AH35,AH37,,data/revenue_model_source_pack/mbu26_annual_spine/mbu26_annual_spine.csv,LT_FORECAST,,,False,,,False,False,model_input_full_year_missing,current_light_ruc_total_allocated_by_mbu26_conventional_bev_phev_shares,15278.263723866317,12884.884873175513,4072.29050049432,2124.3173983281195,19081.492771997953,-3803.229048131636,1257.7580368950257,397.51663720575283,102.26463955551539,1491.3877134052082,429.313412445529,110.444638716759,False,legacy_light_only_comparator_superseded_by_ped_light_migration,True,Legacy Light-only split comparator retained for governance. Active current-finalist rows use the PED-Light optimized migration audit.
2033,FY2033,Current finalist Base case,current_basecase,basecase,13782.7022644857,5198.25079890367,2610.75237942357,21591.70544281294,0.6383331923914068,0.24075220980906678,0.1209145977995263,0.9999999999999999,1398.18623122075,527.336552294783,130.602887780664,101.44499999999985,101.44500000000004,50.02499999999996,AI10,AI12,AI14,AI33,AI35,AI37,,data/revenue_model_source_pack/mbu26_annual_spine/mbu26_annual_spine.csv,LT_FORECAST,,,False,,,False,False,model_input_full_year_missing,current_light_ruc_total_allocated_by_mbu26_conventional_bev_phev_shares,15152.560046001963,12353.374444771867,4653.288529828189,2337.0523222841675,19343.71529688422,-4191.155250882257,1253.1880705498802,472.0528549084208,116.9110424222654,1537.151453866667,527.336552294783,130.602887780664,False,legacy_light_only_comparator_superseded_by_ped_light_migration,True,Legacy Light-only split comparator retained for governance. Active current-finalist rows use the PED-Light optimized migration audit.
