engine,series,period,lower,upper,expected_lower,expected_upper,vfm_fast,vfm_slow,lower_matches_independent,upper_matches_independent,width
ensemble,Total NLTF revenue,FY2025,4277.834258709689,4280.138318132472,4277.834258709689,4280.138318132472,4277.834258709689,4280.138318132472,True,True,2.3040594227832116
ensemble,Total NLTF revenue,FY2026,4595.340432543159,4600.673949398373,4595.340432543159,4600.673949398373,4595.340432543159,4600.673949398373,True,True,5.333516855213929
ensemble,Total NLTF revenue,FY2027,5016.896789794534,5026.92234030595,5016.896789794534,5026.92234030595,5016.896789794534,5026.92234030595,True,True,10.025550511415531
ensemble,Total NLTF revenue,FY2028,5683.476702791658,5700.727195213742,5683.476702791658,5700.727195213742,5683.476702791658,5700.727195213742,True,True,17.25049242208388
ensemble,Total NLTF revenue,FY2029,6120.810505445267,6145.25034701285,6120.810505445267,6145.25034701285,6120.810505445267,6145.25034701285,True,True,24.439841567583244
ensemble,Total NLTF revenue,FY2030,6497.903310340764,6529.410321014788,6497.903310340764,6529.410321014788,6497.903310340764,6529.410321014788,True,True,31.50701067402406
ensemble,Total RUC+PED revenue,FY2025,3973.9459572196893,3976.250016642473,3973.9459572196893,3976.250016642473,3973.9459572196893,3976.250016642473,True,True,2.3040594227836664
ensemble,Total RUC+PED revenue,FY2026,4184.059580535511,4189.3930973907245,4184.059580535511,4189.3930973907245,4184.059580535511,4189.3930973907245,True,True,5.333516855213929
ensemble,Total RUC+PED revenue,FY2027,4515.291899929702,4525.317450441117,4515.291899929702,4525.317450441117,4515.291899929702,4525.317450441117,True,True,10.025550511415531
ensemble,Total RUC+PED revenue,FY2028,5175.668292822246,5192.91878524433,5175.668292822246,5192.91878524433,5175.668292822246,5192.91878524433,True,True,17.25049242208388
ensemble,Total RUC+PED revenue,FY2029,5618.409495758745,5642.849337326328,5618.409495758745,5642.849337326328,5618.409495758745,5642.849337326328,True,True,24.439841567583244
ensemble,Total RUC+PED revenue,FY2030,6000.461692359078,6031.968703033102,6000.461692359078,6031.968703033102,6000.461692359078,6031.968703033102,True,True,31.50701067402406
ensemble,Total RUC all classes,FY2025,1976.2188106196893,1978.5228700424725,1976.2188106196893,1978.5228700424725,1976.2188106196893,1978.5228700424725,True,True,2.3040594227832116
ensemble,Total RUC all classes,FY2026,2068.853022963976,2074.186539819189,2068.853022963976,2074.186539819189,2068.853022963976,2074.186539819189,True,True,5.33351685521302
ensemble,Total RUC all classes,FY2027,2276.978272633629,2287.003823145045,2276.978272633629,2287.003823145045,2276.978272633629,2287.003823145045,True,True,10.025550511415986
ensemble,Total RUC all classes,FY2028,2672.833140159883,2690.0836325819664,2672.833140159883,2690.0836325819664,2672.833140159883,2690.0836325819664,True,True,17.250492422083425
ensemble,Total RUC all classes,FY2029,2967.2367471023913,2991.6765886699745,2967.2367471023913,2991.6765886699745,2967.2367471023913,2991.6765886699745,True,True,24.439841567583244
ensemble,Total RUC all classes,FY2030,3236.578965058866,3268.0859757328903,3236.578965058866,3268.0859757328903,3236.578965058866,3268.0859757328903,True,True,31.507010674024514
ensemble,Light RUC revenue,FY2025,812.0864140613921,825.8263836615536,812.0864140613921,825.8263836615536,812.0864140613921,825.8263836615536,True,True,13.73996960016143
ensemble,Light RUC revenue,FY2026,855.6829132801796,882.531524416064,855.6829132801796,882.531524416064,855.6829132801796,882.531524416064,True,True,26.848611135884425
ensemble,Light RUC revenue,FY2027,920.8773250946132,969.4030741356731,920.8773250946132,969.4030741356731,920.8773250946132,969.4030741356731,True,True,48.52574904105995
ensemble,Light RUC revenue,FY2028,1065.3208639477073,1148.866611439396,1065.3208639477073,1148.866611439396,1065.3208639477073,1148.866611439396,True,True,83.54574749168864
ensemble,Light RUC revenue,FY2029,1162.5446108480944,1285.7407390758483,1162.5446108480944,1285.7407390758483,1162.5446108480944,1285.7407390758483,True,True,123.19612822775389
ensemble,Light RUC revenue,FY2030,1233.447349033885,1400.883390045365,1233.447349033885,1400.883390045365,1233.447349033885,1400.883390045365,True,True,167.43604101148003
ensemble,Light RUC net km,FY2025,11994.99636874184,12197.943841580734,11994.99636874184,12197.943841580734,11994.99636874184,12197.943841580734,True,True,202.9474728388941
ensemble,Light RUC net km,FY2026,12631.475314783296,13027.810877333082,12631.475314783296,13027.810877333082,12631.475314783296,13027.810877333082,True,True,396.3355625497861
ensemble,Light RUC net km,FY2027,12620.153402652155,13285.174008750646,12620.153402652155,13285.174008750646,12620.153402652155,13285.174008750646,True,True,665.020606098491
ensemble,Light RUC net km,FY2028,13099.857453087672,14127.188673183347,13099.857453087672,14127.188673183347,13099.857453087672,14127.188673183347,True,True,1027.3312200956752
ensemble,Light RUC net km,FY2029,13498.002036830772,14928.400125842407,13498.002036830772,14928.400125842407,13498.002036830772,14928.400125842407,True,True,1430.3980890116345
ensemble,Light RUC net km,FY2030,13711.639163255668,15572.94485990476,13711.639163255668,15572.94485990476,13711.639163255668,15572.94485990476,True,True,1861.3056966490913
ensemble,Heavy RUC revenue,FY2026,1131.844301202585,1133.3798822508636,1131.844301202585,1133.3798822508636,1131.844301202585,1133.3798822508636,True,True,1.5355810482785728
ensemble,Heavy RUC revenue,FY2027,1228.0101979198976,1231.7193395425104,1228.0101979198976,1231.7193395425104,1228.0101979198976,1231.7193395425104,True,True,3.709141622612833
ensemble,Heavy RUC revenue,FY2028,1376.5172728507719,1383.4767185456762,1376.5172728507719,1383.4767185456762,1376.5172728507719,1383.4767185456762,True,True,6.959445694904389
ensemble,Heavy RUC revenue,FY2029,1466.3841816943632,1477.440236796893,1466.3841816943632,1477.440236796893,1466.3841816943632,1477.440236796893,True,True,11.056055102529854
ensemble,Heavy RUC revenue,FY2030,1538.9629110499766,1555.2185365319933,1538.9629110499766,1555.2185365319933,1538.9629110499766,1555.2185365319933,True,True,16.25562548201674
