stream,stream_label,component_label,component_model,score_basis,eval_grid,origin,target_period,horizon,actual,stored_component_pred,replayed_pred,replayed_pred_log,abs_delta,abs_pct_delta,match_status,component_weight,weighted_component_pred,final_pred,ensemble_model
HEAVY_RUC,Heavy RUC volume,C1,HEAVY_RUC__dynamic_no_leads__Elastic_alpha0_005_l1_ratio0_2__ylag__w64,current_grid_operational_pooled,current_evidence_grid,2015Q3,2015Q4,1,952243538.0,975997533.59477,969015474.2806771,20.691791139057436,6982059.3140928745,0.7153767375186623,delta_exceeds_tolerance,0.469332,458066874.4371006,965861586.2986913,HEAVY_RUC__RECON_STATIC_REBUILT
HEAVY_RUC,Heavy RUC volume,C1,HEAVY_RUC__dynamic_no_leads__Elastic_alpha0_005_l1_ratio0_2__ylag__w64,current_grid_operational_pooled,current_evidence_grid,2015Q3,2016Q1,2,920125016.0,950714130.4049774,948401064.8835032,20.670288034975965,2313065.521474242,0.24329769038869145,delta_exceeds_tolerance,0.469332,446200564.25122887,939268429.8479335,HEAVY_RUC__RECON_STATIC_REBUILT
HEAVY_RUC,Heavy RUC volume,C1,HEAVY_RUC__dynamic_no_leads__Elastic_alpha0_005_l1_ratio0_2__ylag__w64,current_grid_operational_pooled,current_evidence_grid,2015Q3,2016Q2,3,903149015.0,889067081.1808802,890501612.3345878,20.60729547128706,1434531.1537076235,0.1613524090670689,delta_exceeds_tolerance,0.469332,417267631.34478486,896765713.5440404,HEAVY_RUC__RECON_STATIC_REBUILT
HEAVY_RUC,Heavy RUC volume,C1,HEAVY_RUC__dynamic_no_leads__Elastic_alpha0_005_l1_ratio0_2__ylag__w64,current_grid_operational_pooled,current_evidence_grid,2015Q3,2016Q3,4,917814423.0,933485846.6743704,934006196.2473757,20.654993630268944,520349.57300531864,0.05574263122029242,delta_exceeds_tolerance,0.469332,438114779.39137566,919334571.9928956,HEAVY_RUC__RECON_STATIC_REBUILT
HEAVY_RUC,Heavy RUC volume,C1,HEAVY_RUC__dynamic_no_leads__Elastic_alpha0_005_l1_ratio0_2__ylag__w64,current_grid_operational_pooled,current_evidence_grid,2015Q3,2016Q4,5,977369221.0,988933617.718192,979216594.2156999,20.702263416285952,9717023.50249207,0.9825759109001235,delta_exceeds_tolerance,0.469332,464138192.67091453,961287779.8016618,HEAVY_RUC__RECON_STATIC_REBUILT
HEAVY_RUC,Heavy RUC volume,C1,HEAVY_RUC__dynamic_no_leads__Elastic_alpha0_005_l1_ratio0_2__ylag__w64,current_grid_operational_pooled,current_evidence_grid,2015Q3,2017Q1,6,987496699.0,974399568.3395504,973006741.6327846,20.695901568834174,1392826.706765771,0.1429420488290293,delta_exceeds_tolerance,0.469332,457316898.2079379,949010581.9258156,HEAVY_RUC__RECON_STATIC_REBUILT
HEAVY_RUC,Heavy RUC volume,C1,HEAVY_RUC__dynamic_no_leads__Elastic_alpha0_005_l1_ratio0_2__ylag__w64,current_grid_operational_pooled,current_evidence_grid,2015Q3,2017Q2,7,960003244.0,920163373.1271244,917900957.0310848,20.637600052819874,2262416.096039653,0.2458711313786547,delta_exceeds_tolerance,0.469332,431862116.2364996,921495463.7375574,HEAVY_RUC__RECON_STATIC_REBUILT
HEAVY_RUC,Heavy RUC volume,C1,HEAVY_RUC__dynamic_no_leads__Elastic_alpha0_005_l1_ratio0_2__ylag__w64,current_grid_operational_pooled,current_evidence_grid,2015Q3,2017Q3,8,975147170.0,938826709.9543484,940599812.7599653,20.662028328410738,1773102.8056168556,0.18886369409995535,delta_exceeds_tolerance,0.469332,440621417.4362943,924780475.170547,HEAVY_RUC__RECON_STATIC_REBUILT
HEAVY_RUC,Heavy RUC volume,C1,HEAVY_RUC__dynamic_no_leads__Elastic_alpha0_005_l1_ratio0_2__ylag__w64,current_grid_operational_pooled,current_evidence_grid,2015Q3,2017Q4,9,1057176543.0,991229141.085075,990825853.2117773,20.714049348508915,403287.87329769135,0.04068563529682165,delta_exceeds_tolerance,0.469332,465215555.24374044,962033366.5843513,HEAVY_RUC__RECON_STATIC_REBUILT
HEAVY_RUC,Heavy RUC volume,C1,HEAVY_RUC__dynamic_no_leads__Elastic_alpha0_005_l1_ratio0_2__ylag__w64,current_grid_operational_pooled,current_evidence_grid,2015Q3,2018Q1,10,1005850627.0,977389716.4143052,977094993.4348474,20.700094434998924,294722.9794578552,0.03015409048287196,delta_exceeds_tolerance,0.469332,458720270.38415873,951767683.0995772,HEAVY_RUC__RECON_STATIC_REBUILT
