component_label,component_model,origin,configured_window_quarters,repo_raw_window_start,repo_raw_window_end,repo_effective_training_start,repo_effective_training_end,repo_training_rows,repo_feature_count,source_training_fit_window_start,source_training_fit_window_end,source_training_fit_rows,trace_inferred_start,trace_inferred_end,comparison_status
C1,HEAVY_RUC__dynamic_no_leads__Elastic_alpha0_005_l1_ratio0_2__ylag__w64,2024Q2,64,2008Q3,2024Q2,2009Q3,2024Q2,60,243,2009Q3,2024Q2,60,2008Q3,2024Q2,effective_window_matches_training_fit_rows
C1,HEAVY_RUC__dynamic_no_leads__Elastic_alpha0_005_l1_ratio0_2__ylag__w64,2024Q3,64,2008Q4,2024Q3,2009Q3,2024Q3,61,243,2009Q3,2024Q3,61,2008Q4,2024Q3,effective_window_matches_training_fit_rows
C1,HEAVY_RUC__dynamic_no_leads__Elastic_alpha0_005_l1_ratio0_2__ylag__w64,2024Q4,64,2009Q1,2024Q4,2009Q3,2024Q4,62,243,2009Q3,2024Q4,62,2009Q1,2024Q4,effective_window_matches_training_fit_rows
C1,HEAVY_RUC__dynamic_no_leads__Elastic_alpha0_005_l1_ratio0_2__ylag__w64,2025Q1,64,2009Q2,2025Q1,2009Q3,2025Q1,63,243,2009Q3,2025Q1,63,2009Q2,2025Q1,effective_window_matches_training_fit_rows
C1,HEAVY_RUC__dynamic_no_leads__Elastic_alpha0_005_l1_ratio0_2__ylag__w64,2025Q2,64,2009Q3,2025Q2,2009Q3,2025Q2,64,243,2009Q3,2025Q2,64,2009Q3,2025Q2,effective_window_matches_training_fit_rows
C1,HEAVY_RUC__dynamic_no_leads__Elastic_alpha0_005_l1_ratio0_2__ylag__w64,2025Q3,64,2009Q4,2025Q3,2009Q4,2025Q3,64,243,2009Q4,2025Q3,64,2009Q4,2025Q3,effective_window_matches_training_fit_rows
C2,HEAVY_RUC__schiff__GBR_learning_rate0_06_max_depth1_n_estimators650__noylag__w64,2015Q2,64,2002Q1,2015Q2,2009Q3,2015Q2,24,6,2009Q3,2015Q2,24,1999Q3,2015Q2,effective_window_matches_training_fit_rows
C2,HEAVY_RUC__schiff__GBR_learning_rate0_06_max_depth1_n_estimators650__noylag__w64,2015Q3,64,2002Q1,2015Q3,2009Q3,2015Q3,25,6,2009Q3,2015Q3,25,1999Q4,2015Q3,effective_window_matches_training_fit_rows
C2,HEAVY_RUC__schiff__GBR_learning_rate0_06_max_depth1_n_estimators650__noylag__w64,2015Q4,64,2002Q1,2015Q4,2009Q3,2015Q4,26,6,2009Q3,2015Q4,26,2000Q1,2015Q4,effective_window_matches_training_fit_rows
C2,HEAVY_RUC__schiff__GBR_learning_rate0_06_max_depth1_n_estimators650__noylag__w64,2016Q1,64,2002Q1,2016Q1,2009Q3,2016Q1,27,6,2009Q3,2016Q1,27,2000Q2,2016Q1,effective_window_matches_training_fit_rows
C2,HEAVY_RUC__schiff__GBR_learning_rate0_06_max_depth1_n_estimators650__noylag__w64,2016Q2,64,2002Q1,2016Q2,2009Q3,2016Q2,28,6,2009Q3,2016Q2,28,2000Q3,2016Q2,effective_window_matches_training_fit_rows
C2,HEAVY_RUC__schiff__GBR_learning_rate0_06_max_depth1_n_estimators650__noylag__w64,2016Q3,64,2002Q1,2016Q3,2009Q3,2016Q3,29,6,2009Q3,2016Q3,29,2000Q4,2016Q3,effective_window_matches_training_fit_rows
C2,HEAVY_RUC__schiff__GBR_learning_rate0_06_max_depth1_n_estimators650__noylag__w64,2016Q4,64,2002Q1,2016Q4,2009Q3,2016Q4,30,6,2009Q3,2016Q4,30,2001Q1,2016Q4,effective_window_matches_training_fit_rows
C2,HEAVY_RUC__schiff__GBR_learning_rate0_06_max_depth1_n_estimators650__noylag__w64,2017Q1,64,2002Q1,2017Q1,2009Q3,2017Q1,31,6,2009Q3,2017Q1,31,2001Q2,2017Q1,effective_window_matches_training_fit_rows
C2,HEAVY_RUC__schiff__GBR_learning_rate0_06_max_depth1_n_estimators650__noylag__w64,2017Q2,64,2002Q1,2017Q2,2009Q3,2017Q2,32,6,2009Q3,2017Q2,32,2001Q3,2017Q2,effective_window_matches_training_fit_rows
C2,HEAVY_RUC__schiff__GBR_learning_rate0_06_max_depth1_n_estimators650__noylag__w64,2017Q3,64,2002Q1,2017Q3,2009Q3,2017Q3,33,6,2009Q3,2017Q3,33,2001Q4,2017Q3,effective_window_matches_training_fit_rows
