component_label,component_model,origin,configured_window_quarters,repo_raw_window_start,repo_raw_window_end,repo_effective_training_start,repo_effective_training_end,repo_training_rows,repo_feature_count,source_training_fit_window_start,source_training_fit_window_end,source_training_fit_rows,trace_inferred_start,trace_inferred_end,comparison_status
C3,HEAVY_RUC__dynamic_no_leads__GBR_learning_rate0_08_max_depth1_n_estimators400__ylag__w52,2020Q1,52,2007Q2,2020Q1,2009Q3,2020Q1,43,243,2009Q3,2020Q1,43,2007Q2,2020Q1,effective_window_matches_training_fit_rows
C3,HEAVY_RUC__dynamic_no_leads__GBR_learning_rate0_08_max_depth1_n_estimators400__ylag__w52,2020Q2,52,2007Q3,2020Q2,2009Q3,2020Q2,44,243,2009Q3,2020Q2,44,2007Q3,2020Q2,effective_window_matches_training_fit_rows
C3,HEAVY_RUC__dynamic_no_leads__GBR_learning_rate0_08_max_depth1_n_estimators400__ylag__w52,2020Q3,52,2007Q4,2020Q3,2009Q3,2020Q3,45,243,2009Q3,2020Q3,45,2007Q4,2020Q3,effective_window_matches_training_fit_rows
C3,HEAVY_RUC__dynamic_no_leads__GBR_learning_rate0_08_max_depth1_n_estimators400__ylag__w52,2020Q4,52,2008Q1,2020Q4,2009Q3,2020Q4,46,243,2009Q3,2020Q4,46,2008Q1,2020Q4,effective_window_matches_training_fit_rows
C3,HEAVY_RUC__dynamic_no_leads__GBR_learning_rate0_08_max_depth1_n_estimators400__ylag__w52,2021Q1,52,2008Q2,2021Q1,2009Q3,2021Q1,47,243,2009Q3,2021Q1,47,2008Q2,2021Q1,effective_window_matches_training_fit_rows
C3,HEAVY_RUC__dynamic_no_leads__GBR_learning_rate0_08_max_depth1_n_estimators400__ylag__w52,2021Q2,52,2008Q3,2021Q2,2009Q3,2021Q2,48,243,2009Q3,2021Q2,48,2008Q3,2021Q2,effective_window_matches_training_fit_rows
C3,HEAVY_RUC__dynamic_no_leads__GBR_learning_rate0_08_max_depth1_n_estimators400__ylag__w52,2021Q3,52,2008Q4,2021Q3,2009Q3,2021Q3,49,243,2009Q3,2021Q3,49,2008Q4,2021Q3,effective_window_matches_training_fit_rows
C3,HEAVY_RUC__dynamic_no_leads__GBR_learning_rate0_08_max_depth1_n_estimators400__ylag__w52,2021Q4,52,2009Q1,2021Q4,2009Q3,2021Q4,50,243,2009Q3,2021Q4,50,2009Q1,2021Q4,effective_window_matches_training_fit_rows
C3,HEAVY_RUC__dynamic_no_leads__GBR_learning_rate0_08_max_depth1_n_estimators400__ylag__w52,2022Q1,52,2009Q2,2022Q1,2009Q3,2022Q1,51,243,2009Q3,2022Q1,51,2009Q2,2022Q1,effective_window_matches_training_fit_rows
C3,HEAVY_RUC__dynamic_no_leads__GBR_learning_rate0_08_max_depth1_n_estimators400__ylag__w52,2022Q2,52,2009Q3,2022Q2,2009Q3,2022Q2,52,243,2009Q3,2022Q2,52,2009Q3,2022Q2,effective_window_matches_training_fit_rows
C3,HEAVY_RUC__dynamic_no_leads__GBR_learning_rate0_08_max_depth1_n_estimators400__ylag__w52,2022Q3,52,2009Q4,2022Q3,2009Q4,2022Q3,52,243,2009Q4,2022Q3,52,2009Q4,2022Q3,effective_window_matches_training_fit_rows
C3,HEAVY_RUC__dynamic_no_leads__GBR_learning_rate0_08_max_depth1_n_estimators400__ylag__w52,2022Q4,52,2010Q1,2022Q4,2010Q1,2022Q4,52,243,2010Q1,2022Q4,52,2010Q1,2022Q4,effective_window_matches_training_fit_rows
C3,HEAVY_RUC__dynamic_no_leads__GBR_learning_rate0_08_max_depth1_n_estimators400__ylag__w52,2023Q1,52,2010Q2,2023Q1,2010Q2,2023Q1,52,243,2010Q2,2023Q1,52,2010Q2,2023Q1,effective_window_matches_training_fit_rows
C3,HEAVY_RUC__dynamic_no_leads__GBR_learning_rate0_08_max_depth1_n_estimators400__ylag__w52,2023Q2,52,2010Q3,2023Q2,2010Q3,2023Q2,52,243,2010Q3,2023Q2,52,2010Q3,2023Q2,effective_window_matches_training_fit_rows
C3,HEAVY_RUC__dynamic_no_leads__GBR_learning_rate0_08_max_depth1_n_estimators400__ylag__w52,2023Q3,52,2010Q4,2023Q3,2010Q4,2023Q3,52,243,2010Q4,2023Q3,52,2010Q4,2023Q3,effective_window_matches_training_fit_rows
C3,HEAVY_RUC__dynamic_no_leads__GBR_learning_rate0_08_max_depth1_n_estimators400__ylag__w52,2023Q4,52,2011Q1,2023Q4,2011Q1,2023Q4,52,243,2011Q1,2023Q4,52,2011Q1,2023Q4,effective_window_matches_training_fit_rows
