candidate_id,artifact_basename,container_basename,archive_entry_name,source_location_class,source_scope,repo_relative_path,artifact_role,source_stage,size_bytes,sha256,container_sha256,is_archive_entry,status,used_for_recovery,required_for_replay,vendor_repo_relative_path,notes
heavy_parent_search_0152,C4_2021q2.joblib,,,repo_source_refit_state,heavy_ruc_forward_state,data/dashboard_evidence_pack_reproducibility/heavy_ruc/forward_state/C4_2021q2.joblib,source_refit_state_not_parent,source_refit_forward_state_export,27639,b93fd02696f7203ed3209fc952c67a42c3aedb34d312378a40cc1a9e7d1947f1,,False,not_original_parent_state,False,False,,Source-refit state supports training-fit provenance but is not the retained parent fitted estimator.
heavy_parent_search_0153,C4_2021q3.joblib,,,repo_source_refit_state,heavy_ruc_forward_state,data/dashboard_evidence_pack_reproducibility/heavy_ruc/forward_state/C4_2021q3.joblib,source_refit_state_not_parent,source_refit_forward_state_export,27697,9181419c1d8178a827ed457091d432031dacc7cc29544d90e00cd02be8ad1011,,False,not_original_parent_state,False,False,,Source-refit state supports training-fit provenance but is not the retained parent fitted estimator.
heavy_parent_search_0154,C4_2021q4.joblib,,,repo_source_refit_state,heavy_ruc_forward_state,data/dashboard_evidence_pack_reproducibility/heavy_ruc/forward_state/C4_2021q4.joblib,source_refit_state_not_parent,source_refit_forward_state_export,27544,12218c66252efd14af09ffccb1938ed9bacd31d51758ea50e806755b453e6d4d,,False,not_original_parent_state,False,False,,Source-refit state supports training-fit provenance but is not the retained parent fitted estimator.
heavy_parent_search_0155,C4_2022q1.joblib,,,repo_source_refit_state,heavy_ruc_forward_state,data/dashboard_evidence_pack_reproducibility/heavy_ruc/forward_state/C4_2022q1.joblib,source_refit_state_not_parent,source_refit_forward_state_export,27538,916272d2e472f12464ff7e3b9f9cef048d5b1114a789136ed9af4dad00dcd34d,,False,not_original_parent_state,False,False,,Source-refit state supports training-fit provenance but is not the retained parent fitted estimator.
heavy_parent_search_0156,C4_2022q2.joblib,,,repo_source_refit_state,heavy_ruc_forward_state,data/dashboard_evidence_pack_reproducibility/heavy_ruc/forward_state/C4_2022q2.joblib,source_refit_state_not_parent,source_refit_forward_state_export,27527,d174f9faba0595ec070d1f81938b16d0206bcf0eca1f2042ae91b48bbd8e450d,,False,not_original_parent_state,False,False,,Source-refit state supports training-fit provenance but is not the retained parent fitted estimator.
heavy_parent_search_0157,C4_2022q3.joblib,,,repo_source_refit_state,heavy_ruc_forward_state,data/dashboard_evidence_pack_reproducibility/heavy_ruc/forward_state/C4_2022q3.joblib,source_refit_state_not_parent,source_refit_forward_state_export,27434,8becf2e5f8eed005692599af27171c392fdbddb10d004c138ab715411f3b80b6,,False,not_original_parent_state,False,False,,Source-refit state supports training-fit provenance but is not the retained parent fitted estimator.
heavy_parent_search_0158,C4_2022q4.joblib,,,repo_source_refit_state,heavy_ruc_forward_state,data/dashboard_evidence_pack_reproducibility/heavy_ruc/forward_state/C4_2022q4.joblib,source_refit_state_not_parent,source_refit_forward_state_export,27372,04dbd9132dfe0ab6b73e7cb98a0b674f01a97280e25e010698fd2ca06ffe23e7,,False,not_original_parent_state,False,False,,Source-refit state supports training-fit provenance but is not the retained parent fitted estimator.
heavy_parent_search_0159,C4_2023q1.joblib,,,repo_source_refit_state,heavy_ruc_forward_state,data/dashboard_evidence_pack_reproducibility/heavy_ruc/forward_state/C4_2023q1.joblib,source_refit_state_not_parent,source_refit_forward_state_export,27372,f6b1e1d2644c2fdf4b90c1d70a8baa62bbf11ca0a7a4e754ab2d9f9dec5e8220,,False,not_original_parent_state,False,False,,Source-refit state supports training-fit provenance but is not the retained parent fitted estimator.
heavy_parent_search_0160,C4_2023q2.joblib,,,repo_source_refit_state,heavy_ruc_forward_state,data/dashboard_evidence_pack_reproducibility/heavy_ruc/forward_state/C4_2023q2.joblib,source_refit_state_not_parent,source_refit_forward_state_export,27341,8fac7b2af26302a3880080c01026428299ab563d1875b3e523cdfc587e6fdaae,,False,not_original_parent_state,False,False,,Source-refit state supports training-fit provenance but is not the retained parent fitted estimator.
heavy_parent_search_0161,C4_2023q3.joblib,,,repo_source_refit_state,heavy_ruc_forward_state,data/dashboard_evidence_pack_reproducibility/heavy_ruc/forward_state/C4_2023q3.joblib,source_refit_state_not_parent,source_refit_forward_state_export,27378,86bb16629c0da9b776374d380e0ef0ebb333a977c2b909de592ac1a5f082000b,,False,not_original_parent_state,False,False,,Source-refit state supports training-fit provenance but is not the retained parent fitted estimator.
