comparison_section,history_candidate,metric,repo_value,canonical_candidate_value,status,notes
history_summary,current_repo_model_input_history,rows,97,,observed,
history_summary,current_repo_model_input_history,source_feature_count,18,,observed,
history_summary,current_repo_model_input_history,engineered_feature_count,356,,observed,
history_summary,source_script_stage1_workbook_history,rows,,97,observed,
history_summary,source_script_stage1_workbook_history,source_feature_count,,26,observed,
history_summary,source_script_stage1_workbook_history,engineered_feature_count,,473,observed,
source_artifact,source_script_stage1_workbook_history,workbook,,Master Copy revenue modelling workbook.xlsx,found,sha256=0c0ea8d3f95be6ba4a92316c7b2d5b7ec765cab6062cf7918844cbcb17bb6a5d
source_artifact,current_repo_model_input_history,input_history,data/model_input_history/heavy_ruc_inputs.parquet,,found,sha256=751d6f71ac0941c2c606b4bd87980c249b798df4ddd93d1e7c372b51394dc5bb
source_feature_inventory,source_script_stage1_workbook_history,cpi index,,CPI index,canonical_source_only,
source_feature_inventory,source_script_stage1_workbook_history,cpi rebasing factor,,CPI rebasing factor,canonical_source_only,
source_feature_inventory,source_script_stage1_workbook_history,diesel price nominal cents litre,,"Diesel price (nominal, cents/litre)",canonical_source_only,
source_feature_inventory,source_script_stage1_workbook_history,diesel price real cents litre,,"Diesel price (real, cents/litre)",canonical_source_only,
source_feature_inventory,source_script_stage1_workbook_history,gdp deflator sa,gdp_deflator_sa,,repo_history_only,
source_feature_inventory,source_script_stage1_workbook_history,gdp deflator seasonally adjusted,,GDP deflator (seasonally adjusted),canonical_source_only,
source_feature_inventory,source_script_stage1_workbook_history,gdp rebasing factor,gdp_rebasing_factor,GDP rebasing factor,shared_source_feature,
source_feature_inventory,source_script_stage1_workbook_history,heavy ruc price nominal nzd 1 000 km,,"Heavy RUC price (nominal, NZD/1,000 km)",canonical_source_only,
source_feature_inventory,source_script_stage1_workbook_history,heavy ruc price nominal nzd per 1000km,heavy_ruc_price_nominal_nzd_per_1000km,,repo_history_only,
source_feature_inventory,source_script_stage1_workbook_history,heavy ruc price real nzd 1 000 km,,"Heavy RUC price (real, NZD/1,000 km)",canonical_source_only,
source_feature_inventory,source_script_stage1_workbook_history,lagged light ruc price real nzd 1 000 km,,"Lagged light RUC price (real, NZD/1,000 km)",canonical_source_only,
source_feature_inventory,source_script_stage1_workbook_history,lagged real light ruc price nzd per 1000km,lagged_real_light_ruc_price_nzd_per_1000km,,repo_history_only,
source_feature_inventory,source_script_stage1_workbook_history,lead heavy ruc price real nzd 1 000 km,,"Lead heavy RUC price (real, NZD/1,000 km)",canonical_source_only,
source_feature_inventory,source_script_stage1_workbook_history,lead real heavy ruc price nzd per 1000km,lead_real_heavy_ruc_price_nzd_per_1000km,,repo_history_only,
source_feature_inventory,source_script_stage1_workbook_history,light ruc price nominal nzd 1 000 km,,"Light RUC price (nominal, NZD/1,000 km)",canonical_source_only,
source_feature_inventory,source_script_stage1_workbook_history,light ruc price real nzd 1 000 km,,"Light RUC price (real, NZD/1,000 km)",canonical_source_only,
source_feature_inventory,source_script_stage1_workbook_history,log lagged light ruc price,,Log lagged light RUC price,canonical_source_only,
source_feature_inventory,source_script_stage1_workbook_history,log lagged real light ruc price,log_lagged_real_light_ruc_price,,repo_history_only,
source_feature_inventory,source_script_stage1_workbook_history,log lead heavy ruc price,,Log lead heavy RUC price,canonical_source_only,
source_feature_inventory,source_script_stage1_workbook_history,log lead real heavy ruc price,log_lead_real_heavy_ruc_price,,repo_history_only,
source_feature_inventory,source_script_stage1_workbook_history,log real diesel price,log_real_diesel_price,Log real diesel price,shared_source_feature,
source_feature_inventory,source_script_stage1_workbook_history,log real gdp,log_real_gdp,Log real GDP,shared_source_feature,
source_feature_inventory,source_script_stage1_workbook_history,log real gdp per capita,,Log real GDP per capita,canonical_source_only,
source_feature_inventory,source_script_stage1_workbook_history,log real heavy ruc price,log_real_heavy_ruc_price,Log real heavy RUC price,shared_source_feature,
