record_type,staged_name,artifact_basename,archive_container,archive_entry_name,source_hint,classification,source_stage,status,component_label,target_component_match,size_bytes,sha256,manifest_sha256,hash_matches_manifest,used_for_parity,vendor_action,notes
staged_file,0001_governance_finalist_ensemble_weights_positive.csv,0001_governance_finalist_ensemble_weights_positive.csv,,,other,irrelevant,other_stream_prediction_lineage,not_heavy_ruc_parent_state,,False,1641,92016efa6d88b7ebe2a4c9ba5e098c2fb43d49916f0f26f415745e7c4d167113,92016efa6d88b7ebe2a4c9ba5e098c2fb43d49916f0f26f415745e7c4d167113,True,False,not_vendored,Non-Heavy or unrelated prediction lineage.
staged_file,0002_heavy_ruc_bespoke_reconciliation_fullgrid.py,0002_heavy_ruc_bespoke_reconciliation_fullgrid.py,,,heavy_ruc_external_lineage,repo_debug_artifact,source_or_report_lineage,lineage_only,,False,77037,9db9dcea83b35c4d64849baaf75692742782487579c180bde204c1185b018a3d,9db9dcea83b35c4d64849baaf75692742782487579c180bde204c1185b018a3d,True,False,not_vendored,Source/report artifact; no fitted state or exact matrix.
staged_file,0003_heavy_ruc_fullgrid_rescue_closure_run_20260521_171358_20260521_175036.zip,0003_heavy_ruc_fullgrid_rescue_closure_run_20260521_171358_20260521_175036.zip,,,heavy_ruc_external_lineage,repo_debug_artifact,archive_lineage,archive_inspected_via_entries,,False,9814064,9eb9807393c0a00655b80d193dbca4f5abb9606a89c5fccc66d7b22b52d3bf39,9eb9807393c0a00655b80d193dbca4f5abb9606a89c5fccc66d7b22b52d3bf39,True,False,not_vendored,Archive inspected via nested entries.
staged_file,0004_heavy_ruc_fullgrid_rescue_closure.py,0004_heavy_ruc_fullgrid_rescue_closure.py,,,heavy_ruc_external_lineage,repo_debug_artifact,source_or_report_lineage,lineage_only,,False,86109,c85f629bdcf98ba8194b81564496d87848d44ad97198f9740c6db8e49faf91e9,c85f629bdcf98ba8194b81564496d87848d44ad97198f9740c6db8e49faf91e9,True,False,not_vendored,Source/report artifact; no fitted state or exact matrix.
staged_file,0005_heavy_ruc_reconciliation_outputs_no_huge_predictions.zip,0005_heavy_ruc_reconciliation_outputs_no_huge_predictions.zip,,,heavy_ruc_external_lineage,repo_debug_artifact,archive_lineage,archive_inspected_via_entries,,False,8229072,c4c95f5d2358b759156bb926e04a6b18defc76827c9146f93c7496f3b83101be,c4c95f5d2358b759156bb926e04a6b18defc76827c9146f93c7496f3b83101be,True,False,not_vendored,Archive inspected via nested entries.
staged_file,0006_heavy_ruc_reproducibility_audit_heavy_ruc_repro_audit_20260527_200419_20260527_200626.zip,0006_heavy_ruc_reproducibility_audit_heavy_ruc_repro_audit_20260527_200419_20260527_200626.zip,,,heavy_ruc_external_lineage,repo_debug_artifact,archive_lineage,archive_inspected_via_entries,,False,719782,274f2e5af2231e3b79bf3c229986475e513c1b3f892713f4577922e5d63c113f,274f2e5af2231e3b79bf3c229986475e513c1b3f892713f4577922e5d63c113f,True,False,not_vendored,Archive inspected via nested entries.
staged_file,0007_component_predictions.csv,0007_component_predictions.csv,,,heavy_ruc_external_lineage,parent_component_predictions,parent_prediction_lineage,predictions_only_not_forward_state,,False,880138,be419f9b63e451d4cf916615f0855ee55aa517558e3718de9780d130d0aba3a9,be419f9b63e451d4cf916615f0855ee55aa517558e3718de9780d130d0aba3a9,True,False,not_vendored,Parent component/final prediction lineage found; cannot score new rows without parent state.
staged_file,0008_component_predictions.parquet,0008_component_predictions.parquet,,,heavy_ruc_external_lineage,parent_component_predictions,parent_prediction_lineage,predictions_only_not_forward_state,,False,61868,4ba756fa2061b55c50a5dcaf9cd20aa59caa28285abd848f5986584b699109bf,4ba756fa2061b55c50a5dcaf9cd20aa59caa28285abd848f5986584b699109bf,True,False,not_vendored,Component prediction lineage found; cannot score new rows without parent fitted state.
staged_file,0009_heavy_ruc_reproducibility_report.md,0009_heavy_ruc_reproducibility_report.md,,,heavy_ruc_external_lineage,repo_debug_artifact,source_or_report_lineage,lineage_only,,False,5799,c33eec8294789df555a0ef3ceada7b5194a0f907dd4243ae4204d303ac43ca0e,c33eec8294789df555a0ef3ceada7b5194a0f907dd4243ae4204d303ac43ca0e,True,False,not_vendored,Source/report artifact; no fitted state or exact matrix.
staged_file,0010_component_predictions.csv,0010_component_predictions.csv,,,light_ruc_irrelevant,irrelevant,other_stream_prediction_lineage,not_heavy_ruc_parent_state,,False,520033,ebc42ff05e838d03e5748ec994c8387a82df4a74abd5d6c57c9c94aeed08238b,ebc42ff05e838d03e5748ec994c8387a82df4a74abd5d6c57c9c94aeed08238b,True,False,not_vendored,Non-Heavy or unrelated prediction lineage.
staged_file,0011_component_predictions.parquet,0011_component_predictions.parquet,,,light_ruc_irrelevant,irrelevant,other_stream_prediction_lineage,not_heavy_ruc_parent_state,,False,40128,e19f109fad079f96a1839c9bfe6f89c605d4750c588dc85b76eeb8a614a8b550,e19f109fad079f96a1839c9bfe6f89c605d4750c588dc85b76eeb8a614a8b550,True,False,not_vendored,Non-Heavy component predictions.
staged_file,0012_component_predictions.csv,0012_component_predictions.csv,,,ped_irrelevant,irrelevant,other_stream_prediction_lineage,not_heavy_ruc_parent_state,,False,286356,a2d484e16c45b39d50ded02e6a43acd0da3b16f35293e0f882c3264c6da057b7,a2d484e16c45b39d50ded02e6a43acd0da3b16f35293e0f882c3264c6da057b7,True,False,not_vendored,Non-Heavy or unrelated prediction lineage.
staged_file,0013_component_predictions.parquet,0013_component_predictions.parquet,,,ped_irrelevant,irrelevant,other_stream_prediction_lineage,not_heavy_ruc_parent_state,,False,37991,ca72f83887edd2f4a8323b27090f740065a4015b20f40f6db1f085e61bb2f109,ca72f83887edd2f4a8323b27090f740065a4015b20f40f6db1f085e61bb2f109,True,False,not_vendored,Non-Heavy component predictions.
staged_file,0014_stage1_bespoke_solver_optimized_all_streams.py,0014_stage1_bespoke_solver_optimized_all_streams.py,,,other,repo_debug_artifact,source_or_report_lineage,lineage_only,,False,78513,2f65c6cbe85bf60d0b44ad42ae12bbe111865ab91213b444d2ff5fad250120bf,2f65c6cbe85bf60d0b44ad42ae12bbe111865ab91213b444d2ff5fad250120bf,True,False,not_vendored,Source/report artifact; no fitted state or exact matrix.
staged_file,0015_stage1_finalist_arbitration.py,0015_stage1_finalist_arbitration.py,,,other,repo_debug_artifact,source_or_report_lineage,lineage_only,,False,79860,1e8d4ec226edaadbd1f133b30b08793058a0cb64800f7cbc4d6ee34eb3776ce7,1e8d4ec226edaadbd1f133b30b08793058a0cb64800f7cbc4d6ee34eb3776ce7,True,False,not_vendored,Source/report artifact; no fitted state or exact matrix.
staged_file,0016_hpo_refined_ensemble_weights.csv,0016_hpo_refined_ensemble_weights.csv,,,other,irrelevant,other_stream_prediction_lineage,not_heavy_ruc_parent_state,,False,1023096,f7730ae6e6795762e2716449cf2d10493014ec30ec2c0f09523dbeeabfb3301f,f7730ae6e6795762e2716449cf2d10493014ec30ec2c0f09523dbeeabfb3301f,True,False,not_vendored,Non-Heavy or unrelated prediction lineage.
staged_file,0017_canonical_feature_matrix_comparison.csv,0017_canonical_feature_matrix_comparison.csv,,,repo_heavy_ruc_debug,repo_debug_artifact,repo_debug_or_manifest,debug_evidence_only,,False,1797050,7a51675f9cbdc1abe7dc6a4f87fcfbd1d0ecbe627c946f283c78ee0bf683a9b5,7a51675f9cbdc1abe7dc6a4f87fcfbd1d0ecbe627c946f283c78ee0bf683a9b5,True,False,not_vendored,Debug artifact documents the gap but is not parent state.
staged_file,0018_feature_matrix_comparison.csv,0018_feature_matrix_comparison.csv,,,repo_heavy_ruc_debug,repo_debug_artifact,repo_debug_or_manifest,debug_evidence_only,,False,7478,0aba5c449656223d9e31d4f0489fadd6d247b601464bf69eb5f217c525ec1ee2,0aba5c449656223d9e31d4f0489fadd6d247b601464bf69eb5f217c525ec1ee2,True,False,not_vendored,Debug artifact documents the gap but is not parent state.
