component_model,score_basis,eval_grid,stored_rows,matched_rows,missing_rows,stored_origin_min,stored_origin_max,stored_target_min,stored_target_max,replay_rows_total_for_component,replay_origin_min,replay_origin_max,replay_target_min,replay_target_max,max_abs_delta,mean_abs_delta
HEAVY_RUC__dynamic_no_leads__Elastic_alpha0_005_l1_ratio0_2__ylag__w64,current_grid_operational_pooled,current_evidence_grid,438,438,0,2015Q2,2025Q3,2015Q3,2025Q4,450,2015Q2,2025Q4,2015Q3,2026Q1,36062398.01385033,4595983.830790177
HEAVY_RUC__dynamic_no_leads__Elastic_alpha0_005_l1_ratio0_2__ylag__w64,schiff_paper_horizon_mean,schiff_paper_grid,126,126,0,2016Q4,2022Q3,2017Q1,2022Q4,450,2015Q2,2025Q4,2015Q3,2026Q1,24678948.6694628,3466781.3085331754
HEAVY_RUC__dynamic_no_leads__GBR_learning_rate0_08_max_depth1_n_estimators150__ylag__w40,current_grid_operational_pooled,current_evidence_grid,438,438,0,2015Q2,2025Q3,2015Q3,2025Q4,450,2015Q2,2025Q4,2015Q3,2026Q1,58697769.14767802,10420204.688970728
HEAVY_RUC__dynamic_no_leads__GBR_learning_rate0_08_max_depth1_n_estimators150__ylag__w40,schiff_paper_horizon_mean,schiff_paper_grid,126,126,0,2016Q4,2022Q3,2017Q1,2022Q4,450,2015Q2,2025Q4,2015Q3,2026Q1,52783396.644471645,11195157.731858646
HEAVY_RUC__dynamic_no_leads__GBR_learning_rate0_08_max_depth1_n_estimators400__ylag__w52,current_grid_operational_pooled,current_evidence_grid,438,438,0,2015Q2,2025Q3,2015Q3,2025Q4,450,2015Q2,2025Q4,2015Q3,2026Q1,66229698.84736872,10463517.184429564
HEAVY_RUC__dynamic_no_leads__GBR_learning_rate0_08_max_depth1_n_estimators400__ylag__w52,schiff_paper_horizon_mean,schiff_paper_grid,126,126,0,2016Q4,2022Q3,2017Q1,2022Q4,450,2015Q2,2025Q4,2015Q3,2026Q1,55437420.32388437,9898509.973644817
HEAVY_RUC__schiff__GBR_learning_rate0_06_max_depth1_n_estimators650__noylag__w64,current_grid_operational_pooled,current_evidence_grid,438,438,0,2015Q2,2025Q3,2015Q3,2025Q4,450,2015Q2,2025Q4,2015Q3,2026Q1,95524161.96877861,12004999.947119677
HEAVY_RUC__schiff__GBR_learning_rate0_06_max_depth1_n_estimators650__noylag__w64,schiff_paper_horizon_mean,schiff_paper_grid,126,126,0,2016Q4,2022Q3,2017Q1,2022Q4,450,2015Q2,2025Q4,2015Q3,2026Q1,65994788.739504576,13067200.09526559
