engine,family,level,series_id,FY,baseline,adjusted,ratio,expected_factor,abs_ratio_error
vnext,fleet_efficiency,Low,ped_volume,2026,3063.2842870467116,3047.967865611478,0.995,0.995,0.0
vnext,fleet_efficiency,Low,ped_volume,2030,2958.8957603061776,2885.659400856202,0.975248753121875,0.975248753121875,0.0
vnext,fleet_efficiency,Low,ped_volume,2031,2951.1112385497568,2863.6772179410045,0.9703725093562656,0.9703725093562656,0.0
vnext,fleet_efficiency,Low,ped_volume,2040,2155.604214531386,1999.4715784533194,0.927568968818328,0.9275689688183278,1.1102230246251565e-16
vnext,fleet_efficiency,Low,ped_volume,2050,691.7562651185796,610.2813802742687,0.8822202429488014,0.8822202429488012,2.220446049250313e-16
vnext,fleet_efficiency,Med,ped_volume,2026,3063.2842870467116,3032.651444176244,0.9899999999999998,0.99,2.220446049250313e-16
vnext,fleet_efficiency,Med,ped_volume,2030,2958.8957603061776,2813.88042674247,0.9509900498999998,0.9509900498999999,1.1102230246251565e-16
vnext,fleet_efficiency,Med,ped_volume,2031,2951.1112385497568,2778.4126497687953,0.941480149401,0.941480149401,0.0
vnext,fleet_efficiency,Med,ped_volume,2040,2155.604214531386,1853.945414007691,0.8600583546412885,0.8600583546412884,1.1102230246251565e-16
vnext,fleet_efficiency,Med,ped_volume,2050,691.7562651185796,538.0627985074101,0.7778213593991468,0.7778213593991467,1.1102230246251565e-16
vnext,fleet_efficiency,High,ped_volume,2026,3063.2842870467116,3017.3350227410106,0.9849999999999999,0.985,1.1102230246251565e-16
vnext,fleet_efficiency,High,ped_volume,2030,2958.8957603061776,2743.5369777355704,0.9272165023656249,0.9272165023656249,0.0
vnext,fleet_efficiency,High,ped_volume,2031,2951.1112385497568,2695.274255089493,0.9133082548301407,0.9133082548301406,1.1102230246251565e-16
vnext,fleet_efficiency,High,ped_volume,2040,2155.604214531386,1718.353380005349,0.7971562536487746,0.7971562536487744,2.220446049250313e-16
vnext,fleet_efficiency,High,ped_volume,2050,691.7562651185796,474.0878918199796,0.6853394984991026,0.6853394984991024,2.220446049250313e-16
vnext,fleet_efficiency,Custom10,ped_volume,2026,3063.2842870467116,2756.9558583420403,0.8999999999999999,0.9,1.1102230246251565e-16
vnext,fleet_efficiency,Custom10,ped_volume,2030,2958.8957603061776,1747.1983575031948,0.59049,0.5904900000000001,1.1102230246251565e-16
vnext,fleet_efficiency,Custom10,ped_volume,2031,2951.1112385497568,1568.3415077261213,0.531441,0.531441,0.0
vnext,fleet_efficiency,Custom10,ped_volume,2040,2155.604214531386,443.81979207786367,0.205891132094649,0.20589113209464907,8.326672684688674e-17
vnext,fleet_efficiency,Custom10,ped_volume,2050,691.7562651185796,49.661043070186,0.07178979876918526,0.0717897987691853,4.163336342344337e-17
vnext,pt_mode_shift,Low,light_petrol_vkt,2026,33077.40799863644,32994.71447863985,0.9975,0.9975,0.0
vnext,pt_mode_shift,Low,light_petrol_vkt,2030,33786.86651454969,33366.63708967278,0.9875623439452147,0.9875623439452151,4.440892098500626e-16
vnext,pt_mode_shift,Low,light_petrol_vkt,2031,34036.47205467476,33529.10527663556,0.9850934380853517,0.9850934380853521,4.440892098500626e-16
vnext,pt_mode_shift,Low,light_petrol_vkt,2040,27333.1879552974,26325.93793911793,0.9631491936532688,0.9631491936532696,7.771561172376096e-16
vnext,pt_mode_shift,Low,light_petrol_vkt,2050,9860.981003271809,9262.809472914982,0.9393395514950938,0.9393395514950953,1.4432899320127035e-15
vnext,pt_mode_shift,Med,light_petrol_vkt,2026,33077.40799863644,32912.020958643254,0.995,0.995,0.0
vnext,pt_mode_shift,Med,light_petrol_vkt,2030,33786.86651454969,32950.599440209815,0.9752487531218749,0.975248753121875,1.1102230246251565e-16
vnext,pt_mode_shift,Med,light_petrol_vkt,2031,34036.47205467476,33028.05679732916,0.9703725093562656,0.9703725093562656,0.0
vnext,pt_mode_shift,Med,light_petrol_vkt,2040,27333.1879552974,25353.41696621275,0.927568968818328,0.9275689688183278,1.1102230246251565e-16
vnext,pt_mode_shift,Med,light_petrol_vkt,2050,9860.981003271809,8699.55705641997,0.8822202429488013,0.8822202429488012,1.1102230246251565e-16
vnext,pt_mode_shift,High,light_petrol_vkt,2026,33077.40799863644,32746.633918650074,0.99,0.99,0.0
vnext,pt_mode_shift,High,light_petrol_vkt,2030,33786.86651454969,32130.973872636252,0.9509900499,0.9509900498999999,1.1102230246251565e-16
vnext,pt_mode_shift,High,light_petrol_vkt,2031,34036.47205467476,32044.662795118158,0.941480149401,0.941480149401,0.0
vnext,pt_mode_shift,High,light_petrol_vkt,2040,27333.1879552974,23508.136659934167,0.8600583546412885,0.8600583546412884,1.1102230246251565e-16
vnext,pt_mode_shift,High,light_petrol_vkt,2050,9860.981003271809,7670.08164897404,0.7778213593991468,0.7778213593991467,1.1102230246251565e-16
ar1,fleet_efficiency,Low,ped_volume,2026,3050.766227644052,3035.512396505832,0.9950000000000001,0.995,1.1102230246251565e-16
ar1,fleet_efficiency,Low,ped_volume,2030,2840.934708355387,2770.618032024249,0.975248753121875,0.975248753121875,0.0
ar1,fleet_efficiency,Low,ped_volume,2031,2823.1738268321046,2739.5302706920006,0.9703725093562656,0.9703725093562656,0.0
ar1,fleet_efficiency,Low,ped_volume,2040,2049.4374373331057,1900.9945704047454,0.927568968818328,0.9275689688183278,1.1102230246251565e-16
ar1,fleet_efficiency,Low,ped_volume,2050,664.1783092400348,585.9515493390676,0.8822202429488013,0.8822202429488012,1.1102230246251565e-16
ar1,fleet_efficiency,Med,ped_volume,2026,3050.766227644052,3020.2585653676115,0.99,0.99,0.0
ar1,fleet_efficiency,Med,ped_volume,2030,2840.934708355387,2701.7006400615314,0.9509900498999999,0.9509900498999999,0.0
ar1,fleet_efficiency,Med,ped_volume,2031,2823.1738268321046,2657.9621162708827,0.941480149401,0.941480149401,0.0
ar1,fleet_efficiency,Med,ped_volume,2040,2049.4374373331057,1762.6357902929697,0.8600583546412885,0.8600583546412884,1.1102230246251565e-16
ar1,fleet_efficiency,Med,ped_volume,2050,664.1783092400348,516.6120753765107,0.7778213593991468,0.7778213593991467,1.1102230246251565e-16
ar1,fleet_efficiency,High,ped_volume,2026,3050.766227644052,3005.0047342293915,0.9850000000000001,0.985,1.1102230246251565e-16
ar1,fleet_efficiency,High,ped_volume,2030,2840.934708355387,2634.161543730389,0.927216502365625,0.9272165023656249,1.1102230246251565e-16
ar1,fleet_efficiency,High,ped_volume,2031,2823.1738268321046,2578.427960866159,0.9133082548301407,0.9133082548301406,1.1102230246251565e-16
ar1,fleet_efficiency,High,ped_volume,2040,2049.4374373331057,1633.7218696320037,0.7971562536487746,0.7971562536487744,2.220446049250313e-16
ar1,fleet_efficiency,High,ped_volume,2050,664.1783092400348,455.1876293685473,0.6853394984991026,0.6853394984991024,2.220446049250313e-16
ar1,fleet_efficiency,Custom10,ped_volume,2026,3050.766227644052,2745.6896048796475,0.9000000000000002,0.9,2.220446049250313e-16
ar1,fleet_efficiency,Custom10,ped_volume,2030,2840.934708355387,1677.5435359367725,0.59049,0.5904900000000001,1.1102230246251565e-16
ar1,fleet_efficiency,Custom10,ped_volume,2031,2823.1738268321046,1500.3503217054806,0.531441,0.531441,0.0
ar1,fleet_efficiency,Custom10,ped_volume,2040,2049.4374373331057,421.96099412966936,0.205891132094649,0.20589113209464907,8.326672684688674e-17
ar1,fleet_efficiency,Custom10,ped_volume,2050,664.1783092400348,47.68122716719979,0.07178979876918526,0.0717897987691853,4.163336342344337e-17
ar1,pt_mode_shift,Low,light_petrol_vkt,2026,32942.237730580084,32859.88213625363,0.9974999999999999,0.9975,1.1102230246251565e-16
ar1,pt_mode_shift,Low,light_petrol_vkt,2030,32439.89972726253,32036.423412003118,0.9875623439452147,0.9875623439452151,4.440892098500626e-16
ar1,pt_mode_shift,Low,light_petrol_vkt,2031,32560.913261162386,32075.54199163738,0.9850934380853518,0.9850934380853521,3.3306690738754696e-16
ar1,pt_mode_shift,Low,light_petrol_vkt,2040,25986.986989365614,25029.34556428548,0.9631491936532688,0.9631491936532696,7.771561172376096e-16
ar1,pt_mode_shift,Low,light_petrol_vkt,2050,9467.857423855028,8893.532946143478,0.939339551495094,0.9393395514950953,1.3322676295501878e-15
ar1,pt_mode_shift,Med,light_petrol_vkt,2026,32942.237730580084,32777.52654192718,0.995,0.995,0.0
ar1,pt_mode_shift,Med,light_petrol_vkt,2030,32439.89972726253,31636.971760411434,0.975248753121875,0.975248753121875,0.0
ar1,pt_mode_shift,Med,light_petrol_vkt,2031,32560.913261162386,31596.215108165852,0.9703725093562656,0.9703725093562656,0.0
ar1,pt_mode_shift,Med,light_petrol_vkt,2040,25986.986989365614,24104.722724421168,0.927568968818328,0.9275689688183278,1.1102230246251565e-16
ar1,pt_mode_shift,Med,light_petrol_vkt,2050,9467.857423855028,8352.735476677995,0.8822202429488013,0.8822202429488012,1.1102230246251565e-16
ar1,pt_mode_shift,High,light_petrol_vkt,2026,32942.237730580084,32612.815353274284,0.99,0.99,0.0
ar1,pt_mode_shift,High,light_petrol_vkt,2030,32439.89972726253,30850.02186038039,0.9509900499,0.9509900498999999,1.1102230246251565e-16
ar1,pt_mode_shift,High,light_petrol_vkt,2031,32560.913261162386,30655.453481752167,0.941480149401,0.941480149401,0.0
ar1,pt_mode_shift,High,light_petrol_vkt,2040,25986.986989365614,22350.325272158363,0.8600583546412885,0.8600583546412884,1.1102230246251565e-16
ar1,pt_mode_shift,High,light_petrol_vkt,2050,9467.857423855028,7364.301732020222,0.7778213593991468,0.7778213593991467,1.1102230246251565e-16
