stream,model_id,feature_name,scenario_name,period,value,source_artifact,canonical_variable,fallback_flag,fallback_reason,source_status
HEAVY_RUC,HEAVY_RUC__VNEXT_SOLVED_CONVEX_TOP4,year,current_basecase,2026Q1,2026.0,scenario_inputs/scenario_input_long.parquet,year,False,,committed_scenario_input
HEAVY_RUC,HEAVY_RUC__VNEXT_SOLVED_CONVEX_TOP4,diff_log_real_gdp,current_basecase,2026Q2,0.005684871742374753,scenario_inputs/scenario_input_long.parquet,diff_log_real_gdp,False,,committed_scenario_input
HEAVY_RUC,HEAVY_RUC__VNEXT_SOLVED_CONVEX_TOP4,gdp_heavy_ruc_price_interaction,current_basecase,2026Q2,147.17017394598966,scenario_inputs/scenario_input_long.parquet,gdp_heavy_ruc_price_interaction,False,,committed_scenario_input
HEAVY_RUC,HEAVY_RUC__VNEXT_SOLVED_CONVEX_TOP4,lagged_real_light_ruc_price_nzd_per_1000km,current_basecase,2026Q2,78.61958460542789,scenario_inputs/scenario_input_long.parquet,lagged_real_light_ruc_price_nzd_per_1000km,False,,committed_scenario_input
HEAVY_RUC,HEAVY_RUC__VNEXT_SOLVED_CONVEX_TOP4,lead_real_heavy_ruc_price_nzd_per_1000km,current_basecase,2026Q2,323.61304787047715,scenario_inputs/scenario_input_long.parquet,lead_real_heavy_ruc_price_nzd_per_1000km,False,,committed_scenario_input
HEAVY_RUC,HEAVY_RUC__VNEXT_SOLVED_CONVEX_TOP4,log_lagged_real_light_ruc_price,current_basecase,2026Q2,4.364620836405956,scenario_inputs/scenario_input_long.parquet,log_lagged_real_light_ruc_price,False,,committed_scenario_input
HEAVY_RUC,HEAVY_RUC__VNEXT_SOLVED_CONVEX_TOP4,log_lead_real_heavy_ruc_price,current_basecase,2026Q2,5.779548505355637,scenario_inputs/scenario_input_long.parquet,log_lead_real_heavy_ruc_price,False,,committed_scenario_input
HEAVY_RUC,HEAVY_RUC__VNEXT_SOLVED_CONVEX_TOP4,log_real_diesel_price,current_basecase,2026Q2,5.36272430008097,scenario_inputs/scenario_input_long.parquet,log_real_diesel_price,False,,committed_scenario_input
HEAVY_RUC,HEAVY_RUC__VNEXT_SOLVED_CONVEX_TOP4,log_real_gdp,current_basecase,2026Q2,25.46285491174813,scenario_inputs/scenario_input_long.parquet,log_real_gdp,False,,committed_scenario_input
HEAVY_RUC,HEAVY_RUC__VNEXT_SOLVED_CONVEX_TOP4,log_real_heavy_ruc_price,current_basecase,2026Q2,5.779798630439033,scenario_inputs/scenario_input_long.parquet,log_real_heavy_ruc_price,False,,committed_scenario_input
HEAVY_RUC,HEAVY_RUC__VNEXT_SOLVED_CONVEX_TOP4,log_real_light_ruc_price,current_basecase,2026Q2,4.36424555487439,scenario_inputs/scenario_input_long.parquet,log_real_light_ruc_price,False,,committed_scenario_input
HEAVY_RUC,HEAVY_RUC__VNEXT_SOLVED_CONVEX_TOP4,log_target_lag_1,current_basecase,2026Q2,20.756130803338955,scenario_inputs/scenario_input_long.parquet,log_target_lag_1,False,,committed_scenario_input
HEAVY_RUC,HEAVY_RUC__VNEXT_SOLVED_CONVEX_TOP4,log_target_lag_4,current_basecase,2026Q2,20.67229380673747,scenario_inputs/scenario_input_long.parquet,log_target_lag_4,False,,committed_scenario_input
HEAVY_RUC,HEAVY_RUC__VNEXT_SOLVED_CONVEX_TOP4,log_unemployment_rate,current_basecase,2026Q2,-2.9403921785208267,scenario_inputs/scenario_input_long.parquet,log_unemployment_rate,False,,committed_scenario_input
HEAVY_RUC,HEAVY_RUC__VNEXT_SOLVED_CONVEX_TOP4,post_2020_dummy,current_basecase,2026Q2,1.0,scenario_inputs/scenario_input_long.parquet,post_2020_dummy,False,,committed_scenario_input
HEAVY_RUC,HEAVY_RUC__VNEXT_SOLVED_CONVEX_TOP4,q2_dummy,current_basecase,2026Q2,1.0,scenario_inputs/scenario_input_long.parquet,q2_dummy,False,,committed_scenario_input
HEAVY_RUC,HEAVY_RUC__VNEXT_SOLVED_CONVEX_TOP4,q3_dummy,current_basecase,2026Q2,0.0,scenario_inputs/scenario_input_long.parquet,q3_dummy,False,,committed_scenario_input
HEAVY_RUC,HEAVY_RUC__VNEXT_SOLVED_CONVEX_TOP4,q4_dummy,current_basecase,2026Q2,0.0,scenario_inputs/scenario_input_long.parquet,q4_dummy,False,,committed_scenario_input
HEAVY_RUC,HEAVY_RUC__VNEXT_SOLVED_CONVEX_TOP4,quarter,current_basecase,2026Q2,2.0,scenario_inputs/scenario_input_long.parquet,quarter,False,,committed_scenario_input
