source_sheet,release_round,release_family,release_year,FY,horizon,series,metric,unit,forecast,raw_actual,crown_top_up,benchmark_actual,error,pct_error,source_cell,source_workbook_sheet,source_workbook_row,value_status,revenue_basis
MBU 2015,MBU15,MBU,2015,2020,5,Heavy RUC net km,Volume,million km,4115.410036707588,3867.517432,0,3867.517432,247.8926047075879,0.06409605362254199,J30,Forecast archive,30,forecast_archive,activity
MBU 2015,MBU15,MBU,2015,2021,6,Heavy RUC net km,Volume,million km,4204.030628107095,4141.235503,0,4141.235503,62.79512510709537,0.015163379397671355,J31,Forecast archive,31,forecast_archive,activity
MBU 2015,MBU15,MBU,2015,2022,7,Heavy RUC net km,Volume,million km,4293.594355340588,4170.928916,0,4170.928916,122.66543934058791,0.02940962116856846,J32,Forecast archive,32,forecast_archive,activity
MBU 2015,MBU15,MBU,2015,2023,8,Heavy RUC net km,Volume,million km,4382.128720455227,4152.746925,0,4152.746925,229.3817954552269,0.055236160449442,J33,Forecast archive,33,forecast_archive,activity
MBU 2015,MBU15,MBU,2015,2024,9,Heavy RUC net km,Volume,million km,4469.922456015846,3903.861766,0,3903.861766,566.0606900158464,0.14500018800508072,J34,Forecast archive,34,forecast_archive,activity
OBU 2015,OBU15,OBU,2015,2016,1,Heavy RUC net km,Volume,million km,3623.848116628424,3716.710068,0,3716.710068,-92.86195137157574,-0.024984986634038343,J35,Forecast archive,35,forecast_archive,activity
OBU 2015,OBU15,OBU,2015,2017,2,Heavy RUC net km,Volume,million km,3724.385524747738,3842.683587,0,3842.683587,-118.29806225226184,-0.03078527273295943,J36,Forecast archive,36,forecast_archive,activity
OBU 2015,OBU15,OBU,2015,2018,3,Heavy RUC net km,Volume,million km,3840.813875936267,4022.092402,0,4022.092402,-181.27852606373335,-0.04507070150193266,J37,Forecast archive,37,forecast_archive,activity
OBU 2015,OBU15,OBU,2015,2019,4,Heavy RUC net km,Volume,million km,3926.948437222824,4071.164816,0,4071.164816,-144.21637877717603,-0.035423861547042815,J38,Forecast archive,38,forecast_archive,activity
OBU 2015,OBU15,OBU,2015,2020,5,Heavy RUC net km,Volume,million km,3995.806885511313,3867.517432,0,3867.517432,128.2894535113128,0.03317100847428392,J39,Forecast archive,39,forecast_archive,activity
OBU 2015,OBU15,OBU,2015,2021,6,Heavy RUC net km,Volume,million km,4081.450846807842,4141.235503,0,4141.235503,-59.784656192157854,-0.014436429937116246,J40,Forecast archive,40,forecast_archive,activity
OBU 2015,OBU15,OBU,2015,2022,7,Heavy RUC net km,Volume,million km,4169.340166455142,4170.928916,0,4170.928916,-1.5887495448578193,-0.0003809102425033559,J41,Forecast archive,41,forecast_archive,activity
OBU 2015,OBU15,OBU,2015,2023,8,Heavy RUC net km,Volume,million km,4258.164839358876,4152.746925,0,4152.746925,105.41791435887535,0.025385104429130445,J42,Forecast archive,42,forecast_archive,activity
OBU 2015,OBU15,OBU,2015,2024,9,Heavy RUC net km,Volume,million km,4345.968644144781,3903.861766,0,3903.861766,442.10687814478115,0.1132485996290221,J43,Forecast archive,43,forecast_archive,activity
MOT summary sheets,BEFU16,BEFU,2016,2016,0,Heavy RUC net km,Volume,million km,3712.080407509427,3716.710068,0,3716.710068,-4.62966049057286,-0.0012456340166087068,J44,Forecast archive,44,forecast_archive,activity
MOT summary sheets,BEFU16,BEFU,2016,2017,1,Heavy RUC net km,Volume,million km,3730.036981609305,3842.683587,0,3842.683587,-112.64660539069519,-0.029314566979124837,J45,Forecast archive,45,forecast_archive,activity
MOT summary sheets,BEFU16,BEFU,2016,2018,2,Heavy RUC net km,Volume,million km,3868.220525713881,4022.092402,0,4022.092402,-153.871876286119,-0.03825667361833996,J46,Forecast archive,46,forecast_archive,activity
MOT summary sheets,BEFU16,BEFU,2016,2019,3,Heavy RUC net km,Volume,million km,3965.210162606639,4071.164816,0,4071.164816,-105.95465339336079,-0.02602563594992534,J47,Forecast archive,47,forecast_archive,activity
MOT summary sheets,BEFU16,BEFU,2016,2020,4,Heavy RUC net km,Volume,million km,4049.977177743476,3867.517432,0,3867.517432,182.4597457434761,0.04717748502793978,J48,Forecast archive,48,forecast_archive,activity
MOT summary sheets,BEFU16,BEFU,2016,2021,5,Heavy RUC net km,Volume,million km,4130.650584851514,4141.235503,0,4141.235503,-10.584918148485485,-0.0025559807310686733,J49,Forecast archive,49,forecast_archive,activity
MOT summary sheets,BEFU16,BEFU,2016,2022,6,Heavy RUC net km,Volume,million km,4219.599363973197,4170.928916,0,4170.928916,48.67044797319704,0.01166897085838445,J50,Forecast archive,50,forecast_archive,activity
MOT summary sheets,BEFU16,BEFU,2016,2023,7,Heavy RUC net km,Volume,million km,4309.494771479134,4152.746925,0,4152.746925,156.74784647913384,0.03774558125261482,J51,Forecast archive,51,forecast_archive,activity
MOT summary sheets,BEFU16,BEFU,2016,2024,8,Heavy RUC net km,Volume,million km,4398.357004839256,3903.861766,0,3903.861766,494.49523883925576,0.12666822456316856,J52,Forecast archive,52,forecast_archive,activity
HYEFU 2016,HYEFU16,HYEFU,2016,2017,1,Heavy RUC net km,Volume,million km,3821.405610466125,3842.683587,0,3842.683587,-21.277976533875062,-0.0055372699968999715,J53,Forecast archive,53,forecast_archive,activity
HYEFU 2016,HYEFU16,HYEFU,2016,2018,2,Heavy RUC net km,Volume,million km,3948.811700666647,4022.092402,0,4022.092402,-73.28070133335314,-0.018219546944499346,J54,Forecast archive,54,forecast_archive,activity
HYEFU 2016,HYEFU16,HYEFU,2016,2019,3,Heavy RUC net km,Volume,million km,4051.401577959026,4071.164816,0,4071.164816,-19.7632380409741,-0.0048544431223474455,J55,Forecast archive,55,forecast_archive,activity
HYEFU 2016,HYEFU16,HYEFU,2016,2020,4,Heavy RUC net km,Volume,million km,4130.529118739675,3867.517432,0,3867.517432,263.01168673967504,0.06800530091047693,J56,Forecast archive,56,forecast_archive,activity
HYEFU 2016,HYEFU16,HYEFU,2016,2021,5,Heavy RUC net km,Volume,million km,4207.944731382257,4141.235503,0,4141.235503,66.7092283822567,0.016108532908580327,J57,Forecast archive,57,forecast_archive,activity
HYEFU 2016,HYEFU16,HYEFU,2016,2022,6,Heavy RUC net km,Volume,million km,4296.593758024908,4170.928916,0,4170.928916,125.66484202490847,0.030128742195257414,J58,Forecast archive,58,forecast_archive,activity
HYEFU 2016,HYEFU16,HYEFU,2016,2023,7,Heavy RUC net km,Volume,million km,4387.854692913545,4152.746925,0,4152.746925,235.1077679135442,0.05661500018172771,J59,Forecast archive,59,forecast_archive,activity
HYEFU 2016,HYEFU16,HYEFU,2016,2024,8,Heavy RUC net km,Volume,million km,4480.060500474251,3903.861766,0,3903.861766,576.1987344742511,0.14759711511625564,J60,Forecast archive,60,forecast_archive,activity
MBU 2016,MBU16,MBU,2016,2016,0,Heavy RUC net km,Volume,million km,3714.383781123702,3716.710068,0,3716.710068,-2.3262868762976723,-0.0006258994739262703,J61,Forecast archive,61,forecast_archive,activity
MBU 2016,MBU16,MBU,2016,2017,1,Heavy RUC net km,Volume,million km,3731.932984369591,3842.683587,0,3842.683587,-110.75060263040905,-0.028821161077400216,J62,Forecast archive,62,forecast_archive,activity
MBU 2016,MBU16,MBU,2016,2018,2,Heavy RUC net km,Volume,million km,3865.383708469709,4022.092402,0,4022.092402,-156.70869353029138,-0.03896198243788915,J63,Forecast archive,63,forecast_archive,activity
MBU 2016,MBU16,MBU,2016,2019,3,Heavy RUC net km,Volume,million km,3962.299709946429,4071.164816,0,4071.164816,-108.8651060535708,-0.026740530284041147,J64,Forecast archive,64,forecast_archive,activity
MBU 2016,MBU16,MBU,2016,2020,4,Heavy RUC net km,Volume,million km,4047.007316253471,3867.517432,0,3867.517432,179.4898842534708,0.0464095863585162,J65,Forecast archive,65,forecast_archive,activity
MBU 2016,MBU16,MBU,2016,2021,5,Heavy RUC net km,Volume,million km,4133.748680993883,4141.235503,0,4141.235503,-7.486822006117109,-0.0018078715882478777,J66,Forecast archive,66,forecast_archive,activity
MBU 2016,MBU16,MBU,2016,2022,6,Heavy RUC net km,Volume,million km,4222.764173984459,4170.928916,0,4170.928916,51.83525798445953,0.012427749076618292,J67,Forecast archive,67,forecast_archive,activity
MBU 2016,MBU16,MBU,2016,2023,7,Heavy RUC net km,Volume,million km,4312.727005399109,4152.746925,0,4152.746925,159.98008039910837,0.038523917611258805,J68,Forecast archive,68,forecast_archive,activity
MBU 2016,MBU16,MBU,2016,2024,8,Heavy RUC net km,Volume,million km,4401.65588776104,3903.861766,0,3903.861766,497.7941217610396,0.12751325523267507,J69,Forecast archive,69,forecast_archive,activity
OBU 2016,OBU16,OBU,2016,2017,1,Heavy RUC net km,Volume,million km,3816.026552667357,3842.683587,0,3842.683587,-26.65703433264298,-0.006937088034733103,J70,Forecast archive,70,forecast_archive,activity
OBU 2016,OBU16,OBU,2016,2018,2,Heavy RUC net km,Volume,million km,3940.606177558191,4022.092402,0,4022.092402,-81.4862244418091,-0.020259659972329272,J71,Forecast archive,71,forecast_archive,activity
OBU 2016,OBU16,OBU,2016,2019,3,Heavy RUC net km,Volume,million km,4049.315914874255,4071.164816,0,4071.164816,-21.84890112574476,-0.005366744436353166,J72,Forecast archive,72,forecast_archive,activity
OBU 2016,OBU16,OBU,2016,2020,4,Heavy RUC net km,Volume,million km,4138.475547734138,3867.517432,0,3867.517432,270.95811573413766,0.07005995977994021,J73,Forecast archive,73,forecast_archive,activity
OBU 2016,OBU16,OBU,2016,2021,5,Heavy RUC net km,Volume,million km,4224.686227625855,4141.235503,0,4141.235503,83.4507246258554,0.0201511661351792,J74,Forecast archive,74,forecast_archive,activity
OBU 2016,OBU16,OBU,2016,2022,6,Heavy RUC net km,Volume,million km,4313.759246306745,4170.928916,0,4170.928916,142.83033030674505,0.03424424946654858,J75,Forecast archive,75,forecast_archive,activity
OBU 2016,OBU16,OBU,2016,2023,7,Heavy RUC net km,Volume,million km,4405.384781294453,4152.746925,0,4152.746925,252.63785629445283,0.060836323729130885,J76,Forecast archive,76,forecast_archive,activity
OBU 2016,OBU16,OBU,2016,2024,8,Heavy RUC net km,Volume,million km,4497.958963851345,3903.861766,0,3903.861766,594.0971978513453,0.15218192483799778,J77,Forecast archive,77,forecast_archive,activity
MOT summary sheets,BEFU17,BEFU,2017,2017,0,Heavy RUC net km,Volume,million km,3793.866948982392,3842.683587,0,3842.683587,-48.81663801760806,-0.012703788098181516,J78,Forecast archive,78,forecast_archive,activity
MOT summary sheets,BEFU17,BEFU,2017,2018,1,Heavy RUC net km,Volume,million km,3867.695784005751,4022.092402,0,4022.092402,-154.39661799424903,-0.038387138474858196,J79,Forecast archive,79,forecast_archive,activity
MOT summary sheets,BEFU17,BEFU,2017,2019,2,Heavy RUC net km,Volume,million km,3966.347771948225,4071.164816,0,4071.164816,-104.81704405177516,-0.02574620502708116,J80,Forecast archive,80,forecast_archive,activity
MOT summary sheets,BEFU17,BEFU,2017,2020,3,Heavy RUC net km,Volume,million km,4065.200138057047,3867.517432,0,3867.517432,197.68270605704674,0.05111359147897093,J81,Forecast archive,81,forecast_archive,activity
MOT summary sheets,BEFU17,BEFU,2017,2021,4,Heavy RUC net km,Volume,million km,4144.335664073932,4141.235503,0,4141.235503,3.100161073932213,0.0007486077697552796,J82,Forecast archive,82,forecast_archive,activity
MOT summary sheets,BEFU17,BEFU,2017,2022,5,Heavy RUC net km,Volume,million km,4229.668332009309,4170.928916,0,4170.928916,58.739416009309025,0.014083053725509482,J83,Forecast archive,83,forecast_archive,activity
MOT summary sheets,BEFU17,BEFU,2017,2023,6,Heavy RUC net km,Volume,million km,4319.50775084658,4152.746925,0,4152.746925,166.7608258465798,0.04015675138849926,J84,Forecast archive,84,forecast_archive,activity
MOT summary sheets,BEFU17,BEFU,2017,2024,7,Heavy RUC net km,Volume,million km,4410.277324660007,3903.861766,0,3903.861766,506.41555866000726,0.12972169329112646,J85,Forecast archive,85,forecast_archive,activity
HYEFU 2017,HYEFU17,HYEFU,2017,2018,1,Heavy RUC net km,Volume,million km,3895.259887147055,4022.092402,0,4022.092402,-126.83251485294522,-0.031533963463862065,J86,Forecast archive,86,forecast_archive,activity
HYEFU 2017,HYEFU17,HYEFU,2017,2019,2,Heavy RUC net km,Volume,million km,3954.704308314099,4071.164816,0,4071.164816,-116.46050768590112,-0.028606188388198412,J87,Forecast archive,87,forecast_archive,activity
HYEFU 2017,HYEFU17,HYEFU,2017,2020,3,Heavy RUC net km,Volume,million km,4017.707250258575,3867.517432,0,3867.517432,150.1898182585751,0.03883364998329375,J88,Forecast archive,88,forecast_archive,activity
HYEFU 2017,HYEFU17,HYEFU,2017,2021,4,Heavy RUC net km,Volume,million km,4089.050718367011,4141.235503,0,4141.235503,-52.184784632988794,-0.012601259840254198,J89,Forecast archive,89,forecast_archive,activity
HYEFU 2017,HYEFU17,HYEFU,2017,2022,5,Heavy RUC net km,Volume,million km,4151.72903781236,4170.928916,0,4170.928916,-19.199878187640024,-0.00460326190503699,J90,Forecast archive,90,forecast_archive,activity
HYEFU 2017,HYEFU17,HYEFU,2017,2023,6,Heavy RUC net km,Volume,million km,4212.967581055353,4152.746925,0,4152.746925,60.220656055352265,0.014501402840808138,J91,Forecast archive,91,forecast_archive,activity
