scenario_name,series_id,time_grain,period,skeleton_value,direct_factor,transferred_base_factor,direct_value,factor_transfer_value,value_delta,factor_rel_deviation,parity,authoritative
current_basecase,ped_vkt_per_capita,june_year,FY2025,5973.14429429917,1.0,1.0,5973.14429429917,5973.14429429917,0.0,0.0,within_tolerance,direct_replay
current_basecase,ped_vkt_per_capita,june_year,FY2026,6169.513389534369,0.999858427983008,0.999858427983008,6168.639959079953,6168.639959079953,0.0,0.0,within_tolerance,direct_replay
current_basecase,ped_vkt_per_capita,june_year,FY2027,6141.008454644322,0.9997511326679417,0.9997511326679417,6139.480158254068,6139.480158254068,0.0,0.0,within_tolerance,direct_replay
current_basecase,ped_vkt_per_capita,june_year,FY2028,6138.046444659734,1.0003172931486728,1.0003172931486728,6139.99400474286,6139.99400474286,0.0,0.0,within_tolerance,direct_replay
current_basecase,ped_vkt_per_capita,june_year,FY2029,6133.5092934732065,1.0006545549810004,1.0006545549810004,6137.524012532262,6137.524012532262,0.0,0.0,within_tolerance,direct_replay
current_basecase,ped_vkt_per_capita,june_year,FY2030,6114.208933600386,1.000916197440531,1.000916197440531,6119.810756176223,6119.810756176223,0.0,0.0,within_tolerance,direct_replay
current_basecase,ped_vkt_per_capita,quarterly,2026Q1,1529.8881193068491,0.9999067308204628,0.9999067308204628,1529.7454278971777,1529.7454278971777,0.0,0.0,within_tolerance,direct_replay
current_basecase,ped_vkt_per_capita,quarterly,2026Q2,1529.4019970974282,0.9995222060346911,0.9995222060346911,1528.6712580526837,1528.6712580526837,0.0,0.0,within_tolerance,direct_replay
current_basecase,ped_vkt_per_capita,quarterly,2026Q3,1537.67393490705,0.9993743625419699,0.9993743625419699,1536.7119084951355,1536.7119084951355,0.0,0.0,within_tolerance,direct_replay
current_basecase,ped_vkt_per_capita,quarterly,2026Q4,1547.5834747893225,0.9996934978378188,0.9996934978378188,1547.1091371081436,1547.1091371081436,0.0,0.0,within_tolerance,direct_replay
current_basecase,ped_vkt_per_capita,quarterly,2027Q1,1531.4418782380003,0.9998834345283681,0.9998834345283681,1531.2633649931868,1531.2633649931868,0.0,0.0,within_tolerance,direct_replay
