scenario_name,scenario_role,series_id,stream,annual_period,value_status,forecast_quarter,committed_forecast_value,scenario_input_status,mismatch_status,mismatch_reason,workbook_sha256,manifest_workbook_sha256,required_feature_count,missing_required_feature_count,replay_forecast_value,promoted_forecast_value,replay_abs_delta,replay_tolerance,replay_status,replay_reason,source_artifact
current_basecase,basecase,heavy_ruc_net_km,HEAVY_RUC,FY2029,current_finalist_forecast,2029Q1,4171.7860513357455,matched_committed_scenario_input,pass,,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,25,0,1047581920.2963629,1047581920.2963628,1.1920928955078125e-07,0.0010475819202963629,pass,,scenario_inputs/scenario_input_long.parquet
current_basecase,basecase,heavy_ruc_net_km,HEAVY_RUC,FY2029,current_finalist_forecast,2029Q2,4171.7860513357455,matched_committed_scenario_input,pass,,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,25,0,1019836095.3183956,1019836095.3183956,0.0,0.0010198360953183956,pass,,scenario_inputs/scenario_input_long.parquet
current_basecase,basecase,heavy_ruc_net_km,HEAVY_RUC,FY2030,current_finalist_forecast,2029Q3,4205.391266929527,matched_committed_scenario_input,pass,,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,25,0,1032505738.2550393,1032505738.2550392,1.1920928955078125e-07,0.0010325057382550393,pass,,scenario_inputs/scenario_input_long.parquet
current_basecase,basecase,heavy_ruc_net_km,HEAVY_RUC,FY2030,current_finalist_forecast,2029Q4,4205.391266929527,matched_committed_scenario_input,pass,,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,25,0,1089424993.4314303,1089424993.4314303,0.0,0.0010894249934314303,pass,,scenario_inputs/scenario_input_long.parquet
current_basecase,basecase,heavy_ruc_net_km,HEAVY_RUC,FY2030,current_finalist_forecast,2030Q1,4205.391266929527,matched_committed_scenario_input,pass,,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,25,0,1055840917.0979283,1055840917.0979284,1.1920928955078125e-07,0.0010558409170979284,pass,,scenario_inputs/scenario_input_long.parquet
current_basecase,basecase,heavy_ruc_net_km,HEAVY_RUC,FY2030,current_finalist_forecast,2030Q2,4205.391266929527,matched_committed_scenario_input,pass,,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,25,0,1027619618.1451293,1027619618.1451292,1.1920928955078125e-07,0.0010276196181451293,pass,,scenario_inputs/scenario_input_long.parquet
current_basecase,basecase,current_light_ruc_conventional_modelled_km,LIGHT_RUC,FY2025,Actual anchor,,13529.742736,actual_anchor_no_workbook_replay_required,not_applicable,Annual row contains actual-anchor quarters only.,,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,0,0,,,,,not_applicable,Actual-anchor row is not a promoted future forecast row.,mbu26_actual_anchor
current_basecase,basecase,current_light_ruc_conventional_modelled_km,LIGHT_RUC,FY2026,Current-finalist FY nowcast (2 actual + 2 forecast),2026Q1,12968.092013523903,matched_committed_scenario_input,pass,,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,19,0,3359089541.450709,3359089541.450709,0.0,0.003359089541450709,pass,,scenario_inputs/scenario_input_long.parquet
current_basecase,basecase,current_light_ruc_conventional_modelled_km,LIGHT_RUC,FY2026,Current-finalist FY nowcast (2 actual + 2 forecast),2026Q2,12968.092013523903,matched_committed_scenario_input,pass,,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,19,0,3178078226.073193,3178078226.073193,0.0,0.003178078226073193,pass,,scenario_inputs/scenario_input_long.parquet
current_basecase,basecase,current_light_ruc_conventional_modelled_km,LIGHT_RUC,FY2027,current_finalist_forecast,2026Q3,12697.50796810656,matched_committed_scenario_input,pass,,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,19,0,3052255206.937117,3052255206.937117,0.0,0.003052255206937117,pass,,scenario_inputs/scenario_input_long.parquet
current_basecase,basecase,current_light_ruc_conventional_modelled_km,LIGHT_RUC,FY2027,current_finalist_forecast,2026Q4,12697.50796810656,matched_committed_scenario_input,pass,,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,19,0,3075890925.395191,3075890925.395191,0.0,0.003075890925395191,pass,,scenario_inputs/scenario_input_long.parquet
current_basecase,basecase,current_light_ruc_conventional_modelled_km,LIGHT_RUC,FY2027,current_finalist_forecast,2027Q1,12697.50796810656,matched_committed_scenario_input,pass,,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,19,0,3270598734.6146383,3270598734.6146383,0.0,0.003270598734614638,pass,,scenario_inputs/scenario_input_long.parquet
current_basecase,basecase,current_light_ruc_conventional_modelled_km,LIGHT_RUC,FY2027,current_finalist_forecast,2027Q2,12697.50796810656,matched_committed_scenario_input,pass,,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,19,0,3298763101.1596136,3298763101.1596136,0.0,0.0032987631011596134,pass,,scenario_inputs/scenario_input_long.parquet
