series_id,series_label,trace_name,trace_type,trace_role,trace_source,scenario_name,fed_path,period,june_year,value,value_unit,row_type,data_scope,source_file,source_cell,source_status,formula,model_id,replacement_only,value_status,actual_quarters,forecast_quarters,quarters_present,anchor_flag,nowcast_flag,plot_allowed
gross_fed_revenue,Gross FED revenue,Actual,Actual,source_actual,actual_benchmark,actual,,FY2024,2024,2073.93255766,$m nominal ex GST,historical_actual,befu26_complete_actual_line,annual_spine.csv,Y43,ACTUAL,gross_ped_revenue + gross_lpg_revenue + gross_cng_revenue,,False,actual,2023Q3; 2023Q4; 2024Q1; 2024Q2,,2023Q3; 2023Q4; 2024Q1; 2024Q2,False,False,True
gross_fed_revenue,Gross FED revenue,Actual,Actual,source_actual,actual_benchmark,actual,,FY2025,2025,2067.62792391,$m nominal ex GST,historical_actual,befu26_complete_actual_line,annual_spine.csv,Z43,ACTUAL,gross_ped_revenue + gross_lpg_revenue + gross_cng_revenue,,False,actual,2024Q3; 2024Q4; 2025Q1; 2025Q2,,2024Q3; 2024Q4; 2025Q1; 2025Q2,True,False,True
gross_fed_revenue,Gross FED revenue,Current finalist Base case,current finalist base,in_house_current_finalist,current_finalist_forecast,current_basecase,Current planned path,FY2025,2025,2067.62792391,$m nominal ex GST,future_forecast,actual_anchor,annual_spine.csv,Z43,ACTUAL,gross_ped_revenue + gross_lpg_revenue + gross_cng_revenue,PED__VNEXT_SOLVED_CONVEX_TOP2,False,Actual anchor,2024Q3; 2024Q4; 2025Q1; 2025Q2,,2024Q3; 2024Q4; 2025Q1; 2025Q2,True,False,True
gross_fed_revenue,Gross FED revenue,Current finalist High population/comparison,current finalist comparison,in_house_current_finalist,current_finalist_forecast,current_comparison_1,Current planned path,FY2025,2025,2067.62792391,$m nominal ex GST,future_forecast,actual_anchor,annual_spine.csv,Z43,ACTUAL,gross_ped_revenue + gross_lpg_revenue + gross_cng_revenue,PED__VNEXT_SOLVED_CONVEX_TOP2,False,Actual anchor,2024Q3; 2024Q4; 2025Q1; 2025Q2,,2024Q3; 2024Q4; 2025Q1; 2025Q2,True,False,True
gross_fed_revenue,Gross FED revenue,BEFU26 official,BEFU26 official,official_external_comparator,befu26_official,befu26_official,BEFU26,FY2026,2026,2080.28445921602,$m nominal ex GST,official_comparator,befu26_official_forecast,annual_spine.csv,AA43,ST_FORECAST,gross_ped_revenue + gross_lpg_revenue + gross_cng_revenue,,False,official_forecast,,,,False,False,True
gross_fed_revenue,Gross FED revenue,Current finalist Base case,current finalist base,in_house_current_finalist,current_finalist_forecast,current_basecase,Current planned path,FY2026,2026,2187.079351801779,$m nominal ex GST,future_forecast,current_nowcast,current_hybrid_formula,current_revenue_outlook:current_basecase:FY2026,source_backed,gross_ped_revenue + BEFU26 gross_lpg_revenue + BEFU26 gross_cng_revenue,PED__VNEXT_SOLVED_CONVEX_TOP2,False,Current-finalist FY nowcast (2 actual + 2 forecast),2025Q3; 2025Q4,2026Q1; 2026Q2,2025Q3; 2025Q4; 2026Q1; 2026Q2,False,True,True
gross_fed_revenue,Gross FED revenue,Current finalist High population/comparison,current finalist comparison,in_house_current_finalist,current_finalist_forecast,current_comparison_1,Current planned path,FY2026,2026,2189.351699701888,$m nominal ex GST,future_forecast,current_nowcast,current_hybrid_formula,current_revenue_outlook:current_comparison_1:FY2026,source_backed,gross_ped_revenue + BEFU26 gross_lpg_revenue + BEFU26 gross_cng_revenue,PED__VNEXT_SOLVED_CONVEX_TOP2,False,Current-finalist FY nowcast (2 actual + 2 forecast),2025Q3; 2025Q4,2026Q1; 2026Q2,2025Q3; 2025Q4; 2026Q1; 2026Q2,False,True,True
gross_fed_revenue,Gross FED revenue,MBU26 official,MBU26 official,official_external_comparator,mbu26_official,mbu26_official,MBU26,FY2026,2026,2104.82984947749,$m nominal ex GST,official_comparator,mbu26_official_forecast,mbu26_annual_spine.csv,AB48,ST_FORECAST,gross_ped_revenue + gross_lpg_revenue + gross_cng_revenue,,False,official_forecast,,,,False,False,True
gross_fed_revenue,Gross FED revenue,BEFU26 official,BEFU26 official,official_external_comparator,befu26_official,befu26_official,BEFU26,FY2027,2027,2204.13393108992,$m nominal ex GST,official_comparator,befu26_official_forecast,annual_spine.csv,AB43,ST_FORECAST,gross_ped_revenue + gross_lpg_revenue + gross_cng_revenue,,False,official_forecast,,,,False,False,True
gross_fed_revenue,Gross FED revenue,Current finalist Base case,current finalist base,in_house_current_finalist,current_finalist_forecast,current_basecase,Current planned path,FY2027,2027,2313.8298522961386,$m nominal ex GST,future_forecast,current_forecast,current_hybrid_formula,current_revenue_outlook:current_basecase:FY2027,source_backed,gross_ped_revenue + BEFU26 gross_lpg_revenue + BEFU26 gross_cng_revenue,PED__VNEXT_SOLVED_CONVEX_TOP2,False,current_finalist_forecast,,2026Q3; 2026Q4; 2027Q1; 2027Q2,2026Q3; 2026Q4; 2027Q1; 2027Q2,False,False,True
