FY,period,source_path,scenario_name,scenario_role,fed_path,lambda_mode,ped_vkt_per_capita,population_million,adjusted_light_petrol_vkt_million_km,base_litres_per_100km,ped_volume_million_litres,ped_rate_nzd_per_litre,gross_ped_revenue_million_nzd,total_nltf_net_revenue_million_nzd,vktpc_unit,population_unit,light_petrol_vkt_unit,litres_intensity_unit,ped_volume_unit,ped_rate_unit,gross_ped_revenue_unit,source_file,vktpc_source_cell,population_source_cell,migration_source_cells,formula,availability_status,notes
2050,FY2050,Current finalist Base case,current_basecase,basecase,Current planned path,optimized,5799.234723231457,1.5674760325119903,9090.161435576614,7.015085168223659,637.6825666347219,1.7397737172505494,1109.4233693799613,13452.22824655311,km/person,million people,million km,litres/100km,million litres,$/litre,$m nominal ex GST,forecast_scenario_comparison.parquet; scenario_inputs/scenario_input_wide.parquet; mbu26_official_annual.csv,data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2049Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2049Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2050Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2050Q2,scenario_inputs/scenario_input_wide.parquet:PED:population (2049Q3; 2049Q4; 2050Q1; 2050Q2),data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2049Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2049Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2050Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2050Q2; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2049Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2049Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2050Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2050Q2; AZ16; AZ10; AZ12; AZ14; scenario_inputs/scenario_input_wide.parquet:PED:population (2049Q3; 2049Q4; 2050Q1; 2050Q2),gross_ped_revenue = adjusted_light_petrol_vkt_million_km * base_litres_per_100km / 100 * ped_rate_nzd_per_litre,available,"Current-finalist PED revenue uses adjusted PED/light-petrol VKT after optimized EV/PHEV migration, then applies MBU26 litres intensity and PED rate."
2026,FY2026,Current finalist High population/comparison,current_comparison_1,comparison,Current planned path,optimized,6169.2392325267765,5.139424159085975,31706.337154829132,9.253495188709412,2933.944383138098,0.7002400000000003,2054.465214848623,4513.738498212429,km/person,million people,million km,litres/100km,million litres,$/litre,$m nominal ex GST,forecast_scenario_comparison.parquet; scenario_inputs/scenario_input_wide.parquet; mbu26_official_annual.csv,data/current_revenue_outlook/revenue_chart_rows.csv:historical_actual:2025Q3; data/current_revenue_outlook/revenue_chart_rows.csv:historical_actual:2025Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2026Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2026Q2,scenario_inputs/scenario_input_wide.parquet:PED:population (2026Q1; 2026Q2); mbu26_official_annual.csv:population_proxy (2025Q3; 2025Q4),data/current_revenue_outlook/revenue_chart_rows.csv:historical_actual:2025Q3; data/current_revenue_outlook/revenue_chart_rows.csv:historical_actual:2025Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2026Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2026Q2; data/current_revenue_outlook/revenue_chart_rows.csv:historical_actual:2025Q3; data/current_revenue_outlook/revenue_chart_rows.csv:historical_actual:2025Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2026Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2026Q2; AB16; AB10; AB12; AB14; scenario_inputs/scenario_input_wide.parquet:PED:population (2026Q1; 2026Q2); mbu26_official_annual.csv:population_proxy (2025Q3; 2025Q4),gross_ped_revenue = adjusted_light_petrol_vkt_million_km * base_litres_per_100km / 100 * ped_rate_nzd_per_litre,available,"Current-finalist PED revenue uses adjusted PED/light-petrol VKT after optimized EV/PHEV migration, then applies MBU26 litres intensity and PED rate."
2027,FY2027,Current finalist High population/comparison,current_comparison_1,comparison,Current planned path,optimized,6138.803634393285,5.139558529906152,31550.740582564897,9.019048682247908,2845.576652751275,0.7598432334330983,2162.1921648082616,4863.956755111304,km/person,million people,million km,litres/100km,million litres,$/litre,$m nominal ex GST,forecast_scenario_comparison.parquet; scenario_inputs/scenario_input_wide.parquet; mbu26_official_annual.csv,data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2026Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2026Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2027Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2027Q2,scenario_inputs/scenario_input_wide.parquet:PED:population (2026Q3; 2026Q4; 2027Q1; 2027Q2),data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2026Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2026Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2027Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2027Q2; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2026Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2026Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2027Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2027Q2; AC16; AC10; AC12; AC14; scenario_inputs/scenario_input_wide.parquet:PED:population (2026Q3; 2026Q4; 2027Q1; 2027Q2),gross_ped_revenue = adjusted_light_petrol_vkt_million_km * base_litres_per_100km / 100 * ped_rate_nzd_per_litre,available,"Current-finalist PED revenue uses adjusted PED/light-petrol VKT after optimized EV/PHEV migration, then applies MBU26 litres intensity and PED rate."
2028,FY2028,Current finalist High population/comparison,current_comparison_1,comparison,Current planned path,optimized,6132.178733998277,5.148010902715322,31568.52298002217,8.931856817675813,2819.6552720306663,0.8500894140750587,2396.9590980941994,5455.722899706612,km/person,million people,million km,litres/100km,million litres,$/litre,$m nominal ex GST,forecast_scenario_comparison.parquet; scenario_inputs/scenario_input_wide.parquet; mbu26_official_annual.csv,data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2027Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2027Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2028Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2028Q2,scenario_inputs/scenario_input_wide.parquet:PED:population (2027Q3; 2027Q4; 2028Q1; 2028Q2),data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2027Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2027Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2028Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2028Q2; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2027Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2027Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2028Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2028Q2; AD16; AD10; AD12; AD14; scenario_inputs/scenario_input_wide.parquet:PED:population (2027Q3; 2027Q4; 2028Q1; 2028Q2),gross_ped_revenue = adjusted_light_petrol_vkt_million_km * base_litres_per_100km / 100 * ped_rate_nzd_per_litre,available,"Current-finalist PED revenue uses adjusted PED/light-petrol VKT after optimized EV/PHEV migration, then applies MBU26 litres intensity and PED rate."
2029,FY2029,Current finalist High population/comparison,current_comparison_1,comparison,Current planned path,optimized,6124.2876876223,5.1489679237224655,31533.76085921565,8.844689067937997,2789.0630994247576,0.9001107027491552,2510.4655464349553,5806.8209191079995,km/person,million people,million km,litres/100km,million litres,$/litre,$m nominal ex GST,forecast_scenario_comparison.parquet; scenario_inputs/scenario_input_wide.parquet; mbu26_official_annual.csv,data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2028Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2028Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2029Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2029Q2,scenario_inputs/scenario_input_wide.parquet:PED:population (2028Q3; 2028Q4; 2029Q1; 2029Q2),data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2028Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2028Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2029Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2029Q2; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2028Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2028Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2029Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2029Q2; AE16; AE10; AE12; AE14; scenario_inputs/scenario_input_wide.parquet:PED:population (2028Q3; 2028Q4; 2029Q1; 2029Q2),gross_ped_revenue = adjusted_light_petrol_vkt_million_km * base_litres_per_100km / 100 * ped_rate_nzd_per_litre,available,"Current-finalist PED revenue uses adjusted PED/light-petrol VKT after optimized EV/PHEV migration, then applies MBU26 litres intensity and PED rate."
2030,FY2030,Current finalist High population/comparison,current_comparison_1,comparison,Current planned path,optimized,6103.089432589002,5.149168247203,31425.834316127464,8.757543274926979,2752.1310397417155,0.9400992657432979,2587.276369690526,6084.438193183936,km/person,million people,million km,litres/100km,million litres,$/litre,$m nominal ex GST,forecast_scenario_comparison.parquet; scenario_inputs/scenario_input_wide.parquet; mbu26_official_annual.csv,data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2029Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2029Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2030Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2030Q2,scenario_inputs/scenario_input_wide.parquet:PED:population (2029Q3; 2029Q4; 2030Q1; 2030Q2),data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2029Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2029Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2030Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2030Q2; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2029Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2029Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2030Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2030Q2; AF16; AF10; AF12; AF14; scenario_inputs/scenario_input_wide.parquet:PED:population (2029Q3; 2029Q4; 2030Q1; 2030Q2),gross_ped_revenue = adjusted_light_petrol_vkt_million_km * base_litres_per_100km / 100 * ped_rate_nzd_per_litre,available,"Current-finalist PED revenue uses adjusted PED/light-petrol VKT after optimized EV/PHEV migration, then applies MBU26 litres intensity and PED rate."
2031,FY2031,Current finalist High population/comparison,current_comparison_1,comparison,Current planned path,optimized,6100.072543068092,5.136367005399791,31332.211340760143,8.6704364524934,2716.6394734615383,0.9801272010486018,2662.652243382005,6390.769205608638,km/person,million people,million km,litres/100km,million litres,$/litre,$m nominal ex GST,forecast_scenario_comparison.parquet; scenario_inputs/scenario_input_wide.parquet; mbu26_official_annual.csv,data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2030Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2030Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2031Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2031Q2,scenario_inputs/scenario_input_wide.parquet:PED:population (2030Q3; 2030Q4; 2031Q1; 2031Q2),data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2030Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2030Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2031Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2031Q2; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2030Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2030Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2031Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2031Q2; AG16; AG10; AG12; AG14; scenario_inputs/scenario_input_wide.parquet:PED:population (2030Q3; 2030Q4; 2031Q1; 2031Q2),gross_ped_revenue = adjusted_light_petrol_vkt_million_km * base_litres_per_100km / 100 * ped_rate_nzd_per_litre,available,"Current-finalist PED revenue uses adjusted PED/light-petrol VKT after optimized EV/PHEV migration, then applies MBU26 litres intensity and PED rate."
2032,FY2032,Current finalist High population/comparison,current_comparison_1,comparison,Current planned path,optimized,6088.113156088539,5.1148033525219185,31139.501581294455,8.583296413903813,2672.795722534768,1.0201409097685845,2726.6282600121995,6697.004485868545,km/person,million people,million km,litres/100km,million litres,$/litre,$m nominal ex GST,forecast_scenario_comparison.parquet; scenario_inputs/scenario_input_wide.parquet; mbu26_official_annual.csv,data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2031Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2031Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2032Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2032Q2,scenario_inputs/scenario_input_wide.parquet:PED:population (2031Q3; 2031Q4; 2032Q1; 2032Q2),data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2031Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2031Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2032Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2032Q2; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2031Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2031Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2032Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2032Q2; AH16; AH10; AH12; AH14; scenario_inputs/scenario_input_wide.parquet:PED:population (2031Q3; 2031Q4; 2032Q1; 2032Q2),gross_ped_revenue = adjusted_light_petrol_vkt_million_km * base_litres_per_100km / 100 * ped_rate_nzd_per_litre,available,"Current-finalist PED revenue uses adjusted PED/light-petrol VKT after optimized EV/PHEV migration, then applies MBU26 litres intensity and PED rate."
2033,FY2033,Current finalist High population/comparison,current_comparison_1,comparison,Current planned path,optimized,6068.175177057288,5.081371232048111,30834.650775727358,8.496172791765561,2619.765209643276,1.0601469577062015,2777.3361169078685,7007.287585273126,km/person,million people,million km,litres/100km,million litres,$/litre,$m nominal ex GST,forecast_scenario_comparison.parquet; scenario_inputs/scenario_input_wide.parquet; mbu26_official_annual.csv,data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2032Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2032Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2033Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2033Q2,scenario_inputs/scenario_input_wide.parquet:PED:population (2032Q3; 2032Q4; 2033Q1; 2033Q2),data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2032Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2032Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2033Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2033Q2; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2032Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2032Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2033Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2033Q2; AI16; AI10; AI12; AI14; scenario_inputs/scenario_input_wide.parquet:PED:population (2032Q3; 2032Q4; 2033Q1; 2033Q2),gross_ped_revenue = adjusted_light_petrol_vkt_million_km * base_litres_per_100km / 100 * ped_rate_nzd_per_litre,available,"Current-finalist PED revenue uses adjusted PED/light-petrol VKT after optimized EV/PHEV migration, then applies MBU26 litres intensity and PED rate."
2034,FY2034,Current finalist High population/comparison,current_comparison_1,comparison,Current planned path,optimized,6049.128071765743,5.0310979914963125,30433.756092164593,8.409038557513078,2559.186284289606,1.1001419629388474,2815.4682223245422,7328.337335394983,km/person,million people,million km,litres/100km,million litres,$/litre,$m nominal ex GST,forecast_scenario_comparison.parquet; scenario_inputs/scenario_input_wide.parquet; mbu26_official_annual.csv,data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2033Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2033Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2034Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2034Q2,scenario_inputs/scenario_input_wide.parquet:PED:population (2033Q3; 2033Q4; 2034Q1; 2034Q2),data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2033Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2033Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2034Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2034Q2; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2033Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2033Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2034Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2034Q2; AJ16; AJ10; AJ12; AJ14; scenario_inputs/scenario_input_wide.parquet:PED:population (2033Q3; 2033Q4; 2034Q1; 2034Q2),gross_ped_revenue = adjusted_light_petrol_vkt_million_km * base_litres_per_100km / 100 * ped_rate_nzd_per_litre,available,"Current-finalist PED revenue uses adjusted PED/light-petrol VKT after optimized EV/PHEV migration, then applies MBU26 litres intensity and PED rate."
2035,FY2035,Current finalist High population/comparison,current_comparison_1,comparison,Current planned path,optimized,6029.538356644062,4.960816854408498,29911.435503942383,8.32192231328104,2489.2064254252477,1.1400953950017312,2837.932782836045,7660.366743083091,km/person,million people,million km,litres/100km,million litres,$/litre,$m nominal ex GST,forecast_scenario_comparison.parquet; scenario_inputs/scenario_input_wide.parquet; mbu26_official_annual.csv,data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2034Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2034Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2035Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2035Q2,scenario_inputs/scenario_input_wide.parquet:PED:population (2034Q3; 2034Q4; 2035Q1; 2035Q2),data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2034Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2034Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2035Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2035Q2; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2034Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2034Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2035Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2035Q2; AK16; AK10; AK12; AK14; scenario_inputs/scenario_input_wide.parquet:PED:population (2034Q3; 2034Q4; 2035Q1; 2035Q2),gross_ped_revenue = adjusted_light_petrol_vkt_million_km * base_litres_per_100km / 100 * ped_rate_nzd_per_litre,available,"Current-finalist PED revenue uses adjusted PED/light-petrol VKT after optimized EV/PHEV migration, then applies MBU26 litres intensity and PED rate."
2036,FY2036,Current finalist High population/comparison,current_comparison_1,comparison,Current planned path,optimized,6007.763249904923,4.871953685335477,29269.544305997333,8.234809466679051,2410.2912053640875,1.1800752333146345,2844.324956526237,8004.896846565926,km/person,million people,million km,litres/100km,million litres,$/litre,$m nominal ex GST,forecast_scenario_comparison.parquet; scenario_inputs/scenario_input_wide.parquet; mbu26_official_annual.csv,data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2035Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2035Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2036Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2036Q2,scenario_inputs/scenario_input_wide.parquet:PED:population (2035Q3; 2035Q4; 2036Q1; 2036Q2),data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2035Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2035Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2036Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2036Q2; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2035Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2035Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2036Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2036Q2; AL16; AL10; AL12; AL14; scenario_inputs/scenario_input_wide.parquet:PED:population (2035Q3; 2035Q4; 2036Q1; 2036Q2),gross_ped_revenue = adjusted_light_petrol_vkt_million_km * base_litres_per_100km / 100 * ped_rate_nzd_per_litre,available,"Current-finalist PED revenue uses adjusted PED/light-petrol VKT after optimized EV/PHEV migration, then applies MBU26 litres intensity and PED rate."
2037,FY2037,Current finalist High population/comparison,current_comparison_1,comparison,Current planned path,optimized,5985.809794523731,4.760374852365986,28494.698416896783,8.147703681892619,2321.663592057697,1.2200384688112886,2832.5188939489885,8360.429508429104,km/person,million people,million km,litres/100km,million litres,$/litre,$m nominal ex GST,forecast_scenario_comparison.parquet; scenario_inputs/scenario_input_wide.parquet; mbu26_official_annual.csv,data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2036Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2036Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2037Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2037Q2,scenario_inputs/scenario_input_wide.parquet:PED:population (2036Q3; 2036Q4; 2037Q1; 2037Q2),data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2036Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2036Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2037Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2037Q2; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2036Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2036Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2037Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2037Q2; AM16; AM10; AM12; AM14; scenario_inputs/scenario_input_wide.parquet:PED:population (2036Q3; 2036Q4; 2037Q1; 2037Q2),gross_ped_revenue = adjusted_light_petrol_vkt_million_km * base_litres_per_100km / 100 * ped_rate_nzd_per_litre,available,"Current-finalist PED revenue uses adjusted PED/light-petrol VKT after optimized EV/PHEV migration, then applies MBU26 litres intensity and PED rate."
2038,FY2038,Current finalist High population/comparison,current_comparison_1,comparison,Current planned path,optimized,5963.888777785275,4.621461467727219,27561.882184345428,8.060605193348296,2221.6545067358866,1.26001103375754,2799.3091916843823,8734.978853716322,km/person,million people,million km,litres/100km,million litres,$/litre,$m nominal ex GST,forecast_scenario_comparison.parquet; scenario_inputs/scenario_input_wide.parquet; mbu26_official_annual.csv,data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2037Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2037Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2038Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2038Q2,scenario_inputs/scenario_input_wide.parquet:PED:population (2037Q3; 2037Q4; 2038Q1; 2038Q2),data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2037Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2037Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2038Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2038Q2; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2037Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2037Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2038Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2038Q2; AN16; AN10; AN12; AN14; scenario_inputs/scenario_input_wide.parquet:PED:population (2037Q3; 2037Q4; 2038Q1; 2038Q2),gross_ped_revenue = adjusted_light_petrol_vkt_million_km * base_litres_per_100km / 100 * ped_rate_nzd_per_litre,available,"Current-finalist PED revenue uses adjusted PED/light-petrol VKT after optimized EV/PHEV migration, then applies MBU26 litres intensity and PED rate."
2039,FY2039,Current finalist High population/comparison,current_comparison_1,comparison,Current planned path,optimized,5942.109223335306,4.447059061424867,26424.910665609554,7.973505925734825,2106.9918177925115,1.2999738677723927,2739.0343027405156,9128.58612827614,km/person,million people,million km,litres/100km,million litres,$/litre,$m nominal ex GST,forecast_scenario_comparison.parquet; scenario_inputs/scenario_input_wide.parquet; mbu26_official_annual.csv,data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2038Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2038Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2039Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2039Q2,scenario_inputs/scenario_input_wide.parquet:PED:population (2038Q3; 2038Q4; 2039Q1; 2039Q2),data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2038Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2038Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2039Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2039Q2; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2038Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2038Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2039Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_comparison_1:2039Q2; AO16; AO10; AO12; AO14; scenario_inputs/scenario_input_wide.parquet:PED:population (2038Q3; 2038Q4; 2039Q1; 2039Q2),gross_ped_revenue = adjusted_light_petrol_vkt_million_km * base_litres_per_100km / 100 * ped_rate_nzd_per_litre,available,"Current-finalist PED revenue uses adjusted PED/light-petrol VKT after optimized EV/PHEV migration, then applies MBU26 litres intensity and PED rate."
