source_path,FY,period,scenario_name,output_series_id,output_label,formula,observed_value,calculated_value,residual,residual_abs,status,missing_inputs
Current finalist Base case,2027,FY2027,current_basecase,mvr_revenue_net_admin_coo,MVR revenues net of admin fees and COO,mr1_revenue + mr2_revenue - mvr_admin_revenue,498.08551880884096,498.085518808841,-5.684341886080802e-14,5.684341886080802e-14,reconciled,
Current finalist Base case,2027,FY2027,current_basecase,net_fed_revenue,Net FED revenue,gross_fed_revenue - fed_refunds,2241.8076405176557,2241.8076405176557,0.0,0.0,reconciled,
Current finalist Base case,2027,FY2027,current_basecase,net_mvr_revenue,Net MVR revenue,mvr_revenue_net_admin_coo - mvr_refunds,496.1497521504495,496.1497521504495,0.0,0.0,reconciled,
Current finalist Base case,2027,FY2027,current_basecase,ruc_revenue_net_admin,RUC revenues net of admin fees,gross_ruc_revenue - ruc_admin_revenue,2344.989689496004,2344.989689496004,0.0,0.0,reconciled,
Current finalist Base case,2027,FY2027,current_basecase,total_admin_fees,Total admin fees,ruc_admin_revenue + mvr_admin_revenue + coo_revenue,107.9963525080955,107.9963525080955,0.0,0.0,reconciled,
Current finalist Base case,2027,FY2027,current_basecase,total_gross_revenue,Total gross revenues,gross_ruc_revenue + gross_fed_revenue + gross_mvr_revenue + tuc_net_revenue,5292.542062927378,5292.542062927377,9.094947017729282e-13,9.094947017729282e-13,reconciled,
Current finalist Base case,2027,FY2027,current_basecase,total_nltf_net_revenue,Total NLTF revenue,total_revenue_net_admin - total_refunds,5020.989130599206,5020.989130599206,0.0,0.0,reconciled,
Current finalist Base case,2027,FY2027,current_basecase,total_refunds,Total refunds,ruc_refunds + fed_refunds + mvr_refunds,163.55657982007574,163.55657982007577,-2.842170943040401e-14,2.842170943040401e-14,reconciled,
Current finalist Base case,2027,FY2027,current_basecase,total_revenue_net_admin,Total revenues net of admin fees,total_gross_revenue - total_admin_fees,5184.545710419282,5184.545710419282,0.0,0.0,reconciled,
Current finalist Base case,2027,FY2027,current_basecase,total_ruc_net_revenue,Total RUC all classes,ruc_revenue_net_admin - ruc_refunds,2265.473838238276,2265.473838238276,0.0,0.0,reconciled,
Current finalist Base case,2028,FY2028,current_basecase,gross_fed_revenue,Gross FED revenue,gross_ped_revenue + gross_lpg_revenue + gross_cng_revenue,2594.229165391173,2594.229165391173,0.0,0.0,reconciled,
Current finalist Base case,2028,FY2028,current_basecase,gross_mvr_revenue,Gross MVR revenue,mr1_revenue + mr2_revenue + coo_revenue,564.0759078180181,564.0759078180181,0.0,0.0,reconciled,
