scenario_name,fy,series_id,transition_schedule_id,long_run_shape_vintage_id,anchor_fy,current_fy2030_anchor_level,current_growth_index,structural_growth_index,transition_weight_w,model_weight,hybrid_growth_index,hybrid_level,recomputed_hybrid_index,official_level_same_fy,official_level_anchor_fy,hybrid_over_official_ratio,anchor_over_official_anchor_ratio,official_level_substituted,construction
current_basecase,2031,light_petrol_vkt,balanced_structural,BEFU26,2030,33786.86651454969,1.00758734660245,0.9920332264234568,0.01274074074074074,0.9872592592592593,1.0073876498732897,34036.47205467476,1.0073876498732899,32628.9159463756,32890.9507033464,1.0431383043988476,1.027238975829061,False,current_fy2030_anchor x (current_index**(1-w) * structural_index**w)
current_basecase,2031,light_ruc_total_pool,balanced_structural,BEFU26,2030,19291.158087465952,1.0438118332365818,1.0396766188971067,0.01274074074074074,0.9872592592592593,1.0437590442401588,20135.32072765927,1.0437590442401588,19964.016377663633,19202.14037211065,1.0085806556534034,1.004635822550521,False,current_fy2030_anchor x (current_index**(1-w) * structural_index**w)
current_basecase,2031,heavy_ruc_net_km,balanced_structural,BEFU26,2030,4205.391223564057,1.0089615273886041,1.001353103742018,0.01274074074074074,0.9872592592592593,1.0088642277861428,4242.668769299575,1.0088642277861426,4490.71544317852,4484.64725020264,0.9447645532170752,0.9377306595014883,False,current_fy2030_anchor x (current_index**(1-w) * structural_index**w)
current_basecase,2032,light_petrol_vkt,balanced_structural,BEFU26,2030,33786.86651454969,1.012889892179691,0.9813637574786995,0.04859259259259259,0.9514074074074074,1.0113348032937433,34169.83400040407,1.011334803293743,32277.9869692827,32890.9507033464,1.0586110600057477,1.027238975829061,False,current_fy2030_anchor x (current_index**(1-w) * structural_index**w)
current_basecase,2032,light_ruc_total_pool,balanced_structural,BEFU26,2030,19291.158087465952,1.0900879233472307,1.0815962131746044,0.04859259259259259,0.9514074074074074,1.0896737522431927,21021.068618285637,1.0896737522431927,20768.96231132207,19202.14037211065,1.0121386087174,1.004635822550521,False,current_fy2030_anchor x (current_index**(1-w) * structural_index**w)
current_basecase,2032,heavy_ruc_net_km,balanced_structural,BEFU26,2030,4205.391223564057,1.0163992123079042,1.0015911185543271,0.04859259259259259,0.9514074074074074,1.0156746138520965,4271.309107090419,1.0156746138520962,4491.78285565205,4484.64725020264,0.9509162050689501,0.9377306595014883,False,current_fy2030_anchor x (current_index**(1-w) * structural_index**w)
current_basecase,2033,light_petrol_vkt,balanced_structural,BEFU26,2030,33786.86651454969,1.0167196128600524,0.9657759638696921,0.10400000000000002,0.896,1.0112986353626614,34168.6119993445,1.0112986353626614,31765.2896181149,32890.9507033464,1.075658758667796,1.027238975829061,False,current_fy2030_anchor x (current_index**(1-w) * structural_index**w)
current_basecase,2033,light_ruc_total_pool,balanced_structural,BEFU26,2030,19291.158087465952,1.1401001948128986,1.1262690323246127,0.10400000000000002,0.896,1.138653875621785,21965.951921525648,1.1386538756217852,21626.776055458442,19202.14037211065,1.015683145060431,1.004635822550521,False,current_fy2030_anchor x (current_index**(1-w) * structural_index**w)
current_basecase,2033,heavy_ruc_net_km,balanced_structural,BEFU26,2030,4205.391223564057,1.0228497463593937,1.0007010710160154,0.10400000000000002,0.896,1.0205236276849927,4291.701107306222,1.0205236276849927,4487.79130640681,4484.64725020264,0.9563058561077367,0.9377306595014883,False,current_fy2030_anchor x (current_index**(1-w) * structural_index**w)
current_basecase,2034,light_petrol_vkt,balanced_structural,BEFU26,2030,33786.86651454969,1.020657815287821,0.9477028382486677,0.1754074074074074,0.8245925925925925,1.0074665750704408,34039.138689775544,1.0074665750704408,31170.8473342584,32890.9507033464,1.0920183954179756,1.027238975829061,False,current_fy2030_anchor x (current_index**(1-w) * structural_index**w)
