fy,candidate_id,long_run_shape_vintage_id,s_light_petrol_vkt,s_light_ruc_pool,s_heavy_ruc_net_km
2030,unblended_current,BEFU26,1.0,1.0,1.0
2031,unblended_current,BEFU26,0.9920332264234568,1.0396766188971067,1.001353103742018
2032,unblended_current,BEFU26,0.9813637574786995,1.0815962131746044,1.0015911185543271
2033,unblended_current,BEFU26,0.9657759638696921,1.1262690323246127,1.0007010710160154
2034,unblended_current,BEFU26,0.9477028382486677,1.177714340967136,0.9967834852598789
2035,unblended_current,BEFU26,0.9256307381627454,1.2368441627753957,0.9903010151698878
2036,unblended_current,BEFU26,0.8985115981137334,1.3018799543224884,0.9835251361670638
2037,unblended_current,BEFU26,0.8665359017426189,1.3740432505604483,0.9760302530020121
2038,unblended_current,BEFU26,0.8289463400131609,1.4526781122593968,0.9680088180182673
2039,unblended_current,BEFU26,0.7864815491237538,1.5429705058626748,0.9592051078489545
2040,unblended_current,BEFU26,0.7402826388437084,1.6429742639720404,0.9497998134050459
2041,unblended_current,BEFU26,0.691273142710947,1.747823962007463,0.9400390195950553
2042,unblended_current,BEFU26,0.6362127127332404,1.8568541285445173,0.9299330231316383
2043,unblended_current,BEFU26,0.5806720229248143,1.9647903017097512,0.9189300477394867
2044,unblended_current,BEFU26,0.527903379303868,2.0627277408210074,0.9074015012120238
2045,unblended_current,BEFU26,0.4788218272603616,2.154792840672799,0.8954198309618537
2046,unblended_current,BEFU26,0.4338845007063796,2.2504453398228947,0.8823568764605465
2047,unblended_current,BEFU26,0.39285655342630893,2.345126276916079,0.868554474555154
2048,unblended_current,BEFU26,0.3559736703503334,2.4441565970178205,0.8540381586632745
2049,unblended_current,BEFU26,0.3224088498224069,2.5337340676382296,0.8388100343206689
2050,unblended_current,BEFU26,0.29185840595858037,2.608129816269767,0.8233910557709903
2030,early_structural,BEFU26,1.0,1.0,1.0
2031,early_structural,BEFU26,0.9920332264234568,1.0396766188971067,1.001353103742018
2032,early_structural,BEFU26,0.9813637574786995,1.0815962131746044,1.0015911185543271
2033,early_structural,BEFU26,0.9657759638696921,1.1262690323246127,1.0007010710160154
2034,early_structural,BEFU26,0.9477028382486677,1.177714340967136,0.9967834852598789
2035,early_structural,BEFU26,0.9256307381627454,1.2368441627753957,0.9903010151698878
2036,early_structural,BEFU26,0.8985115981137334,1.3018799543224884,0.9835251361670638
2037,early_structural,BEFU26,0.8665359017426189,1.3740432505604483,0.9760302530020121
2038,early_structural,BEFU26,0.8289463400131609,1.4526781122593968,0.9680088180182673
2039,early_structural,BEFU26,0.7864815491237538,1.5429705058626748,0.9592051078489545
2040,early_structural,BEFU26,0.7402826388437084,1.6429742639720404,0.9497998134050459
2041,early_structural,BEFU26,0.691273142710947,1.747823962007463,0.9400390195950553
2042,early_structural,BEFU26,0.6362127127332404,1.8568541285445173,0.9299330231316383
2043,early_structural,BEFU26,0.5806720229248143,1.9647903017097512,0.9189300477394867
2044,early_structural,BEFU26,0.527903379303868,2.0627277408210074,0.9074015012120238
2045,early_structural,BEFU26,0.4788218272603616,2.154792840672799,0.8954198309618537
2046,early_structural,BEFU26,0.4338845007063796,2.2504453398228947,0.8823568764605465
2047,early_structural,BEFU26,0.39285655342630893,2.345126276916079,0.868554474555154
2048,early_structural,BEFU26,0.3559736703503334,2.4441565970178205,0.8540381586632745
2049,early_structural,BEFU26,0.3224088498224069,2.5337340676382296,0.8388100343206689
2050,early_structural,BEFU26,0.29185840595858037,2.608129816269767,0.8233910557709903
2030,balanced_structural,BEFU26,1.0,1.0,1.0
2031,balanced_structural,BEFU26,0.9920332264234568,1.0396766188971067,1.001353103742018
2032,balanced_structural,BEFU26,0.9813637574786995,1.0815962131746044,1.0015911185543271
2033,balanced_structural,BEFU26,0.9657759638696921,1.1262690323246127,1.0007010710160154
2034,balanced_structural,BEFU26,0.9477028382486677,1.177714340967136,0.9967834852598789
2035,balanced_structural,BEFU26,0.9256307381627454,1.2368441627753957,0.9903010151698878
2036,balanced_structural,BEFU26,0.8985115981137334,1.3018799543224884,0.9835251361670638
2037,balanced_structural,BEFU26,0.8665359017426189,1.3740432505604483,0.9760302530020121
2038,balanced_structural,BEFU26,0.8289463400131609,1.4526781122593968,0.9680088180182673
2039,balanced_structural,BEFU26,0.7864815491237538,1.5429705058626748,0.9592051078489545
2040,balanced_structural,BEFU26,0.7402826388437084,1.6429742639720404,0.9497998134050459
2041,balanced_structural,BEFU26,0.691273142710947,1.747823962007463,0.9400390195950553
2042,balanced_structural,BEFU26,0.6362127127332404,1.8568541285445173,0.9299330231316383
2043,balanced_structural,BEFU26,0.5806720229248143,1.9647903017097512,0.9189300477394867
2044,balanced_structural,BEFU26,0.527903379303868,2.0627277408210074,0.9074015012120238
2045,balanced_structural,BEFU26,0.4788218272603616,2.154792840672799,0.8954198309618537
2046,balanced_structural,BEFU26,0.4338845007063796,2.2504453398228947,0.8823568764605465
2047,balanced_structural,BEFU26,0.39285655342630893,2.345126276916079,0.868554474555154
2048,balanced_structural,BEFU26,0.3559736703503334,2.4441565970178205,0.8540381586632745
2049,balanced_structural,BEFU26,0.3224088498224069,2.5337340676382296,0.8388100343206689
2050,balanced_structural,BEFU26,0.29185840595858037,2.608129816269767,0.8233910557709903
2030,gradual_structural,BEFU26,1.0,1.0,1.0
2031,gradual_structural,BEFU26,0.9920332264234568,1.0396766188971067,1.001353103742018
2032,gradual_structural,BEFU26,0.9813637574786995,1.0815962131746044,1.0015911185543271
2033,gradual_structural,BEFU26,0.9657759638696921,1.1262690323246127,1.0007010710160154
2034,gradual_structural,BEFU26,0.9477028382486677,1.177714340967136,0.9967834852598789
2035,gradual_structural,BEFU26,0.9256307381627454,1.2368441627753957,0.9903010151698878
2036,gradual_structural,BEFU26,0.8985115981137334,1.3018799543224884,0.9835251361670638
2037,gradual_structural,BEFU26,0.8665359017426189,1.3740432505604483,0.9760302530020121
2038,gradual_structural,BEFU26,0.8289463400131609,1.4526781122593968,0.9680088180182673
2039,gradual_structural,BEFU26,0.7864815491237538,1.5429705058626748,0.9592051078489545
2040,gradual_structural,BEFU26,0.7402826388437084,1.6429742639720404,0.9497998134050459
2041,gradual_structural,BEFU26,0.691273142710947,1.747823962007463,0.9400390195950553
2042,gradual_structural,BEFU26,0.6362127127332404,1.8568541285445173,0.9299330231316383
2043,gradual_structural,BEFU26,0.5806720229248143,1.9647903017097512,0.9189300477394867
2044,gradual_structural,BEFU26,0.527903379303868,2.0627277408210074,0.9074015012120238
2045,gradual_structural,BEFU26,0.4788218272603616,2.154792840672799,0.8954198309618537
2046,gradual_structural,BEFU26,0.4338845007063796,2.2504453398228947,0.8823568764605465
2047,gradual_structural,BEFU26,0.39285655342630893,2.345126276916079,0.868554474555154
2048,gradual_structural,BEFU26,0.3559736703503334,2.4441565970178205,0.8540381586632745
2049,gradual_structural,BEFU26,0.3224088498224069,2.5337340676382296,0.8388100343206689
2050,gradual_structural,BEFU26,0.29185840595858037,2.608129816269767,0.8233910557709903
