workbook_role,workbook,sheet,cell,formula,cached_value,cached_value_available
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,B14,=B5/10^6,9891.759999969998,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,C14,=C5/10^6,10418.60999998,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,D14,=D5/10^6,10802.609999960005,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,E14,=E5/10^6,11095.980000070005,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,F14,=F5/10^6,11217.19999998,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,G14,=G5/10^6,11402.13000003,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,H14,=H5/10^6,11690.529999999999,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,I14,=I5/10^6,11680.889999970002,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,J14,=J5/10^6,11531.429999979995,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,K14,=K5/10^6,11888.339999980008,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,L14,=L5/10^6,11822.589999970005,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,M14,=M5/10^6,11662.760000010003,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,N14,=N5/10^6,11604.390000019997,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,O14,=O5/10^6,11936.799999999992,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,P14,=P5/10^6,12328.589999980004,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,Q14,=Q5/10^6,12525.4,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,R14,=R5/10^6,13368.389999989999,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,S14,=S5/10^6,13604.94999998,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,T14,=T5/10^6,13108.119999980006,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,U14,=U5/10^6,12041.26000001,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,V14,=V5/10^6,12647.430000049997,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,W14,=W5/10^6,12441.470000039999,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,X14,=X5/10^6,12838.298416460008,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,Y14,=Y5/10^6,12815.032648329996,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,Z14,=Z5/10^6,12787.690263549996,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,AA14,=AA5/10^6,12712.304521,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,AB14,=AB5/10^6,12588.261023379995,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,AC14,=AC5/10^6,12417.632709429994,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,AD14,=AD5/10^6,12249.80348758,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,AE14,=AE5/10^6,12066.727998520006,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,AF14,=AF5/10^6,11877.320716269998,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,AG14,=AG5/10^6,11657.477871439993,True
mbu26_vs_vfm_structural,MBU26 v VFM202405_outputs_summary_V3 (1).xlsx,Tailpipe GHG,AH14,=AH5/10^6,11416.162963770006,True
