engine,source_path,series_id,FY,value,unit,formula,value_status,forecast_segment
ar1,Current finalist Base case,gross_lpg_revenue,2034,43.8839031230627,$m nominal ex GST,carried from BEFU26 official (fixed line),post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,gross_lpg_revenue,2035,44.0215466525324,$m nominal ex GST,carried from BEFU26 official (fixed line),post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,gross_lpg_revenue,2036,44.1521704507391,$m nominal ex GST,carried from BEFU26 official (fixed line),post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,gross_lpg_revenue,2037,44.2764560365186,$m nominal ex GST,carried from BEFU26 official (fixed line),post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,gross_lpg_revenue,2038,44.3949902416884,$m nominal ex GST,carried from BEFU26 official (fixed line),post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,gross_lpg_revenue,2039,44.5082819804597,$m nominal ex GST,carried from BEFU26 official (fixed line),post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,gross_lpg_revenue,2040,44.6167754628172,$m nominal ex GST,carried from BEFU26 official (fixed line),post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,gross_lpg_revenue,2041,44.7208607201694,$m nominal ex GST,carried from BEFU26 official (fixed line),post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,gross_lpg_revenue,2042,44.8208820738309,$m nominal ex GST,carried from BEFU26 official (fixed line),post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,gross_lpg_revenue,2043,44.9171450107643,$m nominal ex GST,carried from BEFU26 official (fixed line),post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,gross_lpg_revenue,2044,45.0099218130958,$m nominal ex GST,carried from BEFU26 official (fixed line),post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,gross_lpg_revenue,2045,45.0994562030281,$m nominal ex GST,carried from BEFU26 official (fixed line),post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,gross_lpg_revenue,2046,45.1859672028516,$m nominal ex GST,carried from BEFU26 official (fixed line),post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,gross_lpg_revenue,2047,45.2696523640375,$m nominal ex GST,carried from BEFU26 official (fixed line),post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,gross_lpg_revenue,2048,45.350690485262,$m nominal ex GST,carried from BEFU26 official (fixed line),post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,gross_lpg_revenue,2049,45.429243913464,$m nominal ex GST,carried from BEFU26 official (fixed line),post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,gross_lpg_revenue,2050,45.5054605024188,$m nominal ex GST,carried from BEFU26 official (fixed line),post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,gross_mvr_revenue,2031,548.1236653539303,$m nominal ex GST,MR1 + MR2 + COO,post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,gross_mvr_revenue,2032,543.6318608697579,$m nominal ex GST,MR1 + MR2 + COO,post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,gross_mvr_revenue,2033,539.4923403662387,$m nominal ex GST,MR1 + MR2 + COO,post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,gross_mvr_revenue,2034,535.6722565897716,$m nominal ex GST,MR1 + MR2 + COO,post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,gross_mvr_revenue,2035,532.1415118475148,$m nominal ex GST,MR1 + MR2 + COO,post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,gross_mvr_revenue,2036,528.8727287182977,$m nominal ex GST,MR1 + MR2 + COO,post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,gross_mvr_revenue,2037,525.84111683754,$m nominal ex GST,MR1 + MR2 + COO,post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,gross_mvr_revenue,2038,523.0242916225482,$m nominal ex GST,MR1 + MR2 + COO,post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,gross_mvr_revenue,2039,520.4020758793362,$m nominal ex GST,MR1 + MR2 + COO,post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,gross_mvr_revenue,2040,517.9563010223371,$m nominal ex GST,MR1 + MR2 + COO,post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,gross_mvr_revenue,2041,515.6706165952565,$m nominal ex GST,MR1 + MR2 + COO,post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,gross_mvr_revenue,2042,513.5303122637637,$m nominal ex GST,MR1 + MR2 + COO,post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,gross_mvr_revenue,2043,511.52215393912184,$m nominal ex GST,MR1 + MR2 + COO,post_model_extrapolation,post_model_extrapolation
