candidate_id,series_id,fy2030_anchor,fy2031,fy2035,fy2040,fy2045,fy2050,fy2031_seam_growth,max_annual_growth,min_annual_growth,growth_sign_changes,ratio_to_official_fy2040,ratio_to_official_fy2050,anchor_ratio_to_official
balanced_structural,heavy_ruc_net_km,4205.391223564057,4243.538877926371,4325.288427271793,4164.86226255219,3820.739260999066,3504.123792382517,0.009071130920843107,0.007331651741653733,-0.01890111441575515,1,0.9726265886983323,0.9479250823479819,0.9479250823479819
early_structural,heavy_ruc_net_km,4205.391223564057,4244.090982780681,4294.804164129544,4059.0885022805837,3820.739260999066,3504.123792382517,0.009202415936899522,0.007279791882140563,-0.01890111441575515,1,0.9479250823479819,0.9479250823479819,0.9479250823479819
gradual_structural,heavy_ruc_net_km,4205.391223564057,4243.340231555102,4338.398184704648,4265.547252081572,3934.848123700028,3504.123792382517,0.009023894799229382,0.007349376496130766,-0.024024993024461927,1,0.996139706714168,0.9479250823479819,0.9479250823479819
growth_handover_fy2035,heavy_ruc_net_km,4205.391223564057,4246.84185656906,4234.7663130243,4061.5733926461194,3823.078238868986,3506.2689447846988,0.009856546228741436,0.004854696008154802,-0.01890111441575515,1,0.9485053825565268,0.9485053825565269,0.9479250823479819
growth_handover_fy2040,heavy_ruc_net_km,4205.391223564057,4244.090982780681,4305.180913066604,4166.805269678305,3922.130911374057,3597.1133606722497,0.009202415936899522,0.006627330671990395,-0.01890111441575515,1,0.9730803420937043,0.9730803420937043,0.9479250823479819
unblended_current,heavy_ruc_net_km,4205.391223564057,4243.077952193822,4358.359659743342,4482.507180988519,4612.571051808469,4755.178954591507,0.008961527388604118,0.007371623909734337,0.005368012392797494,0,1.0468066873330384,1.286356781090139,0.9479250823479819
balanced_structural,light_bev_ruc_net_km,3337.1581463926477,4017.9305414177693,7975.017049467874,17789.117862877712,30421.86122310077,41580.70181089629,0.20399764265322973,0.18986319791521544,0.04814990033587052,0,1.0675561738879495,1.0107420025965412,1.0937877811257923
early_structural,light_bev_ruc_net_km,3337.1581463926477,4019.795495327832,7983.023926053728,17661.42609819874,30421.86122310077,41580.70181089629,0.2045564875830328,0.1909056912945637,0.04814990033587052,0,1.0598931670548701,1.0107420025965412,1.0937877811257923
gradual_structural,light_bev_ruc_net_km,3337.1581463926477,4017.259686574431,7971.593483917474,17908.515294032397,30616.31555325896,41580.70181089629,0.203796616866045,0.18946945124915882,0.047868163728274515,0,1.0747214232138609,1.0107420025965412,1.0937877811257923
growth_handover_fy2035,light_bev_ruc_net_km,3337.1581463926477,4029.096952334847,7840.3394945685395,17309.640996398706,29815.91029434726,40752.48605198003,0.20734372648481192,0.18632208325890454,0.04814990033587074,0,1.0387819258902857,0.9906097677305663,1.0937877811257923
growth_handover_fy2040,light_bev_ruc_net_km,3337.1581463926477,4019.795495327832,7911.779385113981,17548.970790880307,30228.156607515313,41315.945693544156,0.2045564875830328,0.1881564007666785,0.0481499003358703,0,1.0531445267603008,1.0043063217013704,1.0937877811257923
unblended_current,light_bev_ruc_net_km,3337.1581463926477,4016.374058260012,7966.403240258576,18159.061349485328,31688.049353853752,43096.35727540888,0.20353123288495434,0.1889264745274164,0.04681150279359203,0,1.0897571315836507,1.0475844937698482,1.0937877811257923
balanced_structural,light_petrol_vkt,33786.86651454969,34043.66757494913,33858.37200706175,27671.17886622147,16401.871889520084,9868.732613542541,0.007600617840333168,0.004515539622753195,-0.1104838664810347,1,1.1072799084436962,1.0176084232882174,1.017608423288217
early_structural,light_petrol_vkt,33786.86651454969,34044.204612197354,33174.29627487478,25430.26788606603,16401.871889520084,9868.732613542541,0.00761651269249386,0.0036636082480672183,-0.09715767442483969,1,1.017608423288217,1.0176084232882174,1.017608423288217
gradual_structural,light_petrol_vkt,33786.86651454969,34043.47433485658,34155.36987664973,29928.477341341004,18523.12323474708,9868.732613542541,0.007594898455480781,0.004832163333630346,-0.1251816328285641,1,1.1976071496842773,1.0176084232882174,1.017608423288217
growth_handover_fy2035,light_petrol_vkt,33786.86651454969,34046.87949670627,32401.236251626517,25913.21969467191,16713.363444742983,10056.151884378049,0.007695682049846386,-0.0004050039291930707,-0.09715767442483969,0,1.0369340485895888,1.036934048589589,1.017608423288217
growth_handover_fy2040,light_petrol_vkt,33786.86651454969,34044.204612197354,33670.93697389202,27661.4019311819,17840.896241929226,10734.569553006499,0.00761651269249386,0.0035847556695767224,-0.09715767442483969,1,1.1068886781391323,1.1068886781391323,1.017608423288217
unblended_current,light_petrol_vkt,33786.86651454969,34043.2191814063,34610.85270077571,35222.348422918076,35722.88617820048,36197.66273381227,0.007587346602450085,0.005262616283462362,0.0023245371083511213,0,1.4094447846061835,3.7325002048110854,1.017608423288217
balanced_structural,light_ruc_net_km,14129.750867690174,13981.163045308816,12926.533132576174,10424.446548897678,7909.315158014516,6063.457966707782,-0.010515954865214727,-0.013587351083681365,-0.056131520247585165,0,0.9157802616702502,0.99220348299698,0.9789159893490318
early_structural,light_ruc_net_km,14129.750867690174,13987.652511570068,12939.51130614414,10349.61900624543,7909.315158014516,6063.457966707782,-0.01005667810074673,-0.012723110003192262,-0.054805646295899124,0,0.9092067149338563,0.99220348299698,0.9789159893490318
gradual_structural,light_ruc_net_km,14129.750867690174,13978.828676695979,12920.983949014022,10494.413601156353,7959.870926768527,6063.457966707782,-0.010681164332437154,-0.013913772383665424,-0.0546464078713943,0,0.9219268177608007,0.99220348299698,0.9789159893490318
growth_handover_fy2035,light_ruc_net_km,14129.750867690174,14020.018722392646,12708.237188527157,10143.472472241874,7751.775261600689,5942.68435724846,-0.00776603539050702,-0.016522982923012353,-0.05480564629589946,0,0.8910968876191243,0.9724405034203738,0.9789159893490318
growth_handover_fy2040,light_ruc_net_km,14129.750867690174,13987.652511570068,12824.032566316962,10283.72004771825,7858.954305961714,6024.8502107277545,-0.01005667810074673,-0.015002308953965149,-0.054805646295899235,0,0.903417538002425,0.9858858421121237,0.9789159893490318
unblended_current,light_ruc_net_km,14129.750867690174,13975.746962431933,12912.571195009017,10641.233920367154,8238.50872385256,6284.47667973669,-0.01089926543647668,-0.014363907413753041,-0.05555854281825445,0,0.934824879035775,1.028370227794893,0.9789159893490318
balanced_structural,light_ruc_total_pool,19291.158087465952,20144.142612856624,24377.174605817723,32343.321405427385,41904.54450962943,50615.706685708654,0.044216346241280347,0.061938451407628436,0.029293363403262385,0,1.016588527362997,1.0092913705274542,1.009291370527454
early_structural,light_ruc_total_pool,19291.158087465952,20153.492674323206,24401.64916522868,32111.158359588186,41904.54450962943,50615.706685708654,0.04470102743170923,0.06367138798416727,0.029293363403262385,0,1.009291370527454,1.0092913705274542,1.009291370527454
gradual_structural,light_ruc_total_pool,19291.158087465952,20140.779240718297,24366.70981876098,32560.404091628312,42172.395318409544,50615.706685708654,0.044041998380821346,0.06380782049619027,0.02901669532331197,0,1.0234116908073045,1.0092913705274542,1.009291370527454
growth_handover_fy2035,light_ruc_total_pool,19291.158087465952,20200.126102782262,23965.506737159718,31471.55954975047,41069.87836351864,49607.529235591595,0.04711837470799085,0.06367138798416772,0.029293363403262163,0,0.9891880297466602,0.9891880297466602,1.009291370527454
growth_handover_fy2040,light_ruc_total_pool,19291.158087465952,20153.492674323206,24183.876513029092,31906.69751018675,41637.72639399889,50293.422130722356,0.04470102743170923,0.0636713879841675,0.029293363403262163,0,1.0028649262179492,1.0028649262179492,1.009291370527454
unblended_current,light_ruc_total_pool,19291.158087465952,20136.339088534547,24350.844840023645,33015.93492012918,43648.65334286586,52460.6965268435,0.043811833236581776,0.06858478199754181,0.027979044041669843,0,1.037729559040727,1.0460809848053083,1.009291370527454
balanced_structural,net_fed_revenue,2722.446940662707,2831.063901513622,3144.9852106385597,2867.710146182208,1854.5777697128192,1201.994059225848,0.03989681460035177,0.03497726638687637,-0.09547554967814131,1,1.1152105803577625,1.0236659111425277,1.0204104761187578
early_structural,net_fed_revenue,2722.446940662707,2831.109539592868,3080.081574032593,2630.9111262426186,1854.5777697128192,1201.994059225848,0.03991357822522312,0.03408024006007837,-0.08443644282986318,1,1.0231229009922065,1.0236659111425277,1.0204104761187578
gradual_structural,net_fed_revenue,2722.446940662707,2831.04747973527,3173.163730784069,3106.240847023505,2097.942861521597,1201.994059225848,0.03989078260828349,0.035310649981978415,-0.11212142436960648,1,1.2079716851271929,1.0236659111425277,1.0204104761187578
growth_handover_fy2035,net_fed_revenue,2722.446940662707,2831.3368545353533,3006.735298959949,2681.945065550637,1890.314303766198,1224.8679422984726,0.03999707478087333,0.029796274667942546,-0.08448881141556208,1,1.0429692544144333,1.0431462190335554,1.0204104761187578
growth_handover_fy2040,net_fed_revenue,2722.446940662707,2831.109539592868,3127.2017771564456,2866.6770089197794,2019.6729124582166,1307.6665059543373,0.03991357822522312,0.03399721354727814,-0.08466301279374933,1,1.114808808369908,1.1136607664687252,1.0204104761187578
unblended_current,net_fed_revenue,2722.446940662707,2831.025796484392,3216.3789631134214,3665.6488265930584,4071.2224058062566,4415.3502221943745,0.0398828179899271,0.03576388829247468,0.014598182634593337,0,1.4255172757731196,3.7602877264859367,1.0204104761187578
balanced_structural,net_mvr_revenue,479.8837182888595,475.3303381823711,460.4470773903571,447.23463984016297,437.7920517365987,430.68793311893774,-0.009488507179873817,-0.002963755929620615,-0.00880723266743022,0,0.9881897955442169,0.9894597098702286,0.9864421064043049
early_structural,net_mvr_revenue,479.8837182888595,475.3303381823711,460.4470773903571,447.23463984016297,437.7920517365987,430.68793311893774,-0.009488507179873817,-0.002963755929620615,-0.00880723266743022,0,0.9881897955442169,0.9894597098702286,0.9864421064043049
gradual_structural,net_mvr_revenue,479.8837182888595,475.3303381823711,460.4470773903571,447.23463984016297,437.7920517365987,430.68793311893774,-0.009488507179873817,-0.002963755929620615,-0.00880723266743022,0,0.9881897955442169,0.9894597098702286,0.9864421064043049
growth_handover_fy2035,net_mvr_revenue,479.8837182888595,475.3303381823711,460.4470773903571,447.23463984016297,437.7920517365987,430.68793311893774,-0.009488507179873817,-0.002963755929620615,-0.00880723266743022,0,0.9881897955442169,0.9894597098702286,0.9864421064043049
growth_handover_fy2040,net_mvr_revenue,479.8837182888595,475.3303381823711,460.4470773903571,447.23463984016297,437.7920517365987,430.68793311893774,-0.009488507179873817,-0.002963755929620615,-0.00880723266743022,0,0.9881897955442169,0.9894597098702286,0.9864421064043049
unblended_current,net_mvr_revenue,479.8837182888595,475.3303381823711,460.4470773903571,447.23463984016297,437.7920517365987,430.68793311893774,-0.009488507179873817,-0.002963755929620615,-0.00880723266743022,0,0.9881897955442169,0.9894597098702286,0.9864421064043049
balanced_structural,ped_vkt_per_capita,6114.208933600386,6113.477943512064,5924.119342840671,4687.232636311371,2700.806996101276,1581.0716086175087,-0.00011955595503221339,-0.0020617086358273307,-0.1153494485701505,0,1.1464343120989458,1.0769676610760204,1.0281708317310467
early_structural,ped_vkt_per_capita,6114.208933600386,6113.574383337903,5804.428228448891,4307.643782073035,2700.806996101276,1581.0716086175087,-0.00010378288824841597,-0.002908061834836162,-0.10209614973271885,0,1.0535919633710589,1.0769676610760204,1.0281708317310467
gradual_structural,ped_vkt_per_capita,6114.208933600386,6113.443241932365,5976.084358277376,5069.59737521998,3050.1019126978927,1581.0716086175087,-0.00012523151831034252,-0.0017471580763043226,-0.1299668561994488,0,1.2399556050310905,1.0769676610760204,1.0281708317310467
growth_handover_fy2035,ped_vkt_per_capita,6114.208933600386,6114.054732507413,5669.167742919736,4389.451192230988,2752.0986155724663,1611.0980871563213,-2.522012162942122e-05,-0.006950034033616936,-0.10209614973271897,0,1.0736009599936023,1.0974205907131354,1.0281708317310467
growth_handover_fy2040,ped_vkt_per_capita,6114.208933600386,6113.574383337903,5891.324277995404,4685.576517169425,2937.763306010635,1719.7875163522237,-0.00010378288824841597,-0.0029863981117222993,-0.10209614973271885,0,1.1460292475424008,1.1714558208107475,1.0281708317310467
unblended_current,ped_vkt_per_capita,6114.208933600386,6113.39742210443,6055.779111710105,5966.328426179405,5882.29328706435,5799.234723231455,-0.00013272550950893525,-0.001319523595478267,-0.0031581401880689253,0,1.459284007376713,3.950224785435603,1.0281708317310467
balanced_structural,ped_volume,2958.8957603061776,2951.7351216806173,2817.6674169676344,2182.259525768875,1222.0797915540293,692.3000472197475,-0.0024200374753382548,-0.005580325242510287,-0.1206486853333727,0,1.113206479061741,1.026089337609878,1.0206378338126216
early_structural,ped_volume,2958.8957603061776,2951.7816851627604,2760.739165930653,2005.532348495851,1222.0797915540293,692.3000472197475,-0.002404300698542028,-0.006423694296660454,-0.10823713580641936,0,1.0230550390320279,1.026089337609878,1.0206378338126216
gradual_structural,ped_volume,2958.8957603061776,2951.7183669180217,2842.3833489643744,2360.2790862526676,1380.1311663769895,692.3000472197475,-0.0024256999805268853,-0.005266883752387264,-0.13553584406928842,0,1.204017185025075,1.026089337609878,1.0206378338126216
growth_handover_fy2035,ped_volume,2958.8957603061776,2952.0136093681663,2696.4057113152753,2043.6198542690158,1245.288577565879,705.4476696278429,-0.0023259186857259584,-0.010451414962430294,-0.10823713580641947,0,1.0424841022105011,1.045576025819774,1.0206378338126216
growth_handover_fy2040,ped_volume,2958.8957603061776,2951.7816851627604,2802.069219108315,2181.4884776785107,1329.2994182209702,753.0392502713062,-0.002404300698542028,-0.006501754368768098,-0.10823713580641947,0,1.1128131547482365,1.1161136686444,1.0206378338126216
unblended_current,ped_volume,2958.8957603061776,2951.6962439960726,2880.2882757653583,2777.7748731801385,2661.6606682715005,2539.297050714921,-0.0024331767298757523,-0.004840757061971845,-0.00972584747499372,0,1.416988653129856,3.763607469371943,1.0206378338126216
balanced_structural,phev_ruc_net_km,1824.2490733831303,2145.0490261300374,3475.6244237736737,4129.756993651996,3573.3681285141397,2971.546908104584,0.17585315373189303,0.15698933143957716,-0.03916689544324736,1,1.0957124534827727,1.0247226952539363,1.1202178375555645
early_structural,phev_ruc_net_km,1824.2490733831303,2146.0446674253067,3479.1139330308097,4100.113255144018,3573.3681285141397,2971.546908104584,0.17639893517687022,0.15800302252617904,-0.03916689544324736,1,1.0878473385375336,1.0247226952539363,1.1202178375555645
gradual_structural,phev_ruc_net_km,1824.2490733831303,2144.690877447888,3474.1323858294845,4157.475196439561,3596.2088383820555,2971.546908104584,0.17565682709679975,0.15660646331430406,-0.03942516180310396,1,1.1030666828064788,1.0247226952539363,1.1202178375555645
growth_handover_fy2035,phev_ruc_net_km,1824.2490733831303,2151.010428054769,3416.9300540640215,4018.4460811098884,3502.1928075706887,2912.358826363112,0.17912101995241736,0.15354605166931923,-0.039166895443247474,1,1.066179298561455,1.0043119891386765,1.1202178375555645
growth_handover_fy2040,phev_ruc_net_km,1824.2490733831303,2146.0446674253067,3448.064561598149,4074.0066715881953,3550.6154805218616,2952.6262264504485,0.17639893517687022,0.1553296901503527,-0.039166895443247696,1,1.080920706107593,1.0181979953248228,1.1202178375555645
unblended_current,phev_ruc_net_km,1824.2490733831303,2144.218067842601,3471.8704047560514,4215.639650276694,3722.0952651595435,3079.8625716979286,0.1753976466963898,0.15607848810221525,-0.04039379692486422,1,1.118498950738305,1.0620747957484187,1.1202178375555645
