candidate_id,scenario_name,fy,pool_anchor_fy2030,hybrid_pool_index,expected_pool_million_km,emitted_class_sum_million_km,class_sum_residual,scenario_population_from_input_path,emitted_light_petrol_vkt,expected_light_petrol_vkt,ped_identity_residual
unblended_current,current_basecase,2031,19291.158087465952,1.0438118332365818,20136.339088534547,20136.339088534547,0.0,5568625.239104366,34043.2191814063,34043.2191814063,0.0
unblended_current,current_basecase,2032,19291.158087465952,1.0900879233472307,21029.058458528896,21029.058458528896,0.0,5605327.138383648,34222.375581011845,34222.375581011845,0.0
unblended_current,current_basecase,2033,19291.158087465952,1.1401001948128986,21993.853093686357,21993.853093686357,0.0,5641762.518548759,34351.76984242723,34351.76984242723,0.0
unblended_current,current_basecase,2034,19291.158087465952,1.1971547221220293,23094.50099961244,23094.50099961244,0.0,5678433.158728389,34484.82936216152,34484.82936216152,0.0
unblended_current,current_basecase,2035,19291.158087465952,1.2622800937930794,24350.844840023645,24350.844840023645,0.0,5715342.660674074,34610.85270077571,34610.85270077571,0.0
unblended_current,current_basecase,2036,19291.158087465952,1.3344007563966738,25742.135943682377,25742.135943682377,0.0,5752492.148624376,34734.550605130644,34734.550605130644,0.0
unblended_current,current_basecase,2037,19291.158087465952,1.4141210385888063,27280.032510228204,27280.032510228204,0.0,5789883.272154019,34855.72056213106,34855.72056213106,0.0
unblended_current,current_basecase,2038,19291.158087465952,1.5019838671261125,28975.00822555329,28975.00822555329,0.0,5827517.543523213,34977.26685985149,34977.26685985149,0.0
unblended_current,current_basecase,2039,19291.158087465952,1.6016083148547446,30896.879196062822,30896.879196062822,0.0,5865396.4388599135,35099.47281712303,35099.47281712303,0.0
unblended_current,current_basecase,2040,19291.158087465952,1.7114542719745078,33015.93492012918,33015.93492012918,0.0,5903521.547417235,35222.348422918076,35222.348422918076,0.0
unblended_current,current_basecase,2041,19291.158087465952,1.826981658110125,35244.5919895031,35244.5919895031,0.0,5940790.360825924,35339.338408491414,35339.338408491414,0.0
unblended_current,current_basecase,2042,19291.158087465952,1.9452061624533632,37525.279592600804,37525.279592600804,0.0,5973835.040008055,35430.543969778795,35430.543969778795,0.0
unblended_current,current_basecase,2043,19291.158087465952,2.060195990976197,39743.566553085395,39743.5665530854,7.275957614183426e-12,6006691.160102674,35520.03175142598,35520.03175142598,0.0
unblended_current,current_basecase,2044,19291.158087465952,2.1648466713356007,41762.39937185952,41762.39937185952,0.0,6039727.989024792,35609.99260404987,35609.99260404987,0.0
unblended_current,current_basecase,2045,19291.158087465952,2.262624832836018,43648.65334286585,43648.65334286586,7.275957614183426e-12,6072952.237311606,35722.88617820048,35722.88617820048,0.0
unblended_current,current_basecase,2046,19291.158087465952,2.3609364298875173,45545.19790341757,45545.197903417575,7.275957614183426e-12,6106347.507795831,35836.64314021808,35836.643140218075,7.275957614183426e-12
unblended_current,current_basecase,2047,19291.158087465952,2.4586113511373173,47429.46025042825,47429.46025042825,0.0,6139932.707409499,35919.94674703626,35919.94674703626,0.0
unblended_current,current_basecase,2048,19291.158087465952,2.556959609446761,49326.712049102665,49326.712049102665,0.0,6173702.365522396,36012.03056528694,36012.03056528694,0.0
unblended_current,current_basecase,2049,19291.158087465952,2.645400864064567,51032.84627338859,51032.84627338859,0.0,6207657.756924774,36104.60167168996,36104.60167168996,0.0
unblended_current,current_basecase,2050,19291.158087465952,2.719416651348101,52460.696526843494,52460.6965268435,7.275957614183426e-12,6241799.9031503545,36197.66273381227,36197.66273381227,0.0
unblended_current,current_comparison_1,2031,19718.636295565673,1.0438118332365818,20582.545900599805,20582.545900599805,0.0,5765576.261469356,35170.433447554395,35170.433447554395,0.0
unblended_current,current_comparison_1,2032,19718.636295565673,1.0900879233472307,21495.047290672515,21495.047290672515,0.0,5852026.479969032,35627.79940247796,35627.79940247796,0.0
unblended_current,current_comparison_1,2033,19718.636295565673,1.1401001948128986,22481.221082019118,22481.221082019118,0.0,5939808.461475612,36043.79826240114,36043.798262401135,7.275957614183426e-12
unblended_current,current_comparison_1,2034,19718.636295565673,1.1971547221220293,23606.258555043285,23606.258555043285,0.0,6028905.525829928,36469.62165832142,36469.62165832142,0.0
unblended_current,current_comparison_1,2035,19718.636295565673,1.2622800937930794,24890.442072638256,24890.442072638256,0.0,6119337.031954986,36896.77735140501,36896.77735140501,0.0
