candidate_id,display_name,transition_completion_fy,structural_weight_fy2040,structural_weight_fy2050,fy2031_seam_growth_nltf,total_nltf_fy2040,total_nltf_fy2050,ratio_to_official_nltf_fy2050,light_petrol_vkt_fy2050,light_ruc_pool_fy2050,max_annual_growth_nltf,preserves_fy2030_anchor,official_level_substituted,lambda_used,composition_source
unblended_current,Current unblended,,0.0,0.0,0.051148215913064066,10588.083439645223,17264.68793494828,1.3326146314625482,36197.66273381227,52460.6965268435,0.057444124737822566,True,False,False,exact VFM202405 Base (production default)
early_structural,Early structural transition (complete FY2040),2040,1.0,1.0,0.05145931502043566,9221.966628292905,12898.249470755367,0.9955810397353794,9868.732613542541,50615.706685708654,0.04846658971970208,True,False,False,exact VFM202405 Base (production default)
balanced_structural,Balanced structural transition (complete FY2045),2045,0.7407407407407408,1.0,0.05128974734251002,9542.283723262826,12898.249470755367,0.9955810397353794,9868.732613542541,50615.706685708654,0.04860114428049722,True,False,False,exact VFM202405 Base (production default)
gradual_structural,Gradual structural transition (complete FY2050),2050,0.5,1.0,0.051228747550647435,9859.845380001749,12898.249470755367,0.9955810397353794,9868.732613542541,50615.706685708654,0.04864935720524399,True,False,False,exact VFM202405 Base (production default)
growth_handover_fy2035,One-way growth handover (complete FY2035),2035,1.0,1.0,0.05230482125489,9197.59789015305,12759.713272939967,0.9848878047987502,10056.151884378049,49607.529235591595,0.04497288108353836,True,False,False,exact VFM202405 Base (production default)
growth_handover_fy2040,One-way growth handover (complete FY2040),2040,1.0,1.0,0.05145931502043566,9489.906583814156,13015.40754736879,1.0046241552366457,10734.569553006499,50293.422130722356,0.047605004140436336,True,False,False,exact VFM202405 Base (production default)
