candidate_id,scenario_name,scenario_role,fy,series_id,value,unit,long_run_transition_schedule_id,long_run_shape_vintage_id,fleet_composition_scenario
unblended_current,current_basecase,basecase,2034,total_ruc_net_revenue,4164.674175545195,$m nominal ex GST,unblended_current,PREBU26,Base_EV
unblended_current,current_basecase,basecase,2034,net_fed_revenue,3123.247535784626,$m nominal ex GST,unblended_current,PREBU26,Base_EV
unblended_current,current_basecase,basecase,2034,net_mvr_revenue,463.73311806128567,$m nominal ex GST,unblended_current,PREBU26,Base_EV
unblended_current,current_basecase,basecase,2034,total_nltf_net_revenue,7769.212729083933,$m nominal ex GST,unblended_current,PREBU26,Base_EV
unblended_current,current_basecase,basecase,2035,ped_vkt_per_capita,6055.779111710105,km/person,unblended_current,PREBU26,Base_EV
unblended_current,current_basecase,basecase,2035,light_petrol_vkt,34610.85270077571,million km,unblended_current,PREBU26,Base_EV
unblended_current,current_basecase,basecase,2035,ped_volume,2880.2882757653583,million litres,unblended_current,PREBU26,Base_EV
unblended_current,current_basecase,basecase,2035,heavy_ruc_net_km,4358.359659743342,million km,unblended_current,PREBU26,Base_EV
unblended_current,current_basecase,basecase,2035,light_ruc_net_km,12912.571195009017,million km,unblended_current,PREBU26,Base_EV
unblended_current,current_basecase,basecase,2035,light_bev_ruc_net_km,7966.403240258576,million km,unblended_current,PREBU26,Base_EV
unblended_current,current_basecase,basecase,2035,phev_ruc_net_km,3471.8704047560514,million km,unblended_current,PREBU26,Base_EV
unblended_current,current_basecase,basecase,2035,tuc_net_revenue,17.5578996928248,$m nominal ex GST,unblended_current,PREBU26,Base_EV
unblended_current,current_basecase,basecase,2035,total_ruc_net_revenue,4460.199681583746,$m nominal ex GST,unblended_current,PREBU26,Base_EV
unblended_current,current_basecase,basecase,2035,net_fed_revenue,3216.3789631134214,$m nominal ex GST,unblended_current,PREBU26,Base_EV
unblended_current,current_basecase,basecase,2035,net_mvr_revenue,460.4470773903571,$m nominal ex GST,unblended_current,PREBU26,Base_EV
unblended_current,current_basecase,basecase,2035,total_nltf_net_revenue,8154.583621780351,$m nominal ex GST,unblended_current,PREBU26,Base_EV
unblended_current,current_basecase,basecase,2036,ped_vkt_per_capita,6038.17436125261,km/person,unblended_current,PREBU26,Base_EV
unblended_current,current_basecase,basecase,2036,light_petrol_vkt,34734.550605130644,million km,unblended_current,PREBU26,Base_EV
unblended_current,current_basecase,basecase,2036,ped_volume,2860.324060891819,million litres,unblended_current,PREBU26,Base_EV
unblended_current,current_basecase,basecase,2036,heavy_ruc_net_km,4383.287429204114,million km,unblended_current,PREBU26,Base_EV
unblended_current,current_basecase,basecase,2036,light_ruc_net_km,12552.122907498964,million km,unblended_current,PREBU26,Base_EV
unblended_current,current_basecase,basecase,2036,light_bev_ruc_net_km,9460.49238066271,million km,unblended_current,PREBU26,Base_EV
unblended_current,current_basecase,basecase,2036,phev_ruc_net_km,3729.520655520703,million km,unblended_current,PREBU26,Base_EV
unblended_current,current_basecase,basecase,2036,tuc_net_revenue,17.5578996928248,$m nominal ex GST,unblended_current,PREBU26,Base_EV
unblended_current,current_basecase,basecase,2036,total_ruc_net_revenue,4784.196777296488,$m nominal ex GST,unblended_current,PREBU26,Base_EV
unblended_current,current_basecase,basecase,2036,net_fed_revenue,3308.373565361861,$m nominal ex GST,unblended_current,PREBU26,Base_EV
unblended_current,current_basecase,basecase,2036,net_mvr_revenue,457.4046614102953,$m nominal ex GST,unblended_current,PREBU26,Base_EV
unblended_current,current_basecase,basecase,2036,total_nltf_net_revenue,8567.53290376147,$m nominal ex GST,unblended_current,PREBU26,Base_EV
unblended_current,current_basecase,basecase,2037,ped_vkt_per_capita,6020.107647034416,km/person,unblended_current,PREBU26,Base_EV
unblended_current,current_basecase,basecase,2037,light_petrol_vkt,34855.72056213106,million km,unblended_current,PREBU26,Base_EV
unblended_current,current_basecase,basecase,2037,ped_volume,2839.9408279020786,million litres,unblended_current,PREBU26,Base_EV
unblended_current,current_basecase,basecase,2037,heavy_ruc_net_km,4406.816970445276,million km,unblended_current,PREBU26,Base_EV
unblended_current,current_basecase,basecase,2037,light_ruc_net_km,12146.54359530915,million km,unblended_current,PREBU26,Base_EV
unblended_current,current_basecase,basecase,2037,light_bev_ruc_net_km,11212.420722093915,million km,unblended_current,PREBU26,Base_EV
unblended_current,current_basecase,basecase,2037,phev_ruc_net_km,3921.0681928251406,million km,unblended_current,PREBU26,Base_EV
unblended_current,current_basecase,basecase,2037,tuc_net_revenue,17.5578996928248,$m nominal ex GST,unblended_current,PREBU26,Base_EV
