fy,candidate_id,u,w,model_weight,structural_weight,anchor_fy,completion_fy,formula_id
2045,balanced_structural,1.0,1.0,0.0,1.0,2030,2045,cubic_smoothstep_3u2_minus_2u3_v1
2046,balanced_structural,1.0,1.0,0.0,1.0,2030,2045,cubic_smoothstep_3u2_minus_2u3_v1
2047,balanced_structural,1.0,1.0,0.0,1.0,2030,2045,cubic_smoothstep_3u2_minus_2u3_v1
2048,balanced_structural,1.0,1.0,0.0,1.0,2030,2045,cubic_smoothstep_3u2_minus_2u3_v1
2049,balanced_structural,1.0,1.0,0.0,1.0,2030,2045,cubic_smoothstep_3u2_minus_2u3_v1
2050,balanced_structural,1.0,1.0,0.0,1.0,2030,2045,cubic_smoothstep_3u2_minus_2u3_v1
2030,gradual_structural,0.0,0.0,1.0,0.0,2030,2050,cubic_smoothstep_3u2_minus_2u3_v1
2031,gradual_structural,0.05,0.007250000000000001,0.99275,0.007250000000000001,2030,2050,cubic_smoothstep_3u2_minus_2u3_v1
2032,gradual_structural,0.1,0.028000000000000004,0.972,0.028000000000000004,2030,2050,cubic_smoothstep_3u2_minus_2u3_v1
2033,gradual_structural,0.15,0.060750000000000005,0.93925,0.060750000000000005,2030,2050,cubic_smoothstep_3u2_minus_2u3_v1
2034,gradual_structural,0.2,0.10400000000000002,0.896,0.10400000000000002,2030,2050,cubic_smoothstep_3u2_minus_2u3_v1
2035,gradual_structural,0.25,0.15625,0.84375,0.15625,2030,2050,cubic_smoothstep_3u2_minus_2u3_v1
2036,gradual_structural,0.3,0.21600000000000003,0.784,0.21600000000000003,2030,2050,cubic_smoothstep_3u2_minus_2u3_v1
2037,gradual_structural,0.35,0.28174999999999994,0.71825,0.28174999999999994,2030,2050,cubic_smoothstep_3u2_minus_2u3_v1
2038,gradual_structural,0.4,0.3520000000000001,0.6479999999999999,0.3520000000000001,2030,2050,cubic_smoothstep_3u2_minus_2u3_v1
2039,gradual_structural,0.45,0.42525,0.57475,0.42525,2030,2050,cubic_smoothstep_3u2_minus_2u3_v1
2040,gradual_structural,0.5,0.5,0.5,0.5,2030,2050,cubic_smoothstep_3u2_minus_2u3_v1
2041,gradual_structural,0.55,0.5747500000000001,0.4252499999999999,0.5747500000000001,2030,2050,cubic_smoothstep_3u2_minus_2u3_v1
2042,gradual_structural,0.6,0.6480000000000001,0.35199999999999987,0.6480000000000001,2030,2050,cubic_smoothstep_3u2_minus_2u3_v1
2043,gradual_structural,0.65,0.71825,0.28174999999999994,0.71825,2030,2050,cubic_smoothstep_3u2_minus_2u3_v1
2044,gradual_structural,0.7,0.7839999999999999,0.21600000000000008,0.7839999999999999,2030,2050,cubic_smoothstep_3u2_minus_2u3_v1
2045,gradual_structural,0.75,0.84375,0.15625,0.84375,2030,2050,cubic_smoothstep_3u2_minus_2u3_v1
2046,gradual_structural,0.8,0.8960000000000001,0.10399999999999987,0.8960000000000001,2030,2050,cubic_smoothstep_3u2_minus_2u3_v1
2047,gradual_structural,0.85,0.9392499999999997,0.060750000000000304,0.9392499999999997,2030,2050,cubic_smoothstep_3u2_minus_2u3_v1
2048,gradual_structural,0.9,0.972,0.028000000000000025,0.972,2030,2050,cubic_smoothstep_3u2_minus_2u3_v1
2049,gradual_structural,0.95,0.9927500000000002,0.007249999999999757,0.9927500000000002,2030,2050,cubic_smoothstep_3u2_minus_2u3_v1
2050,gradual_structural,1.0,1.0,0.0,1.0,2030,2050,cubic_smoothstep_3u2_minus_2u3_v1
