june_year,mot_mbu26_official_bev_share,vfm_base_bev_share,dashboard_dial_curve_bev_share,mot_minus_vfm_base_pp,mot_minus_our_curve_pp,source_row,reconstructed_dial_curve_bev_share,dial_curve_year_offset,recomputed_mot_minus_vfm_base_pp,recomputed_mot_minus_our_curve_pp,max_abs_mot_minus_vfm_base_pp,max_abs_mot_minus_our_curve_pp
2025,0.060655,0.07213193635415513,0.07649602657482965,-1.147693635415513,-1.584102657482965,154,0.07649602657482965,0.0,-1.147693635415513,-1.584102657482965,1.838500051958264,2.6829901755746564
2026,0.082037,0.08430036518255071,0.09048711037142951,-0.2263365182550714,-0.8450110371429509,155,0.09048711037142951,0.0,-0.2263365182550714,-0.8450110371429509,1.838500051958264,2.6829901755746564
2027,0.102235,0.10082840106931855,0.10671360288721339,0.14065989306814575,-0.44786028872133843,156,0.10671360288721339,0.0,0.14065989306814575,-0.44786028872133843,1.838500051958264,2.6829901755746564
2028,0.12034,0.12236195165219996,0.1254102311344626,-0.20219516521999548,-0.5070231134462588,157,0.1254102311344626,0.0,-0.20219516521999548,-0.5070231134462588,1.838500051958264,2.6829901755746564
2029,0.140391,0.14713046571244692,0.14679169212747306,-0.6739465712446935,-0.6400692127473073,158,0.14679169212747306,0.0,-0.6739465712446935,-0.6400692127473073,1.838500051958264,2.6829901755746564
2030,0.1604,0.17298897219754772,0.1710343440376188,-1.2588972197547732,-1.0634344037618815,159,0.1710343440376188,0.0,-1.2588972197547732,-1.0634344037618815,1.838500051958264,2.6829901755746564
2031,0.185634,0.1994586286329576,0.19825475310719218,-1.382462863295761,-1.2620753107192184,160,0.19825475310719218,0.0,-1.382462863295761,-1.2620753107192184,1.838500051958264,2.6829901755746564
2032,0.212125,0.22707498124831432,0.2284865813320561,-1.4949981248314315,-1.6361581332056092,161,0.2284865813320561,0.0,-1.4949981248314315,-1.6361581332056092,1.838500051958264,2.6829901755746564
2033,0.240752,0.2568373009156358,0.2616582768636417,-1.6085300915635785,-2.0906276863641686,162,0.2616582768636417,0.0,-1.6085300915635785,-2.0906276863641686,1.838500051958264,2.6829901755746564
2034,0.273245,0.2901360450083459,0.2975749150308079,-1.6891045008345873,-2.432991503080789,163,0.2975749150308079,0.0,-1.6891045008345873,-2.432991503080789,1.838500051958264,2.6829901755746564
2035,0.309602,0.32715083645350607,0.33590801676021115,-1.7548836453506078,-2.630601676021116,164,0.33590801676021115,0.0,-1.7548836453506078,-2.630601676021116,1.838500051958264,2.6829901755746564
2036,0.349367,0.3675104521217286,0.37619690175574655,-1.8143452121728632,-2.6829901755746564,165,0.37619690175574655,0.0,-1.8143452121728632,-2.6829901755746564,1.838500051958264,2.6829901755746564
2037,0.392659,0.4110119471849548,0.41786389029412974,-1.8352947184954838,-2.5204890294129756,166,0.41786389029412974,0.0,-1.8352947184954838,-2.5204890294129756,1.838500051958264,2.6829901755746564
2038,0.438185,0.45657000051958263,0.4602435,-1.838500051958264,-2.2058500000000034,167,0.4602435,0.0,-1.838500051958264,-2.2058500000000034,1.838500051958264,2.6829901755746564
2039,0.485067,0.503171468126896,0.5026231097058702,-1.8104468126895923,-1.7556109705870182,168,0.5026231097058702,0.0,-1.8104468126895923,-1.7556109705870182,1.838500051958264,2.6829901755746564
2040,0.53265,0.5500089921988689,0.5442900982442536,-1.7358992198868939,-1.1640098244253605,169,0.5442900982442536,0.0,-1.7358992198868939,-1.1640098244253605,1.838500051958264,2.6829901755746564
2041,0.578433,0.594783033915147,0.584578983239789,-1.6350033915147,-0.6145983239788988,170,0.584578983239789,0.0,-1.6350033915147,-0.6145983239788988,1.838500051958264,2.6829901755746564
2042,0.621364,0.6350983157821397,0.6229120849691921,-1.3734315782139683,-0.15480849691921206,171,0.6229120849691921,0.0,-1.3734315782139683,-0.15480849691921206,1.838500051958264,2.6829901755746564
2043,0.659156,0.6702731927921013,0.6588287231363584,-1.1117192792101327,0.03272768636415346,172,0.6588287231363584,0.0,-1.1117192792101327,0.03272768636415346,1.838500051958264,2.6829901755746564
2044,0.691132,0.7001388632777455,0.692000418667944,-0.900686327774558,-0.08684186679440709,173,0.692000418667944,0.0,-0.900686327774558,-0.08684186679440709,1.838500051958264,2.6829901755746564
2045,0.718876,0.7259796113035464,0.7222322468928078,-0.710361130354642,-0.33562468928078903,174,0.7222322468928078,0.0,-0.710361130354642,-0.33562468928078903,1.838500051958264,2.6829901755746564
2046,0.744304,0.7494173475727028,0.7494526559623812,-0.5113347572702875,-0.5148655962381232,175,0.7494526559623812,0.0,-0.5113347572702875,-0.5148655962381232,1.838500051958264,2.6829901755746564
2047,0.767086,0.7705666552201003,0.7736953078725269,-0.3480655220100215,-0.6609307872526893,176,0.7736953078725269,0.0,-0.3480655220100215,-0.6609307872526893,1.838500051958264,2.6829901755746564
2048,0.787919,0.7897590687150017,0.7950767688655375,-0.18400687150016415,-0.7157768865537428,177,0.7950767688655375,0.0,-0.18400687150016415,-0.7157768865537428,1.838500051958264,2.6829901755746564
2049,0.806203,0.8067187954714947,0.8137733971127867,-0.05157954714947177,-0.7570397112786731,178,0.8137733971127867,0.0,-0.05157954714947177,-0.7570397112786731,1.838500051958264,2.6829901755746564
2050,0.82206,0.8214984744315834,0.8299998896285705,0.05615255684165987,-0.7939889628570507,179,0.8299998896285705,0.0,0.05615255684165987,-0.7939889628570507,1.838500051958264,2.6829901755746564
