scenario_name,fed_path,series_id,FY,value_before,value_after,abs_change,pct_change
current_basecase,Current planned path,light_ruc_net_km,2026,12469.190569609236,12467.31559226628,-1.8749773429553898,-0.015036880962628101
current_basecase,Current planned path,light_ruc_net_km,2027,12031.008684900273,12052.149986582981,21.141301682708217,0.17572343463804474
current_basecase,Current planned path,light_ruc_net_km,2028,12653.141692154302,12668.31000751806,15.168315363756847,0.1198778590550527
current_basecase,Current planned path,light_ruc_net_km,2029,12986.330241231537,13000.18648633703,13.856245105493144,0.10669869661484221
current_basecase,Current planned path,light_ruc_net_km,2030,13111.077873241196,13138.204021627065,27.126148385868873,0.2068948765931096
current_basecase,Current planned path,light_ruc_net_revenue,2026,844.691258750991,844.564243531911,-0.12701521908002178,-0.015036880962617486
current_basecase,Current planned path,light_ruc_net_revenue,2027,877.4486904990015,878.9905734751328,1.541882976131319,0.17572343463803639
current_basecase,Current planned path,light_ruc_net_revenue,2028,1028.8541306460943,1030.0874989507122,1.2333683046178976,0.11987785905504152
current_basecase,Current planned path,light_ruc_net_revenue,2029,1118.4330059566144,1119.6263593964802,1.1933534398658594,0.10669869661483786
current_basecase,Current planned path,light_ruc_net_revenue,2030,1179.3958102413742,1181.8359197475174,2.4401095061432443,0.20689487659311367
current_basecase,Current planned path,net_fed_revenue,2026,2025.417308608411,2026.1445507730014,0.7272421645902796,0.03590579390722896
current_basecase,Current planned path,net_fed_revenue,2027,2118.8901777899273,2119.7561085481716,0.8659307582443034,0.04086718449690951
current_basecase,Current planned path,net_fed_revenue,2028,2339.971028691931,2341.1159294067284,1.1449007147971315,0.04892798674679076
current_basecase,Current planned path,net_fed_revenue,2029,2443.677793638284,2445.050516585417,1.3727229471328428,0.05617446582796237
current_basecase,Current planned path,net_fed_revenue,2030,2510.8361761374736,2512.3201508565107,1.4839747190371781,0.05910280938042082
current_basecase,Current planned path,net_mvr_revenue,2026,425.1291935285918,425.1291935285918,0.0,0.0
current_basecase,Current planned path,net_mvr_revenue,2027,496.14975215044956,496.14975215044956,0.0,0.0
current_basecase,Current planned path,net_mvr_revenue,2028,490.25051027658566,490.25051027658566,0.0,0.0
current_basecase,Current planned path,net_mvr_revenue,2029,484.84310999369575,484.84310999369575,0.0,0.0
current_basecase,Current planned path,net_mvr_revenue,2030,479.8837182888595,479.8837182888595,0.0,0.0
current_basecase,Current planned path,total_nltf_net_revenue,2026,4508.837555214962,4509.459370844171,0.6218156292088679,0.013791040852418167
current_basecase,Current planned path,total_nltf_net_revenue,2027,4848.363814148764,4850.8813385405665,2.517524391802908,0.051925236807851126
current_basecase,Current planned path,total_nltf_net_revenue,2028,5444.4238674488015,5446.938608245291,2.5147407964896047,0.04618929124024991
current_basecase,Current planned path,total_nltf_net_revenue,2029,5794.617265095384,5797.366950322049,2.749685226664951,0.04745240454840789
current_basecase,Current planned path,total_nltf_net_revenue,2030,6069.569064256175,6073.828868618737,4.259804362562136,0.07018297868374572
current_basecase,Current planned path,total_ruc_net_revenue,2026,2040.8849755915462,2040.7795490561653,-0.10542653538095692,-0.00516572646875404
current_basecase,Current planned path,total_ruc_net_revenue,2027,2215.765984515563,2217.4175781491217,1.6515936335586048,0.07453827006554105
