scenario_name,fed_path,series_id,FY,value_before,value_after,abs_change,pct_change
current_basecase,Current planned path,coo_revenue,2025,-9.64521739130434e-05,-9.64521739130434e-05,0.0,0.0
current_basecase,Current planned path,coo_revenue,2026,0.0,0.0,0.0,
current_basecase,Current planned path,coo_revenue,2027,0.0,0.0,0.0,
current_basecase,Current planned path,coo_revenue,2028,0.0,0.0,0.0,
current_basecase,Current planned path,coo_revenue,2029,0.0,0.0,0.0,
current_basecase,Current planned path,coo_revenue,2030,0.0,0.0,0.0,
current_basecase,Current planned path,coo_revenue,2031,0.0,0.0,0.0,
current_basecase,Current planned path,coo_revenue,2032,0.0,0.0,0.0,
current_basecase,Current planned path,coo_revenue,2033,0.0,0.0,0.0,
current_basecase,Current planned path,coo_revenue,2034,0.0,0.0,0.0,
current_basecase,Current planned path,coo_revenue,2035,0.0,0.0,0.0,
current_basecase,Current planned path,coo_revenue,2036,0.0,0.0,0.0,
current_basecase,Current planned path,coo_revenue,2037,0.0,0.0,0.0,
current_basecase,Current planned path,coo_revenue,2038,0.0,0.0,0.0,
current_basecase,Current planned path,coo_revenue,2039,0.0,0.0,0.0,
current_basecase,Current planned path,coo_revenue,2040,0.0,0.0,0.0,
current_basecase,Current planned path,coo_revenue,2041,0.0,0.0,0.0,
current_basecase,Current planned path,coo_revenue,2042,0.0,0.0,0.0,
current_basecase,Current planned path,coo_revenue,2043,0.0,0.0,0.0,
current_basecase,Current planned path,coo_revenue,2044,0.0,0.0,0.0,
current_basecase,Current planned path,coo_revenue,2045,0.0,0.0,0.0,
current_basecase,Current planned path,coo_revenue,2046,0.0,0.0,0.0,
current_basecase,Current planned path,coo_revenue,2047,0.0,0.0,0.0,
current_basecase,Current planned path,coo_revenue,2048,0.0,0.0,0.0,
current_basecase,Current planned path,coo_revenue,2049,0.0,0.0,0.0,
current_basecase,Current planned path,coo_revenue,2050,0.0,0.0,0.0,
current_basecase,Current planned path,current_light_ruc_total_modelled_km,2025,13529.742736,13529.742736,0.0,0.0
current_basecase,Current planned path,current_light_ruc_total_modelled_km,2026,12944.121551182801,12953.85512504795,9.733573865149083,0.07519686698445482
current_basecase,Current planned path,current_light_ruc_total_modelled_km,2027,12675.592767841548,12711.197962638922,35.60519479737377,0.2808956981302324
current_basecase,Current planned path,current_light_ruc_total_modelled_km,2028,13509.897565202087,13542.19525593311,32.29769073102216,0.23906688096742082
current_basecase,Current planned path,current_light_ruc_total_modelled_km,2029,14097.655732144294,14131.358557992655,33.70282584836059,0.23906688096740955
current_basecase,Current planned path,current_light_ruc_total_modelled_km,2030,14503.270774184944,14552.971035061613,49.700260876668835,0.3426831205905131
current_basecase,Current planned path,current_light_ruc_total_modelled_km,2031,14907.239600737921,14947.609524698997,40.36992396107598,0.2708075072401576
current_basecase,Current planned path,current_light_ruc_total_modelled_km,2032,15275.515594877987,15311.863056161665,36.34746128367806,0.23794588835918362
current_basecase,Current planned path,current_light_ruc_total_modelled_km,2033,15651.448829906092,15688.690808865496,37.24197895940415,0.23794588835919034
current_basecase,Current planned path,current_light_ruc_total_modelled_km,2034,16036.639822963196,16074.798348052867,38.15852508967146,0.23794588835892838
current_basecase,Current planned path,current_light_ruc_total_modelled_km,2035,16431.316719315324,16470.414361852185,39.0976425368608,0.23794588835903083
current_basecase,Current planned path,current_light_ruc_total_modelled_km,2036,16831.426923490646,16871.476611807244,40.049688316597894,0.23794588835901292
current_basecase,Current planned path,current_light_ruc_total_modelled_km,2037,17224.036445115547,17265.020331646203,40.98388653065558,0.2379458883592756
current_basecase,Current planned path,current_light_ruc_total_modelled_km,2038,17624.409506371405,17666.346064139434,41.93655776802916,0.23794588835937264
current_basecase,Current planned path,current_light_ruc_total_modelled_km,2039,18034.09605288789,18077.007442948503,42.911390060613485,0.23794588835929967
current_basecase,Current planned path,current_light_ruc_total_modelled_km,2040,18453.312911751484,18497.221811091003,43.90889933951985,0.23794588835892808
current_basecase,Current planned path,current_light_ruc_total_modelled_km,2041,18877.47164189653,18922.389809494543,44.918167598014406,0.23794588835892272
current_basecase,Current planned path,current_light_ruc_total_modelled_km,2042,19292.04594643329,19337.95057654318,45.904630109889695,0.2379458883591169
current_basecase,Current planned path,current_light_ruc_total_modelled_km,2043,19714.162805668733,19761.071845489223,46.90903982048985,0.23794588835900926
current_basecase,Current planned path,current_light_ruc_total_modelled_km,2044,20145.523437112744,20193.458881819755,47.9354447070109,0.2379458883590121
current_basecase,Current planned path,current_light_ruc_total_modelled_km,2045,20586.33045606446,20635.314782948702,48.984326884241455,0.23794588835919184
current_basecase,Current planned path,current_light_ruc_total_modelled_km,2046,21036.79092366524,21086.847102710766,50.056179045524914,0.23794588835892477
current_basecase,Current planned path,current_light_ruc_total_modelled_km,2047,21497.116444567466,21548.26794926308,51.151504695615586,0.237945888359097
current_basecase,Current planned path,current_light_ruc_total_modelled_km,2048,21967.52326675293,22019.79408514046,52.27081838752929,0.23794588835892722
current_basecase,Current planned path,current_light_ruc_total_modelled_km,2049,22448.232383545255,22501.647029511176,53.4146459659205,0.23794588835900454
