stream,selected_model,selected_quarterly_mape,latest_arbitration_q_mape,selected_minus_latest_arbitration_q_pp,pdf_quarterly_mape,selected_minus_pdf_q_pp,selected_annual_mape,latest_arbitration_a_mape,selected_minus_latest_arbitration_a_pp,pdf_annual_mape,selected_minus_pdf_a_pp,latest_bespoke_q_mape,selected_minus_latest_bespoke_q_pp,latest_bespoke_a_mape,selected_minus_latest_bespoke_a_pp
PED,PED__HPOREFINE_solver_static_convex_top18,2.4732445831169696,2.47358,-0.00033541688303051487,2.48,-0.006755416883030385,2.385624944203041,2.38709,-0.0014650557969591027,2.42,-0.034375055796958875,2.65701,-0.1837654168830305,2.60088,-0.21525505579695903
LIGHT_RUC,LIGHT_RUC__HPOREFINE_top3_mean,9.117601800522134,9.14755,-0.02994819947786631,9.16,-0.04239819947786572,5.992441666172811,5.9995,-0.007058333827189678,6.25,-0.2575583338271894,10.3145,-1.1968981994778662,6.70964,-0.7171983338271897
HEAVY_RUC,HEAVY_RUC__solver_static_convex_top18,3.5609226862385333,3.56092,2.686238533389229e-06,3.8,-0.23907731376146657,3.171406050511394,3.17141,-3.94948860593658e-06,3.07,0.10140605051139406,3.27657,0.28435268623853327,2.44456,0.7268460505113938
