engine,series_id,FY,reference_policy_state,central_changes_under_policy,rate_changes_under_policy,activity_changes_under_policy,band_should_change,reason,central_published,central_delayed_6m,central_off
ar1,current_light_ruc_conventional_modelled_km,2048,published,False,False,False,False,not priced by the fuel rate and no activity response,6725.091690231553,6725.091690231553,6725.091690231553
ar1,current_light_ruc_conventional_modelled_km,2049,published,False,False,False,False,not priced by the fuel rate and no activity response,6373.2890576886,6373.2890576886,6373.2890576886
ar1,current_light_ruc_conventional_modelled_km,2050,published,False,False,False,False,not priced by the fuel rate and no activity response,6027.296699807985,6027.296699807985,6027.296699807985
ar1,fed_refunds,2025,published,False,False,False,False,not priced by the fuel rate and no activity response,69.90077731,69.90077731,69.90077731
ar1,fed_refunds,2026,published,False,False,False,False,not priced by the fuel rate and no activity response,72.3868062026043,72.3868062026043,72.3868062026043
ar1,fed_refunds,2027,published,False,False,False,False,not priced by the fuel rate and no activity response,80.6529606896518,80.6529606896518,80.6529606896518
ar1,fed_refunds,2028,published,False,False,False,False,not priced by the fuel rate and no activity response,91.4673022517422,91.4673022517422,91.4673022517422
ar1,fed_refunds,2029,published,False,False,False,False,not priced by the fuel rate and no activity response,97.6737041163894,97.6737041163894,97.6737041163894
ar1,fed_refunds,2030,published,False,False,False,False,not priced by the fuel rate and no activity response,102.477188461442,102.477188461442,102.477188461442
ar1,fed_refunds,2031,published,False,False,False,False,not priced by the fuel rate and no activity response,105.428538617792,105.428538617792,105.428538617792
ar1,fed_refunds,2032,published,False,False,False,False,not priced by the fuel rate and no activity response,107.880660403128,107.880660403128,107.880660403128
ar1,fed_refunds,2033,published,False,False,False,False,not priced by the fuel rate and no activity response,109.618818619908,109.618818619908,109.618818619908
ar1,fed_refunds,2034,published,False,False,False,False,not priced by the fuel rate and no activity response,110.874936585782,110.874936585782,110.874936585782
ar1,fed_refunds,2035,published,False,False,False,False,not priced by the fuel rate and no activity response,111.445970529907,111.445970529907,111.445970529907
ar1,fed_refunds,2036,published,False,False,False,False,not priced by the fuel rate and no activity response,111.176191918272,111.176191918272,111.176191918272
ar1,fed_refunds,2037,published,False,False,False,False,not priced by the fuel rate and no activity response,110.042913972117,110.042913972117,110.042913972117
ar1,fed_refunds,2038,published,False,False,False,False,not priced by the fuel rate and no activity response,107.913508675593,107.913508675593,107.913508675593
ar1,fed_refunds,2039,published,False,False,False,False,not priced by the fuel rate and no activity response,104.840874026332,104.840874026332,104.840874026332
ar1,fed_refunds,2040,published,False,False,False,False,not priced by the fuel rate and no activity response,100.944261351029,100.944261351029,100.944261351029
ar1,fed_refunds,2041,published,False,False,False,False,not priced by the fuel rate and no activity response,96.3322291474112,96.3322291474112,96.3322291474112
ar1,fed_refunds,2042,published,False,False,False,False,not priced by the fuel rate and no activity response,90.5422688383918,90.5422688383918,90.5422688383918
ar1,fed_refunds,2043,published,False,False,False,False,not priced by the fuel rate and no activity response,84.3336057989786,84.3336057989786,84.3336057989786
ar1,fed_refunds,2044,published,False,False,False,False,not priced by the fuel rate and no activity response,78.1830347453577,78.1830347453577,78.1830347453577
ar1,fed_refunds,2045,published,False,False,False,False,not priced by the fuel rate and no activity response,72.2614752287827,72.2614752287827,72.2614752287827
ar1,fed_refunds,2046,published,False,False,False,False,not priced by the fuel rate and no activity response,66.6787339973973,66.6787339973973,66.6787339973973
ar1,fed_refunds,2047,published,False,False,False,False,not priced by the fuel rate and no activity response,61.4417326492604,61.4417326492604,61.4417326492604
ar1,fed_refunds,2048,published,False,False,False,False,not priced by the fuel rate and no activity response,56.625431852433,56.625431852433,56.625431852433
ar1,fed_refunds,2049,published,False,False,False,False,not priced by the fuel rate and no activity response,52.1359432142043,52.1359432142043,52.1359432142043
ar1,fed_refunds,2050,published,False,False,False,False,not priced by the fuel rate and no activity response,47.9565731676092,47.9565731676092,47.9565731676092
ar1,gross_cng_revenue,2025,published,False,False,False,False,not priced by the fuel rate and no activity response,0.0,0.0,0.0
ar1,gross_cng_revenue,2026,published,False,False,False,False,not priced by the fuel rate and no activity response,0.0,0.0,0.0
ar1,gross_cng_revenue,2027,published,False,False,False,False,not priced by the fuel rate and no activity response,0.0,0.0,0.0
ar1,gross_cng_revenue,2028,published,False,False,False,False,not priced by the fuel rate and no activity response,0.0,0.0,0.0
ar1,gross_cng_revenue,2029,published,False,False,False,False,not priced by the fuel rate and no activity response,0.0,0.0,0.0
ar1,gross_cng_revenue,2030,published,False,False,False,False,not priced by the fuel rate and no activity response,0.0,0.0,0.0
ar1,gross_cng_revenue,2031,published,False,False,False,False,not priced by the fuel rate and no activity response,0.0,0.0,0.0
ar1,gross_cng_revenue,2032,published,False,False,False,False,not priced by the fuel rate and no activity response,0.0,0.0,0.0
ar1,gross_cng_revenue,2033,published,False,False,False,False,not priced by the fuel rate and no activity response,0.0,0.0,0.0
ar1,gross_cng_revenue,2034,published,False,False,False,False,not priced by the fuel rate and no activity response,0.0,0.0,0.0
ar1,gross_cng_revenue,2035,published,False,False,False,False,not priced by the fuel rate and no activity response,0.0,0.0,0.0
ar1,gross_cng_revenue,2036,published,False,False,False,False,not priced by the fuel rate and no activity response,0.0,0.0,0.0
ar1,gross_cng_revenue,2037,published,False,False,False,False,not priced by the fuel rate and no activity response,0.0,0.0,0.0
ar1,gross_cng_revenue,2038,published,False,False,False,False,not priced by the fuel rate and no activity response,0.0,0.0,0.0
ar1,gross_cng_revenue,2039,published,False,False,False,False,not priced by the fuel rate and no activity response,0.0,0.0,0.0
ar1,gross_cng_revenue,2040,published,False,False,False,False,not priced by the fuel rate and no activity response,0.0,0.0,0.0
ar1,gross_cng_revenue,2041,published,False,False,False,False,not priced by the fuel rate and no activity response,0.0,0.0,0.0
ar1,gross_cng_revenue,2042,published,False,False,False,False,not priced by the fuel rate and no activity response,0.0,0.0,0.0
ar1,gross_cng_revenue,2043,published,False,False,False,False,not priced by the fuel rate and no activity response,0.0,0.0,0.0
ar1,gross_cng_revenue,2044,published,False,False,False,False,not priced by the fuel rate and no activity response,0.0,0.0,0.0
ar1,gross_cng_revenue,2045,published,False,False,False,False,not priced by the fuel rate and no activity response,0.0,0.0,0.0
ar1,gross_cng_revenue,2046,published,False,False,False,False,not priced by the fuel rate and no activity response,0.0,0.0,0.0
ar1,gross_cng_revenue,2047,published,False,False,False,False,not priced by the fuel rate and no activity response,0.0,0.0,0.0
ar1,gross_cng_revenue,2048,published,False,False,False,False,not priced by the fuel rate and no activity response,0.0,0.0,0.0
ar1,gross_cng_revenue,2049,published,False,False,False,False,not priced by the fuel rate and no activity response,0.0,0.0,0.0
ar1,gross_cng_revenue,2050,published,False,False,False,False,not priced by the fuel rate and no activity response,0.0,0.0,0.0
ar1,gross_fed_revenue,2025,published,False,False,False,False,not priced by the fuel rate and no activity response,2067.62792391,2067.62792391,2067.62792391
ar1,gross_fed_revenue,2026,published,False,False,False,False,not priced by the fuel rate and no activity response,2178.581790793814,2178.581790793814,2178.581790793814
ar1,gross_fed_revenue,2027,published,True,False,False,True,central moves through a governed identity term,2252.8793747089653,2084.988286100581,2084.988286100581
ar1,gross_fed_revenue,2028,published,True,False,False,True,central moves through a governed identity term,2501.229029100793,2501.229029100793,2167.159428873098
ar1,gross_fed_revenue,2029,published,True,False,False,True,central moves through a governed identity term,2645.038787658003,2645.038787658003,2311.8057552961372
ar1,gross_fed_revenue,2030,published,True,False,False,True,central moves through a governed identity term,2759.591439455385,2759.591439455385,2427.064721694571
ar1,gross_fed_revenue,2031,published,True,False,False,True,central moves through a governed identity term,2857.6920993712192,2857.6920993712192,2513.4590137523
ar1,gross_fed_revenue,2032,published,True,False,False,True,central moves through a governed identity term,2942.744560041224,2942.744560041224,2602.038077825576
ar1,gross_fed_revenue,2033,published,True,False,False,True,central moves through a governed identity term,3017.2436577547455,3017.2436577547455,2680.98682883417
ar1,gross_fed_revenue,2034,published,True,False,False,True,central moves through a governed identity term,3079.0572806660252,3079.0572806660252,2748.3047182856967
ar1,gross_fed_revenue,2035,published,True,False,False,True,central moves through a governed identity term,3122.9036031627547,3122.9036031627547,2799.145748784669
ar1,gross_fed_revenue,2036,published,True,False,False,True,central moves through a governed identity term,3141.323389694423,3141.323389694423,2826.676118838127
ar1,gross_fed_revenue,2037,published,True,False,False,True,central moves through a governed identity term,3126.9201990729316,3126.9201990729316,2824.0069544132148
ar1,gross_fed_revenue,2038,published,True,False,False,True,central moves through a governed identity term,3072.711478567923,3072.711478567923,2784.5769116456213
ar1,gross_fed_revenue,2039,published,True,False,False,True,central moves through a governed identity term,2975.5916395402965,2975.5916395402965,2705.281709342221
ar1,gross_fed_revenue,2040,published,True,False,False,True,central moves through a governed identity term,2837.5320756926694,2837.5320756926694,2587.641627527197
ar1,gross_fed_revenue,2041,published,True,False,False,True,central moves through a governed identity term,2664.9535144019264,2664.9535144019264,2437.299362825889
ar1,gross_fed_revenue,2042,published,True,False,False,True,central moves through a governed identity term,2454.4865082994606,2454.4865082994606,2251.0186358059645
ar1,gross_fed_revenue,2043,published,True,False,False,True,central moves through a governed identity term,2234.657958943051,2234.657958943051,2054.8286572364304
ar1,gross_fed_revenue,2044,published,True,False,False,True,central moves through a governed identity term,2030.220780566434,2030.220780566434,1871.535297212399
ar1,gross_fed_revenue,2045,published,True,False,False,True,central moves through a governed identity term,1857.5498778491994,1857.5498778491994,1716.4344227677504
ar1,gross_fed_revenue,2046,published,True,False,False,True,central moves through a governed identity term,1710.451730532659,1710.451730532659,1584.075588673924
ar1,gross_fed_revenue,2047,published,True,False,False,True,central moves through a governed identity term,1572.9245149185706,1572.9245149185706,1459.8527799114702
ar1,gross_fed_revenue,2048,published,True,False,False,True,central moves through a governed identity term,1446.7917209108132,1446.7917209108132,1345.562813428825
ar1,gross_fed_revenue,2049,published,True,False,False,True,central moves through a governed identity term,1329.5631213333777,1329.5631213333777,1238.990496316109
ar1,gross_fed_revenue,2050,published,True,False,False,True,central moves through a governed identity term,1220.7382564146853,1220.7382564146853,1139.7541715461305
ar1,gross_lpg_revenue,2025,published,False,False,False,False,not priced by the fuel rate and no activity response,40.94161913,40.94161913,40.94161913
ar1,gross_lpg_revenue,2026,published,False,False,False,False,not priced by the fuel rate and no activity response,42.0451626401906,42.0451626401906,42.0451626401906
ar1,gross_lpg_revenue,2027,published,False,False,False,False,not priced by the fuel rate and no activity response,42.6326898203412,42.6326898203412,42.6326898203412
ar1,gross_lpg_revenue,2028,published,False,False,False,False,not priced by the fuel rate and no activity response,42.8533768621873,42.8533768621873,42.8533768621873
ar1,gross_lpg_revenue,2029,published,False,False,False,False,not priced by the fuel rate and no activity response,43.0565466561107,43.0565466561107,43.0565466561107
ar1,gross_lpg_revenue,2030,published,False,False,False,False,not priced by the fuel rate and no activity response,43.2447778470936,43.2447778470936,43.2447778470936
ar1,gross_lpg_revenue,2031,published,False,False,False,False,not priced by the fuel rate and no activity response,43.4201183252799,43.4201183252799,43.4201183252799
ar1,gross_lpg_revenue,2032,published,False,False,False,False,not priced by the fuel rate and no activity response,43.5842216228547,43.5842216228547,43.5842216228547
ar1,gross_lpg_revenue,2033,published,False,False,False,False,not priced by the fuel rate and no activity response,43.7384421166535,43.7384421166535,43.7384421166535
ar1,gross_lpg_revenue,2034,published,False,False,False,False,not priced by the fuel rate and no activity response,43.8839031230627,43.8839031230627,43.8839031230627
ar1,gross_lpg_revenue,2035,published,False,False,False,False,not priced by the fuel rate and no activity response,44.0215466525324,44.0215466525324,44.0215466525324
ar1,gross_lpg_revenue,2036,published,False,False,False,False,not priced by the fuel rate and no activity response,44.1521704507391,44.1521704507391,44.1521704507391
