engine,series_id,FY,reference_policy_state,central_changes_under_policy,rate_changes_under_policy,activity_changes_under_policy,band_should_change,reason,central_published,central_delayed_6m,central_delayed_12m,central_delayed_18m,central_delayed_24m,central_delayed_30m,central_delayed_36m,central_off,central_option1_12c_10c_4c,central_option2_9c_9c_4c,central_option3_4c_semiannual,central_option4_labour_4c,central_mcert
ensemble,current_light_ruc_conventional_modelled_km,2028,published,False,False,False,False,not priced by the fuel rate and no activity response,13372.423680284688,13372.423680284688,13372.423680284688,13372.423680284688,13372.423680284688,13372.423680284688,13372.423680284688,13372.423680284688,13372.423680284688,13372.423680284688,13372.423680284688,13372.423680284688,13372.423680284688
ensemble,current_light_ruc_conventional_modelled_km,2029,published,False,False,False,False,not priced by the fuel rate and no activity response,13833.483861200531,13833.483861200531,13833.483861200531,13833.483861200531,13833.483861200531,13833.483861200531,13833.483861200531,13833.483861200531,13833.483861200531,13833.483861200531,13833.483861200531,13833.483861200531,13833.483861200531
ensemble,current_light_ruc_conventional_modelled_km,2030,published,False,False,False,False,not priced by the fuel rate and no activity response,14129.750867690173,14129.750867690173,14129.750867690173,14129.750867690173,14129.750867690173,14129.750867690173,14129.750867690173,14129.750867690173,14129.750867690173,14129.750867690173,14129.750867690173,14129.750867690173,14129.750867690173
ensemble,current_light_ruc_conventional_modelled_km,2031,published,False,False,False,False,not priced by the fuel rate and no activity response,14020.018722392646,14020.018722392646,14020.018722392646,14020.018722392646,14020.018722392646,14020.018722392646,14020.018722392646,14020.018722392646,14020.018722392646,14020.018722392646,14020.018722392646,14020.018722392646,14020.018722392646
ensemble,current_light_ruc_conventional_modelled_km,2032,published,False,False,False,False,not priced by the fuel rate and no activity response,13788.36619246224,13788.36619246224,13788.36619246224,13788.36619246224,13788.36619246224,13788.36619246224,13788.36619246224,13788.36619246224,13788.36619246224,13788.36619246224,13788.36619246224,13788.36619246224,13788.36619246224
ensemble,current_light_ruc_conventional_modelled_km,2033,published,False,False,False,False,not priced by the fuel rate and no activity response,13478.669671452124,13478.669671452124,13478.669671452124,13478.669671452124,13478.669671452124,13478.669671452124,13478.669671452124,13478.669671452124,13478.669671452124,13478.669671452124,13478.669671452124,13478.669671452124,13478.669671452124
ensemble,current_light_ruc_conventional_modelled_km,2034,published,False,False,False,False,not priced by the fuel rate and no activity response,13113.415943065223,13113.415943065223,13113.415943065223,13113.415943065223,13113.415943065223,13113.415943065223,13113.415943065223,13113.415943065223,13113.415943065223,13113.415943065223,13113.415943065223,13113.415943065223,13113.415943065223
ensemble,current_light_ruc_conventional_modelled_km,2035,published,False,False,False,False,not priced by the fuel rate and no activity response,12708.237188527157,12708.237188527157,12708.237188527157,12708.237188527157,12708.237188527157,12708.237188527157,12708.237188527157,12708.237188527157,12708.237188527157,12708.237188527157,12708.237188527157,12708.237188527157,12708.237188527157
ensemble,current_light_ruc_conventional_modelled_km,2036,published,False,False,False,False,not priced by the fuel rate and no activity response,12270.324583215872,12270.324583215872,12270.324583215872,12270.324583215872,12270.324583215872,12270.324583215872,12270.324583215872,12270.324583215872,12270.324583215872,12270.324583215872,12270.324583215872,12270.324583215872,12270.324583215872
ensemble,current_light_ruc_conventional_modelled_km,2037,published,False,False,False,False,not priced by the fuel rate and no activity response,11797.667413197887,11797.667413197887,11797.667413197887,11797.667413197887,11797.667413197887,11797.667413197887,11797.667413197887,11797.667413197887,11797.667413197887,11797.667413197887,11797.667413197887,11797.667413197887,11797.667413197887
ensemble,current_light_ruc_conventional_modelled_km,2038,published,False,False,False,False,not priced by the fuel rate and no activity response,11270.830631604469,11270.830631604469,11270.830631604469,11270.830631604469,11270.830631604469,11270.830631604469,11270.830631604469,11270.830631604469,11270.830631604469,11270.830631604469,11270.830631604469,11270.830631604469,11270.830631604469
ensemble,current_light_ruc_conventional_modelled_km,2039,published,False,False,False,False,not priced by the fuel rate and no activity response,10715.87112489107,10715.87112489107,10715.87112489107,10715.87112489107,10715.87112489107,10715.87112489107,10715.87112489107,10715.87112489107,10715.87112489107,10715.87112489107,10715.87112489107,10715.87112489107,10715.87112489107
ensemble,current_light_ruc_conventional_modelled_km,2040,published,False,False,False,False,not priced by the fuel rate and no activity response,10143.472472241874,10143.472472241874,10143.472472241874,10143.472472241874,10143.472472241874,10143.472472241874,10143.472472241874,10143.472472241874,10143.472472241874,10143.472472241874,10143.472472241874,10143.472472241874,10143.472472241874
ensemble,current_light_ruc_conventional_modelled_km,2041,published,False,False,False,False,not priced by the fuel rate and no activity response,9587.552907715994,9587.552907715994,9587.552907715994,9587.552907715994,9587.552907715994,9587.552907715994,9587.552907715994,9587.552907715994,9587.552907715994,9587.552907715994,9587.552907715994,9587.552907715994,9587.552907715994
ensemble,current_light_ruc_conventional_modelled_km,2042,published,False,False,False,False,not priced by the fuel rate and no activity response,9105.010579833104,9105.010579833104,9105.010579833104,9105.010579833104,9105.010579833104,9105.010579833104,9105.010579833104,9105.010579833104,9105.010579833104,9105.010579833104,9105.010579833104,9105.010579833104,9105.010579833104
ensemble,current_light_ruc_conventional_modelled_km,2043,published,False,False,False,False,not priced by the fuel rate and no activity response,8626.465057931358,8626.465057931358,8626.465057931358,8626.465057931358,8626.465057931358,8626.465057931358,8626.465057931358,8626.465057931358,8626.465057931358,8626.465057931358,8626.465057931358,8626.465057931358,8626.465057931358
ensemble,current_light_ruc_conventional_modelled_km,2044,published,False,False,False,False,not priced by the fuel rate and no activity response,8172.349289855084,8172.349289855084,8172.349289855084,8172.349289855084,8172.349289855084,8172.349289855084,8172.349289855084,8172.349289855084,8172.349289855084,8172.349289855084,8172.349289855084,8172.349289855084,8172.349289855084
