page,stream_label,scenario,horizon,mape,source_column,source
Scenario Comparison,Light RUC volume,Finalist,6,9.468933527670703,ape,quarterly_predictions_selected.csv grouped mean APE
Schiff Benchmark,Light RUC volume,Finalist,6,9.468933527670703,ape,quarterly_predictions_selected.csv grouped mean APE
Scenario Comparison,Light RUC volume,Finalist,7,9.661955896442997,ape,quarterly_predictions_selected.csv grouped mean APE
Schiff Benchmark,Light RUC volume,Finalist,7,9.661955896442997,ape,quarterly_predictions_selected.csv grouped mean APE
Scenario Comparison,Light RUC volume,Finalist,8,9.783360216185482,ape,quarterly_predictions_selected.csv grouped mean APE
Schiff Benchmark,Light RUC volume,Finalist,8,9.783360216185482,ape,quarterly_predictions_selected.csv grouped mean APE
Scenario Comparison,Light RUC volume,Finalist,9,10.092956853401656,ape,quarterly_predictions_selected.csv grouped mean APE
Schiff Benchmark,Light RUC volume,Finalist,9,10.092956853401656,ape,quarterly_predictions_selected.csv grouped mean APE
Scenario Comparison,Light RUC volume,Finalist,10,10.287473135633851,ape,quarterly_predictions_selected.csv grouped mean APE
Schiff Benchmark,Light RUC volume,Finalist,10,10.287473135633851,ape,quarterly_predictions_selected.csv grouped mean APE
Scenario Comparison,Light RUC volume,Finalist,11,10.755569535071768,ape,quarterly_predictions_selected.csv grouped mean APE
Schiff Benchmark,Light RUC volume,Finalist,11,10.755569535071768,ape,quarterly_predictions_selected.csv grouped mean APE
Scenario Comparison,Light RUC volume,Finalist,12,11.01784780400076,ape,quarterly_predictions_selected.csv grouped mean APE
Schiff Benchmark,Light RUC volume,Finalist,12,11.01784780400076,ape,quarterly_predictions_selected.csv grouped mean APE
Scenario Comparison,Light RUC volume,Schiff,1,9.363177938457152,ape,quarterly_predictions_selected.csv grouped mean APE
Schiff Benchmark,Light RUC volume,Schiff,1,9.363177938457152,ape,quarterly_predictions_selected.csv grouped mean APE
Scenario Comparison,Light RUC volume,Schiff,2,11.950138392022534,ape,quarterly_predictions_selected.csv grouped mean APE
Schiff Benchmark,Light RUC volume,Schiff,2,11.950138392022534,ape,quarterly_predictions_selected.csv grouped mean APE
Scenario Comparison,Light RUC volume,Schiff,3,13.387828491595604,ape,quarterly_predictions_selected.csv grouped mean APE
Schiff Benchmark,Light RUC volume,Schiff,3,13.387828491595604,ape,quarterly_predictions_selected.csv grouped mean APE
Scenario Comparison,Light RUC volume,Schiff,4,13.971353471808607,ape,quarterly_predictions_selected.csv grouped mean APE
Schiff Benchmark,Light RUC volume,Schiff,4,13.971353471808607,ape,quarterly_predictions_selected.csv grouped mean APE
Scenario Comparison,Light RUC volume,Schiff,5,14.607803257955643,ape,quarterly_predictions_selected.csv grouped mean APE
Schiff Benchmark,Light RUC volume,Schiff,5,14.607803257955643,ape,quarterly_predictions_selected.csv grouped mean APE
Scenario Comparison,Light RUC volume,Schiff,6,15.809861630527184,ape,quarterly_predictions_selected.csv grouped mean APE
Schiff Benchmark,Light RUC volume,Schiff,6,15.809861630527184,ape,quarterly_predictions_selected.csv grouped mean APE
Scenario Comparison,Light RUC volume,Schiff,7,16.87908145860053,ape,quarterly_predictions_selected.csv grouped mean APE
Schiff Benchmark,Light RUC volume,Schiff,7,16.87908145860053,ape,quarterly_predictions_selected.csv grouped mean APE
Scenario Comparison,Light RUC volume,Schiff,8,17.51371462319241,ape,quarterly_predictions_selected.csv grouped mean APE
Schiff Benchmark,Light RUC volume,Schiff,8,17.51371462319241,ape,quarterly_predictions_selected.csv grouped mean APE
Scenario Comparison,Light RUC volume,Schiff,9,17.789322953462328,ape,quarterly_predictions_selected.csv grouped mean APE
Schiff Benchmark,Light RUC volume,Schiff,9,17.789322953462328,ape,quarterly_predictions_selected.csv grouped mean APE
Scenario Comparison,Light RUC volume,Schiff,10,17.530823207610343,ape,quarterly_predictions_selected.csv grouped mean APE
Schiff Benchmark,Light RUC volume,Schiff,10,17.530823207610343,ape,quarterly_predictions_selected.csv grouped mean APE
Scenario Comparison,Light RUC volume,Schiff,11,17.821174630111244,ape,quarterly_predictions_selected.csv grouped mean APE
Schiff Benchmark,Light RUC volume,Schiff,11,17.821174630111244,ape,quarterly_predictions_selected.csv grouped mean APE
Scenario Comparison,Light RUC volume,Schiff,12,18.03691182641079,ape,quarterly_predictions_selected.csv grouped mean APE
Schiff Benchmark,Light RUC volume,Schiff,12,18.03691182641079,ape,quarterly_predictions_selected.csv grouped mean APE
Scenario Comparison,PED VKT per capita,Finalist,1,1.1655970382280976,ape,quarterly_predictions_selected.csv grouped mean APE
Schiff Benchmark,PED VKT per capita,Finalist,1,1.1655970382280976,ape,quarterly_predictions_selected.csv grouped mean APE
Scenario Comparison,PED VKT per capita,Finalist,2,1.5148420092515187,ape,quarterly_predictions_selected.csv grouped mean APE
Schiff Benchmark,PED VKT per capita,Finalist,2,1.5148420092515187,ape,quarterly_predictions_selected.csv grouped mean APE
Scenario Comparison,PED VKT per capita,Finalist,3,1.6937371037130025,ape,quarterly_predictions_selected.csv grouped mean APE
Schiff Benchmark,PED VKT per capita,Finalist,3,1.6937371037130025,ape,quarterly_predictions_selected.csv grouped mean APE
Scenario Comparison,PED VKT per capita,Finalist,4,1.8715583421435236,ape,quarterly_predictions_selected.csv grouped mean APE
Schiff Benchmark,PED VKT per capita,Finalist,4,1.8715583421435236,ape,quarterly_predictions_selected.csv grouped mean APE
Scenario Comparison,PED VKT per capita,Finalist,5,2.1396653449652785,ape,quarterly_predictions_selected.csv grouped mean APE
Schiff Benchmark,PED VKT per capita,Finalist,5,2.1396653449652785,ape,quarterly_predictions_selected.csv grouped mean APE
