stream_label,scenario_a_model,scenario_b_model,scenario_a_quarterly_mape,scenario_b_quarterly_mape,scenario_a_annual_mape,scenario_b_annual_mape,full_sample_qtr_gain_pp,full_sample_annual_gain_pp,paired_common_pairs,paired_model_mape,paired_schiff_mape,paired_gain_pp,paired_win_rate_pct,recommendation
PED VKT per capita,PED__RESCUE_static_annual_weighted_top12_capnone,PED__schiff__SCHIFF_OLS__noylag__w64,2.4732445831169696,3.082117232079539,2.3856249442030424,2.965757956236625,0.6088726489625693,0.5801330120335826,606,2.473244583116969,3.08211723207954,0.6088726489625707,63.20132013201321,Promote
Heavy RUC volume,HEAVY_RUC__RECON_STATIC_REBUILT,HEAVY_RUC__schiff_no_lead__SCHIFF_OLS__noylag__w40,3.484367565681976,11.48264346093783,3.0199801790589795,11.717803544852805,7.998275895255853,8.697823365793825,438,3.4843675656819766,11.482643460937828,7.998275895255851,64.15525114155251,Promote
Light RUC volume,LIGHT_RUC__RESCUE_static_bias_penalty_top25_cap0p4,LIGHT_RUC__schiff_no_lead__SCHIFF_OLS__noylag__w40,9.14754535409187,11.546786315968834,5.999498868354415,7.843683247318401,2.3992409618769646,1.8441843789639858,360,12.705906188639862,11.546786315968832,-1.1591198726710292,50.55555555555556,Needs Stage 2
