FY,metric,unit,official_vintage,comparison_vintage,befu26_value,mbu26_value,delta_befu26_minus_mbu26
2013,phev_ruc_effective_rate,$/km,BEFU26,MBU26,,,
2014,ped_effective_rate,$/L,BEFU26,MBU26,0.5352400000000006,0.5352400000000006,0.0
2014,petrol_fleet_intensity,L/100km,BEFU26,MBU26,10.1605372752484,10.1605372752484,0.0
2014,light_ruc_effective_rate,$/km,BEFU26,MBU26,0.04718516262035074,0.04718516262035074,0.0
2014,heavy_ruc_effective_rate,$/km,BEFU26,MBU26,0.2176237013823654,0.2176237013823654,0.0
2014,light_bev_ruc_effective_rate,$/km,BEFU26,MBU26,,,
2014,heavy_bev_ruc_effective_rate,$/km,BEFU26,MBU26,,,
2014,phev_ruc_effective_rate,$/km,BEFU26,MBU26,,,
2015,ped_effective_rate,$/L,BEFU26,MBU26,0.5652400000000005,0.5652400000000005,0.0
2015,petrol_fleet_intensity,L/100km,BEFU26,MBU26,10.202291310386821,10.202291310386821,0.0
2015,light_ruc_effective_rate,$/km,BEFU26,MBU26,0.051409944233344794,0.051409944233344794,0.0
2015,heavy_ruc_effective_rate,$/km,BEFU26,MBU26,0.22088300230536706,0.22088300230536706,0.0
2015,light_bev_ruc_effective_rate,$/km,BEFU26,MBU26,,,
2015,heavy_bev_ruc_effective_rate,$/km,BEFU26,MBU26,,,
2015,phev_ruc_effective_rate,$/km,BEFU26,MBU26,,,
2016,ped_effective_rate,$/L,BEFU26,MBU26,0.5952400000000008,0.5952400000000008,0.0
2016,petrol_fleet_intensity,L/100km,BEFU26,MBU26,10.092596792807237,10.092596792807237,0.0
2016,light_ruc_effective_rate,$/km,BEFU26,MBU26,0.05482046496475009,0.05482046496475009,0.0
2016,heavy_ruc_effective_rate,$/km,BEFU26,MBU26,0.23055268144016125,0.23055268144016125,0.0
2016,light_bev_ruc_effective_rate,$/km,BEFU26,MBU26,,,
2016,heavy_bev_ruc_effective_rate,$/km,BEFU26,MBU26,,,
2016,phev_ruc_effective_rate,$/km,BEFU26,MBU26,,,
2017,ped_effective_rate,$/L,BEFU26,MBU26,0.5952399999999994,0.5952399999999994,0.0
2017,petrol_fleet_intensity,L/100km,BEFU26,MBU26,9.962947609390852,9.962947609390852,0.0
2017,light_ruc_effective_rate,$/km,BEFU26,MBU26,0.05479654349238202,0.05479654349238202,0.0
2017,heavy_ruc_effective_rate,$/km,BEFU26,MBU26,0.2340557877039107,0.2340557877039107,0.0
2017,light_bev_ruc_effective_rate,$/km,BEFU26,MBU26,,,
2017,heavy_bev_ruc_effective_rate,$/km,BEFU26,MBU26,,,
2017,phev_ruc_effective_rate,$/km,BEFU26,MBU26,,,
2018,ped_effective_rate,$/L,BEFU26,MBU26,0.5952400000000002,0.5952400000000002,0.0
2018,petrol_fleet_intensity,L/100km,BEFU26,MBU26,9.793059651881876,9.793059651881876,0.0
2018,light_ruc_effective_rate,$/km,BEFU26,MBU26,0.05470477152422107,0.05470477152422107,0.0
2018,heavy_ruc_effective_rate,$/km,BEFU26,MBU26,0.23565979235259274,0.23565979235259274,0.0
2018,light_bev_ruc_effective_rate,$/km,BEFU26,MBU26,,,
2018,heavy_bev_ruc_effective_rate,$/km,BEFU26,MBU26,,,
2018,phev_ruc_effective_rate,$/km,BEFU26,MBU26,,,
2019,ped_effective_rate,$/L,BEFU26,MBU26,0.6216491521914482,0.6216491521914482,0.0
2019,petrol_fleet_intensity,L/100km,BEFU26,MBU26,9.78186466621593,9.78186466621593,0.0
2019,light_ruc_effective_rate,$/km,BEFU26,MBU26,0.05845891032717095,0.05845891032717095,0.0
2019,heavy_ruc_effective_rate,$/km,BEFU26,MBU26,0.2411950729661086,0.2411950729661086,0.0
2019,light_bev_ruc_effective_rate,$/km,BEFU26,MBU26,,,
2019,heavy_bev_ruc_effective_rate,$/km,BEFU26,MBU26,,,
2019,phev_ruc_effective_rate,$/km,BEFU26,MBU26,,,
2020,ped_effective_rate,$/L,BEFU26,MBU26,0.6652400000000007,0.6652400000000007,0.0
2020,petrol_fleet_intensity,L/100km,BEFU26,MBU26,9.243135625608177,9.243135625608177,0.0
2020,light_ruc_effective_rate,$/km,BEFU26,MBU26,0.06327574022736765,0.06327574022736765,0.0
2020,heavy_ruc_effective_rate,$/km,BEFU26,MBU26,0.25633994680404815,0.25633994680404815,0.0
2020,light_bev_ruc_effective_rate,$/km,BEFU26,MBU26,,,
2020,heavy_bev_ruc_effective_rate,$/km,BEFU26,MBU26,,,
2020,phev_ruc_effective_rate,$/km,BEFU26,MBU26,,,
2021,ped_effective_rate,$/L,BEFU26,MBU26,0.7002400000000011,0.7002400000000011,0.0
2021,petrol_fleet_intensity,L/100km,BEFU26,MBU26,10.026761982994778,10.026761982994778,0.0
2021,light_ruc_effective_rate,$/km,BEFU26,MBU26,0.06677842735133074,0.06677842735133074,0.0
2021,heavy_ruc_effective_rate,$/km,BEFU26,MBU26,0.2720697782017953,0.2720697782017953,0.0
2021,light_bev_ruc_effective_rate,$/km,BEFU26,MBU26,,,
2021,heavy_bev_ruc_effective_rate,$/km,BEFU26,MBU26,,,
2021,phev_ruc_effective_rate,$/km,BEFU26,MBU26,,,
2022,ped_effective_rate,$/L,BEFU26,MBU26,0.619683716353119,0.619683716353119,0.0
2022,petrol_fleet_intensity,L/100km,BEFU26,MBU26,9.488324425225043,9.488324425225043,0.0
2022,light_ruc_effective_rate,$/km,BEFU26,MBU26,0.05955231773659156,0.05955231773659156,0.0
2022,heavy_ruc_effective_rate,$/km,BEFU26,MBU26,0.24970293990104528,0.24970293990104528,0.0
2022,light_bev_ruc_effective_rate,$/km,BEFU26,MBU26,,,
2022,heavy_bev_ruc_effective_rate,$/km,BEFU26,MBU26,,,
2022,phev_ruc_effective_rate,$/km,BEFU26,MBU26,,,
2023,ped_effective_rate,$/L,BEFU26,MBU26,0.4502399999999994,0.4502399999999994,0.0
2023,petrol_fleet_intensity,L/100km,BEFU26,MBU26,9.502691946115553,9.502691946115553,0.0
2023,light_ruc_effective_rate,$/km,BEFU26,MBU26,0.043955890067700745,0.043955890067700745,0.0
2023,heavy_ruc_effective_rate,$/km,BEFU26,MBU26,0.18236290044801245,0.18236290044801245,0.0
2023,light_bev_ruc_effective_rate,$/km,BEFU26,MBU26,,,
2023,heavy_bev_ruc_effective_rate,$/km,BEFU26,MBU26,,,
2023,phev_ruc_effective_rate,$/km,BEFU26,MBU26,,,
2024,ped_effective_rate,$/L,BEFU26,MBU26,0.7002399999999996,0.7002399999999996,0.0
2024,petrol_fleet_intensity,L/100km,BEFU26,MBU26,9.041448311803999,9.041448311803999,0.0
2024,light_ruc_effective_rate,$/km,BEFU26,MBU26,0.06724421163606023,0.06724421163606023,0.0
2024,heavy_ruc_effective_rate,$/km,BEFU26,MBU26,0.27627409104009504,0.27627409104009504,0.0
2024,light_bev_ruc_effective_rate,$/km,BEFU26,MBU26,0.06779662818693795,0.06779662818693795,0.0
2024,heavy_bev_ruc_effective_rate,$/km,BEFU26,MBU26,,,
2024,phev_ruc_effective_rate,$/km,BEFU26,MBU26,0.03488615225104732,0.03488615225104732,0.0
2025,ped_effective_rate,$/L,BEFU26,MBU26,0.7002400000000009,0.7002400000000009,0.0
2025,petrol_fleet_intensity,L/100km,BEFU26,MBU26,9.128837185229537,9.128695498386273,0.00014168684326421044
2025,light_ruc_effective_rate,$/km,BEFU26,MBU26,0.0677020975327375,0.0677020975327375,0.0
2025,heavy_ruc_effective_rate,$/km,BEFU26,MBU26,0.27875076380925623,0.27875076380925623,0.0
2025,light_bev_ruc_effective_rate,$/km,BEFU26,MBU26,0.06751091764638999,0.06751091764638999,0.0
2025,heavy_bev_ruc_effective_rate,$/km,BEFU26,MBU26,,,
2025,phev_ruc_effective_rate,$/km,BEFU26,MBU26,0.034720659123048926,0.034720659123048926,0.0
2026,ped_effective_rate,$/L,BEFU26,MBU26,0.7002399999999998,0.7002400000000003,-5.551115123125783e-16
2026,petrol_fleet_intensity,L/100km,BEFU26,MBU26,9.260956261061901,9.253495188709412,0.007461072352489495
2026,light_ruc_effective_rate,$/km,BEFU26,MBU26,0.06774211974105097,0.06774226875718223,-1.4901613125395397e-07
2026,heavy_ruc_effective_rate,$/km,BEFU26,MBU26,0.2791822951560211,0.27918201743834453,2.7771767657780444e-07
2026,light_bev_ruc_effective_rate,$/km,BEFU26,MBU26,0.06736085209075052,0.06736085209075052,0.0
2026,heavy_bev_ruc_effective_rate,$/km,BEFU26,MBU26,,,
2026,phev_ruc_effective_rate,$/km,BEFU26,MBU26,0.0344814091839728,0.0344814091839728,0.0
2027,ped_effective_rate,$/L,BEFU26,MBU26,0.7600846254894931,0.7598432334330983,0.00024139205639472916
2027,petrol_fleet_intensity,L/100km,BEFU26,MBU26,9.018936683998973,9.019048682247908,-0.0001119982489345972
2027,light_ruc_effective_rate,$/km,BEFU26,MBU26,0.07296879013381,0.0729322630778464,3.652705596360328e-05
2027,heavy_ruc_effective_rate,$/km,BEFU26,MBU26,0.30032881092388103,0.3003231710918972,5.639831983816901e-06
2027,light_bev_ruc_effective_rate,$/km,BEFU26,MBU26,0.07291343090682693,0.07291343090682693,0.0
2027,heavy_bev_ruc_effective_rate,$/km,BEFU26,MBU26,,,
2027,phev_ruc_effective_rate,$/km,BEFU26,MBU26,0.03659537240725881,0.03659537240725881,0.0
2028,ped_effective_rate,$/L,BEFU26,MBU26,0.8501416070311163,0.8500894140750587,5.2192956057628415e-05
2028,petrol_fleet_intensity,L/100km,BEFU26,MBU26,8.931806908230996,8.931856817675813,-4.990944481697568e-05
2028,light_ruc_effective_rate,$/km,BEFU26,MBU26,0.08132308826739243,0.08131214805600769,1.0940211384743992e-05
2028,heavy_ruc_effective_rate,$/km,BEFU26,MBU26,0.33384636864929695,0.33383580761728604,1.0561032010913962e-05
2028,light_bev_ruc_effective_rate,$/km,BEFU26,MBU26,0.08134999999999998,0.08134999999999998,0.0
2028,heavy_bev_ruc_effective_rate,$/km,BEFU26,MBU26,0.33391000000000004,0.33391000000000004,0.0
2028,phev_ruc_effective_rate,$/km,BEFU26,MBU26,0.04011500000000012,0.04011500000000012,0.0
2029,ped_effective_rate,$/L,BEFU26,MBU26,0.9001298714008468,0.9001107027491552,1.9168651691603422e-05
2029,petrol_fleet_intensity,L/100km,BEFU26,MBU26,8.844668922019745,8.844689067937997,-2.014591825272305e-05
2029,light_ruc_effective_rate,$/km,BEFU26,MBU26,0.08612716220341088,0.08612386911319989,3.2930902109928883e-06
2029,heavy_ruc_effective_rate,$/km,BEFU26,MBU26,0.35350977774652953,0.35350703540164163,2.742344887896042e-06
2029,light_bev_ruc_effective_rate,$/km,BEFU26,MBU26,0.08613499999999968,0.08613499999999968,0.0
2029,heavy_bev_ruc_effective_rate,$/km,BEFU26,MBU26,0.35354500000000033,0.35354500000000033,0.0
2029,phev_ruc_effective_rate,$/km,BEFU26,MBU26,0.04247499999999995,0.04247499999999995,0.0
2030,ped_effective_rate,$/L,BEFU26,MBU26,0.9401072483165868,0.9400992657432979,7.982573288822792e-06
2030,petrol_fleet_intensity,L/100km,BEFU26,MBU26,8.75753233592107,8.757543274926979,-1.0939005909094135e-05
2030,light_ruc_effective_rate,$/km,BEFU26,MBU26,0.08995622874464686,0.08995414577228922,2.0829723576393233e-06
2030,heavy_ruc_effective_rate,$/km,BEFU26,MBU26,0.36921571028675715,0.36921393100505956,1.77928169758923e-06
2030,light_bev_ruc_effective_rate,$/km,BEFU26,MBU26,0.08996500000000007,0.08996500000000007,0.0
2030,heavy_bev_ruc_effective_rate,$/km,BEFU26,MBU26,0.3692550000000003,0.3692550000000003,0.0
2030,phev_ruc_effective_rate,$/km,BEFU26,MBU26,0.044364999999999856,0.044364999999999856,0.0
2031,ped_effective_rate,$/L,BEFU26,MBU26,0.9801259945570312,0.9801272010486018,-1.2064915706488932e-06
2031,petrol_fleet_intensity,L/100km,BEFU26,MBU26,8.670438093023318,8.6704364524934,1.640529918134348e-06
2031,light_ruc_effective_rate,$/km,BEFU26,MBU26,0.09379000000000023,0.09379000000000014,9.71445146547012e-17
2031,heavy_ruc_effective_rate,$/km,BEFU26,MBU26,0.3849650000000002,0.3849649999999997,4.996003610813204e-16
2031,light_bev_ruc_effective_rate,$/km,BEFU26,MBU26,0.09379000000000001,0.09379000000000001,0.0
2031,heavy_bev_ruc_effective_rate,$/km,BEFU26,MBU26,0.3849649999999987,0.3849649999999987,0.0
2031,phev_ruc_effective_rate,$/km,BEFU26,MBU26,0.046255000000000095,0.046255000000000095,0.0
2032,ped_effective_rate,$/L,BEFU26,MBU26,1.0201412027482166,1.0201409097685845,2.929796321105016e-07
2032,petrol_fleet_intensity,L/100km,BEFU26,MBU26,8.583296015218659,8.583296413903813,-3.986851542236991e-07
2032,light_ruc_effective_rate,$/km,BEFU26,MBU26,0.09761500000000005,0.09761499999999984,2.0816681711721685e-16
2032,heavy_ruc_effective_rate,$/km,BEFU26,MBU26,0.40067500000000106,0.4006749999999993,1.7763568394002505e-15
2032,light_bev_ruc_effective_rate,$/km,BEFU26,MBU26,0.09761499999999995,0.09761499999999995,0.0
2032,heavy_bev_ruc_effective_rate,$/km,BEFU26,MBU26,0.4006749999999989,0.4006749999999989,0.0
2032,phev_ruc_effective_rate,$/km,BEFU26,MBU26,0.04813999999999986,0.04813999999999986,0.0
2033,ped_effective_rate,$/L,BEFU26,MBU26,1.0601468860621817,1.0601469577062015,-7.164401982784341e-08
2033,petrol_fleet_intensity,L/100km,BEFU26,MBU26,8.496172889161214,8.496172791765561,9.739565243194193e-08
2033,light_ruc_effective_rate,$/km,BEFU26,MBU26,0.1014450000000004,0.10144499999999985,5.412337245047638e-16
2033,heavy_ruc_effective_rate,$/km,BEFU26,MBU26,0.4163800000000005,0.41637999999999914,1.3877787807814457e-15
2033,light_bev_ruc_effective_rate,$/km,BEFU26,MBU26,0.10144500000000004,0.10144500000000004,0.0
2033,heavy_bev_ruc_effective_rate,$/km,BEFU26,MBU26,0.4163799999999989,0.4163799999999989,0.0
2033,phev_ruc_effective_rate,$/km,BEFU26,MBU26,0.050024999999999965,0.050024999999999965,0.0
2034,ped_effective_rate,$/L,BEFU26,MBU26,1.1001419804613515,1.1001419629388474,1.752250411435341e-08
2034,petrol_fleet_intensity,L/100km,BEFU26,MBU26,8.4090385336455,8.409038557513078,-2.3867578136105294e-08
2034,light_ruc_effective_rate,$/km,BEFU26,MBU26,0.10527500000000002,0.10527500000000004,-1.3877787807814457e-17
2034,heavy_ruc_effective_rate,$/km,BEFU26,MBU26,0.4320850000000008,0.43208499999999916,1.609823385706477e-15
2034,light_bev_ruc_effective_rate,$/km,BEFU26,MBU26,0.10527499999999991,0.10527499999999991,0.0
2034,heavy_bev_ruc_effective_rate,$/km,BEFU26,MBU26,0.432084999999999,0.432084999999999,0.0
2034,phev_ruc_effective_rate,$/km,BEFU26,MBU26,0.051915000000000024,0.051915000000000024,0.0
2035,ped_effective_rate,$/L,BEFU26,MBU26,1.1400953906664826,1.1400953950017312,-4.3352486045478145e-09
2035,petrol_fleet_intensity,L/100km,BEFU26,MBU26,8.321922319182862,8.32192231328104,5.9018230302854136e-09
2035,light_ruc_effective_rate,$/km,BEFU26,MBU26,0.10910000000000056,0.10909999999999974,8.187894806610529e-16
2035,heavy_ruc_effective_rate,$/km,BEFU26,MBU26,0.4477949999999997,0.44779499999999994,-2.220446049250313e-16
2035,light_bev_ruc_effective_rate,$/km,BEFU26,MBU26,0.10910000000000004,0.10910000000000004,0.0
2035,heavy_bev_ruc_effective_rate,$/km,BEFU26,MBU26,0.447795,0.447795,0.0
2035,phev_ruc_effective_rate,$/km,BEFU26,MBU26,0.05379999999999978,0.05379999999999978,0.0
2036,ped_effective_rate,$/L,BEFU26,MBU26,1.1800752344742995,1.1800752333146345,1.1596650306699985e-09
2036,petrol_fleet_intensity,L/100km,BEFU26,MBU26,8.234809465101643,8.234809466679051,-1.5774084261011012e-09
2036,light_ruc_effective_rate,$/km,BEFU26,MBU26,0.1129250000000005,0.11292499999999954,9.575673587391975e-16
2036,heavy_ruc_effective_rate,$/km,BEFU26,MBU26,0.46350499999999917,0.4635050000000006,-1.4432899320127035e-15
2036,light_bev_ruc_effective_rate,$/km,BEFU26,MBU26,0.112925,0.112925,0.0
2036,heavy_bev_ruc_effective_rate,$/km,BEFU26,MBU26,0.46350499999999784,0.46350499999999784,0.0
2036,phev_ruc_effective_rate,$/km,BEFU26,MBU26,0.05568499999999986,0.05568499999999986,0.0
2037,ped_effective_rate,$/L,BEFU26,MBU26,1.220038468156412,1.2200384688112886,-6.548765973946047e-10
2037,petrol_fleet_intensity,L/100km,BEFU26,MBU26,8.147703682785226,8.147703681892619,8.926068773007501e-10
2037,light_ruc_effective_rate,$/km,BEFU26,MBU26,0.11675500000000047,0.11675500000000058,-1.1102230246251565e-16
2037,heavy_ruc_effective_rate,$/km,BEFU26,MBU26,0.4792149999999999,0.47921499999999995,-5.551115123125783e-17
2037,light_bev_ruc_effective_rate,$/km,BEFU26,MBU26,0.11675499999999976,0.11675499999999976,0.0
2037,heavy_bev_ruc_effective_rate,$/km,BEFU26,MBU26,0.47921499999999867,0.47921499999999867,0.0
2037,phev_ruc_effective_rate,$/km,BEFU26,MBU26,0.0575750000000001,0.0575750000000001,0.0
2038,ped_effective_rate,$/L,BEFU26,MBU26,1.2600110355185095,1.26001103375754,1.7609693703235507e-09
2038,petrol_fleet_intensity,L/100km,BEFU26,MBU26,8.060605190952423,8.060605193348296,-2.3958737216389636e-09
2038,light_ruc_effective_rate,$/km,BEFU26,MBU26,0.1205850000000002,0.12058500000000004,1.6653345369377348e-16
2038,heavy_ruc_effective_rate,$/km,BEFU26,MBU26,0.4949249999999988,0.4949249999999999,-1.1102230246251565e-15
2038,light_bev_ruc_effective_rate,$/km,BEFU26,MBU26,0.12058500000000001,0.12058500000000001,0.0
2038,heavy_bev_ruc_effective_rate,$/km,BEFU26,MBU26,0.4949250000000013,0.4949250000000013,0.0
2038,phev_ruc_effective_rate,$/km,BEFU26,MBU26,0.05946499999999987,0.05946499999999987,0.0
2039,ped_effective_rate,$/L,BEFU26,MBU26,1.2999738603503401,1.2999738677723927,-7.422052528127665e-09
2039,petrol_fleet_intensity,L/100km,BEFU26,MBU26,7.973505935862406,7.973505925734825,1.0127580551966275e-08
2039,light_ruc_effective_rate,$/km,BEFU26,MBU26,0.12440999999999942,0.12440999999999992,-4.996003610813204e-16
2039,heavy_ruc_effective_rate,$/km,BEFU26,MBU26,0.5106349999999991,0.5106349999999995,-4.440892098500626e-16
2039,light_bev_ruc_effective_rate,$/km,BEFU26,MBU26,0.12440999999999962,0.12440999999999962,0.0
2039,heavy_bev_ruc_effective_rate,$/km,BEFU26,MBU26,0.5106350000000007,0.5106350000000007,0.0
2039,phev_ruc_effective_rate,$/km,BEFU26,MBU26,0.061350000000000064,0.061350000000000064,0.0
2040,ped_effective_rate,$/L,BEFU26,MBU26,1.3399128735800543,1.3399128408042527,3.277580162830418e-08
2040,petrol_fleet_intensity,L/100km,BEFU26,MBU26,7.88639882788942,7.886398872548973,-4.465955338872618e-08
2040,light_ruc_effective_rate,$/km,BEFU26,MBU26,0.12823499999999993,0.12823500000000004,-1.1102230246251565e-16
2040,heavy_ruc_effective_rate,$/km,BEFU26,MBU26,0.5263449999999997,0.5263450000000013,-1.5543122344752192e-15
2040,light_bev_ruc_effective_rate,$/km,BEFU26,MBU26,0.12823499999999996,0.12823499999999996,0.0
2040,heavy_bev_ruc_effective_rate,$/km,BEFU26,MBU26,0.5263449999999996,0.5263449999999996,0.0
2040,phev_ruc_effective_rate,$/km,BEFU26,MBU26,0.063235,0.063235,0.0
