FY,official_vintage,light_pool_million_km,befu26_conventional_share,befu26_bev_share,befu26_phev_share,vfm_base_conventional_share,vfm_base_bev_share,vfm_base_phev_share,vfm_fast_conventional_share,vfm_fast_bev_share,vfm_fast_phev_share,vfm_slow_conventional_share,vfm_slow_bev_share,vfm_slow_phev_share,delta_vs_vfm_base_conventional,delta_vs_vfm_base_bev,delta_vs_vfm_base_phev,composition_refresh_candidate,notes
2001,BEFU26,5664.92423,1.0,0.0,0.0,,,,,,,,,,,,,False,OPT-IN CANDIDATE ONLY: this audit surfaces the official vintage's embedded Light-RUC class mix against the exact-VFM shares. The Current model composition is UNCHANGED pending separate approval; nothing in this artifact alters any runtime pack.
2002,BEFU26,6386.274088,1.0,0.0,0.0,,,,,,,,,,,,,False,OPT-IN CANDIDATE ONLY: this audit surfaces the official vintage's embedded Light-RUC class mix against the exact-VFM shares. The Current model composition is UNCHANGED pending separate approval; nothing in this artifact alters any runtime pack.
2003,BEFU26,6049.305779,1.0,0.0,0.0,,,,,,,,,,,,,False,OPT-IN CANDIDATE ONLY: this audit surfaces the official vintage's embedded Light-RUC class mix against the exact-VFM shares. The Current model composition is UNCHANGED pending separate approval; nothing in this artifact alters any runtime pack.
2004,BEFU26,6822.401291,1.0,0.0,0.0,,,,,,,,,,,,,False,OPT-IN CANDIDATE ONLY: this audit surfaces the official vintage's embedded Light-RUC class mix against the exact-VFM shares. The Current model composition is UNCHANGED pending separate approval; nothing in this artifact alters any runtime pack.
2005,BEFU26,7530.569661,1.0,0.0,0.0,,,,,,,,,,,,,False,OPT-IN CANDIDATE ONLY: this audit surfaces the official vintage's embedded Light-RUC class mix against the exact-VFM shares. The Current model composition is UNCHANGED pending separate approval; nothing in this artifact alters any runtime pack.
2006,BEFU26,7030.767248,1.0,0.0,0.0,,,,,,,,,,,,,False,OPT-IN CANDIDATE ONLY: this audit surfaces the official vintage's embedded Light-RUC class mix against the exact-VFM shares. The Current model composition is UNCHANGED pending separate approval; nothing in this artifact alters any runtime pack.
2007,BEFU26,7464.686295,1.0,0.0,0.0,,,,,,,,,,,,,False,OPT-IN CANDIDATE ONLY: this audit surfaces the official vintage's embedded Light-RUC class mix against the exact-VFM shares. The Current model composition is UNCHANGED pending separate approval; nothing in this artifact alters any runtime pack.
2008,BEFU26,7830.197444,1.0,0.0,0.0,,,,,,,,,,,,,False,OPT-IN CANDIDATE ONLY: this audit surfaces the official vintage's embedded Light-RUC class mix against the exact-VFM shares. The Current model composition is UNCHANGED pending separate approval; nothing in this artifact alters any runtime pack.
2009,BEFU26,7549.161403,1.0,0.0,0.0,,,,,,,,,,,,,False,OPT-IN CANDIDATE ONLY: this audit surfaces the official vintage's embedded Light-RUC class mix against the exact-VFM shares. The Current model composition is UNCHANGED pending separate approval; nothing in this artifact alters any runtime pack.
2010,BEFU26,7829.25488,1.0,0.0,0.0,,,,,,,,,,,,,False,OPT-IN CANDIDATE ONLY: this audit surfaces the official vintage's embedded Light-RUC class mix against the exact-VFM shares. The Current model composition is UNCHANGED pending separate approval; nothing in this artifact alters any runtime pack.
2011,BEFU26,7818.038709,1.0,0.0,0.0,,,,,,,,,,,,,False,OPT-IN CANDIDATE ONLY: this audit surfaces the official vintage's embedded Light-RUC class mix against the exact-VFM shares. The Current model composition is UNCHANGED pending separate approval; nothing in this artifact alters any runtime pack.
2012,BEFU26,7932.324522,1.0,0.0,0.0,,,,,,,,,,,,,False,OPT-IN CANDIDATE ONLY: this audit surfaces the official vintage's embedded Light-RUC class mix against the exact-VFM shares. The Current model composition is UNCHANGED pending separate approval; nothing in this artifact alters any runtime pack.
2013,BEFU26,8150.161816,1.0,0.0,0.0,,,,,,,,,,,,,False,OPT-IN CANDIDATE ONLY: this audit surfaces the official vintage's embedded Light-RUC class mix against the exact-VFM shares. The Current model composition is UNCHANGED pending separate approval; nothing in this artifact alters any runtime pack.
2014,BEFU26,8809.590297,1.0,0.0,0.0,,,,,,,,,,,,,False,OPT-IN CANDIDATE ONLY: this audit surfaces the official vintage's embedded Light-RUC class mix against the exact-VFM shares. The Current model composition is UNCHANGED pending separate approval; nothing in this artifact alters any runtime pack.
2015,BEFU26,9167.483044,1.0,0.0,0.0,,,,,,,,,,,,,False,OPT-IN CANDIDATE ONLY: this audit surfaces the official vintage's embedded Light-RUC class mix against the exact-VFM shares. The Current model composition is UNCHANGED pending separate approval; nothing in this artifact alters any runtime pack.
2016,BEFU26,9669.475028,1.0,0.0,0.0,,,,,,,,,,,,,False,OPT-IN CANDIDATE ONLY: this audit surfaces the official vintage's embedded Light-RUC class mix against the exact-VFM shares. The Current model composition is UNCHANGED pending separate approval; nothing in this artifact alters any runtime pack.
2017,BEFU26,10425.610839,1.0,0.0,0.0,,,,,,,,,,,,,False,OPT-IN CANDIDATE ONLY: this audit surfaces the official vintage's embedded Light-RUC class mix against the exact-VFM shares. The Current model composition is UNCHANGED pending separate approval; nothing in this artifact alters any runtime pack.
2018,BEFU26,11112.22716,1.0,0.0,0.0,,,,,,,,,,,,,False,OPT-IN CANDIDATE ONLY: this audit surfaces the official vintage's embedded Light-RUC class mix against the exact-VFM shares. The Current model composition is UNCHANGED pending separate approval; nothing in this artifact alters any runtime pack.
2019,BEFU26,11898.225208,1.0,0.0,0.0,,,,,,,,,,,,,False,OPT-IN CANDIDATE ONLY: this audit surfaces the official vintage's embedded Light-RUC class mix against the exact-VFM shares. The Current model composition is UNCHANGED pending separate approval; nothing in this artifact alters any runtime pack.
2020,BEFU26,11385.93681,1.0,0.0,0.0,,,,,,,,,,,,,False,OPT-IN CANDIDATE ONLY: this audit surfaces the official vintage's embedded Light-RUC class mix against the exact-VFM shares. The Current model composition is UNCHANGED pending separate approval; nothing in this artifact alters any runtime pack.
2021,BEFU26,11998.163013,1.0,0.0,0.0,,,,,,,,,,,,,False,OPT-IN CANDIDATE ONLY: this audit surfaces the official vintage's embedded Light-RUC class mix against the exact-VFM shares. The Current model composition is UNCHANGED pending separate approval; nothing in this artifact alters any runtime pack.
2022,BEFU26,12644.208208,1.0,0.0,0.0,,,,,,,,,,,,,False,OPT-IN CANDIDATE ONLY: this audit surfaces the official vintage's embedded Light-RUC class mix against the exact-VFM shares. The Current model composition is UNCHANGED pending separate approval; nothing in this artifact alters any runtime pack.
2023,BEFU26,13553.287615,1.0,0.0,0.0,,,,,,,,,,,,,False,OPT-IN CANDIDATE ONLY: this audit surfaces the official vintage's embedded Light-RUC class mix against the exact-VFM shares. The Current model composition is UNCHANGED pending separate approval; nothing in this artifact alters any runtime pack.
2024,BEFU26,10964.011820000002,0.9445037846557155,0.037716011054063234,0.017780204290221202,,,,,,,,,,,,,False,OPT-IN CANDIDATE ONLY: this audit surfaces the official vintage's embedded Light-RUC class mix against the exact-VFM shares. The Current model composition is UNCHANGED pending separate approval; nothing in this artifact alters any runtime pack.
2025,BEFU26,13529.742736,0.907185311021571,0.06065462182192376,0.032160067156505316,0.892358,0.072132,0.03551,0.886565,0.074746,0.038689,0.901566,0.064852,0.033583,0.014827311021570977,-0.011477378178076245,-0.0033499328434946837,True,OPT-IN CANDIDATE ONLY: this audit surfaces the official vintage's embedded Light-RUC class mix against the exact-VFM shares. The Current model composition is UNCHANGED pending separate approval; nothing in this artifact alters any runtime pack.
2026,BEFU26,14550.76221959721,0.873355553921173,0.08311448517572693,0.04352996090309992,0.871553,0.0843,0.044146,0.860699,0.088718,0.050583,0.887705,0.072452,0.039843,0.0018025539211730113,-0.001185514824273065,-0.000616039096900077,False,OPT-IN CANDIDATE ONLY: this audit surfaces the official vintage's embedded Light-RUC class mix against the exact-VFM shares. The Current model composition is UNCHANGED pending separate approval; nothing in this artifact alters any runtime pack.
2027,BEFU26,14897.48385870517,0.8363046899644012,0.10553425097599661,0.05816105905960207,0.843887,0.100828,0.055284,0.825712,0.108262,0.066026,0.869223,0.082746,0.048031,-0.007582310035598838,0.004706250975996612,0.0028770590596020676,False,OPT-IN CANDIDATE ONLY: this audit surfaces the official vintage's embedded Light-RUC class mix against the exact-VFM shares. The Current model composition is UNCHANGED pending separate approval; nothing in this artifact alters any runtime pack.
2028,BEFU26,16335.52987607508,0.810014368911175,0.12178215184255568,0.06820347924626938,0.809462,0.122362,0.068176,0.783022,0.134209,0.082769,0.844429,0.097848,0.057723,0.0005523689111749386,-0.0005798481574443154,2.747924626937681e-05,False,OPT-IN CANDIDATE ONLY: this audit surfaces the official vintage's embedded Light-RUC class mix against the exact-VFM shares. The Current model composition is UNCHANGED pending separate approval; nothing in this artifact alters any runtime pack.
2029,BEFU26,17774.08753219099,0.7807830546946007,0.1407768269284645,0.07844011837693467,0.771248,0.14713,0.081621,0.736682,0.164417,0.098901,0.814749,0.116915,0.068336,0.009535054694600698,-0.006353173071535517,-0.003180881623065332,False,OPT-IN CANDIDATE ONLY: this audit surfaces the official vintage's embedded Light-RUC class mix against the exact-VFM shares. The Current model composition is UNCHANGED pending separate approval; nothing in this artifact alters any runtime pack.
2030,BEFU26,19202.14037211065,0.7519519021321367,0.16009342273308352,0.0879546751347797,0.732447,0.172989,0.094564,0.690103,0.196166,0.113731,0.783782,0.13728,0.078938,0.019504902132136737,-0.01289557726691648,-0.006609324865220298,True,OPT-IN CANDIDATE ONLY: this audit surfaces the official vintage's embedded Light-RUC class mix against the exact-VFM shares. The Current model composition is UNCHANGED pending separate approval; nothing in this artifact alters any runtime pack.
2031,BEFU26,19964.016377663633,0.7154093060584065,0.18529698474943557,0.09929370919215788,0.694056,0.199459,0.106485,0.644526,0.228373,0.127101,0.753142,0.157968,0.08889,0.021353306058406463,-0.01416201525056443,-0.007191290807842116,True,OPT-IN CANDIDATE ONLY: this audit surfaces the official vintage's embedded Light-RUC class mix against the exact-VFM shares. The Current model composition is UNCHANGED pending separate approval; nothing in this artifact alters any runtime pack.
2032,BEFU26,20768.96231132207,0.6777756435670441,0.21175959608145964,0.11046476035149624,0.655046,0.227075,0.117879,0.599059,0.261642,0.1393,0.722167,0.179424,0.098409,0.0227296435670441,-0.01531540391854036,-0.007414239648503754,True,OPT-IN CANDIDATE ONLY: this audit surfaces the official vintage's embedded Light-RUC class mix against the exact-VFM shares. The Current model composition is UNCHANGED pending separate approval; nothing in this artifact alters any runtime pack.
2033,BEFU26,21626.776055458442,0.6389196818655591,0.24036179898351837,0.1207185191509224,0.614952,0.256837,0.12821,0.553243,0.297176,0.149581,0.690293,0.202578,0.107129,0.023967681865559087,-0.016475201016481617,-0.007491480849077595,True,OPT-IN CANDIDATE ONLY: this audit surfaces the official vintage's embedded Light-RUC class mix against the exact-VFM shares. The Current model composition is UNCHANGED pending separate approval; nothing in this artifact alters any runtime pack.
2034,BEFU26,22614.63609349873,0.5978802856242768,0.27283081624029654,0.12928889813542663,0.573192,0.290136,0.136672,0.506409,0.336032,0.157559,0.656578,0.228937,0.114485,0.024688285624276718,-0.01730518375970347,-0.00738310186457336,True,OPT-IN CANDIDATE ONLY: this audit surfaces the official vintage's embedded Light-RUC class mix against the exact-VFM shares. The Current model composition is UNCHANGED pending separate approval; nothing in this artifact alters any runtime pack.
2035,BEFU26,23750.055232038823,0.5552091743977653,0.3091658690744525,0.13562495652778211,0.530272,0.327151,0.142577,0.459004,0.378044,0.162952,0.621051,0.258895,0.120054,0.024937174397765327,-0.017985130925547543,-0.006952043472217895,True,OPT-IN CANDIDATE ONLY: this audit surfaces the official vintage's embedded Light-RUC class mix against the exact-VFM shares. The Current model composition is UNCHANGED pending separate approval; nothing in this artifact alters any runtime pack.
2036,BEFU26,24998.881630537424,0.512721641851538,0.3489126264800753,0.1383657316683866,0.48761,0.36751,0.14488,0.4129,0.422558,0.164542,0.584361,0.292092,0.123547,0.025111641851538025,-0.018597373519924687,-0.006514268331613421,True,OPT-IN CANDIDATE ONLY: this audit surfaces the official vintage's embedded Light-RUC class mix against the exact-VFM shares. The Current model composition is UNCHANGED pending separate approval; nothing in this artifact alters any runtime pack.
2037,BEFU26,26384.571374612937,0.47008083920282184,0.3921900635281858,0.1377290972689925,0.445254,0.411012,0.143734,0.369239,0.469003,0.161759,0.546232,0.32875,0.125018,0.02482683920282186,-0.018821936471814182,-0.006004902731007511,True,OPT-IN CANDIDATE ONLY: this audit surfaces the official vintage's embedded Light-RUC class mix against the exact-VFM shares. The Current model composition is UNCHANGED pending separate approval; nothing in this artifact alters any runtime pack.
2038,BEFU26,27894.52902709765,0.42756914584970696,0.4377091204844617,0.1347217336658313,0.403268,0.45657,0.140162,0.328226,0.515715,0.156059,0.506345,0.369131,0.124524,0.02430114584970694,-0.018860879515538276,-0.00544026633416872,True,OPT-IN CANDIDATE ONLY: this audit surfaces the official vintage's embedded Light-RUC class mix against the exact-VFM shares. The Current model composition is UNCHANGED pending separate approval; nothing in this artifact alters any runtime pack.
2039,BEFU26,29628.33624360166,0.3848978599778449,0.48459349374431354,0.13050864627784148,0.361796,0.503171,0.135033,0.290069,0.562581,0.14735,0.464195,0.413653,0.122151,0.02310185997784492,-0.018577506255686493,-0.004524353722158508,True,OPT-IN CANDIDATE ONLY: this audit surfaces the official vintage's embedded Light-RUC class mix against the exact-VFM shares. The Current model composition is UNCHANGED pending separate approval; nothing in this artifact alters any runtime pack.
