engine,vintage_id,display_name,release_round,status,trace_name,scenario_name,source_horizon_fy,workbook_sha256,source_pack_path,pack_manifest_sha256,official_comparator_vintage_id,bridge_assumption_vintage_id,default_official_comparator_trace,registry,allowed_traces
ensemble,BEFU26,BEFU26 official,BEFU26,active_official_vintage,BEFU26 official,befu26_official,2055,7d6e5b19119ca8b5272ca2205c0735719033d82484ce674cfb595e6f45d085ff,data/revenue_model_source_pack/official_vintages/befu26,93406dc1c609b8792796b5ca6f2ba195eea8d362a90e8ba645c10eece9d9fe20,BEFU26,BEFU26,BEFU26 official,data/revenue_model_source_pack/official_vintage_registry.json,Actual; BEFU26 official; MBU26 official; Current finalist Base case; Current finalist High population/comparison; Current finalist comparison behavioural path
ensemble,MBU26,MBU26 official,MBU26,superseded_official_vintage_available_for_comparison,MBU26 official,mbu26_official,2055,9aaff21f72c0a10cfa972a29d3c4f716495c79cbd72fc28e8008a65558454e12,data/revenue_model_source_pack/mbu26_annual_spine,2c5fb4fec1431ed92de1b3971bacd559e091d58dab08bce60ea53e30b24b8c15,BEFU26,BEFU26,BEFU26 official,data/revenue_model_source_pack/official_vintage_registry.json,Actual; BEFU26 official; MBU26 official; Current finalist Base case; Current finalist High population/comparison; Current finalist comparison behavioural path
ar1,BEFU26,BEFU26 official,BEFU26,active_official_vintage,BEFU26 official,befu26_official,2055,7d6e5b19119ca8b5272ca2205c0735719033d82484ce674cfb595e6f45d085ff,data/revenue_model_source_pack/official_vintages/befu26,93406dc1c609b8792796b5ca6f2ba195eea8d362a90e8ba645c10eece9d9fe20,BEFU26,BEFU26,BEFU26 official,data/revenue_model_source_pack/official_vintage_registry.json,Actual; BEFU26 official; MBU26 official; Current finalist Base case; Current finalist High population/comparison; Current finalist comparison behavioural path
ar1,MBU26,MBU26 official,MBU26,superseded_official_vintage_available_for_comparison,MBU26 official,mbu26_official,2055,9aaff21f72c0a10cfa972a29d3c4f716495c79cbd72fc28e8008a65558454e12,data/revenue_model_source_pack/mbu26_annual_spine,2c5fb4fec1431ed92de1b3971bacd559e091d58dab08bce60ea53e30b24b8c15,BEFU26,BEFU26,BEFU26 official,data/revenue_model_source_pack/official_vintage_registry.json,Actual; BEFU26 official; MBU26 official; Current finalist Base case; Current finalist High population/comparison; Current finalist comparison behavioural path
