series_id,source_label,source_row,source_cell,FY,period_status,published_pct_change,recomputed_pct_change,detected_workbook_unit,residual,relative_residual,status
light_ruc_net_km,Light RUC net km (m km),16,AG16,2032,LT_FORECAST,-0.0144055400483634,-0.01440554004835981,fraction,-3.589142871796014e-15,2.4915017831661697e-13,reconciled
light_ruc_net_km,Light RUC net km (m km),16,AH16,2033,LT_FORECAST,-0.0183937981603777,-0.018393798160382446,fraction,4.746203430272544e-15,2.5803281023791883e-13,reconciled
light_ruc_net_km,Light RUC net km (m km),16,AI16,2034,LT_FORECAST,-0.0214888312973019,-0.021488831297301392,fraction,-5.065392549852277e-16,2.3572210511459496e-14,reconciled
light_ruc_net_km,Light RUC net km (m km),16,AJ16,2035,LT_FORECAST,-0.0247467171939886,-0.024746717193988244,fraction,-3.5735303605122226e-16,1.4440421864845757e-14,reconciled
light_ruc_net_km,Light RUC net km (m km),16,AK16,2036,LT_FORECAST,-0.0279670841648555,-0.027967084164855605,fraction,1.0408340855860843e-16,3.72163962267483e-15,reconciled
light_ruc_net_km,Light RUC net km (m km),16,AL16,2037,LT_FORECAST,-0.0323454048890972,-0.0323454048890961,fraction,-1.1032841307212493e-15,3.410945494434591e-14,reconciled
light_ruc_net_km,Light RUC net km (m km),16,AM16,2038,LT_FORECAST,-0.0383815249353618,-0.03838152493536362,fraction,1.817990202823694e-15,4.7366283801523755e-14,reconciled
light_ruc_net_km,Light RUC net km (m km),16,AN16,2039,LT_FORECAST,-0.0438470489519672,-0.043847048951962675,fraction,-4.524158825347513e-15,1.0318046330333488e-13,reconciled
light_ruc_net_km,Light RUC net km (m km),16,AO16,2040,LT_FORECAST,-0.0485684499571586,-0.04856844995715737,fraction,-1.2351231148954867e-15,2.5430564821092684e-14,reconciled
light_ruc_net_km,Light RUC net km (m km),16,AP16,2041,LT_FORECAST,-0.0502015229097044,-0.05020152290970792,fraction,3.5180192092809648e-15,7.007793798623296e-14,reconciled
light_ruc_net_km,Light RUC net km (m km),16,AQ16,2042,LT_FORECAST,-0.0557271344536148,-0.05572713445361388,fraction,-9.228728892196614e-16,1.6560566019913364e-14,reconciled
light_ruc_net_km,Light RUC net km (m km),16,AR16,2043,LT_FORECAST,-0.0565209515343307,-0.0565209515343309,fraction,2.0122792321330962e-16,3.56023594349935e-15,reconciled
light_ruc_net_km,Light RUC net km (m km),16,AS16,2044,LT_FORECAST,-0.0570903461822991,-0.057090346182299356,fraction,2.5673907444456745e-16,4.4970663450656815e-15,reconciled
light_ruc_net_km,Light RUC net km (m km),16,AT16,2045,LT_FORECAST,-0.0567327314491918,-0.05673273144919189,fraction,8.326672684688674e-17,1.4677017079894681e-15,reconciled
light_ruc_net_km,Light RUC net km (m km),16,AU16,2046,LT_FORECAST,-0.0572581189646452,-0.0572581189646445,fraction,-7.008282842946301e-16,1.2239806283670871e-14,reconciled
light_ruc_net_km,Light RUC net km (m km),16,AV16,2047,LT_FORECAST,-0.058072976457212,-0.0580729764572121,fraction,9.71445146547012e-17,1.6728006825390951e-15,reconciled
light_ruc_net_km,Light RUC net km (m km),16,AW16,2048,LT_FORECAST,-0.0592645999986345,-0.05926459999863476,fraction,2.5673907444456745e-16,4.332081452510972e-15,reconciled
light_ruc_net_km,Light RUC net km (m km),16,AX16,2049,LT_FORECAST,-0.0610790406509106,-0.061079040650909855,fraction,-7.424616477180734e-16,1.2155751626184283e-14,reconciled
light_ruc_net_km,Light RUC net km (m km),16,AY16,2050,LT_FORECAST,-0.0627549973000585,-0.06275499730005862,fraction,1.249000902703301e-16,1.9902811830766095e-15,reconciled
light_ruc_net_km,Light RUC net km (m km),16,AZ16,2051,LT_FORECAST,-0.0636526891411935,-0.06365268914119415,fraction,6.522560269672795e-16,1.0247108735978894e-14,reconciled
light_ruc_net_km,Light RUC net km (m km),16,BA16,2052,LT_FORECAST,-0.0574813574673556,-0.05748135746735472,fraction,-8.81239525796218e-16,1.5330875341569634e-14,reconciled
