series_id,section,unit,FY,official_vintage,comparison_vintage,befu26_value,mbu26_value,befu26_period_status,mbu26_period_status,delta,pct_delta,note
coo_revenue,MVR,$m nominal ex GST,2001,BEFU26,MBU26,5.927,5.927,ACTUAL,ACTUAL,0.0,0.0,
coo_revenue,MVR,$m nominal ex GST,2002,BEFU26,MBU26,6.154,6.154,ACTUAL,ACTUAL,0.0,0.0,
coo_revenue,MVR,$m nominal ex GST,2003,BEFU26,MBU26,6.379,6.379,ACTUAL,ACTUAL,0.0,0.0,
coo_revenue,MVR,$m nominal ex GST,2004,BEFU26,MBU26,6.716,6.716,ACTUAL,ACTUAL,0.0,0.0,
coo_revenue,MVR,$m nominal ex GST,2005,BEFU26,MBU26,6.762,6.762,ACTUAL,ACTUAL,0.0,0.0,
coo_revenue,MVR,$m nominal ex GST,2006,BEFU26,MBU26,6.928,6.928,ACTUAL,ACTUAL,0.0,0.0,
coo_revenue,MVR,$m nominal ex GST,2007,BEFU26,MBU26,7.056,7.056,ACTUAL,ACTUAL,0.0,0.0,
coo_revenue,MVR,$m nominal ex GST,2008,BEFU26,MBU26,7.036,7.036,ACTUAL,ACTUAL,0.0,0.0,
coo_revenue,MVR,$m nominal ex GST,2009,BEFU26,MBU26,6.64,6.64,ACTUAL,ACTUAL,0.0,0.0,
coo_revenue,MVR,$m nominal ex GST,2010,BEFU26,MBU26,6.623,6.623,ACTUAL,ACTUAL,0.0,0.0,
coo_revenue,MVR,$m nominal ex GST,2011,BEFU26,MBU26,6.586,6.586,ACTUAL,ACTUAL,0.0,0.0,
coo_revenue,MVR,$m nominal ex GST,2012,BEFU26,MBU26,6.621,6.621,ACTUAL,ACTUAL,0.0,0.0,
coo_revenue,MVR,$m nominal ex GST,2013,BEFU26,MBU26,6.87081006956521,6.87081006956521,ACTUAL,ACTUAL,0.0,0.0,
coo_revenue,MVR,$m nominal ex GST,2014,BEFU26,MBU26,6.91866009565217,6.91866009565217,ACTUAL,ACTUAL,0.0,0.0,
coo_revenue,MVR,$m nominal ex GST,2015,BEFU26,MBU26,7.17026205217391,7.17026205217391,ACTUAL,ACTUAL,0.0,0.0,
coo_revenue,MVR,$m nominal ex GST,2016,BEFU26,MBU26,7.55330949565217,7.55330949565217,ACTUAL,ACTUAL,0.0,0.0,
coo_revenue,MVR,$m nominal ex GST,2017,BEFU26,MBU26,7.66337166086956,7.66337166086956,ACTUAL,ACTUAL,0.0,0.0,
coo_revenue,MVR,$m nominal ex GST,2018,BEFU26,MBU26,7.78609718260869,7.78609718260869,ACTUAL,ACTUAL,0.0,0.0,
coo_revenue,MVR,$m nominal ex GST,2019,BEFU26,MBU26,7.86323948695652,7.86323948695652,ACTUAL,ACTUAL,0.0,0.0,
coo_revenue,MVR,$m nominal ex GST,2020,BEFU26,MBU26,7.49822931304348,7.49822931304348,ACTUAL,ACTUAL,0.0,0.0,
coo_revenue,MVR,$m nominal ex GST,2021,BEFU26,MBU26,8.30089992173913,8.30089992173913,ACTUAL,ACTUAL,0.0,0.0,
coo_revenue,MVR,$m nominal ex GST,2022,BEFU26,MBU26,7.44583832173913,7.44583832173913,ACTUAL,ACTUAL,0.0,0.0,
